tr|K7FHZ4|K7FHZ4_PELSI	Vps53_N|GT-A|TMhelix	Vps53_N(33-175)|Glyco_transf_54(108-388)|TMhelix(281-303)
sp|A6H684|MGT4E_MOUSE	GT-A	Glyco_transf_54(49-273)
sp|A6NG13|MGT4D_HUMAN	GT-A	Glyco_transf_54(96-372)
sp|O77836|MGT4A_BOVIN	GT-A	Glyco_transf_54(103-380)
sp|Q4V8F8|MGT4D_RAT	GT-A	Glyco_transf_54(95-372)
sp|Q5M854|MGT4A_RAT	GT-A	Glyco_transf_54(94-371)
sp|Q5REP8|MGT4A_PONAB	GT-A	Glyco_transf_54(103-380)
sp|Q6GMK0|MGT4B_DANRE	GT-A	Glyco_transf_54(109-386)
sp|Q812F8|MGT4B_MOUSE	GT-A	Glyco_transf_54(110-387)
sp|Q812G0|MGT4A_MOUSE	GT-A	Glyco_transf_54(103-380)
sp|Q9D4R2|MGT4D_MOUSE	GT-A	Glyco_transf_54(96-373)
sp|Q9DGD1|MGT4C_CHICK	GT-A	Glyco_transf_54(69-316)
sp|Q9UM21|MGT4A_HUMAN	GT-A	Glyco_transf_54(103-380)
sp|Q9UQ53|MGT4B_HUMAN	GT-A	Glyco_transf_54(110-387)
tr|A0A016S4M5|A0A016S4M5_9BILA	GT-A	Glyco_transf_54(49-324)
tr|A0A067QZG9|A0A067QZG9_ZOONE	GT-A	Glyco_transf_54(116-395)
tr|A0A088A8H1|A0A088A8H1_APIME	GT-A	Glyco_transf_54(102-381)
tr|A0A0D2WL45|A0A0D2WL45_CAPO3	GT-A	Glyco_transf_54(122-333)
tr|A0A0D2X2W9|A0A0D2X2W9_CAPO3	GT-A	Glyco_transf_54(166-406)
tr|A0A0L0FP38|A0A0L0FP38_9EUKA	GT-A	Glyco_transf_54(8-236)
tr|A0A0M3QWS3|A0A0M3QWS3_DROBS	GT-A	Glyco_transf_54(126-409)
tr|A0A0M4EFA6|A0A0M4EFA6_DROBS	GT-A	Glyco_transf_54(40-299)
tr|A0A0Q9WVY2|A0A0Q9WVY2_DROVI	GT-A	Glyco_transf_54(79-349)
tr|A0A0R4ILB6|A0A0R4ILB6_DANRE	GT-A	Glyco_transf_54(92-369)
tr|A0A0V1LTJ4|A0A0V1LTJ4_9BILA	GT-A	Glyco_transf_54(61-338)
tr|A0A154NYP7|A0A154NYP7_9HYME	GT-A	Glyco_transf_54(1-246)
tr|A0A164NLH0|A0A164NLH0_9CRUS	GT-A	Glyco_transf_54(1-218)
tr|A0A182HPG5|A0A182HPG5_ANOAR	GT-A	Glyco_transf_54(130-411)
tr|A0A182KEI4|A0A182KEI4_9DIPT	GT-A	Glyco_transf_54(129-410)
tr|A0A182NLT5|A0A182NLT5_9DIPT	GT-A	Glyco_transf_54(129-410)
tr|A0A182P5X9|A0A182P5X9_9DIPT	GT-A	Glyco_transf_54(129-410)
tr|A0A182QA46|A0A182QA46_9DIPT	GT-A	Glyco_transf_54(129-410)
tr|A0A182SSW4|A0A182SSW4_9DIPT	GT-A	Glyco_transf_54(129-410)
tr|A0A182UE50|A0A182UE50_9DIPT	GT-A	Glyco_transf_54(130-411)
tr|A0A182VNY6|A0A182VNY6_ANOME	GT-A	Glyco_transf_54(130-411)
tr|A0A182WM84|A0A182WM84_9DIPT	GT-A	Glyco_transf_54(130-411)
tr|A0A182X101|A0A182X101_ANOQN	GT-A	Glyco_transf_54(130-411)
tr|A0A182YJ41|A0A182YJ41_ANOST	GT-A	Glyco_transf_54(129-410)
tr|A0A1A6FVB0|A0A1A6FVB0_NEOLE	GT-A	Glyco_transf_54(15-214)
tr|A0A1A6FX94|A0A1A6FX94_NEOLE	GT-A	Glyco_transf_54(15-281)
tr|A0A1A6GSE0|A0A1A6GSE0_NEOLE	GT-A	Glyco_transf_54(101-317)
tr|A0A1A6H8C7|A0A1A6H8C7_NEOLE	GT-A	Glyco_transf_54(110-400)
tr|A0A1A6HBY2|A0A1A6HBY2_NEOLE	GT-A	Glyco_transf_54(10-234)
tr|A0A1A9US36|A0A1A9US36_GLOAU	GT-A	Glyco_transf_54(148-428)
tr|A0A1A9V052|A0A1A9V052_GLOAU	GT-A	Glyco_transf_54(119-340)
tr|A0A1A9WRB2|A0A1A9WRB2_9MUSC	GT-A	Glyco_transf_54(148-428)
tr|A0A1A9Y5W0|A0A1A9Y5W0_GLOFF	GT-A	Glyco_transf_54(148-428)
tr|A0A1B0AJE6|A0A1B0AJE6_GLOPL	GT-A	Glyco_transf_54(148-428)
tr|A0A1B0BAT4|A0A1B0BAT4_9MUSC	GT-A	Glyco_transf_54(148-428)
tr|A0A1B0BG72|A0A1B0BG72_9MUSC	GT-A	Glyco_transf_54(85-335)
tr|A0A1B0GD15|A0A1B0GD15_GLOMM	GT-A	Glyco_transf_54(148-428)
tr|A0A1D1V0R4|A0A1D1V0R4_RAMVA	GT-A	Glyco_transf_54(102-378)
tr|A0A1D5PP75|A0A1D5PP75_CHICK	GT-A	Glyco_transf_54(108-385)
tr|A0A1D5REG9|A0A1D5REG9_MACMU	GT-A	Glyco_transf_54(96-376)
tr|A0A1I8MZS3|A0A1I8MZS3_MUSDO	GT-A	Glyco_transf_54(141-423)
tr|A0A1I8QE42|A0A1I8QE42_STOCA	GT-A	Glyco_transf_54(141-423)
tr|A0A1J1IJK4|A0A1J1IJK4_9DIPT	GT-A	Glyco_transf_54(1883-2164)
tr|A0A1L8GDY5|A0A1L8GDY5_XENLA	GT-A	Glyco_transf_54(65-317)
tr|A0A1L8GII2|A0A1L8GII2_XENLA	GT-A	Glyco_transf_54(65-317)
tr|A0A1L8H8S1|A0A1L8H8S1_XENLA	GT-A	Glyco_transf_54(103-380)
tr|A0A1L8HGT9|A0A1L8HGT9_XENLA	GT-A	Glyco_transf_54(103-380)
tr|A0A1L8HUJ7|A0A1L8HUJ7_XENLA	GT-A	Glyco_transf_54(102-378)
tr|A0A1S2ZNP1|A0A1S2ZNP1_ERIEU	GT-A	Glyco_transf_54(47-248)
tr|A0A1S2ZZY5|A0A1S2ZZY5_ERIEU	GT-A	Glyco_transf_54(1-242)
tr|A0A1S3F3T1|A0A1S3F3T1_DIPOR	GT-A	Glyco_transf_54(139-362)
tr|A0A1S3F923|A0A1S3F923_DIPOR	GT-A	Glyco_transf_54(152-393)
tr|A0A1S3FFA9|A0A1S3FFA9_DIPOR	GT-A	Glyco_transf_54(103-380)
tr|A0A1S3FGW5|A0A1S3FGW5_DIPOR	GT-A	Glyco_transf_54(94-371)
tr|A0A1S3GAA5|A0A1S3GAA5_DIPOR	GT-A	Glyco_transf_54(236-497)
tr|A0A1S3GCA9|A0A1S3GCA9_DIPOR	GT-A	Glyco_transf_54(80-357)
tr|A0A1S3IVW2|A0A1S3IVW2_LINUN	GT-A	Glyco_transf_54(108-383)
tr|A0A1S3JEP9|A0A1S3JEP9_LINUN	GT-A	Glyco_transf_54(83-328)
tr|A0A1S3JLB6|A0A1S3JLB6_LINUN	GT-A	Glyco_transf_54(135-350)
tr|A0A1S3JXG2|A0A1S3JXG2_LINUN	GT-A	Glyco_transf_54(49-265)
tr|A0A1S3KRH9|A0A1S3KRH9_SALSA	GT-A	Glyco_transf_54(68-329)
tr|A0A1S3PRL2|A0A1S3PRL2_SALSA	GT-A	Glyco_transf_54(103-380)
tr|A0A1S3RS04|A0A1S3RS04_SALSA	GT-A	Glyco_transf_54(94-371)
tr|A0A1S3RSV4|A0A1S3RSV4_SALSA	GT-A	Glyco_transf_54(109-386)
tr|A0A1S3STZ0|A0A1S3STZ0_SALSA	GT-A	Glyco_transf_54(95-372)
tr|A0A1S3WAF7|A0A1S3WAF7_ERIEU	GT-A	Glyco_transf_54(103-371)
tr|A0A1S3WSV6|A0A1S3WSV6_ERIEU	GT-A	Glyco_transf_54(104-332)
tr|A0A1U7QPI9|A0A1U7QPI9_MESAU	GT-A	Glyco_transf_54(110-387)
tr|A0A1U7QUP3|A0A1U7QUP3_MESAU	GT-A	Glyco_transf_54(56-315)
tr|A0A1U7QUV1|A0A1U7QUV1_MESAU	GT-A	Glyco_transf_54(100-316)
tr|A0A1U7T5M9|A0A1U7T5M9_TARSY	GT-A	Glyco_transf_54(96-370)
tr|A0A1U7TW57|A0A1U7TW57_TARSY	GT-A	Glyco_transf_54(103-380)
tr|A0A1U7U036|A0A1U7U036_TARSY	GT-A	Glyco_transf_54(44-229)
tr|A0A1U8C4E0|A0A1U8C4E0_MESAU	GT-A	Glyco_transf_54(45-319)
tr|A0A1U8C7D7|A0A1U8C7D7_MESAU	GT-A	Glyco_transf_54(98-372)
tr|A0A1U8D944|A0A1U8D944_ALLSI	GT-A	Glyco_transf_54(133-410)
tr|A0A1U8DB02|A0A1U8DB02_ALLSI	GT-A	Glyco_transf_54(75-350)
tr|A0A1U8DXA1|A0A1U8DXA1_ALLSI	GT-A	Glyco_transf_54(23-270)
tr|A0A1V4J141|A0A1V4J141_PATFA	GT-A	Glyco_transf_54(33-261)
tr|A0A1V4JUJ5|A0A1V4JUJ5_PATFA	GT-A	Glyco_transf_54(98-373)
tr|A0A1V4KUL8|A0A1V4KUL8_PATFA	GT-A	Glyco_transf_54(108-385)
tr|A0A1V9XLT4|A0A1V9XLT4_9ACAR	GT-A	Glyco_transf_54(36-320)
tr|A0A1Y1HU75|A0A1Y1HU75_KLENI	GT-A	Glyco_transf_54(86-338)
tr|A0A1Y3B2R7|A0A1Y3B2R7_EURMA	GT-A	Glyco_transf_54(96-375)
tr|A0A212EQG0|A0A212EQG0_DANPL	GT-A	Glyco_transf_54(27-297)
tr|A0A212EQP6|A0A212EQP6_DANPL	GT-A	Glyco_transf_54(40-271)
tr|A0A218URT6|A0A218URT6_9PASE	GT-A	Glyco_transf_54(70-317)
tr|A0A218V0G4|A0A218V0G4_9PASE	GT-A	Glyco_transf_54(108-385)
tr|A0A218VBH9|A0A218VBH9_9PASE	GT-A	Glyco_transf_54(8-237)
tr|A0A226E5R6|A0A226E5R6_FOLCA	GT-A	Glyco_transf_54(126-312)
tr|A0A226EY63|A0A226EY63_FOLCA	GT-A	Glyco_transf_54(87-321)
tr|A0A226MR76|A0A226MR76_CALSU	GT-A	Glyco_transf_54(46-292)
tr|A0A226MWD9|A0A226MWD9_CALSU	GT-A	Glyco_transf_54(121-398)
tr|A0A226NJ43|A0A226NJ43_CALSU	GT-A	Glyco_transf_54(12-271)
tr|A0A226NTH4|A0A226NTH4_COLVI	GT-A	Glyco_transf_54(34-293)
tr|A0A226P602|A0A226P602_COLVI	GT-A	Glyco_transf_54(92-338)
tr|A0A226P8X6|A0A226P8X6_COLVI	GT-A	Glyco_transf_54(108-385)
tr|A0A232F6Z8|A0A232F6Z8_9HYME	GT-A	Glyco_transf_54(103-381)
tr|A0A286XGH9|A0A286XGH9_CAVPO	GT-A	Glyco_transf_54(110-387)
tr|A0A287B4F8|A0A287B4F8_PIG	GT-A	Glyco_transf_54(98-376)
tr|A0A287D6Q2|A0A287D6Q2_ICTTR	GT-A	Glyco_transf_54(127-325)
tr|A0A2B4RWT3|A0A2B4RWT3_STYPI	GT-A	Glyco_transf_54(84-323)
tr|A0A2B4SDW9|A0A2B4SDW9_STYPI	GT-A	Glyco_transf_54(41-272)
tr|A0A2C9JK16|A0A2C9JK16_BIOGL	GT-A	Glyco_transf_54(14-212)
tr|A0A2D0R6Q8|A0A2D0R6Q8_ICTPU	GT-A	Glyco_transf_54(103-380)
tr|A0A2D0SIB0|A0A2D0SIB0_ICTPU	GT-A	Glyco_transf_54(54-310)
tr|A0A2G8JCI5|A0A2G8JCI5_STIJA	GT-A	Glyco_transf_54(3-187)
tr|A0A2G8KHV1|A0A2G8KHV1_STIJA	GT-A	Glyco_transf_54(89-366)
tr|A0A2G8L089|A0A2G8L089_STIJA	GT-A	Glyco_transf_54(20-261)
tr|A0A2G9RQJ7|A0A2G9RQJ7_LITCT	GT-A	Glyco_transf_54(33-272)
tr|A0A2I3HK21|A0A2I3HK21_NOMLE	GT-A	Glyco_transf_54(109-386)
tr|A0A2I4BHC4|A0A2I4BHC4_9TELE	GT-A	Glyco_transf_54(103-380)
tr|A0A2I4BVK3|A0A2I4BVK3_9TELE	GT-A	Glyco_transf_54(72-319)
tr|A0A2I4CLG6|A0A2I4CLG6_9TELE	GT-A	Glyco_transf_54(58-324)
tr|A0A2I4CMW8|A0A2I4CMW8_9TELE	GT-A	Glyco_transf_54(109-386)
tr|A0A2I4CZM2|A0A2I4CZM2_9TELE	GT-A	Glyco_transf_54(118-392)
tr|A0A2J8J6Q6|A0A2J8J6Q6_PANTR	GT-A	Glyco_transf_54(103-380)
tr|A0A2K5CBH0|A0A2K5CBH0_AOTNA	GT-A	Glyco_transf_54(103-380)
tr|A0A2K5EWH0|A0A2K5EWH0_AOTNA	GT-A	Glyco_transf_54(124-401)
tr|A0A2K5HPD0|A0A2K5HPD0_COLAP	GT-A	Glyco_transf_54(100-377)
tr|A0A2K5JYM2|A0A2K5JYM2_COLAP	GT-A	Glyco_transf_54(103-380)
tr|A0A2K5K7C1|A0A2K5K7C1_COLAP	GT-A	Glyco_transf_54(96-376)
tr|A0A2K5L2L2|A0A2K5L2L2_CERAT	GT-A	Glyco_transf_54(118-402)
tr|A0A2K5LKU3|A0A2K5LKU3_CERAT	GT-A	Glyco_transf_54(96-376)
tr|A0A2K5QKC8|A0A2K5QKC8_CEBCA	GT-A	Glyco_transf_54(103-381)
tr|A0A2K5R9I5|A0A2K5R9I5_CEBCA	GT-A	Glyco_transf_54(96-376)
tr|A0A2K5S717|A0A2K5S717_CEBCA	GT-A	Glyco_transf_54(124-401)
tr|A0A2K5Y9D3|A0A2K5Y9D3_MANLE	GT-A	Glyco_transf_54(92-376)
tr|A0A2K5YNJ9|A0A2K5YNJ9_MANLE	GT-A	Glyco_transf_54(96-376)
tr|A0A2K5ZP32|A0A2K5ZP32_MANLE	GT-A	Glyco_transf_54(47-324)
tr|A0A2K6BWN6|A0A2K6BWN6_MACNE	GT-A	Glyco_transf_54(96-376)
tr|A0A2K6DW03|A0A2K6DW03_MACNE	GT-A	Glyco_transf_54(110-394)
tr|A0A2K6ECL7|A0A2K6ECL7_MACNE	GT-A	Glyco_transf_54(103-380)
tr|A0A2K6EY49|A0A2K6EY49_PROCO	GT-A	Glyco_transf_54(115-392)
tr|A0A2K6FB65|A0A2K6FB65_PROCO	GT-A	Glyco_transf_54(99-372)
tr|A0A2K6KPF5|A0A2K6KPF5_RHIBE	GT-A	Glyco_transf_54(63-288)
tr|A0A2K6N0K9|A0A2K6N0K9_RHIBE	GT-A	Glyco_transf_54(103-340)
tr|A0A2K6N3P3|A0A2K6N3P3_RHIBE	GT-A	Glyco_transf_54(103-387)
tr|A0A2K6N6J4|A0A2K6N6J4_RHIBE	GT-A	Glyco_transf_54(96-376)
tr|A0A2K6QLH3|A0A2K6QLH3_RHIRO	GT-A	Glyco_transf_54(111-395)
tr|A0A2K6R399|A0A2K6R399_RHIRO	GT-A	Glyco_transf_54(103-380)
tr|A0A2K6RAA9|A0A2K6RAA9_RHIRO	GT-A	Glyco_transf_54(64-344)
tr|A0A2K6S5V2|A0A2K6S5V2_SAIBB	GT-A	Glyco_transf_54(125-402)
tr|A0A2K6S8G6|A0A2K6S8G6_SAIBB	GT-A	Glyco_transf_54(81-351)
tr|A0A2K6SZT7|A0A2K6SZT7_SAIBB	GT-A	Glyco_transf_54(108-338)
tr|A0A2K6U8V0|A0A2K6U8V0_SAIBB	GT-A	Glyco_transf_54(103-380)
tr|A0A2P4T0R8|A0A2P4T0R8_BAMTH	GT-A	Glyco_transf_54(52-299)
tr|A0A2P4TCH6|A0A2P4TCH6_BAMTH	GT-A	Glyco_transf_54(108-385)
tr|A0A2P4TFH2|A0A2P4TFH2_BAMTH	GT-A	Glyco_transf_54(98-373)
tr|A0A2P6LD92|A0A2P6LD92_NEPCL	GT-A	Glyco_transf_54(85-327)
tr|A0A2R2MJI3|A0A2R2MJI3_LINUN	GT-A	Glyco_transf_54(49-265)
tr|A0A2R8M4G9|A0A2R8M4G9_CALJA	GT-A	Glyco_transf_54(72-328)
tr|A0A2R9ATF2|A0A2R9ATF2_PANPA	GT-A	Glyco_transf_54(125-397)
tr|A0A2R9BC67|A0A2R9BC67_PANPA	GT-A	Glyco_transf_54(95-371)
tr|A0A2R9C8F8|A0A2R9C8F8_PANPA	GT-A	Glyco_transf_54(103-380)
tr|A7RGI5|A7RGI5_NEMVE	GT-A	Glyco_transf_54(131-383)
tr|A7RTD5|A7RTD5_NEMVE	GT-A	Glyco_transf_54(2-228)
tr|A7S2Y8|A7S2Y8_NEMVE	GT-A	Glyco_transf_54(105-339)
tr|A7S6W6|A7S6W6_NEMVE	GT-A	Glyco_transf_54(58-335)
tr|A7SS87|A7SS87_NEMVE	GT-A	Glyco_transf_54(1-228)
tr|A7SSJ3|A7SSJ3_NEMVE	GT-A	Glyco_transf_54(24-274)
tr|A7T082|A7T082_NEMVE	GT-A	Glyco_transf_54(58-327)
tr|A9UPM7|A9UPM7_MONBE	GT-A	Glyco_transf_54(45-306)
tr|B0WPM2|B0WPM2_CULQU	GT-A	Glyco_transf_54(118-399)
tr|B1H3C6|B1H3C6_XENTR	GT-A	Glyco_transf_54(102-378)
tr|B2GV39|B2GV39_RAT	GT-A	Glyco_transf_54(110-387)
tr|B3RKZ4|B3RKZ4_TRIAD	GT-A	Glyco_transf_54(54-299)
tr|B3RTH6|B3RTH6_TRIAD	GT-A	Glyco_transf_54(62-312)
tr|B3SAQ4|B3SAQ4_TRIAD	GT-A	Glyco_transf_54(1-247)
tr|B3SAQ6|B3SAQ6_TRIAD	GT-A	Glyco_transf_54(23-252)
tr|B4HHT1|B4HHT1_DROSE	GT-A	Glyco_transf_54(129-412)
tr|B4QK27|B4QK27_DROSI	GT-A	Glyco_transf_54(129-412)
tr|C3YZR7|C3YZR7_BRAFL	GT-A	Glyco_transf_54(80-357)
tr|C3Z1R2|C3Z1R2_BRAFL	GT-A	Glyco_transf_54(5-234)
tr|C3Z1R3|C3Z1R3_BRAFL	GT-A	Glyco_transf_54(31-260)
tr|C3Z1R4|C3Z1R4_BRAFL	GT-A	Glyco_transf_54(5-236)
tr|D8LCU4|D8LCU4_ECTSI	GT-A	Glyco_transf_54(118-369)
tr|E0VZW5|E0VZW5_PEDHC	GT-A	Glyco_transf_54(115-394)
tr|E1B811|E1B811_BOVIN	GT-A	Glyco_transf_54(13-280)
tr|E2AZS7|E2AZS7_CAMFO	GT-A	Glyco_transf_54(102-381)
tr|E2C7Z5|E2C7Z5_HARSA	GT-A	Glyco_transf_54(102-381)
tr|E2R4F6|E2R4F6_CANLF	GT-A	Glyco_transf_54(110-387)
tr|E2RJ21|E2RJ21_CANLF	GT-A	Glyco_transf_54(16-263)
tr|E4XAR8|E4XAR8_OIKDI	GT-A	Glyco_transf_54(65-281)
tr|E4XDT2|E4XDT2_OIKDI	GT-A	Glyco_transf_54(91-365)
tr|E5SGJ7|E5SGJ7_TRISP	GT-A	Glyco_transf_54(65-342)
tr|F1MQ50|F1MQ50_BOVIN	GT-A	Glyco_transf_54(103-380)
tr|F1N1B2|F1N1B2_BOVIN	GT-A	Glyco_transf_54(14-278)
tr|F1N4R6|F1N4R6_BOVIN	GT-A	Glyco_transf_54(96-372)
tr|F1NKS3|F1NKS3_CHICK	GT-A	Glyco_transf_54(69-316)
tr|F1NPD2|F1NPD2_CHICK	GT-A	Glyco_transf_54(98-374)
tr|F1S444|F1S444_PIG	GT-A	Glyco_transf_54(110-387)
tr|F2U1L2|F2U1L2_SALR5	GT-A	Glyco_transf_54(53-292)
tr|F6QV96|F6QV96_ORNAN	GT-A	Glyco_transf_54(79-358)
tr|F6RVS8|F6RVS8_HORSE	GT-A	Glyco_transf_54(2-240)
tr|F6SKF2|F6SKF2_HORSE	GT-A	Glyco_transf_54(2-206)
tr|F6TFA4|F6TFA4_XENTR	GT-A	Glyco_transf_54(109-386)
tr|F6V283|F6V283_MONDO	GT-A	Glyco_transf_54(99-375)
tr|F6VJ06|F6VJ06_HORSE	GT-A	Glyco_transf_54(1-193)
tr|F6VQ82|F6VQ82_HORSE	GT-A	Glyco_transf_54(15-272)
tr|F6W578|F6W578_HORSE	GT-A	Glyco_transf_54(103-380)
tr|F6W7B9|F6W7B9_MACMU	GT-A	Glyco_transf_54(103-380)
tr|F6YHZ3|F6YHZ3_CALJA	GT-A	Glyco_transf_54(103-380)
tr|F7A718|F7A718_MONDO	GT-A	Glyco_transf_54(14-255)
tr|F7AAD2|F7AAD2_MONDO	GT-A	Glyco_transf_54(110-387)
tr|F7BIM9|F7BIM9_HORSE	GT-A	Glyco_transf_54(78-357)
tr|F7C1A6|F7C1A6_ORNAN	GT-A	Glyco_transf_54(103-380)
tr|F7EET9|F7EET9_MACMU	GT-A	Glyco_transf_54(118-395)
tr|F7ER62|F7ER62_ORNAN	GT-A	Glyco_transf_54(2-268)
tr|F7F6L0|F7F6L0_RAT	GT-A	Glyco_transf_54(57-319)
tr|F7FQX9|F7FQX9_MACMU	GT-A	Glyco_transf_54(63-288)
tr|G1KAS2|G1KAS2_ANOCA	GT-A	Glyco_transf_54(101-378)
tr|G1KMT9|G1KMT9_ANOCA	GT-A	Glyco_transf_54(72-349)
tr|G1KS99|G1KS99_ANOCA	GT-A	Glyco_transf_54(108-404)
tr|G1LQD7|G1LQD7_AILME	GT-A	Glyco_transf_54(120-397)
tr|G1M0B7|G1M0B7_AILME	GT-A	Glyco_transf_54(11-224)
tr|G1M0N0|G1M0N0_AILME	GT-A	Glyco_transf_54(15-279)
tr|G1M458|G1M458_AILME	GT-A	Glyco_transf_54(103-380)
tr|G1MT74|G1MT74_MELGA	GT-A	Glyco_transf_54(72-317)
tr|G1MVL2|G1MVL2_MELGA	GT-A	Glyco_transf_54(78-353)
tr|G1N5R7|G1N5R7_MELGA	GT-A	Glyco_transf_54(80-357)
tr|G1P7W3|G1P7W3_MYOLU	GT-A	Glyco_transf_54(120-397)
tr|G1P812|G1P812_MYOLU	GT-A	Glyco_transf_54(15-272)
tr|G1PM70|G1PM70_MYOLU	GT-A	Glyco_transf_54(72-349)
tr|G1PWL5|G1PWL5_MYOLU	GT-A	Glyco_transf_54(11-225)
tr|G1Q2X4|G1Q2X4_MYOLU	GT-A	Glyco_transf_54(11-228)
tr|G1QNF5|G1QNF5_NOMLE	GT-A	Glyco_transf_54(103-374)
tr|G1SRR8|G1SRR8_RABIT	GT-A	Glyco_transf_54(94-374)
tr|G1SVZ3|G1SVZ3_RABIT	GT-A	Glyco_transf_54(84-361)
tr|G1T191|G1T191_RABIT	GT-A	Glyco_transf_54(57-299)
tr|G1TCE7|G1TCE7_RABIT	GT-A	Glyco_transf_54(14-274)
tr|G1TUE3|G1TUE3_RABIT	GT-A	Glyco_transf_54(6-211)
tr|G3H3L3|G3H3L3_CRIGR	GT-A	Glyco_transf_54(2-220)
tr|G3H3M0|G3H3M0_CRIGR	GT-A	Glyco_transf_54(41-242)
tr|G3HHU1|G3HHU1_CRIGR	GT-A	Glyco_transf_54(26-292)
tr|G3MXV7|G3MXV7_BOVIN	GT-A	Glyco_transf_54(123-400)
tr|G3PIG3|G3PIG3_GASAC	GT-A	Glyco_transf_54(34-279)
tr|G3PXH1|G3PXH1_GASAC	GT-A	Glyco_transf_54(109-389)
tr|G3RWJ4|G3RWJ4_GORGO	GT-A	Glyco_transf_54(140-411)
tr|G3RZE5|G3RZE5_GORGO	GT-A	Glyco_transf_54(103-380)
tr|G3SEE8|G3SEE8_GORGO	GT-A	Glyco_transf_54(96-373)
tr|G3TWQ9|G3TWQ9_LOXAF	GT-A	Glyco_transf_54(21-243)
tr|G3U498|G3U498_LOXAF	GT-A	Glyco_transf_54(109-385)
tr|G3U4T3|G3U4T3_LOXAF	GT-A	Glyco_transf_54(110-374)
tr|G3U7M3|G3U7M3_LOXAF	GT-A	Glyco_transf_54(15-243)
tr|G3UDV5|G3UDV5_LOXAF	GT-A	Glyco_transf_54(105-382)
tr|G3UGJ3|G3UGJ3_LOXAF	GT-A	Glyco_transf_54(78-357)
tr|G3VFW6|G3VFW6_SARHA	GT-A	Glyco_transf_54(101-377)
tr|G3WBL5|G3WBL5_SARHA	GT-A	Glyco_transf_54(82-359)
tr|G3WTZ2|G3WTZ2_SARHA	GT-A	Glyco_transf_54(62-325)
tr|G3XA12|G3XA12_MOUSE	GT-A	Glyco_transf_54(64-326)
tr|G5ALK2|G5ALK2_HETGA	GT-A	Glyco_transf_54(91-368)
tr|G5B374|G5B374_HETGA	GT-A	Glyco_transf_54(11-266)
tr|G5B380|G5B380_HETGA	GT-A	Glyco_transf_54(25-231)
tr|G5B3B4|G5B3B4_HETGA	GT-A	Glyco_transf_54(3-190)
tr|G5BMT4|G5BMT4_HETGA	GT-A	Glyco_transf_54(103-380)
tr|G5C7B2|G5C7B2_HETGA	GT-A	Glyco_transf_54(78-339)
tr|G7P6B5|G7P6B5_MACFA	GT-A	Glyco_transf_54(96-369)
tr|G7PIL1|G7PIL1_MACFA	GT-A	Glyco_transf_54(93-359)
tr|G7PMT1|G7PMT1_MACFA	GT-A	Glyco_transf_54(103-380)
tr|G8F642|G8F642_MACFA	GT-A	Glyco_transf_54(53-278)
tr|G8F6A4|G8F6A4_MACFA	GT-A	Glyco_transf_54(6-234)
tr|H0V5B5|H0V5B5_CAVPO	GT-A	Glyco_transf_54(53-311)
tr|H0VNB0|H0VNB0_CAVPO	GT-A	Glyco_transf_54(103-380)
tr|H0VYG9|H0VYG9_CAVPO	GT-A	Glyco_transf_54(37-246)
tr|H0XG80|H0XG80_OTOGA	GT-A	Glyco_transf_54(110-387)
tr|H0XZ91|H0XZ91_OTOGA	GT-A	Glyco_transf_54(14-277)
tr|H0Y0A0|H0Y0A0_OTOGA	GT-A	Glyco_transf_54(21-242)
tr|H0YS06|H0YS06_TAEGU	GT-A	Glyco_transf_54(108-385)
tr|H0YSY1|H0YSY1_TAEGU	GT-A	Glyco_transf_54(37-284)
tr|H0YVR5|H0YVR5_TAEGU	GT-A	Glyco_transf_54(1-271)
tr|H2L629|H2L629_ORYLA	GT-A	Glyco_transf_54(71-330)
tr|H2L9M2|H2L9M2_ORYLA	GT-A	Glyco_transf_54(67-314)
tr|H2M4R2|H2M4R2_ORYLA	GT-A	Glyco_transf_54(111-386)
tr|H2MA75|H2MA75_ORYLA	GT-A	Glyco_transf_54(113-390)
tr|H2P566|H2P566_PONAB	GT-A	Glyco_transf_54(103-378)
tr|H2QS58|H2QS58_PANTR	GT-A	Glyco_transf_54(110-387)
tr|H2R9X8|H2R9X8_PANTR	GT-A	Glyco_transf_54(95-372)
tr|H2RV92|H2RV92_TAKRU	GT-A	Glyco_transf_54(109-386)
tr|H2SHJ5|H2SHJ5_TAKRU	GT-A	Glyco_transf_54(13-260)
tr|H2T7T0|H2T7T0_TAKRU	GT-A	Glyco_transf_54(64-338)
tr|H2TN07|H2TN07_TAKRU	GT-A	Glyco_transf_54(53-314)
tr|H3AXD5|H3AXD5_LATCH	GT-A	Glyco_transf_54(81-355)
tr|H3AYP3|H3AYP3_LATCH	GT-A	Glyco_transf_54(65-327)
tr|H3CM04|H3CM04_TETNG	GT-A	Glyco_transf_54(17-261)
tr|H3D893|H3D893_TETNG	GT-A	Glyco_transf_54(54-315)
tr|H3FMK3|H3FMK3_PRIPA	GT-A	Glyco_transf_54(81-361)
tr|H9GVN8|H9GVN8_ANOCA	GT-A	Glyco_transf_54(9-254)
tr|H9IXR2|H9IXR2_BOMMO	GT-A	Glyco_transf_54(77-370)
tr|I0Z180|I0Z180_COCSC	GT-A	Glyco_transf_54(215-343)
tr|I3IVP6|I3IVP6_ORENI	GT-A	Glyco_transf_54(68-315)
tr|I3J7K3|I3J7K3_ORENI	GT-A	Glyco_transf_54(63-324)
