tr|M0U2F0|M0U2F0_MUSAM	TM_PBP2|GT-A	TM_PBP2(8-65)|Branch(53-326)
tr|A0A2P5APR9|A0A2P5APR9_PARAD	TMhelix|GT-A	TMhelix(36-58)|Branch(97-448)
tr|A0A2P5AS15|A0A2P5AS15_PARAD	TMhelix|GT-A	TMhelix(12-34)|Branch(51-418)
tr|A0A2P5ASV2|A0A2P5ASV2_9ROSA	TMhelix|GT-A	TMhelix(21-43)|Branch(169-395)
tr|A0A2P5AV88|A0A2P5AV88_PARAD	TMhelix|GT-A	TMhelix(29-51)|Branch(84-419)
tr|A0A2P5BWF6|A0A2P5BWF6_PARAD	TMhelix|GT-A	TMhelix(21-43)|Branch(173-399)
tr|A0A2P5BWJ9|A0A2P5BWJ9_PARAD	TMhelix|GT-A	TMhelix(9-31)|Branch(4-414)
tr|A0A2P5C1D5|A0A2P5C1D5_9ROSA	TMhelix|GT-A	TMhelix(22-44)|Branch(16-429)
tr|A0A2P5DS92|A0A2P5DS92_9ROSA	TMhelix|GT-A	TMhelix(27-49)|Branch(81-447)
tr|A0A2P5E4U4|A0A2P5E4U4_PARAD	TMhelix|GT-A	TMhelix(20-42)|Branch(18-432)
tr|A0A2P5E8T8|A0A2P5E8T8_9ROSA	TMhelix|GT-A	TMhelix(20-42)|Branch(18-432)
tr|A0A2P5EHL2|A0A2P5EHL2_9ROSA	TMhelix|GT-A	TMhelix(29-51)|Branch(84-419)
tr|A0A2P5ETZ3|A0A2P5ETZ3_9ROSA	TMhelix|GT-A	TMhelix(12-34)|Branch(51-418)
tr|A0A2P5R2K9|A0A2P5R2K9_GOSBA	TMhelix|GT-A	TMhelix(7-29)|Branch(4-435)
tr|A0A2P5R2V4|A0A2P5R2V4_GOSBA	TMhelix|GT-A	TMhelix(13-35)|Branch(29-416)
tr|A0A2P5R7Z2|A0A2P5R7Z2_GOSBA	TMhelix|GT-A	TMhelix(13-35)|Branch(5-423)
tr|A0A2P5RJK7|A0A2P5RJK7_GOSBA	TMhelix|GT-A	TMhelix(21-40)|Branch(97-347)
tr|A0A2P5RME1|A0A2P5RME1_GOSBA	TMhelix|GT-A	TMhelix(35-57)|Branch(27-449)
tr|A0A2P5RXS0|A0A2P5RXS0_GOSBA	TMhelix|GT-A	TMhelix(13-35)|Branch(11-300)
tr|A0A2P5S8H7|A0A2P5S8H7_GOSBA	TMhelix|GT-A	TMhelix(7-29)|Branch(83-328)
tr|A0A2P5SBI2|A0A2P5SBI2_GOSBA	TMhelix|GT-A	TMhelix(20-42)|Branch(72-326)
tr|A0A2P5SFV1|A0A2P5SFV1_GOSBA	TMhelix|GT-A	TMhelix(19-41)|Branch(15-433)
tr|A0A2P5SH51|A0A2P5SH51_GOSBA	TMhelix|GT-A	TMhelix(31-53)|Branch(33-432)
tr|A0A2P5SKC3|A0A2P5SKC3_GOSBA	TMhelix|GT-A	TMhelix(45-67)|Branch(69-442)
tr|A0A2P6QRU6|A0A2P6QRU6_ROSCH	TMhelix|GT-A	TMhelix(42-64)|Branch(101-468)
tr|A0A2P6R1R7|A0A2P6R1R7_ROSCH	TMhelix|GT-A	TMhelix(21-43)|Branch(139-366)
tr|A0A2P6RIX6|A0A2P6RIX6_ROSCH	TMhelix|GT-A	TMhelix(12-34)|Branch(51-417)
tr|A0A2P6S2Y5|A0A2P6S2Y5_ROSCH	TMhelix|GT-A	TMhelix(21-43)|Branch(20-435)
tr|A0A2P6S4T9|A0A2P6S4T9_ROSCH	TMhelix|GT-A	TMhelix(24-46)|Branch(20-432)
tr|A0A2R6P369|A0A2R6P369_ACTCH	TMhelix|GT-A	TMhelix(20-42)|Branch(117-344)
tr|A0A2R6P9J9|A0A2R6P9J9_ACTCH	TMhelix|GT-A	TMhelix(21-43)|Branch(17-425)
tr|A0A2R6PD56|A0A2R6PD56_ACTCH	TMhelix|GT-A	TMhelix(26-43)|Branch(111-337)
tr|A0A2R6PGX4|A0A2R6PGX4_ACTCH	TMhelix|GT-A	TMhelix(20-42)|Branch(123-349)
tr|A0A2R6PIR6|A0A2R6PIR6_ACTCH	TMhelix|GT-A	TMhelix(34-51)|Branch(119-345)
tr|A0A2R6Q368|A0A2R6Q368_ACTCH	TMhelix|GT-A	TMhelix(31-50)|Branch(107-336)
tr|A0A2R6QC85|A0A2R6QC85_ACTCH	TMhelix|GT-A	TMhelix(21-43)|Branch(16-432)
tr|A0A2R6QX39|A0A2R6QX39_ACTCH	TMhelix|GT-A	TMhelix(21-43)|Branch(16-430)
tr|A0A2R6R444|A0A2R6R444_ACTCH	TMhelix|GT-A	TMhelix(31-50)|Branch(107-336)
tr|A0A2R6RK97|A0A2R6RK97_ACTCH	TMhelix|GT-A	TMhelix(21-43)|Branch(17-424)
tr|A0A2R6RUL3|A0A2R6RUL3_ACTCH	TMhelix|GT-A	TMhelix(21-43)|Branch(17-428)
tr|A0A2R6RYT5|A0A2R6RYT5_ACTCH	TMhelix|GT-A	TMhelix(21-43)|Branch(17-428)
tr|A0A2R6WQ13|A0A2R6WQ13_MARPO	TMhelix|GT-A	TMhelix(7-29)|Branch(186-422)
tr|A0A2R8Q751|A0A2R8Q751_DANRE	TMhelix|GT-A	TMhelix(15-37)|Branch(126-393)
tr|A0A2R8QQE1|A0A2R8QQE1_DANRE	TMhelix|GT-A	TMhelix(13-30)|Branch(120-388)
tr|A0A2R8ZFN8|A0A2R8ZFN8_PANPA	TMhelix|GT-A	TMhelix(12-31)|Branch(133-401)
tr|A2YER8|A2YER8_ORYSI	TMhelix|GT-A	TMhelix(26-48)|Branch(24-443)
tr|A2ZMU0|A2ZMU0_ORYSI	TMhelix|GT-A	TMhelix(7-26)|Branch(82-331)
tr|A6QL46|A6QL46_BOVIN	TMhelix|GT-A	TMhelix(7-29)|Branch(95-302)
tr|A8WKU8|A8WKU8_CAEBR	TMhelix|GT-A	TMhelix(32-54)|Branch(152-417)
tr|A8WU45|A8WU45_CAEBR	TMhelix|GT-A	TMhelix(21-38)|Branch(162-440)
tr|A8X1S9|A8X1S9_CAEBR	TMhelix|GT-A	TMhelix(13-35)|Branch(133-396)
tr|A8XZX9|A8XZX9_CAEBR	TMhelix|GT-A	TMhelix(13-35)|Branch(138-362)
tr|A9P7U8|A9P7U8_POPTR	TMhelix|GT-A	TMhelix(20-42)|Branch(98-354)
tr|A9PDW8|A9PDW8_POPTR	TMhelix|GT-A	TMhelix(27-49)|Branch(19-423)
tr|B4FBZ8|B4FBZ8_MAIZE	TMhelix|GT-A	TMhelix(12-34)|Branch(57-405)
tr|B4FYK5|B4FYK5_MAIZE	TMhelix|GT-A	TMhelix(47-69)|Branch(113-463)
tr|B6ST68|B6ST68_MAIZE	TMhelix|GT-A	TMhelix(20-42)|Branch(117-454)
tr|B7FAK0|B7FAK0_ORYSJ	TMhelix|GT-A	TMhelix(75-97)|Branch(66-480)
tr|B8A6K0|B8A6K0_ORYSI	TMhelix|GT-A	TMhelix(75-97)|Branch(66-480)
tr|B8AY55|B8AY55_ORYSI	TMhelix|GT-A	TMhelix(25-47)|Branch(76-429)
tr|B9GMI2|B9GMI2_POPTR	TMhelix|GT-A	TMhelix(24-46)|Branch(40-425)
tr|B9HAV6|B9HAV6_POPTR	TMhelix|GT-A	TMhelix(44-63)|Branch(68-448)
tr|B9HB04|B9HB04_POPTR	TMhelix|GT-A	TMhelix(31-50)|Branch(107-336)
tr|B9HVJ7|B9HVJ7_POPTR	TMhelix|GT-A	TMhelix(7-29)|Branch(66-309)
tr|B9IJR3|B9IJR3_POPTR	TMhelix|GT-A	TMhelix(21-43)|Branch(16-428)
tr|B9RJ05|B9RJ05_RICCO	TMhelix|GT-A	TMhelix(21-43)|Branch(89-342)
tr|B9RWW7|B9RWW7_RICCO	TMhelix|GT-A	TMhelix(29-51)|Branch(107-309)
tr|C0P7Q7|C0P7Q7_MAIZE	TMhelix|GT-A	TMhelix(27-49)|Branch(25-440)
tr|C5XLK2|C5XLK2_SORBI	TMhelix|GT-A	TMhelix(7-29)|Branch(76-403)
tr|D2H2V5|D2H2V5_AILME	TMhelix|GT-A	TMhelix(7-24)|Branch(98-358)
tr|D2HV92|D2HV92_AILME	TMhelix|GT-A	TMhelix(13-32)|Branch(134-401)
tr|D3BCK1|D3BCK1_POLPP	TMhelix|GT-A	TMhelix(7-29)|Branch(253-478)
tr|D7FMI2|D7FMI2_ECTSI	TMhelix|GT-A	TMhelix(53-75)|Branch(174-451)
tr|D7KCF8|D7KCF8_ARALL	TMhelix|GT-A	TMhelix(37-59)|Branch(32-446)
tr|D7KN74|D7KN74_ARALL	TMhelix|GT-A	TMhelix(20-42)|Branch(75-328)
tr|D7KYI4|D7KYI4_ARALL	TMhelix|GT-A	TMhelix(7-29)|Branch(47-395)
tr|D7L1X3|D7L1X3_ARALL	TMhelix|GT-A	TMhelix(31-50)|Branch(107-337)
tr|D7L4A4|D7L4A4_ARALL	TMhelix|GT-A	TMhelix(12-34)|Branch(50-413)
tr|D7M2Q0|D7M2Q0_ARALL	TMhelix|GT-A	TMhelix(38-60)|Branch(35-448)
tr|D7M4M5|D7M4M5_ARALL	TMhelix|GT-A	TMhelix(31-53)|Branch(119-345)
tr|D7M6Q9|D7M6Q9_ARALL	TMhelix|GT-A	TMhelix(22-44)|Branch(18-434)
tr|D7MC95|D7MC95_ARALL	TMhelix|GT-A	TMhelix(33-52)|Branch(109-339)
tr|D7MEF2|D7MEF2_ARALL	TMhelix|GT-A	TMhelix(12-34)|PLN03183(1-421)
tr|D7MJE1|D7MJE1_ARALL	TMhelix|GT-A	TMhelix(33-55)|Branch(27-445)
tr|D7TS64|D7TS64_VITVI	TMhelix|GT-A	TMhelix(25-47)|Branch(26-429)
tr|E0CVP2|E0CVP2_VITVI	TMhelix|GT-A	TMhelix(12-34)|Branch(66-320)
tr|E1C518|E1C518_CHICK	TMhelix|GT-A	TMhelix(9-26)|Branch(113-375)
tr|E1ZST5|E1ZST5_CHLVA	TMhelix|GT-A	TMhelix(50-72)|Branch(278-493)
tr|E2RDR5|E2RDR5_CANLF	TMhelix|GT-A	TMhelix(95-117)|Branch(189-449)
tr|E3M1J9|E3M1J9_CAERE	TMhelix|GT-A	TMhelix(12-34)|Branch(139-403)
tr|E3M448|E3M448_CAERE	TMhelix|GT-A	TMhelix(12-34)|Branch(106-298)
tr|E3M4X8|E3M4X8_CAERE	TMhelix|GT-A	TMhelix(21-43)|Branch(166-429)
tr|E3MZ40|E3MZ40_CAERE	TMhelix|GT-A	TMhelix(7-24)|Branch(129-422)
tr|E4X4C6|E4X4C6_OIKDI	TMhelix|GT-A	TMhelix(7-29)|Branch(130-408)
tr|F1MU80|F1MU80_BOVIN	TMhelix|GT-A	TMhelix(7-24)|Branch(95-355)
tr|F1RAK7|F1RAK7_DANRE	TMhelix|GT-A	TMhelix(12-29)|Branch(119-385)
tr|F2DA69|F2DA69_HORVV	TMhelix|GT-A	TMhelix(21-43)|Branch(70-423)
tr|F4JIW2|F4JIW2_ARATH	TMhelix|GT-A	TMhelix(12-34)|PLN03183(1-421)
tr|F4PT18|F4PT18_CAVFA	TMhelix|GT-A	TMhelix(44-63)|Branch(231-512)
tr|F6HH85|F6HH85_VITVI	TMhelix|GT-A	TMhelix(12-34)|Branch(9-417)
tr|F6HIH8|F6HIH8_VITVI	TMhelix|GT-A	TMhelix(20-42)|Branch(10-432)
tr|F6HV72|F6HV72_VITVI	TMhelix|GT-A	TMhelix(21-43)|Branch(17-428)
tr|F6I5N9|F6I5N9_VITVI	TMhelix|GT-A	TMhelix(42-61)|Branch(118-347)
tr|F6QG50|F6QG50_XENTR	TMhelix|GT-A	TMhelix(16-38)|Branch(118-385)
tr|F6QXM2|F6QXM2_MONDO	TMhelix|GT-A	TMhelix(17-39)|Branch(134-402)
tr|F6SE32|F6SE32_XENTR	TMhelix|GT-A	TMhelix(21-43)|Branch(116-373)
tr|F6SRY8|F6SRY8_MONDO	TMhelix|GT-A	TMhelix(9-28)|Branch(97-357)
tr|F6SRZ5|F6SRZ5_MONDO	TMhelix|GT-A	TMhelix(7-29)|Branch(94-301)
tr|F7A4Z1|F7A4Z1_MONDO	TMhelix|GT-A	TMhelix(9-31)|Branch(116-378)
tr|F7CY38|F7CY38_XENTR	TMhelix|GT-A	TMhelix(19-36)|Branch(124-392)
tr|F7CZN4|F7CZN4_HORSE	TMhelix|GT-A	TMhelix(7-29)|Branch(98-358)
tr|F7F050|F7F050_ORNAN	TMhelix|GT-A	TMhelix(9-26)|Branch(114-376)
tr|F7FUY3|F7FUY3_CALJA	TMhelix|GT-A	TMhelix(12-31)|Branch(133-401)
tr|F7HH43|F7HH43_MACMU	TMhelix|GT-A	TMhelix(12-31)|Branch(133-401)
tr|G0MQ42|G0MQ42_CAEBE	TMhelix|GT-A	TMhelix(13-35)|Branch(107-291)
tr|G0NAQ8|G0NAQ8_CAEBE	TMhelix|GT-A	TMhelix(21-43)|Branch(163-425)
tr|G0P8I7|G0P8I7_CAEBE	TMhelix|GT-A	TMhelix(7-29)|Branch(145-424)
tr|G0PAC3|G0PAC3_CAEBE	TMhelix|GT-A	TMhelix(9-31)|Branch(141-404)
tr|G0PAC4|G0PAC4_CAEBE	TMhelix|GT-A	TMhelix(13-35)|Branch(139-418)
tr|G1K2V0|G1K2V0_DANRE	TMhelix|GT-A	TMhelix(10-32)|Branch(121-388)
tr|G1KE93|G1KE93_ANOCA	TMhelix|GT-A	TMhelix(21-40)|Branch(131-399)
tr|G1MNL3|G1MNL3_AILME	TMhelix|GT-A	TMhelix(7-26)|Branch(94-311)
tr|G1PAI2|G1PAI2_MYOLU	TMhelix|GT-A	TMhelix(7-29)|Branch(95-302)
tr|G1RLP7|G1RLP7_NOMLE	TMhelix|GT-A	TMhelix(12-31)|Branch(133-401)
tr|G1TEP9|G1TEP9_RABIT	TMhelix|GT-A	TMhelix(7-24)|Branch(111-343)
tr|G3GRM9|G3GRM9_CRIGR	TMhelix|GT-A	TMhelix(7-26)|Branch(133-400)
tr|G3HFK2|G3HFK2_CRIGR	TMhelix|GT-A	TMhelix(7-29)|Branch(95-302)
tr|G3P9C0|G3P9C0_GASAC	TMhelix|GT-A	TMhelix(9-31)|Branch(96-363)
tr|G3RGT9|G3RGT9_GORGO	TMhelix|GT-A	TMhelix(12-31)|Branch(133-401)
tr|G3TFW9|G3TFW9_LOXAF	TMhelix|GT-A	TMhelix(7-29)|Branch(97-357)
tr|G3TTD2|G3TTD2_LOXAF	TMhelix|GT-A	TMhelix(7-29)|Branch(95-302)
tr|G3TX67|G3TX67_LOXAF	TMhelix|GT-A	TMhelix(13-35)|Branch(124-361)
tr|G3VLR2|G3VLR2_SARHA	TMhelix|GT-A	TMhelix(17-36)|Branch(124-392)
tr|G3WG85|G3WG85_SARHA	TMhelix|GT-A	TMhelix(7-29)|Branch(98-358)
tr|G3WGK3|G3WGK3_SARHA	TMhelix|GT-A	TMhelix(9-27)|Branch(116-378)
tr|G3WHK2|G3WHK2_SARHA	TMhelix|GT-A	TMhelix(7-29)|Branch(94-301)
tr|G4LUI0|G4LUI0_SCHMA	TMhelix|GT-A	TMhelix(13-31)|Branch(116-366)
tr|G4V6I0|G4V6I0_SCHMA	TMhelix|GT-A	TMhelix(31-53)|Branch(132-385)
tr|G5AW09|G5AW09_HETGA	TMhelix|GT-A	TMhelix(7-25)|Branch(111-351)
tr|G5AWC7|G5AWC7_HETGA	TMhelix|GT-A	TMhelix(12-31)|Branch(133-400)
tr|G5EBQ5|G5EBQ5_CAEEL	TMhelix|GT-A	TMhelix(45-67)|Branch(170-434)
tr|G5ECK8|G5ECK8_CAEEL	TMhelix|GT-A	TMhelix(29-51)|Branch(129-358)
tr|G5EDP7|G5EDP7_CAEEL	TMhelix|GT-A	TMhelix(7-26)|Branch(116-353)
tr|G7I940|G7I940_MEDTR	TMhelix|GT-A	TMhelix(17-39)|Branch(82-328)
tr|G7JCC4|G7JCC4_MEDTR	TMhelix|GT-A	TMhelix(13-35)|Branch(94-324)
tr|G7JCW1|G7JCW1_MEDTR	TMhelix|GT-A	TMhelix(13-35)|Branch(47-374)
tr|G7JUI4|G7JUI4_MEDTR	TMhelix|GT-A	TMhelix(24-46)|Branch(68-419)
tr|G7KKG8|G7KKG8_MEDTR	TMhelix|GT-A	TMhelix(26-48)|Branch(23-433)
tr|G7PBK8|G7PBK8_MACFA	TMhelix|GT-A	TMhelix(12-31)|Branch(133-401)
tr|G7YD89|G7YD89_CLOSI	TMhelix|GT-A	TMhelix(13-35)|Branch(139-367)
tr|G7YEX8|G7YEX8_CLOSI	TMhelix|GT-A	TMhelix(7-29)|Branch(68-273)
tr|H0W9C1|H0W9C1_CAVPO	TMhelix|GT-A	TMhelix(7-29)|Branch(133-400)
tr|H0WLP7|H0WLP7_OTOGA	TMhelix|GT-A	TMhelix(13-35)|Branch(122-390)
tr|H0XBL9|H0XBL9_OTOGA	TMhelix|GT-A	TMhelix(13-35)|Branch(135-402)
tr|H0XMV9|H0XMV9_OTOGA	TMhelix|GT-A	TMhelix(7-29)|Branch(96-356)
tr|H0XS67|H0XS67_OTOGA	TMhelix|GT-A	TMhelix(7-24)|Branch(96-351)
tr|H0ZDM6|H0ZDM6_TAEGU	TMhelix|GT-A	TMhelix(12-31)|Branch(113-374)
tr|H2KTG4|H2KTG4_CLOSI	TMhelix|GT-A	TMhelix(21-40)|Branch(91-345)
tr|H2Q9J1|H2Q9J1_PANTR	TMhelix|GT-A	TMhelix(12-31)|Branch(133-401)
tr|H2UAR0|H2UAR0_TAKRU	TMhelix|GT-A	TMhelix(7-29)|Branch(123-391)
tr|H2ZU19|H2ZU19_LATCH	TMhelix|GT-A	TMhelix(9-31)|Branch(105-312)
tr|H3BAC4|H3BAC4_LATCH	TMhelix|GT-A	TMhelix(9-27)|Branch(113-375)
tr|H9GVN3|H9GVN3_ANOCA	TMhelix|GT-A	TMhelix(20-37)|Branch(105-365)
tr|I1HD19|I1HD19_BRADI	TMhelix|GT-A	TMhelix(61-83)|Branch(57-483)
tr|I1HLQ7|I1HLQ7_BRADI	TMhelix|GT-A	TMhelix(25-47)|Branch(73-426)
tr|I1I0W1|I1I0W1_BRADI	TMhelix|GT-A	TMhelix(21-43)|Branch(16-449)
tr|I1I469|I1I469_BRADI	TMhelix|GT-A	TMhelix(13-35)|Branch(65-424)
tr|I1JW61|I1JW61_SOYBN	TMhelix|GT-A	TMhelix(19-41)|Branch(15-423)
tr|I1KDF9|I1KDF9_SOYBN	TMhelix|GT-A	TMhelix(19-41)|Branch(16-428)
tr|I1KDV2|I1KDV2_SOYBN	TMhelix|GT-A	TMhelix(12-34)|Branch(1-421)
tr|I1KF55|I1KF55_SOYBN	TMhelix|GT-A	TMhelix(20-42)|Branch(10-431)
tr|I1KKS3|I1KKS3_SOYBN	TMhelix|GT-A	TMhelix(7-29)|Branch(3-396)
tr|I1L2U1|I1L2U1_SOYBN	TMhelix|GT-A	TMhelix(7-29)|Branch(3-396)
tr|I1LAK7|I1LAK7_SOYBN	TMhelix|GT-A	TMhelix(34-56)|Branch(77-427)
tr|I1LRY0|I1LRY0_SOYBN	TMhelix|GT-A	TMhelix(20-42)|Branch(10-431)
tr|I1LT56|I1LT56_SOYBN	TMhelix|GT-A	TMhelix(13-35)|Branch(2-423)
tr|I1LV11|I1LV11_SOYBN	TMhelix|GT-A	TMhelix(12-34)|Branch(1-420)
tr|I1LVM9|I1LVM9_SOYBN	TMhelix|GT-A	TMhelix(32-51)|Branch(108-337)
tr|I1LWH6|I1LWH6_SOYBN	TMhelix|GT-A	TMhelix(21-43)|Branch(18-429)
tr|I1LZZ1|I1LZZ1_SOYBN	TMhelix|GT-A	TMhelix(12-34)|Branch(53-419)
tr|I1M377|I1M377_SOYBN	TMhelix|GT-A	TMhelix(12-34)|Branch(1-420)
tr|I1MWJ1|I1MWJ1_SOYBN	TMhelix|GT-A	TMhelix(31-50)|Branch(108-338)
tr|I1N499|I1N499_SOYBN	TMhelix|GT-A	TMhelix(21-43)|Branch(90-435)
tr|I1NL74|I1NL74_ORYGL	TMhelix|GT-A	TMhelix(75-97)|Branch(66-481)
tr|I1Q3G1|I1Q3G1_ORYGL	TMhelix|GT-A	TMhelix(23-45)|Branch(21-440)
tr|I1R7Y0|I1R7Y0_ORYGL	TMhelix|GT-A	TMhelix(7-26)|Branch(82-331)
tr|I3JIB9|I3JIB9_ORENI	TMhelix|GT-A	TMhelix(9-27)|Branch(104-366)
tr|I3JU93|I3JU93_ORENI	TMhelix|GT-A	TMhelix(13-30)|Branch(128-397)
tr|I3N057|I3N057_ICTTR	TMhelix|GT-A	TMhelix(7-29)|Branch(128-395)
tr|J3M4C9|J3M4C9_ORYBR	TMhelix|GT-A	TMhelix(13-35)|Branch(82-340)
tr|J3MRB9|J3MRB9_ORYBR	TMhelix|GT-A	TMhelix(17-36)|Branch(90-320)
tr|J3N2U9|J3N2U9_ORYBR	TMhelix|GT-A	TMhelix(9-31)|Branch(74-428)
tr|K1QZX5|K1QZX5_CRAGI	TMhelix|GT-A	TMhelix(7-29)|Branch(213-403)
tr|K3Z6G7|K3Z6G7_SETIT	TMhelix|GT-A	TMhelix(26-48)|Branch(71-424)
tr|K4B1P1|K4B1P1_SOLLC	TMhelix|GT-A	TMhelix(24-46)|Branch(128-353)
tr|K4BBR2|K4BBR2_SOLLC	TMhelix|GT-A	TMhelix(21-43)|Branch(17-429)
tr|K4BHM1|K4BHM1_SOLLC	TMhelix|GT-A	TMhelix(44-66)|Branch(39-443)
tr|K4BPD1|K4BPD1_SOLLC	TMhelix|GT-A	TMhelix(5-27)|Branch(73-310)
tr|K4C229|K4C229_SOLLC	TMhelix|GT-A	TMhelix(29-51)|Branch(99-440)
tr|K4C9B5|K4C9B5_SOLLC	TMhelix|GT-A	TMhelix(5-27)|Branch(82-323)
tr|K4CFY9|K4CFY9_SOLLC	TMhelix|GT-A	TMhelix(33-55)|Branch(23-444)
tr|K4CR93|K4CR93_SOLLC	TMhelix|GT-A	TMhelix(13-35)|Branch(12-411)
tr|K4CWE9|K4CWE9_SOLLC	TMhelix|GT-A	TMhelix(21-40)|Branch(20-425)
tr|K4D4R0|K4D4R0_SOLLC	TMhelix|GT-A	TMhelix(7-24)|Branch(78-315)
tr|K4DAP2|K4DAP2_SOLLC	TMhelix|GT-A	TMhelix(2-24)|Branch(78-319)
tr|K4DBI6|K4DBI6_SOLLC	TMhelix|GT-A	TMhelix(12-31)|Branch(9-411)
tr|K4DCS0|K4DCS0_SOLLC	TMhelix|GT-A	TMhelix(13-35)|Branch(1-425)
tr|K7EY43|K7EY43_PELSI	TMhelix|GT-A	TMhelix(20-39)|Branch(139-397)
tr|K7FY14|K7FY14_PELSI	TMhelix|GT-A	TMhelix(9-31)|Branch(114-376)
tr|K7GW02|K7GW02_CAEJA	TMhelix|GT-A	TMhelix(5-27)|Branch(110-301)
tr|K7KDS4|K7KDS4_SOYBN	TMhelix|GT-A	TMhelix(12-34)|Branch(64-369)
tr|L5K1D2|L5K1D2_PTEAL	TMhelix|GT-A	TMhelix(12-31)|Branch(134-401)
tr|L5KU57|L5KU57_PTEAL	TMhelix|GT-A	TMhelix(7-29)|Branch(95-302)
tr|L9L890|L9L890_TUPCH	TMhelix|GT-A	TMhelix(13-30)|Branch(133-400)
tr|M0RES9|M0RES9_MUSAM	TMhelix|GT-A	TMhelix(17-39)|Branch(57-408)
tr|M0RJS7|M0RJS7_MUSAM	TMhelix|GT-A	TMhelix(7-29)|Branch(5-401)
tr|M0S7V8|M0S7V8_MUSAM	TMhelix|GT-A	TMhelix(20-39)|Branch(61-317)
tr|M0SNB7|M0SNB7_MUSAM	TMhelix|GT-A	TMhelix(13-35)|Branch(90-335)
tr|M0T1E6|M0T1E6_MUSAM	TMhelix|GT-A	TMhelix(21-43)|Branch(75-447)
tr|M0TG98|M0TG98_MUSAM	TMhelix|GT-A	TMhelix(22-41)|Branch(21-405)
tr|M0X092|M0X092_HORVV	TMhelix|GT-A	TMhelix(20-42)|Branch(17-446)
tr|M0ZIC8|M0ZIC8_SOLTU	TMhelix|GT-A	TMhelix(20-42)|Branch(61-335)
tr|M0ZLX2|M0ZLX2_SOLTU	TMhelix|GT-A	TMhelix(21-43)|Branch(17-429)
tr|M1A5F9|M1A5F9_SOLTU	TMhelix|GT-A	TMhelix(5-27)|Branch(82-323)
tr|M1ATZ3|M1ATZ3_SOLTU	TMhelix|GT-A	TMhelix(22-44)|Branch(83-429)
tr|M1B5T3|M1B5T3_SOLTU	TMhelix|GT-A	TMhelix(13-35)|Branch(115-342)
tr|M1BIJ4|M1BIJ4_SOLTU	TMhelix|GT-A	TMhelix(21-43)|Branch(19-422)
tr|M1BKG8|M1BKG8_SOLTU	TMhelix|GT-A	TMhelix(33-55)|Branch(23-444)
tr|M1CBJ4|M1CBJ4_SOLTU	TMhelix|GT-A	TMhelix(24-46)|Branch(128-353)
tr|M1CDX5|M1CDX5_SOLTU	TMhelix|GT-A	TMhelix(5-27)|Branch(73-310)
tr|M1CL97|M1CL97_SOLTU	TMhelix|GT-A	TMhelix(29-51)|Branch(99-440)
tr|M3Z6V6|M3Z6V6_MUSPF	TMhelix|GT-A	TMhelix(13-32)|Branch(134-401)
tr|M4CJB8|M4CJB8_BRARP	TMhelix|GT-A	TMhelix(26-48)|Branch(129-352)
tr|M4CQW8|M4CQW8_BRARP	TMhelix|GT-A	TMhelix(7-29)|Branch(73-325)
tr|M4D1F7|M4D1F7_BRARP	TMhelix|GT-A	TMhelix(32-54)|Branch(110-340)
tr|M4D1Q2|M4D1Q2_BRARP	TMhelix|GT-A	TMhelix(12-34)|Branch(1-421)
tr|M4D6Q7|M4D6Q7_BRARP	TMhelix|GT-A	TMhelix(33-55)|Branch(111-341)
tr|M4DTQ1|M4DTQ1_BRARP	TMhelix|GT-A	TMhelix(26-48)|Branch(110-336)
tr|M4DX53|M4DX53_BRARP	TMhelix|GT-A	TMhelix(13-35)|Branch(1-429)
tr|M4EA20|M4EA20_BRARP	TMhelix|GT-A	TMhelix(25-47)|Branch(80-427)
tr|M4EEP8|M4EEP8_BRARP	TMhelix|GT-A	TMhelix(13-35)|PLN03183(1-425)
tr|M4EHV0|M4EHV0_BRARP	TMhelix|GT-A	TMhelix(13-35)|Branch(54-417)
tr|M4F6L9|M4F6L9_BRARP	TMhelix|GT-A	TMhelix(33-52)|Branch(109-339)
tr|M5VQ15|M5VQ15_PRUPE	TMhelix|GT-A	TMhelix(12-34)|Branch(46-418)
tr|M5VQV9|M5VQV9_PRUPE	TMhelix|GT-A	TMhelix(5-27)|Branch(4-404)
tr|M5WGT7|M5WGT7_PRUPE	TMhelix|GT-A	TMhelix(12-34)|Branch(1-421)
tr|M5WH50|M5WH50_PRUPE	TMhelix|GT-A	TMhelix(29-51)|Branch(106-335)
tr|M5WYQ1|M5WYQ1_PRUPE	TMhelix|GT-A	TMhelix(21-43)|Branch(20-434)
tr|M5X518|M5X518_PRUPE	TMhelix|GT-A	TMhelix(21-43)|Branch(17-428)
tr|M7Z3C2|M7Z3C2_TRIUA	TMhelix|GT-A	TMhelix(21-43)|Branch(17-446)
tr|M8A095|M8A095_TRIUA	TMhelix|GT-A	TMhelix(44-66)|Branch(104-457)
tr|O02312|O02312_CAEEL	TMhelix|GT-A	TMhelix(21-40)|Branch(156-418)
tr|O02315|O02315_CAEEL	TMhelix|GT-A	TMhelix(7-29)|Branch(125-350)
tr|Q19730|Q19730_CAEEL	TMhelix|GT-A	TMhelix(7-26)|Branch(136-373)
tr|Q21796|Q21796_CAEEL	TMhelix|GT-A	TMhelix(30-52)|Branch(155-420)
tr|Q2QM36|Q2QM36_ORYSJ	TMhelix|GT-A	TMhelix(7-26)|Branch(82-331)
