tr|U6PXS4|U6PXS4_HAECO	Vps35|TMhelix|GT-A|TMhelix|TMhelix	Vps35(14-750)|TMhelix(840-862)|Glucosylceramide_synthase(880-1109)|TMhelix(1135-1157)|TMhelix(1177-1199)
tr|A0A2A2TMX0|A0A2A2TMX0_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(21-43)|HpnI(26-402)|TMhelix(294-316)|TMhelix(329-351)|TMhelix(361-380)
tr|A0A2D0HCA7|A0A2D0HCA7_9NOSO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(15-32)|BcsA(6-283)|TMhelix(279-301)|TMhelix(311-333)|TMhelix(354-376)
tr|A0A2D5Z6J2|A0A2D5Z6J2_9BACT	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|HpnI(14-411)|TMhelix(292-314)|TMhelix(329-351)|TMhelix(372-394)
tr|A0A2E5FK54|A0A2E5FK54_9BACT	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-27)|HpnI(10-381)|TMhelix(285-302)|TMhelix(312-334)|TMhelix(341-363)
tr|A0A2H5PG11|A0A2H5PG11_CITUN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(4-26)|Glyco_tranf_GTA_type(65-296)|TMhelix(323-345)|TMhelix(360-382)|TMhelix(403-425)
tr|A0A2I1DP07|A0A2I1DP07_9PROT	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(4-26)|HpnI(18-382)|TMhelix(288-310)|TMhelix(314-331)|TMhelix(344-363)
tr|A0A2I1HC50|A0A2I1HC50_9GLOM	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(28-50)|Glucosylceramide_synthase(72-303)|TMhelix(330-352)|TMhelix(372-394)|TMhelix(455-477)
tr|A0A2I8AEA0|A0A2I8AEA0_9NOSO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|BcsA(2-403)|TMhelix(280-302)|TMhelix(319-341)|TMhelix(361-383)
tr|A0A2I8AEG1|A0A2I8AEG1_9NOSO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|BcsA(4-404)|TMhelix(280-302)|TMhelix(315-337)|TMhelix(352-374)
tr|A0A2K8SUZ2|A0A2K8SUZ2_9NOSO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(15-32)|BcsA(6-405)|TMhelix(279-301)|TMhelix(311-333)|TMhelix(354-376)
tr|A0A2N6NNY1|A0A2N6NNY1_BEABA	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(12-34)|Glyco_tranf_GTA_type(51-361)|TMhelix(330-352)|TMhelix(373-394)|TMhelix(404-426)
tr|A0A2N8M907|A0A2N8M907_9RHIZ	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|Glucosylceramide_synthase(44-272)|TMhelix(279-301)|TMhelix(306-325)|TMhelix(338-357)
tr|A0A2N9N459|A0A2N9N459_9BACT	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|HpnI(1-375)|TMhelix(276-298)|TMhelix(305-327)|TMhelix(337-354)
tr|A0A2R5FKG7|A0A2R5FKG7_NOSCO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(13-35)|HpnI(20-386)|TMhelix(289-308)|TMhelix(315-337)|TMhelix(347-369)
tr|A0A2R5G0R7|A0A2R5G0R7_NOSCO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(33-52)|BcsA(28-427)|TMhelix(301-323)|TMhelix(333-355)|TMhelix(376-398)
tr|A0A2S5TRT7|A0A2S5TRT7_9RHIZ	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(50-279)|TMhelix(283-305)|TMhelix(315-337)|TMhelix(344-366)
tr|A0A2S6BM48|A0A2S6BM48_9RHIZ	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(4-21)|Glucosylceramide_synthase(36-265)|TMhelix(269-291)|TMhelix(301-320)|TMhelix(327-349)
tr|A0A2T1E552|A0A2T1E552_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(4-26)|HpnI(3-379)|TMhelix(283-305)|TMhelix(320-342)|TMhelix(347-364)
tr|A0A2T1E9M0|A0A2T1E9M0_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(21-43)|HpnI(28-397)|TMhelix(295-317)|TMhelix(324-346)|TMhelix(361-383)
tr|A0A2U3K2I8|A0A2U3K2I8_9BACT	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|HpnI(3-377)|TMhelix(281-303)|TMhelix(308-330)|TMhelix(343-360)
tr|A0ZMG5|A0ZMG5_NODSP	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|BcsA(4-392)|TMhelix(282-304)|TMhelix(311-333)|TMhelix(359-381)
tr|A3GG87|A3GG87_PICST	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(15-37)|Glyco_tranf_GTA_type(58-389)|TMhelix(392-414)|TMhelix(424-446)|TMhelix(475-497)
tr|A3IWQ1|A3IWQ1_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(6-28)|HpnI(11-385)|TMhelix(288-307)|TMhelix(312-334)|TMhelix(346-368)
tr|A8ME67|A8ME67_CALMQ	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|BcsA(1-372)|TMhelix(263-285)|TMhelix(290-312)|TMhelix(340-362)
tr|B3EA11|B3EA11_GEOLS	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|HpnI(17-375)|TMhelix(278-300)|TMhelix(304-326)|TMhelix(339-361)
tr|B8EMX7|B8EMX7_METSB	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(4-26)|Glucosylceramide_synthase(44-272)|TMhelix(277-299)|TMhelix(304-322)|TMhelix(343-360)
tr|B8IKA8|B8IKA8_METNO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|HpnI(4-382)|TMhelix(286-305)|TMhelix(315-337)|TMhelix(350-367)
tr|C1F415|C1F415_ACIC5	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(15-37)|HpnI(16-391)|TMhelix(291-313)|TMhelix(318-340)|TMhelix(347-369)
tr|C5ADD0|C5ADD0_BURGB	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|HpnI(5-372)|TMhelix(275-297)|TMhelix(302-324)|TMhelix(345-367)
tr|D7E4W1|D7E4W1_NOSA0	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|BcsA(12-262)|TMhelix(284-306)|TMhelix(319-341)|TMhelix(356-378)
tr|D8F5I9|D8F5I9_9DELT	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(4-26)|BcsA(1-388)|TMhelix(293-315)|TMhelix(325-347)|TMhelix(354-376)
tr|E0UC49|E0UC49_CYAP2	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|HpnI(18-374)|TMhelix(282-301)|TMhelix(306-328)|TMhelix(338-357)
tr|E1QS89|E1QS89_VULDI	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|BcsA(1-375)|TMhelix(276-298)|TMhelix(302-321)|TMhelix(342-364)
tr|F4RCF5|F4RCF5_MELLP	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(13-35)|Glyco_tranf_GTA_type(55-305)|TMhelix(318-340)|TMhelix(355-377)|TMhelix(389-411)
tr|G6FMQ2|G6FMQ2_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(4-26)|HpnI(4-377)|TMhelix(278-300)|TMhelix(304-326)|TMhelix(333-355)
tr|G6FS74|G6FS74_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(12-29)|BcsA(12-281)|TMhelix(279-301)|TMhelix(314-336)|TMhelix(356-378)
tr|G8Y0W6|G8Y0W6_PICSO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|Glyco_tranf_GTA_type(53-374)|TMhelix(376-398)|TMhelix(402-424)|TMhelix(459-481)
tr|H2KUL8|H2KUL8_CLOSI	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(45-67)|Glucosylceramide_synthase(168-427)|TMhelix(428-450)|TMhelix(465-487)|TMhelix(500-519)
tr|I4YED0|I4YED0_WALMC	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-29)|Glucosylceramide_synthase(54-306)|TMhelix(308-330)|TMhelix(345-364)|TMhelix(385-407)
tr|J5JFH2|J5JFH2_BEAB2	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(12-34)|Glyco_tranf_GTA_type(51-361)|TMhelix(330-352)|TMhelix(373-394)|TMhelix(404-426)
tr|K7W4L4|K7W4L4_9NOST	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(11-30)|BcsA(4-405)|TMhelix(279-301)|TMhelix(311-333)|TMhelix(354-376)
tr|K8GF38|K8GF38_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|HpnI(78-407)|TMhelix(308-330)|TMhelix(335-357)|TMhelix(364-386)
tr|K9Q6U8|K9Q6U8_9NOSO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(15-32)|BcsA(3-403)|TMhelix(279-301)|TMhelix(314-336)|TMhelix(356-378)
tr|K9Q8D6|K9Q8D6_9NOSO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|BcsA(3-405)|TMhelix(278-300)|TMhelix(315-337)|TMhelix(350-372)
tr|K9QZR9|K9QZR9_NOSS7	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|BcsA(7-403)|TMhelix(280-302)|TMhelix(315-337)|TMhelix(359-381)
tr|K9R122|K9R122_NOSS7	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|BcsA(4-404)|TMhelix(281-303)|TMhelix(310-332)|TMhelix(352-374)
tr|K9RCC4|K9RCC4_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(12-31)|BcsA(3-392)|TMhelix(280-302)|TMhelix(315-337)|TMhelix(358-380)
tr|K9WY52|K9WY52_9NOST	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(11-30)|BcsA(4-405)|TMhelix(279-301)|TMhelix(311-333)|TMhelix(354-376)
tr|K9XC72|K9XC72_9CHRO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(4-26)|BcsA(4-299)|TMhelix(283-305)|TMhelix(310-332)|TMhelix(358-380)
tr|K9ZH55|K9ZH55_ANACC	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|BcsA(4-403)|TMhelix(285-307)|TMhelix(319-341)|TMhelix(361-383)
tr|L0PCK9|L0PCK9_PNEJ8	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|Glucosylceramide_synthase(49-286)|TMhelix(288-310)|TMhelix(322-344)|TMhelix(364-386)
tr|M1E5I0|M1E5I0_9FIRM	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(4-21)|BcsA(2-372)|TMhelix(269-291)|TMhelix(301-318)|TMhelix(330-352)
tr|M5T1D8|M5T1D8_9PLAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(30-52)|Glyco_tranf_GTA_type(75-302)|TMhelix(310-332)|TMhelix(339-361)|TMhelix(391-413)
tr|M5T8K1|M5T8K1_9PLAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(28-50)|BcsA(53-414)|TMhelix(297-319)|TMhelix(329-351)|TMhelix(371-393)
tr|Q10V56|Q10V56_TRIEI	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|HpnI(7-385)|TMhelix(284-306)|TMhelix(311-330)|TMhelix(340-362)
tr|Q1Q081|Q1Q081_KUEST	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|Glucosylceramide_synthase(41-269)|TMhelix(273-295)|TMhelix(302-324)|TMhelix(329-351)
tr|Q5ASC4|Q5ASC4_EMENI	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(91-113)|Glyco_tranf_GTA_type(135-439)|TMhelix(441-463)|TMhelix(483-505)|TMhelix(541-563)
tr|Q6KZV2|Q6KZV2_PICTO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(4-26)|BcsA(41-312)|TMhelix(262-281)|TMhelix(285-307)|TMhelix(314-332)
tr|Q7UL99|Q7UL99_RHOBA	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|BcsA(1-399)|TMhelix(286-308)|TMhelix(318-340)|TMhelix(370-392)
tr|Q8YLF5|Q8YLF5_NOSS1	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(12-34)|BcsA(7-404)|TMhelix(283-305)|TMhelix(312-334)|TMhelix(360-382)
tr|Q8YLF6|Q8YLF6_NOSS1	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|BcsA(2-404)|TMhelix(278-300)|TMhelix(310-332)|TMhelix(353-375)
tr|S0EYI0|S0EYI0_CHTCT	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|HpnI(7-390)|TMhelix(292-311)|TMhelix(318-340)|TMhelix(350-372)
tr|T0LYZ1|T0LYZ1_9EURY	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|BcsA(1-345)|TMhelix(273-292)|TMhelix(296-318)|TMhelix(325-347)
tr|U7PHX3|U7PHX3_SPOS1	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|Glyco_tranf_GTA_type(54-346)|TMhelix(348-370)|TMhelix(390-412)|TMhelix(461-483)
tr|V2USN4|V2USN4_9GAMM	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|Glucosylceramide_synthase(43-273)|TMhelix(275-297)|TMhelix(302-324)|TMhelix(345-362)
tr|W1QAH1|W1QAH1_OGAPD	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(20-42)|Glucosylceramide_synthase(62-348)|TMhelix(350-372)|TMhelix(376-398)|TMhelix(436-458)
tr|W9YFM0|W9YFM0_9EURO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|Glyco_tranf_GTA_type(69-387)|TMhelix(356-378)|TMhelix(423-445)|TMhelix(489-511)
tr|A0A1Y1WJ73|A0A1Y1WJ73_9FUNG	TMhelix|GT-A|TMhelix|TMhelix|PTZ00254	TMhelix(45-67)|Glucosylceramide_synthase(86-319)|TMhelix(354-376)|TMhelix(383-405)|PTZ00254(462-707)
tr|A0A2G5T430|A0A2G5T430_9PELO	TMhelix|GT-A|TMhelix|TMhelix|PKc_like	TMhelix(57-79)|Glucosylceramide_synthase(95-326)|TMhelix(353-375)|TMhelix(382-401)|PKc_like(449-692)
tr|C4JLX5|C4JLX5_UNCRE	TMhelix|GT-A|TMhelix|TMhelix|PEMT	TMhelix(49-71)|Glyco_tranf_GTA_type(98-385)|TMhelix(388-410)|TMhelix(425-447)|PEMT(367-514)
tr|A0A261CFB7|A0A261CFB7_9PELO	TMhelix|GT-A|TMhelix|TMhelix|mito_frataxin	TMhelix(88-110)|Glucosylceramide_synthase(126-357)|TMhelix(382-404)|TMhelix(424-446)|mito_frataxin(477-576)
tr|A0A182FBC7|A0A182FBC7_ANOAL	TMhelix|GT-A|TMhelix|TMhelix|CTNNB1_binding|SOX-TCF_HMG-box	TMhelix(12-34)|Glucosylceramide_synthase(52-281)|TMhelix(290-312)|TMhelix(317-339)|CTNNB1_binding(407-460)|SOX-TCF_HMG-box(801-872)
sp|O18037|CGT1_CAEEL	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(67-89)|Glucosylceramide_synthase(107-338)|TMhelix(363-385)|TMhelix(405-427)
sp|O88693|CEGT_MOUSE	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(51-280)|TMhelix(283-305)|TMhelix(310-329)
sp|Q16739|CEGT_HUMAN	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(51-280)|TMhelix(283-305)|TMhelix(310-329)
sp|Q21054|CGT3_CAEEL	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(77-99)|Glucosylceramide_synthase(115-346)|TMhelix(371-393)|TMhelix(413-435)
sp|Q5BL38|CEGT_XENTR	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(51-280)|TMhelix(315-337)|TMhelix(352-369)
sp|Q9R0E0|CEGT_RAT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(51-280)|TMhelix(283-305)|TMhelix(310-329)
tr|A0A010QXX9|A0A010QXX9_9PEZI	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glyco_tranf_GTA_type(55-358)|TMhelix(411-433)|TMhelix(472-494)
tr|A0A031LNI8|A0A031LNI8_9CREN	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(3-25)|BcsA(3-334)|TMhelix(278-300)|TMhelix(313-335)
tr|A0A066W6U0|A0A066W6U0_9HOMO	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(20-42)|Glucosylceramide_synthase(70-334)|TMhelix(336-358)|TMhelix(368-390)
tr|A0A067P3H7|A0A067P3H7_PLEOS	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(58-314)|TMhelix(343-362)|TMhelix(382-404)
tr|A0A067TZA9|A0A067TZA9_GALM3	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glyco_tranf_GTA_type(53-302)|TMhelix(316-338)|TMhelix(387-409)
tr|A0A069I8E2|A0A069I8E2_9BURK	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(4-26)|HpnI(3-324)|TMhelix(281-303)|TMhelix(307-324)
tr|A0A074TL17|A0A074TL17_9RHOB	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|Glucosylceramide_synthase(42-271)|TMhelix(275-297)|TMhelix(301-323)
tr|A0A085FRV8|A0A085FRV8_9BRAD	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(7-29)|Glucosylceramide_synthase(43-272)|TMhelix(274-296)|TMhelix(303-325)
tr|A0A088A139|A0A088A139_APIME	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(52-281)|TMhelix(282-304)|TMhelix(319-338)
tr|A0A090FE19|A0A090FE19_9RHIZ	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(4-26)|Glucosylceramide_synthase(43-271)|TMhelix(275-297)|TMhelix(302-324)
tr|A0A0C1NHG8|A0A0C1NHG8_9CYAN	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(4-26)|HpnI(7-378)|TMhelix(278-300)|TMhelix(304-326)
tr|A0A0D5VDJ9|A0A0D5VDJ9_9BURK	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(11-33)|HpnI(6-402)|TMhelix(300-322)|TMhelix(332-354)
tr|A0A0D6MIP5|A0A0D6MIP5_9PROT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|HpnI(4-382)|TMhelix(284-306)|TMhelix(311-330)
tr|A0A0D6MTM8|A0A0D6MTM8_ACEAC	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(38-60)|HpnI(37-403)|TMhelix(312-334)|TMhelix(339-356)
tr|A0A0E9MR45|A0A0E9MR45_9SPHN	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(7-29)|HpnI(4-376)|TMhelix(301-323)|TMhelix(336-358)
tr|A0A0F6YIZ2|A0A0F6YIZ2_9DELT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(4-26)|HpnI(2-371)|TMhelix(274-296)|TMhelix(306-325)
tr|A0A0G4JZE7|A0A0G4JZE7_9GAMM	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|Glucosylceramide_synthase(44-273)|TMhelix(277-299)|TMhelix(303-325)
tr|A0A0H3KDT4|A0A0H3KDT4_BURM1	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(11-30)|HpnI(31-385)|TMhelix(282-304)|TMhelix(308-330)
tr|A0A0J1B6D8|A0A0J1B6D8_RHOIS	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|HpnI(27-406)|TMhelix(286-308)|TMhelix(318-340)
tr|A0A0J1FXF9|A0A0J1FXF9_9BURK	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(15-37)|HpnI(16-390)|TMhelix(305-327)|TMhelix(353-375)
tr|A0A0J6SYE3|A0A0J6SYE3_9RHIZ	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(4-26)|Glucosylceramide_synthase(43-271)|TMhelix(273-295)|TMhelix(299-318)
tr|A0A0J7HR22|A0A0J7HR22_9BACT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(13-35)|Glyco_tranf_GTA_type(55-285)|TMhelix(292-314)|TMhelix(324-346)
tr|A0A0M3V4U7|A0A0M3V4U7_9NOSO	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|BcsA(4-405)|TMhelix(279-301)|TMhelix(314-336)
tr|A0A0M4E8T4|A0A0M4E8T4_DROBS	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(52-281)|TMhelix(284-306)|TMhelix(316-338)
tr|A0A0N0JA63|A0A0N0JA63_9RHIZ	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|Glucosylceramide_synthase(42-271)|TMhelix(273-295)|TMhelix(338-360)
tr|A0A0N0JTM0|A0A0N0JTM0_9BRAD	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|Glucosylceramide_synthase(43-272)|TMhelix(276-298)|TMhelix(308-330)
tr|A0A0N1KII0|A0A0N1KII0_9BURK	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(11-33)|HpnI(6-403)|TMhelix(300-322)|TMhelix(332-354)
tr|A0A0P1BAM4|A0A0P1BAM4_9BASI	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(33-55)|Glyco_tranf_GTA_type(91-422)|TMhelix(425-447)|TMhelix(516-538)
tr|A0A0P1BYD8|A0A0P1BYD8_9CYAN	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(4-26)|BcsA(4-404)|TMhelix(279-301)|TMhelix(311-333)
tr|A0A0P4V3L1|A0A0P4V3L1_9CYAN	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(15-37)|HpnI(22-394)|TMhelix(296-318)|TMhelix(323-344)
tr|A0A0Q3LW53|A0A0Q3LW53_9BRAD	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|Glyco_tranf_GTA_type(43-272)|TMhelix(274-296)|TMhelix(311-333)
tr|A0A0Q4XCD3|A0A0Q4XCD3_9RHIZ	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(48-276)|TMhelix(278-300)|TMhelix(305-327)
tr|A0A0Q4XE69|A0A0Q4XE69_9RHIZ	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(48-276)|TMhelix(280-302)|TMhelix(306-328)
tr|A0A0Q4XHW1|A0A0Q4XHW1_9RHIZ	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(15-37)|HpnI(13-391)|TMhelix(294-316)|TMhelix(320-337)
tr|A0A0Q5CVS6|A0A0Q5CVS6_9RHIZ	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(4-23)|Glucosylceramide_synthase(44-272)|TMhelix(276-298)|TMhelix(308-325)
tr|A0A0Q5P765|A0A0Q5P765_9BURK	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(11-30)|HpnI(11-396)|TMhelix(285-307)|TMhelix(317-339)
tr|A0A0Q5ZP81|A0A0Q5ZP81_9RHIZ	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(53-281)|TMhelix(286-308)|TMhelix(313-332)
tr|A0A0Q6BNF6|A0A0Q6BNF6_9RHIZ	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(50-278)|TMhelix(280-302)|TMhelix(312-334)
tr|A0A0Q6KLN9|A0A0Q6KLN9_9BRAD	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(4-26)|Glucosylceramide_synthase(43-272)|TMhelix(276-298)|TMhelix(340-362)
tr|A0A0Q7WUQ0|A0A0Q7WUQ0_9RHIZ	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|Glucosylceramide_synthase(43-272)|TMhelix(274-296)|TMhelix(300-319)
tr|A0A0Q9JG83|A0A0Q9JG83_9BRAD	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(4-26)|Glyco_tranf_GTA_type(43-272)|TMhelix(274-296)|TMhelix(311-333)
tr|A0A0S8GJU5|A0A0S8GJU5_9BACT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-24)|BcsA(1-393)|TMhelix(288-310)|TMhelix(357-379)
tr|A0A0U5MP79|A0A0U5MP79_9PROT	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-29)|HpnI(6-379)|TMhelix(293-315)|TMhelix(341-363)
tr|A0A0V7ZIN9|A0A0V7ZIN9_9CYAN	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(4-26)|BcsA(4-405)|TMhelix(282-304)|TMhelix(311-333)
tr|A0A0W0FGG4|A0A0W0FGG4_9AGAR	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(57-304)|TMhelix(352-374)|TMhelix(389-411)
tr|A0A101KWQ3|A0A101KWQ3_RHILI	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(4-26)|Glucosylceramide_synthase(43-272)|TMhelix(276-298)|TMhelix(303-325)
tr|A0A103EFS3|A0A103EFS3_9BURK	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|HpnI(10-384)|TMhelix(281-303)|TMhelix(307-329)
tr|A0A108CJZ2|A0A108CJZ2_9BURK	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|HpnI(7-386)|TMhelix(277-299)|TMhelix(309-331)
tr|A0A109FL70|A0A109FL70_9BASI	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(44-66)|Glucosylceramide_synthase(95-349)|TMhelix(363-385)|TMhelix(395-417)
tr|A0A142YTQ8|A0A142YTQ8_9BURK	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|HpnI(37-386)|TMhelix(288-310)|TMhelix(320-342)
tr|A0A151GX55|A0A151GX55_9HYPO	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(7-29)|Glyco_tranf_GTA_type(51-363)|TMhelix(367-389)|TMhelix(409-428)
tr|A0A151I3S8|A0A151I3S8_9HYME	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(52-281)|TMhelix(282-304)|TMhelix(319-338)
