tr|A0A0D2VFJ7|A0A0D2VFJ7_CAPO3	VI_ClpV1|GT-A|GT-A	VI_ClpV1(41-171)|Glyco_tranf_GTA_type(167-496)|Glyco_transf_49(556-789)
tr|A0A226NYS4|A0A226NYS4_COLVI	GT-A|GT-A	GT8_LARGE_C(62-407)|Glyco_transf_49(463-732)
tr|A0A261CSP4|A0A261CSP4_9PELO	GT-A|GT-A	Glyco_tranf_GTA_type(46-315)|Glyco_transf_49(366-613)
tr|A0A2D0T5Q8|A0A2D0T5Q8_ICTPU	GT-A|GT-A	GT8_LARGE_C(129-408)|Glyco_transf_49(464-733)
tr|A0A2D0T6I3|A0A2D0T6I3_ICTPU	GT-A|GT-A	GT8_LARGE_C(139-418)|Glyco_transf_49(474-743)
tr|A0A2G8K119|A0A2G8K119_STIJA	GT-A|GT-A	GT8_LARGE_C(110-389)|Glyco_transf_49(441-706)
tr|A0A2G8K5E7|A0A2G8K5E7_STIJA	GT-A|GT-A	GT8_LARGE_C(84-363)|Glyco_transf_49(415-684)
tr|A0A2J7PG28|A0A2J7PG28_9NEOP	GT-A|GT-A	GT8_LARGE_C(87-366)|Glyco_transf_49(419-688)
tr|A0A2J8LHH1|A0A2J8LHH1_PANTR	GT-A|GT-A	GT8_LARGE_C(97-376)|Glyco_transf_49(431-664)
tr|A0A2K5C7A4|A0A2K5C7A4_AOTNA	GT-A|GT-A	GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|A0A2K5CX75|A0A2K5CX75_AOTNA	GT-A|GT-A	GT8_LARGE_C(98-377)|Glyco_transf_49(432-665)
tr|A0A2K5HYS7|A0A2K5HYS7_COLAP	GT-A|GT-A	GT8_LARGE_C(96-375)|Glyco_transf_49(430-663)
tr|A0A2K5M2L4|A0A2K5M2L4_CERAT	GT-A|GT-A	GT8_LARGE_C(97-376)|Glyco_transf_49(431-664)
tr|A0A2K5PFQ5|A0A2K5PFQ5_CEBCA	GT-A|GT-A	GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|A0A2K5PZK0|A0A2K5PZK0_CEBCA	GT-A|GT-A	GT8_LARGE_C(97-376)|Glyco_transf_49(431-664)
tr|A0A2K5YAP5|A0A2K5YAP5_MANLE	GT-A|GT-A	GT8_LARGE_C(2-281)|Glyco_transf_49(336-569)
tr|A0A2K6DIE4|A0A2K6DIE4_MACNE	GT-A|GT-A	GT8_LARGE_C(66-345)|Glyco_transf_49(400-633)
tr|A0A2K6EF84|A0A2K6EF84_PROCO	GT-A|GT-A	Glyco_tranf_GTA_type(144-356)|Glyco_transf_49(409-642)
tr|A0A2K6MVA7|A0A2K6MVA7_RHIBE	GT-A|GT-A	GT8_LARGE_C(97-376)|Glyco_transf_49(431-664)
tr|A0A2K6P6V4|A0A2K6P6V4_RHIRO	GT-A|GT-A	GT8_LARGE_C(66-345)|Glyco_transf_49(400-633)
tr|A0A2K6T720|A0A2K6T720_SAIBB	GT-A|GT-A	GT8_LARGE_C(12-291)|Glyco_transf_49(346-579)
tr|A0A2K6TC39|A0A2K6TC39_SAIBB	GT-A|GT-A	GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|A0A2P4SQ15|A0A2P4SQ15_BAMTH	GT-A|GT-A	GT8_LARGE_C(135-404)|Glyco_transf_49(460-729)
tr|A0A2R9BTJ5|A0A2R9BTJ5_PANPA	GT-A|GT-A	Glyco_tranf_GTA_type(95-335)|Glyco_transf_49(438-671)
tr|A8XR72|A8XR72_CAEBR	GT-A|GT-A	Glyco_tranf_GTA_type(46-320)|Glyco_transf_49(366-594)
tr|A9UQJ7|A9UQJ7_MONBE	GT-A|GT-A	Glyco_tranf_GTA_type(64-317)|Glyco_transf_49(402-634)
tr|B3SBI1|B3SBI1_TRIAD	GT-A|GT-A	Glyco_tranf_GTA_type(1-280)|Glyco_transf_49(342-609)
tr|B7P5I7|B7P5I7_IXOSC	GT-A|GT-A	Glyco_tranf_GTA_type(12-295)|Glyco_transf_49(355-624)
tr|C3Z1Z4|C3Z1Z4_BRAFL	GT-A|GT-A	GT8_LARGE_C(63-342)|Glyco_transf_49(395-665)
tr|E0VGD3|E0VGD3_PEDHC	GT-A|GT-A	GT8_LARGE_C(68-347)|Glyco_transf_49(400-669)
tr|E1BDI0|E1BDI0_BOVIN	GT-A|GT-A	Glyco_tranf_GTA_type(1-195)|Glyco_transf_49(251-520)
tr|E1BHU3|E1BHU3_BOVIN	GT-A|GT-A	GT8_LARGE_C(104-383)|Glyco_transf_49(438-671)
tr|E2AP21|E2AP21_CAMFO	GT-A|GT-A	Glyco_tranf_GTA_type(1-274)|Glyco_transf_49(320-590)
tr|E5SVB5|E5SVB5_TRISP	GT-A|GT-A	Glyco_tranf_GTA_type(44-320)|Glyco_transf_49(378-643)
tr|E9G0C7|E9G0C7_DAPPU	GT-A|GT-A	GT8_LARGE_C(100-379)|Glyco_transf_49(430-662)
tr|E9IP93|E9IP93_SOLIN	GT-A|GT-A	GT8_LARGE_C(54-331)|Glyco_transf_49(377-647)
tr|F1NX24|F1NX24_CHICK	GT-A|GT-A	GT8_LARGE_C(121-400)|Glyco_transf_49(456-725)
tr|F1PQ67|F1PQ67_CANLF	GT-A|GT-A	GT8_LARGE_C(100-379)|Glyco_transf_49(434-667)
tr|F1SI95|F1SI95_PIG	GT-A|GT-A	GT8_LARGE_C(75-354)|Glyco_transf_49(409-643)
tr|F2U6S6|F2U6S6_SALR5	GT-A|GT-A	Glyco_tranf_GTA_type(83-386)|Glyco_transf_49(580-890)
tr|F6RZ16|F6RZ16_CALJA	GT-A|GT-A	GT8_LARGE_C(97-376)|Glyco_transf_49(431-664)
tr|F6U7P4|F6U7P4_XENTR	GT-A|GT-A	Glyco_tranf_GTA_type(1-260)|Glyco_transf_49(316-585)
tr|F6W6D0|F6W6D0_MONDO	GT-A|GT-A	GT8_LARGE_C(140-393)|Glyco_transf_49(449-595)
tr|F6WBG2|F6WBG2_CIOIN	GT-A|GT-A	Glyco_tranf_GTA_type(8-289)|Glyco_transf_49(339-610)
tr|F6X5Y0|F6X5Y0_ORNAN	GT-A|GT-A	Glyco_tranf_GTA_type(5-190)|Glyco_transf_49(246-515)
tr|F7BXD5|F7BXD5_CALJA	GT-A|GT-A	GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|F7CXD7|F7CXD7_HORSE	GT-A|GT-A	GT8_LARGE_C(18-299)|Glyco_transf_49(354-587)
tr|F7H9D5|F7H9D5_MACMU	GT-A|GT-A	GT8_LARGE_C(97-376)|Glyco_transf_49(431-664)
tr|G0MHK6|G0MHK6_CAEBE	GT-A|GT-A	Glyco_tranf_GTA_type(46-321)|Glyco_transf_49(368-633)
tr|G1L1A8|G1L1A8_AILME	GT-A|GT-A	GT8_LARGE_C(95-374)|Glyco_transf_49(429-662)
tr|G1P039|G1P039_MYOLU	GT-A|GT-A	GT8_LARGE_C(103-382)|Glyco_transf_49(438-707)
tr|G1PQR2|G1PQR2_MYOLU	GT-A|GT-A	GT8_LARGE_C(1-254)|Glyco_transf_49(309-542)
tr|G1RUM8|G1RUM8_NOMLE	GT-A|GT-A	GT8_LARGE_C(98-377)|Glyco_transf_49(432-665)
tr|G1SFV9|G1SFV9_RABIT	GT-A|GT-A	GT8_LARGE_C(73-352)|Glyco_transf_49(407-640)
tr|G3GYI0|G3GYI0_CRIGR	GT-A|GT-A	GT8_LARGE_C(68-349)|Glyco_transf_49(404-637)
tr|G3Q6A0|G3Q6A0_GASAC	GT-A|GT-A	GT8_LARGE_C(3-282)|Glyco_transf_49(338-607)
tr|G3QIP8|G3QIP8_GORGO	GT-A|GT-A	GT8_LARGE_C(97-376)|Glyco_transf_49(431-664)
tr|G3TP39|G3TP39_LOXAF	GT-A|GT-A	GT8_LARGE_C(67-348)|Glyco_transf_49(402-635)
tr|G3USW8|G3USW8_MELGA	GT-A|GT-A	GT8_LARGE_C(121-400)|Glyco_transf_49(460-725)
tr|G5ATB1|G5ATB1_HETGA	GT-A|GT-A	GT8_LARGE_C(8-287)|Glyco_transf_49(342-575)
tr|G5BPE6|G5BPE6_HETGA	GT-A|GT-A	GT8_LARGE_C(138-417)|Glyco_transf_49(476-745)
tr|G7PQB8|G7PQB8_MACFA	GT-A|GT-A	GT8_LARGE_C(13-302)|Glyco_transf_49(357-590)
tr|G7YS89|G7YS89_CLOSI	GT-A|GT-A	Glyco_tranf_GTA_type(76-413)|Glyco_transf_49(475-713)
tr|H0VRT1|H0VRT1_CAVPO	GT-A|GT-A	GT8_LARGE_C(138-417)|Glyco_transf_49(476-745)
tr|H0W2U8|H0W2U8_CAVPO	GT-A|GT-A	GT8_LARGE_C(95-374)|Glyco_transf_49(429-662)
tr|H0X777|H0X777_OTOGA	GT-A|GT-A	GT8_LARGE_C(98-377)|Glyco_transf_49(430-663)
tr|H2L2Y0|H2L2Y0_ORYLA	GT-A|GT-A	GT8_LARGE_C(132-411)|Glyco_transf_49(465-680)
tr|H2M1X7|H2M1X7_ORYLA	GT-A|GT-A	GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|H2SEV7|H2SEV7_TAKRU	GT-A|GT-A	GT8_LARGE_C(132-411)|Glyco_transf_49(465-734)
tr|H2XRM1|H2XRM1_CIOIN	GT-A|GT-A	Glyco_tranf_GTA_type(10-286)|Glyco_transf_49(344-576)
tr|H3CA53|H3CA53_TETNG	GT-A|GT-A	Glyco_tranf_GTA_type(1-214)|Glyco_transf_49(268-537)
tr|H3EV19|H3EV19_PRIPA	GT-A|GT-A	Glyco_tranf_GTA_type(21-344)|Glyco_transf_49(395-653)
tr|H3FIY9|H3FIY9_PRIPA	GT-A|GT-A	Glyco_tranf_GTA_type(24-251)|Glyco_transf_49(299-361)
tr|H9JIQ2|H9JIQ2_BOMMO	GT-A|GT-A	Glyco_tranf_GTA_type(1-198)|Glyco_transf_49(240-317)
tr|I3K4K5|I3K4K5_ORENI	GT-A|GT-A	GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|I3KEU3|I3KEU3_ORENI	GT-A|GT-A	GT8_LARGE_C(132-411)|Glyco_transf_49(467-736)
tr|I3MHJ1|I3MHJ1_ICTTR	GT-A|GT-A	GT8_LARGE_C(98-377)|Glyco_transf_49(432-665)
tr|J9JR16|J9JR16_ACYPI	GT-A|GT-A	GT8_LARGE_C(102-381)|Glyco_transf_49(431-700)
tr|K9J7L1|K9J7L1_XENTR	GT-A|GT-A	GT8_LARGE_C(132-411)|Glyco_transf_49(465-734)
tr|L5KG29|L5KG29_PTEAL	GT-A|GT-A	GT8_LARGE_C(103-568)|Glyco_transf_49(624-876)
tr|L5KXE6|L5KXE6_PTEAL	GT-A|GT-A	Glyco_tranf_GTA_type(83-329)|Glyco_transf_49(384-617)
tr|L5LD46|L5LD46_MYODS	GT-A|GT-A	GT8_LARGE_C(11-290)|Glyco_transf_49(345-578)
tr|L5LIU7|L5LIU7_MYODS	GT-A|GT-A	GT8_LARGE_C(112-391)|Glyco_transf_49(447-716)
tr|M3WRW4|M3WRW4_FELCA	GT-A|GT-A	GT8_LARGE_C(75-354)|Glyco_transf_49(409-642)
tr|M3Y2R4|M3Y2R4_MUSPF	GT-A|GT-A	GT8_LARGE_C(71-350)|Glyco_transf_49(405-638)
tr|M3ZES1|M3ZES1_XIPMA	GT-A|GT-A	GT8_LARGE_C(98-376)|Glyco_transf_49(432-701)
tr|R1FK38|R1FK38_EMIHU	GT-A|GT-A	Glyco_tranf_GTA_type(1-223)|Galactosyl_T(377-635)
tr|R1FSR2|R1FSR2_EMIHU	GT-A|GT-A	Glyco_tranf_GTA_type(1-223)|Galactosyl_T(377-635)
tr|T1HYF4|T1HYF4_RHOPR	GT-A|GT-A	GT8_LARGE_C(69-348)|Glyco_transf_49(401-671)
tr|T1JEW5|T1JEW5_STRMM	GT-A|GT-A	GT8_LARGE_C(60-339)|Glyco_transf_49(392-661)
tr|U3I534|U3I534_ANAPL	GT-A|GT-A	GT8_LARGE_C(119-398)|Glyco_transf_49(454-723)
tr|U3IMY6|U3IMY6_ANAPL	GT-A|GT-A	GT8_LARGE_C(78-357)|Glyco_transf_49(413-682)
tr|U3KFP3|U3KFP3_FICAL	GT-A|GT-A	GT8_LARGE_C(100-379)|Glyco_transf_49(435-704)
tr|W5L4J8|W5L4J8_ASTMX	GT-A|GT-A	GT8_LARGE_C(132-411)|Glyco_transf_49(467-736)
tr|W5LDD5|W5LDD5_ASTMX	GT-A|GT-A	GT8_LARGE_C(140-405)|Glyco_transf_49(414-687)
tr|W5NGU6|W5NGU6_LEPOC	GT-A|GT-A	GT8_LARGE_C(137-416)|Glyco_transf_49(472-741)
tr|W5NXY5|W5NXY5_SHEEP	GT-A|GT-A	GT8_LARGE_C(76-355)|Glyco_transf_49(410-625)
tr|W5QA73|W5QA73_SHEEP	GT-A|GT-A	GT8_LARGE_C(35-314)|Glyco_transf_49(370-636)
tr|W6TZB4|W6TZB4_ECHGR	GT-A|GT-A	Glyco_tranf_GTA_type(9-273)|Glyco_transf_49(384-428)
tr|A0A068YA28|A0A068YA28_ECHMU	GT-A	Glyco_tranf_GTA_type(102-381)
tr|A0A087ZP19|A0A087ZP19_APIME	GT-A	Glyco_tranf_GTA_type(84-320)
tr|A0A0L0FI49|A0A0L0FI49_9EUKA	GT-A	Glyco_tranf_GTA_type(35-286)
tr|A0A137QKF1|A0A137QKF1_9AGAR	GT-A	Glyco_tranf_GTA_type(13-167)
tr|A0A151HZD0|A0A151HZD0_9HYME	GT-A	Glyco_tranf_GTA_type(89-326)
tr|A0A151IE19|A0A151IE19_9HYME	GT-A	Glyco_tranf_GTA_type(92-329)
tr|A0A151JZC0|A0A151JZC0_9HYME	GT-A	Glyco_tranf_GTA_type(92-358)
tr|A0A151WI34|A0A151WI34_9HYME	GT-A	Glyco_tranf_GTA_type(92-358)
tr|A0A158NJI1|A0A158NJI1_ATTCE	GT-A	Glyco_tranf_GTA_type(89-326)
tr|A0A165CUB8|A0A165CUB8_9APHY	GT-A	Glyco_tranf_GTA_type(137-258)
tr|A0A165J6Y2|A0A165J6Y2_9BASI	GT-A	Glyco_tranf_GTA_type(173-396)
tr|A0A166CJZ2|A0A166CJZ2_9HOMO	GT-A	Glyco_tranf_GTA_type(2-252)
tr|A0A166SYX3|A0A166SYX3_9HOMO	GT-A	Glyco_tranf_GTA_type(12-251)
tr|A0A167NZL4|A0A167NZL4_9BASI	GT-A	Glyco_tranf_GTA_type(164-387)
tr|A0A182FI52|A0A182FI52_ANOAL	GT-A	Glyco_tranf_GTA_type(127-379)
tr|A0A182GNQ4|A0A182GNQ4_AEDAL	GT-A	Glyco_tranf_GTA_type(113-364)
tr|A0A182I3L9|A0A182I3L9_ANOAR	GT-A	Glyco_tranf_GTA_type(127-386)
tr|A0A182JPB2|A0A182JPB2_9DIPT	GT-A	Glyco_tranf_GTA_type(120-379)
tr|A0A182KRQ5|A0A182KRQ5_9DIPT	GT-A	Glyco_tranf_GTA_type(118-377)
tr|A0A182M6G7|A0A182M6G7_9DIPT	GT-A	Glyco_tranf_GTA_type(116-366)
tr|A0A182NHI8|A0A182NHI8_9DIPT	GT-A	Glyco_tranf_GTA_type(125-382)
tr|A0A182P3M5|A0A182P3M5_9DIPT	GT-A	Glyco_tranf_GTA_type(123-386)
tr|A0A182QIM4|A0A182QIM4_9DIPT	GT-A	Glyco_tranf_GTA_type(129-382)
tr|A0A182RHT6|A0A182RHT6_ANOFN	GT-A	Glyco_tranf_GTA_type(116-376)
tr|A0A182S9V1|A0A182S9V1_9DIPT	GT-A	Glyco_tranf_GTA_type(63-323)
tr|A0A182TY11|A0A182TY11_9DIPT	GT-A	Glyco_tranf_GTA_type(125-384)
tr|A0A182VF05|A0A182VF05_ANOME	GT-A	Glyco_tranf_GTA_type(122-381)
tr|A0A182WIK4|A0A182WIK4_9DIPT	GT-A	Glyco_tranf_GTA_type(119-379)
tr|A0A182X3F0|A0A182X3F0_ANOQN	GT-A	Glyco_tranf_GTA_type(127-386)
tr|A0A182XZ67|A0A182XZ67_ANOST	GT-A	Glyco_tranf_GTA_type(120-381)
tr|A0A195DL11|A0A195DL11_9HYME	GT-A	Glyco_tranf_GTA_type(92-329)
tr|A0A1B0FDF5|A0A1B0FDF5_GLOMM	GT-A	Glyco_tranf_GTA_type(131-399)
tr|A0A1V9WY11|A0A1V9WY11_9ACAR	GT-A	Glyco_tranf_GTA_type(91-351)
tr|A0A1V9XPV5|A0A1V9XPV5_9ACAR	GT-A	Glyco_tranf_GTA_type(7-227)
tr|A0A1W4WQI1|A0A1W4WQI1_AGRPL	GT-A	Glyco_tranf_GTA_type(80-352)
tr|A0A1Y3AVH5|A0A1Y3AVH5_EURMA	GT-A	Glyco_tranf_GTA_type(12-265)
tr|A0A226N8U6|A0A226N8U6_CALSU	GT-A	Glyco_tranf_GTA_type(86-350)
tr|A0A2B4S4X3|A0A2B4S4X3_STYPI	GT-A	Glyco_tranf_GTA_type(249-478)
tr|A0A2G8JWJ9|A0A2G8JWJ9_STIJA	GT-A	Glyco_tranf_GTA_type(119-240)
tr|A0A2J7RA49|A0A2J7RA49_9NEOP	GT-A	Glyco_tranf_GTA_type(66-263)
tr|A7SFL0|A7SFL0_NEMVE	GT-A	Glyco_tranf_GTA_type(18-267)
tr|B0VZE6|B0VZE6_CULQU	GT-A	Glyco_tranf_GTA_type(122-376)
tr|B4I8Z6|B4I8Z6_DROSE	GT-A	Glyco_tranf_GTA_type(131-381)
tr|B4MQT1|B4MQT1_DROWI	GT-A	Glyco_tranf_GTA_type(144-405)
tr|B8PIY3|B8PIY3_POSPM	GT-A	Glyco_tranf_GTA_type(2-107)
tr|E2AN34|E2AN34_CAMFO	GT-A	Glyco_tranf_GTA_type(97-334)
tr|E2RMK9|E2RMK9_CANLF	GT-A	Glyco_tranf_GTA_type(32-189)
tr|E9GB85|E9GB85_DAPPU	GT-A	Glyco_tranf_GTA_type(15-240)
tr|F2TVA1|F2TVA1_SALR5	GT-A	Glyco_tranf_GTA_type(149-418)
tr|F4X489|F4X489_ACREC	GT-A	Glyco_tranf_GTA_type(92-275)
tr|G4VS10|G4VS10_SCHMA	GT-A	Glyco_tranf_GTA_type(9-198)
tr|G5ALE1|G5ALE1_HETGA	GT-A	Glyco_tranf_GTA_type(23-273)
tr|G7Y2L9|G7Y2L9_CLOSI	GT-A	Glyco_tranf_GTA_type(63-246)
tr|G7Y9Z0|G7Y9Z0_CLOSI	GT-A	Glyco_tranf_GTA_type(3-195)
tr|G7YE81|G7YE81_CLOSI	GT-A	Glyco_tranf_GTA_type(66-364)
tr|G7YGP9|G7YGP9_CLOSI	GT-A	Glyco_tranf_GTA_type(39-231)
tr|G7YPL6|G7YPL6_CLOSI	GT-A	Glyco_tranf_GTA_type(113-306)
tr|H3E7U6|H3E7U6_PRIPA	GT-A	Glyco_tranf_GTA_type(7-211)
tr|H3E7U7|H3E7U7_PRIPA	GT-A	Glyco_tranf_GTA_type(38-311)
tr|H3E8F7|H3E8F7_PRIPA	GT-A	Glyco_tranf_GTA_type(1-147)
tr|H3EV27|H3EV27_PRIPA	GT-A	Glyco_tranf_GTA_type(97-356)
tr|H3FIY7|H3FIY7_PRIPA	GT-A	Glyco_tranf_GTA_type(53-273)
tr|I0YUM2|I0YUM2_COCSC	GT-A	Glyco_tranf_GTA_type(44-272)
tr|J9BC22|J9BC22_WUCBA	GT-A	Glyco_tranf_GTA_type(67-344)
tr|J9K340|J9K340_ACYPI	GT-A	Glyco_tranf_GTA_type(168-307)
tr|K5WMB4|K5WMB4_PHACS	GT-A	Glyco_tranf_GTA_type(127-346)
tr|K7IMP6|K7IMP6_NASVI	GT-A	Glyco_tranf_GTA_type(98-335)
tr|Q16WK8|Q16WK8_AEDAE	GT-A	Glyco_tranf_GTA_type(116-367)
tr|Q17KT8|Q17KT8_AEDAE	GT-A	Glyco_tranf_GTA_type(131-382)
tr|Q7QJP4|Q7QJP4_ANOGA	GT-A	Glyco_tranf_GTA_type(121-380)
tr|W5JWF1|W5JWF1_ANODA	GT-A	Glyco_tranf_GTA_type(124-376)
tr|W5LD52|W5LD52_ASTMX	GT-A	GT8_LARGE_C(1-266)
tr|A0A1V4KER1|A0A1V4KER1_PATFA	bZIP|GT-A|GT-A	bZIP(47-83)|GT8_LARGE_C(121-400)|Glyco_transf_49(456-688)
tr|A0A218VA38|A0A218VA38_9PASE	bZIP|GT-A|GT-A	bZIP(47-83)|GT8_LARGE_C(121-400)|Glyco_transf_49(456-725)
tr|A0A2I4CAY3|A0A2I4CAY3_9TELE	bZIP|GT-A|GT-A	bZIP(61-83)|GT8_LARGE_C(137-416)|Glyco_transf_49(472-741)
tr|G1NJF6|G1NJF6_MELGA	bZIP|GT-A|GT-A	bZIP(28-57)|GT8_LARGE_C(106-385)|Glyco_transf_49(441-710)
tr|H0ZKB2|H0ZKB2_TAEGU	bZIP|GT-A|GT-A	bZIP(47-83)|GT8_LARGE_C(121-400)|Glyco_transf_49(456-725)
tr|H2TVB2|H2TVB2_TAKRU	bZIP|GT-A|GT-A	bZIP(59-87)|GT8_LARGE_C(137-416)|Glyco_transf_49(472-741)
tr|H3CP54|H3CP54_TETNG	bZIP|GT-A|GT-A	bZIP(61-87)|GT8_LARGE_C(137-416)|Glyco_transf_49(472-741)
tr|K7FUI6|K7FUI6_PELSI	bZIP|GT-A|GT-A	bZIP(56-89)|GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|U3JUQ3|U3JUQ3_FICAL	bZIP|GT-A|GT-A	bZIP(53-89)|GT8_LARGE_C(127-406)|Glyco_transf_49(462-731)
