tr|A0A2P6TT09|A0A2P6TT09_CHLSO	WD40|WD40|GH43_62_32_68_117_130|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	WD40(14-197)|WD40(8-418)|GH43_62_32_68_117_130(771-941)|GH43_62_32_68_117_130(1156-1349)|TMhelix(1435-1452)|TMhelix(1542-1564)|Glyco_transf_64(1581-1822)
tr|A0A1B0AUV9|A0A1B0AUV9_9MUSC	TMhelix|Smc|Exotosin|GT-A	TMhelix(112-129)|Smc(131-240)|Exostosin(283-615)|Glyco_transf_64(778-1019)
tr|A0A1S3H4Q0|A0A1S3H4Q0_LINUN	TMhelix|Smc|Exotosin|GT-A	TMhelix(20-42)|Smc(74-149)|Exostosin(222-531)|Glyco_transf_64(689-926)
tr|A7SS73|A7SS73_NEMVE	TMhelix|Smc|Exotosin|GT-A	TMhelix(12-34)|Smc(32-142)|Exostosin(192-471)|Glyco_transf_64(625-862)
tr|C3YMV1|C3YMV1_BRAFL	TMhelix|Smc|Exotosin|GT-A	TMhelix(21-43)|Smc(70-147)|Exostosin(188-498)|Glyco_transf_64(660-898)
tr|D6WLW9|D6WLW9_TRICA	TMhelix|Smc|Exotosin|GT-A	TMhelix(20-42)|Smc(78-152)|Exostosin(191-521)|Glyco_transf_64(682-920)
tr|Q6GNS9|Q6GNS9_XENLA	TMhelix|Smc|Exotosin|GT-A	TMhelix(29-51)|Smc(86-171)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|T1I9Q2|T1I9Q2_RHOPR	TMhelix|Smc|Exotosin|GT-A	TMhelix(13-32)|Smc(32-156)|Exostosin(182-480)|Glyco_transf_64(643-880)
tr|E0VWR0|E0VWR0_PEDHC	TMhelix|serS|Exotosin|GT-A	TMhelix(26-45)|serS(82-204)|Exostosin(195-501)|Glyco_transf_64(663-889)
tr|A0A1S3MBM5|A0A1S3MBM5_SALSA	TMhelix|RILP-like|Exotosin|GT-A	TMhelix(23-45)|RILP-like(80-144)|Exostosin(184-498)|Glyco_transf_64(661-898)
tr|A0A1S3SAU4|A0A1S3SAU4_SALSA	TMhelix|RILP-like|Exotosin|GT-A	TMhelix(21-43)|RILP-like(80-144)|Exostosin(184-498)|Glyco_transf_64(661-898)
tr|A0A2D0Q1C5|A0A2D0Q1C5_ICTPU	TMhelix|RILP-like|Exotosin|GT-A	TMhelix(22-44)|RILP-like(79-143)|Exostosin(183-494)|Glyco_transf_64(657-894)
tr|A0A2I4C625|A0A2I4C625_9TELE	TMhelix|RILP-like|Exotosin|GT-A	TMhelix(22-44)|RILP-like(79-143)|Exostosin(183-495)|Glyco_transf_64(658-895)
tr|G3P0I7|G3P0I7_GASAC	TMhelix|RILP-like|Exotosin|GT-A	TMhelix(22-44)|RILP-like(79-143)|Exostosin(183-496)|Glyco_transf_64(659-896)
tr|H2M7M6|H2M7M6_ORYLA	TMhelix|RILP-like|Exotosin|GT-A	TMhelix(27-49)|RILP-like(84-148)|Exostosin(188-501)|Glyco_transf_64(664-901)
tr|H2SCR5|H2SCR5_TAKRU	TMhelix|RILP-like|Exotosin|GT-A	TMhelix(29-51)|RILP-like(86-150)|Exostosin(190-503)|Glyco_transf_64(666-903)
tr|H3D3V9|H3D3V9_TETNG	TMhelix|RILP-like|Exotosin|GT-A	TMhelix(29-51)|RILP-like(86-150)|Exostosin(190-499)|Glyco_transf_64(662-899)
tr|I3JEX5|I3JEX5_ORENI	TMhelix|RILP-like|Exotosin|GT-A	TMhelix(22-44)|RILP-like(79-143)|Exostosin(183-497)|Glyco_transf_64(660-897)
tr|M4ARG0|M4ARG0_XIPMA	TMhelix|RILP-like|Exotosin|GT-A	TMhelix(23-45)|RILP-like(80-144)|Exostosin(184-496)|Glyco_transf_64(659-803)
tr|Q5U7D2|Q5U7D2_DANRE	TMhelix|RILP-like|Exotosin|GT-A	TMhelix(22-44)|RILP-like(79-143)|Exostosin(183-498)|Glyco_transf_64(661-898)
tr|T1KR15|T1KR15_TETUR	TMhelix|RILP-like|Exotosin|GT-A	TMhelix(29-48)|RILP-like(77-167)|Exostosin(210-483)|Glyco_transf_64(652-889)
tr|W5LH85|W5LH85_ASTMX	TMhelix|RILP-like|Exotosin|GT-A	TMhelix(27-49)|RILP-like(84-148)|Exostosin(188-503)|Glyco_transf_64(666-903)
tr|B4HPB9|B4HPB9_DROSE	TMhelix|PRK11091|Exotosin|GT-A	TMhelix(54-76)|PRK11091(116-192)|Exostosin(224-551)|Glyco_transf_64(714-953)
tr|A0A1B0CIE1|A0A1B0CIE1_LUTLO	TMhelix|Myosin_tail_1|Exotosin|GT-A	TMhelix(35-57)|Myosin_tail_1(58-165)|Exostosin(204-530)|Glyco_transf_64(692-930)
tr|A0A1B0ETL9|A0A1B0ETL9_LUTLO	TMhelix|Myosin_tail_1|Exotosin|GT-A	TMhelix(35-57)|Myosin_tail_1(58-165)|Exostosin(204-530)|Glyco_transf_64(686-924)
tr|A0A195ETX0|A0A195ETX0_9HYME	TMhelix|MscS_porin|Exotosin|GT-A	TMhelix(100-122)|MscS_porin(153-225)|Exostosin(269-598)|Glyco_transf_64(760-998)
tr|A0A182NRW8|A0A182NRW8_9DIPT	TMhelix|Mplasa_alph_rch|SlyX|Exotosin|GT-A	TMhelix(29-51)|Mplasa_alph_rch(49-141)|SlyX(123-175)|Exostosin(201-550)|Glyco_transf_64(711-949)
tr|A0A182PSL7|A0A182PSL7_9DIPT	TMhelix|Mplasa_alph_rch|serS|Exotosin|GT-A	TMhelix(30-52)|Mplasa_alph_rch(50-142)|serS(102-186)|Exostosin(202-539)|Glyco_transf_64(700-938)
tr|A0A182MW04|A0A182MW04_9DIPT	TMhelix|Mplasa_alph_rch|MscS_porin|Exotosin|GT-A	TMhelix(29-51)|Mplasa_alph_rch(49-141)|MscS_porin(106-187)|Exostosin(201-544)|Glyco_transf_64(705-943)
tr|A0A182HLK6|A0A182HLK6_ANOAR	TMhelix|Mplasa_alph_rch|Exotosin|GT-A	TMhelix(30-52)|Mplasa_alph_rch(50-142)|Exostosin(202-537)|Glyco_transf_64(698-936)
tr|A0A182JZH5|A0A182JZH5_9DIPT	TMhelix|Mplasa_alph_rch|Exotosin|GT-A	TMhelix(30-52)|Mplasa_alph_rch(50-142)|Exostosin(202-539)|Glyco_transf_64(700-938)
tr|A0A182LA04|A0A182LA04_9DIPT	TMhelix|Mplasa_alph_rch|Exotosin|GT-A	TMhelix(30-52)|Mplasa_alph_rch(50-142)|Exostosin(202-539)|Glyco_transf_64(700-938)
tr|A0A182QDK4|A0A182QDK4_9DIPT	TMhelix|Mplasa_alph_rch|Exotosin|GT-A	TMhelix(29-51)|Mplasa_alph_rch(49-141)|Exostosin(201-552)|Glyco_transf_64(713-951)
tr|A0A182UY63|A0A182UY63_ANOME	TMhelix|Mplasa_alph_rch|Exotosin|GT-A	TMhelix(30-52)|Mplasa_alph_rch(50-142)|Exostosin(202-539)|Glyco_transf_64(700-938)
tr|A0A182VZJ3|A0A182VZJ3_9DIPT	TMhelix|Mplasa_alph_rch|Exotosin|GT-A	TMhelix(29-51)|Mplasa_alph_rch(49-141)|Exostosin(201-544)|Glyco_transf_64(705-943)
tr|A0A182WSQ4|A0A182WSQ4_ANOQN	TMhelix|Mplasa_alph_rch|Exotosin|GT-A	TMhelix(30-52)|Mplasa_alph_rch(50-142)|Exostosin(202-539)|Glyco_transf_64(700-938)
tr|A0A182Y3Q2|A0A182Y3Q2_ANOST	TMhelix|Mplasa_alph_rch|Exotosin|GT-A	TMhelix(29-51)|Mplasa_alph_rch(49-141)|Exostosin(201-545)|Glyco_transf_64(706-944)
tr|Q7PY07|Q7PY07_ANOGA	TMhelix|Mplasa_alph_rch|Exotosin|GT-A	TMhelix(30-52)|Mplasa_alph_rch(50-142)|Exostosin(202-539)|Glyco_transf_64(700-938)
tr|A0A158NHG3|A0A158NHG3_ATTCE	TMhelix|Mnd1|Exotosin|GT-A	TMhelix(29-51)|Mnd1(82-159)|Exostosin(198-527)|Glyco_transf_64(689-927)
tr|A0A195BXS6|A0A195BXS6_9HYME	TMhelix|Mnd1|Exotosin|GT-A	TMhelix(29-51)|Mnd1(82-159)|Exostosin(198-527)|Glyco_transf_64(689-927)
tr|F4W8W6|F4W8W6_ACREC	TMhelix|Mnd1|Exotosin|GT-A	TMhelix(29-51)|Mnd1(82-159)|Exostosin(198-527)|Glyco_transf_64(689-927)
sp|O01705|EXT2_CAEEL	TMhelix|HemX|Exotosin|GT-A	TMhelix(13-35)|HemX(65-137)|Exostosin(175-399)|Glyco_transf_64(561-795)
tr|A0A2P6THF7|A0A2P6THF7_CHLSO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|RhaT|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(371-393)|Glyco_transf_64(470-725)|TMhelix(801-823)|TMhelix(827-844)|TMhelix(864-883)|TMhelix(888-910)|TMhelix(917-936)|RhaT(794-1084)|TMhelix(946-968)|TMhelix(980-1002)|TMhelix(1012-1034)|TMhelix(1039-1061)|TMhelix(1065-1084)|TMhelix(1402-1424)
tr|B9R9K7|B9R9K7_RICCO	TMhelix|GT-A|TMhelix	TMhelix(39-61)|Glyco_transf_64(87-271)|TMhelix(199-221)
tr|G7E5X9|G7E5X9_MIXOS	TMhelix|GT-A|p450	TMhelix(65-82)|Glyco_transf_64(809-1057)|p450(1361-1563)
tr|A0A2K1J6V6|A0A2K1J6V6_PHYPA	TMhelix|GT-A|GT-A|GT-A	TMhelix(21-43)|Glyco_transf_64(90-337)|Glyco_tranf_GTA_type(381-566)|Glyco_tranf_GTA_type(761-865)
tr|A0A0L0FIA3|A0A0L0FIA3_9EUKA	TMhelix|GT-A|GT-A	TMhelix(17-39)|Glyco_transf_64(60-287)|Glycos_transf_2(1183-1344)
tr|A0A177WZ03|A0A177WZ03_BATDE	TMhelix|GT-A|GT-A	TMhelix(65-87)|Glyco_tranf_GTA_type(118-263)|Glyco_transf_64(425-718)
tr|A0A1J5WJR8|A0A1J5WJR8_9MICR	TMhelix|GT-A|GT-A	TMhelix(12-31)|Glyco_tranf_GTA_type(62-293)|Glyco_transf_64(342-562)
tr|M1V7C8|M1V7C8_CYAM1	TMhelix|GT-A|GT-A	TMhelix(116-138)|GT8_Glycogenin(158-399)|Glyco_transf_64(440-703)
sp|Q9LY62|GT644_ARATH	TMhelix|GT-A	TMhelix(27-49)|Glyco_transf_64(74-325)
sp|Q9UBQ6|EXTL2_HUMAN	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_64(66-317)
tr|A0A063C104|A0A063C104_9HYPO	TMhelix|GT-A	TMhelix(112-134)|Glyco_transf_64(184-422)
tr|A0A067JEV6|A0A067JEV6_JATCU	TMhelix|GT-A	TMhelix(51-73)|Glyco_transf_64(86-337)
tr|A0A0E0S7D1|A0A0E0S7D1_GIBZE	TMhelix|GT-A	TMhelix(57-79)|Glyco_transf_64(121-360)
tr|A0A0L0FXQ2|A0A0L0FXQ2_9EUKA	TMhelix|GT-A	TMhelix(35-57)|Glyco_transf_64(213-391)
tr|A0A0W7VD98|A0A0W7VD98_9HYPO	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_64(101-339)
tr|A0A179FHQ1|A0A179FHQ1_METCM	TMhelix|GT-A	TMhelix(20-39)|Glyco_transf_64(88-327)
tr|A0A1B8A7Q6|A0A1B8A7Q6_FUSPO	TMhelix|GT-A	TMhelix(48-70)|Glyco_transf_64(128-365)
tr|A0A1B8AQJ5|A0A1B8AQJ5_FUSPO	TMhelix|GT-A	TMhelix(54-76)|Glyco_transf_64(138-380)
tr|A0A1B8AZB9|A0A1B8AZB9_FUSPO	TMhelix|GT-A	TMhelix(45-67)|Glyco_transf_64(109-348)
tr|A0A1D5P1M6|A0A1D5P1M6_CHICK	TMhelix|GT-A	TMhelix(17-39)|Glyco_transf_64(65-316)
tr|A0A1D6BPH5|A0A1D6BPH5_WHEAT	TMhelix|GT-A	TMhelix(43-65)|Glyco_transf_64(84-329)
tr|A0A1D6C230|A0A1D6C230_WHEAT	TMhelix|GT-A	TMhelix(43-65)|Glyco_transf_64(84-329)
tr|A0A1D6CNY4|A0A1D6CNY4_WHEAT	TMhelix|GT-A	TMhelix(43-65)|Glyco_transf_64(80-325)
tr|A0A1E5VYB7|A0A1E5VYB7_9POAL	TMhelix|GT-A	TMhelix(39-58)|Glyco_transf_64(84-347)
tr|A0A1I7SL73|A0A1I7SL73_BURXY	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_64(112-349)
tr|A0A1R3JD60|A0A1R3JD60_COCAP	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_64(71-323)
tr|A0A1S3A3C1|A0A1S3A3C1_ERIEU	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_64(66-317)
tr|A0A1S3UWZ0|A0A1S3UWZ0_VIGRR	TMhelix|GT-A	TMhelix(54-76)|Glyco_transf_64(93-344)
tr|A0A1U7RLD0|A0A1U7RLD0_ALLSI	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_64(66-317)
tr|A0A1U7T5U3|A0A1U7T5U3_TARSY	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_64(66-317)
tr|A0A1U8AN17|A0A1U8AN17_NELNU	TMhelix|GT-A	TMhelix(51-73)|Glyco_transf_64(92-343)
tr|A0A1U8C320|A0A1U8C320_MESAU	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_64(66-316)
tr|A0A1U8Q995|A0A1U8Q995_NELNU	TMhelix|GT-A	TMhelix(52-74)|Glyco_transf_64(94-299)
tr|A0A1X0P085|A0A1X0P085_9TRYP	TMhelix|GT-A	TMhelix(19-36)|Glyco_transf_64(92-373)
tr|A0A1X7VML6|A0A1X7VML6_AMPQE	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_64(85-323)
tr|A0A1X7VQE1|A0A1X7VQE1_AMPQE	TMhelix|GT-A	TMhelix(12-29)|Glyco_transf_64(80-316)
tr|A0A1Y1U8F6|A0A1Y1U8F6_9TREE	TMhelix|GT-A	TMhelix(28-50)|Glyco_transf_64(82-344)
tr|A0A1Z5JE32|A0A1Z5JE32_FISSO	TMhelix|GT-A	TMhelix(60-79)|Glyco_transf_64(94-370)
tr|A0A1Z5KTE6|A0A1Z5KTE6_FISSO	TMhelix|GT-A	TMhelix(23-45)|Glyco_transf_64(183-413)
tr|A0A1Z5T277|A0A1Z5T277_HORWE	TMhelix|GT-A	TMhelix(7-26)|Glyco_transf_64(74-327)
tr|A0A1Z5T8M3|A0A1Z5T8M3_HORWE	TMhelix|GT-A	TMhelix(7-26)|Glyco_transf_64(74-327)
tr|A0A200PMM0|A0A200PMM0_9MAGN	TMhelix|GT-A	TMhelix(62-84)|Glyco_transf_64(101-351)
tr|A0A218UE51|A0A218UE51_9PASE	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_64(66-317)
tr|A0A218WBF7|A0A218WBF7_PUNGR	TMhelix|GT-A	TMhelix(31-53)|Glyco_transf_64(70-277)
tr|A0A250X8I1|A0A250X8I1_9CHLO	TMhelix|GT-A	TMhelix(27-49)|Glyco_transf_64(487-729)
tr|A0A251RD66|A0A251RD66_PRUPE	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_64(61-330)
tr|A0A286Y4A7|A0A286Y4A7_CAVPO	TMhelix|GT-A	TMhelix(19-41)|Glyco_transf_64(67-318)
tr|A0A287BJ87|A0A287BJ87_PIG	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_64(66-317)
tr|A0A287XFY0|A0A287XFY0_HORVV	TMhelix|GT-A	TMhelix(44-66)|Glyco_transf_64(85-331)
tr|A0A2D3UQI1|A0A2D3UQI1_9PEZI	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_64(90-326)
tr|A0A2G2W453|A0A2G2W453_CAPBA	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_64(2-252)
tr|A0A2G3BQ69|A0A2G3BQ69_CAPCH	TMhelix|GT-A	TMhelix(5-24)|Glyco_transf_64(52-302)
tr|A0A2H3GXA5|A0A2H3GXA5_FUSOX	TMhelix|GT-A	TMhelix(48-70)|Glyco_transf_64(110-352)
tr|A0A2H3HDJ0|A0A2H3HDJ0_FUSOX	TMhelix|GT-A	TMhelix(37-59)|Glyco_transf_64(117-352)
tr|A0A2H3SQK6|A0A2H3SQK6_FUSOX	TMhelix|GT-A	TMhelix(37-59)|Glyco_transf_64(117-352)
tr|A0A2H3TKZ2|A0A2H3TKZ2_FUSOX	TMhelix|GT-A	TMhelix(48-70)|Glyco_transf_64(110-352)
tr|A0A2H3UB68|A0A2H3UB68_FUSOX	TMhelix|GT-A	TMhelix(29-51)|Glyco_transf_64(99-337)
tr|A0A2I2ZWQ0|A0A2I2ZWQ0_GORGO	TMhelix|GT-A	TMhelix(28-50)|Glyco_transf_64(73-324)
tr|A0A2I3GAE8|A0A2I3GAE8_NOMLE	TMhelix|GT-A	TMhelix(28-50)|Glyco_transf_64(73-324)
tr|A0A2I3S6F0|A0A2I3S6F0_PANTR	TMhelix|GT-A	TMhelix(28-50)|Glyco_transf_64(73-324)
tr|A0A2J6LTV8|A0A2J6LTV8_LACSA	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_64(49-320)
tr|A0A2J8VCJ0|A0A2J8VCJ0_PONAB	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_64(66-317)
tr|A0A2K0WVB3|A0A2K0WVB3_GIBNY	TMhelix|GT-A	TMhelix(48-70)|Glyco_transf_64(110-352)
tr|A0A2K1KBE1|A0A2K1KBE1_PHYPA	TMhelix|GT-A	TMhelix(46-65)|Glyco_transf_64(89-343)
tr|A0A2K5D351|A0A2K5D351_AOTNA	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_64(66-317)
tr|A0A2K5JUV8|A0A2K5JUV8_COLAP	TMhelix|GT-A	TMhelix(28-50)|Glyco_transf_64(73-324)
tr|A0A2K5KYZ8|A0A2K5KYZ8_CERAT	TMhelix|GT-A	TMhelix(28-50)|Glyco_transf_64(73-324)
tr|A0A2K5REY5|A0A2K5REY5_CEBCA	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_64(66-317)
tr|A0A2K5ZPU8|A0A2K5ZPU8_MANLE	TMhelix|GT-A	TMhelix(28-50)|Glyco_transf_64(73-324)
tr|A0A2K6DSA0|A0A2K6DSA0_MACNE	TMhelix|GT-A	TMhelix(28-50)|Glyco_transf_64(73-324)
tr|A0A2K6ERC7|A0A2K6ERC7_PROCO	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_64(66-317)
tr|A0A2K6M9Q7|A0A2K6M9Q7_RHIBE	TMhelix|GT-A	TMhelix(28-50)|Glyco_transf_64(73-324)
tr|A0A2K6PNC7|A0A2K6PNC7_RHIRO	TMhelix|GT-A	TMhelix(28-50)|Glyco_transf_64(73-324)
tr|A0A2K6SHL3|A0A2K6SHL3_SAIBB	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_64(66-317)
tr|A0A2N6NGI8|A0A2N6NGI8_BEABA	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_64(112-343)
tr|A0A2P4ZRT6|A0A2P4ZRT6_9HYPO	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_64(100-344)
tr|A0A2P5D9L2|A0A2P5D9L2_PARAD	TMhelix|GT-A	TMhelix(63-85)|Glyco_transf_64(104-355)
tr|A0A2P5ER66|A0A2P5ER66_9ROSA	TMhelix|GT-A	TMhelix(63-85)|Glyco_transf_64(104-355)
tr|A0A2P6NQ45|A0A2P6NQ45_9MYCE	TMhelix|GT-A	TMhelix(98-120)|Glyco_transf_64(152-385)
tr|A0A2P6SL09|A0A2P6SL09_ROSCH	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_64(64-315)
tr|A0A2P6SMR0|A0A2P6SMR0_ROSCH	TMhelix|GT-A	TMhelix(62-84)|Glyco_transf_64(102-353)
tr|A0A2P6TT66|A0A2P6TT66_CHLSO	TMhelix|GT-A	TMhelix(75-97)|Glyco_transf_64(143-389)
tr|A0A2R6PMB5|A0A2R6PMB5_ACTCH	TMhelix|GT-A	TMhelix(47-69)|Glyco_transf_64(93-344)
tr|A0A2R8N6P6|A0A2R8N6P6_CALJA	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_64(66-317)
tr|A0A2R9BBR6|A0A2R9BBR6_PANPA	TMhelix|GT-A	TMhelix(28-50)|Glyco_transf_64(73-324)
tr|A2DGM7|A2DGM7_TRIVA	TMhelix|GT-A	TMhelix(20-39)|Glyco_transf_64(62-299)
tr|A2G5I0|A2G5I0_TRIVA	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_64(61-288)
tr|A2GRT1|A2GRT1_TRIVA	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_64(61-288)
tr|B1WC59|B1WC59_RAT	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_64(66-316)
tr|B7FXL6|B7FXL6_PHATC	TMhelix|GT-A	TMhelix(57-79)|Glyco_transf_64(123-293)
tr|C5Z9A1|C5Z9A1_SORBI	TMhelix|GT-A	TMhelix(51-73)|Glyco_transf_64(98-346)
tr|C7YZM8|C7YZM8_NECH7	TMhelix|GT-A	TMhelix(61-83)|Glyco_transf_64(123-362)
tr|C9SU28|C9SU28_VERA1	TMhelix|GT-A	TMhelix(23-45)|Glyco_transf_64(107-291)
tr|D7FUU9|D7FUU9_ECTSI	TMhelix|GT-A	TMhelix(58-77)|Glyco_transf_64(99-338)
tr|D8LSZ5|D8LSZ5_ECTSI	TMhelix|GT-A	TMhelix(75-97)|Glyco_transf_64(122-401)
tr|D8TP47|D8TP47_VOLCA	TMhelix|GT-A	TMhelix(16-38)|Glyco_transf_64(75-407)
tr|E1ZKH4|E1ZKH4_CHLVA	TMhelix|GT-A	TMhelix(75-97)|Glyco_transf_64(155-435)
tr|E9E819|E9E819_METAQ	TMhelix|GT-A	TMhelix(21-40)|Glyco_transf_64(88-326)
tr|E9F1U9|E9F1U9_METRA	TMhelix|GT-A	TMhelix(21-40)|Glyco_transf_64(88-326)
tr|F0YNH1|F0YNH1_AURAN	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_64(74-323)
tr|F6S245|F6S245_MACMU	TMhelix|GT-A	TMhelix(28-50)|Glyco_transf_64(73-324)
tr|F6VGM0|F6VGM0_HORSE	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_64(66-317)
tr|F9FQ18|F9FQ18_FUSOF	TMhelix|GT-A	TMhelix(48-70)|Glyco_transf_64(110-352)
tr|G1LSS9|G1LSS9_AILME	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_64(67-318)
tr|G1PKY3|G1PKY3_MYOLU	TMhelix|GT-A	TMhelix(19-41)|Glyco_transf_64(67-317)
tr|G2XD82|G2XD82_VERDV	TMhelix|GT-A	TMhelix(23-45)|Glyco_transf_64(107-349)
tr|G3ID62|G3ID62_CRIGR	TMhelix|GT-A	TMhelix(5-27)|Glyco_transf_64(53-303)
tr|G3J912|G3J912_CORMM	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_64(91-323)
tr|G3PL55|G3PL55_GASAC	TMhelix|GT-A	TMhelix(17-39)|Glyco_transf_64(82-341)
tr|G3SQI2|G3SQI2_LOXAF	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_64(67-318)
tr|G3W7L6|G3W7L6_SARHA	TMhelix|GT-A	TMhelix(19-41)|Glyco_transf_64(67-318)
tr|G4VA82|G4VA82_SCHMA	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_64(681-918)
tr|G7E9Y9|G7E9Y9_MIXOS	TMhelix|GT-A	TMhelix(104-126)|Glyco_transf_64(170-445)
tr|G9MWQ2|G9MWQ2_HYPVG	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_64(102-340)
tr|G9PB27|G9PB27_HYPAI	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_64(101-339)
tr|H0XCA2|H0XCA2_OTOGA	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_64(66-317)
tr|H0Z3S3|H0Z3S3_TAEGU	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_64(65-316)
tr|H2MMV4|H2MMV4_ORYLA	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_64(79-337)
tr|H2TAL7|H2TAL7_TAKRU	TMhelix|GT-A	TMhelix(23-42)|Glyco_transf_64(78-335)
tr|H3AII7|H3AII7_LATCH	TMhelix|GT-A	TMhelix(19-41)|Glyco_transf_64(67-318)
tr|H3DCT6|H3DCT6_TETNG	TMhelix|GT-A	TMhelix(21-40)|Glyco_transf_64(68-320)
tr|I1GWT5|I1GWT5_BRADI	TMhelix|GT-A	TMhelix(95-117)|Glyco_transf_64(139-371)
tr|I1L3H8|I1L3H8_SOYBN	TMhelix|GT-A	TMhelix(45-67)|Glyco_transf_64(92-343)
tr|I1MQ61|I1MQ61_SOYBN	TMhelix|GT-A	TMhelix(45-67)|Glyco_transf_64(92-343)
tr|I1SAR8|I1SAR8_GIBZE	TMhelix|GT-A	TMhelix(36-58)|Glyco_transf_64(116-358)
tr|I2CQR6|I2CQR6_NANGC	TMhelix|GT-A	TMhelix(43-65)|Glyco_transf_64(87-359)
tr|I3JUJ2|I3JUJ2_ORENI	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_64(80-340)
tr|I3MVX4|I3MVX4_ICTTR	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_64(66-317)
tr|J4KQC3|J4KQC3_BEAB2	TMhelix|GT-A	TMhelix(17-39)|Glyco_transf_64(92-337)
tr|J9P983|J9P983_CANLF	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_64(66-317)
tr|K0RC03|K0RC03_THAOC	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_64(137-305)
tr|K3XXY4|K3XXY4_SETIT	TMhelix|GT-A	TMhelix(53-75)|Glyco_transf_64(94-339)
tr|K7FU19|K7FU19_PELSI	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_64(66-317)
tr|K8EQP5|K8EQP5_9CHLO	TMhelix|GT-A	TMhelix(31-53)|Glyco_transf_64(107-383)
tr|K8ES08|K8ES08_9CHLO	TMhelix|GT-A	TMhelix(9-28)|Glyco_transf_64(79-329)
tr|L5K4X5|L5K4X5_PTEAL	TMhelix|GT-A	TMhelix(76-98)|Glyco_transf_64(121-372)
tr|L5LXH2|L5LXH2_MYODS	TMhelix|GT-A	TMhelix(34-56)|Glyco_transf_64(82-332)
tr|M0THM0|M0THM0_MUSAM	TMhelix|GT-A	TMhelix(100-122)|Glyco_transf_64(140-391)
tr|M0U337|M0U337_MUSAM	TMhelix|GT-A	TMhelix(84-106)|Glyco_transf_64(122-349)
tr|M1B6Y7|M1B6Y7_SOLTU	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_64(52-308)
tr|M1VFV9|M1VFV9_CYAM1	TMhelix|GT-A	TMhelix(51-73)|Glyco_transf_64(399-622)
tr|M3WVM4|M3WVM4_FELCA	TMhelix|GT-A	TMhelix(25-47)|Glyco_transf_64(73-324)
tr|M3YKX6|M3YKX6_MUSPF	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_64(66-317)
tr|M5X0B6|M5X0B6_PRUPE	TMhelix|GT-A	TMhelix(56-78)|Glyco_transf_64(104-355)
tr|N1RU04|N1RU04_FUSC4	TMhelix|GT-A	TMhelix(37-59)|Glyco_transf_64(117-352)
tr|N4TZ03|N4TZ03_FUSC1	TMhelix|GT-A	TMhelix(27-49)|Glyco_transf_64(107-342)
tr|N4UZ74|N4UZ74_FUSC1	TMhelix|GT-A	TMhelix(48-70)|Glyco_transf_64(110-352)
