tr|A0A1J8QIW8|A0A1J8QIW8_9HOMO	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|GT-A	TMhelix(287-309)|TMhelix(337-359)|TMhelix(372-394)|TMhelix(426-448)|TMhelix(458-477)|UDP-g_GGTase(526-1754)|GT8_HUGT1_C_like(1806-2053)
tr|A0A182GVT0|A0A182GVT0_AEDAL	GT-A|GT-A	UDP-g_GGTase(26-1164)|GT8_HUGT1_C_like(1200-1447)
tr|A0A182HZ93|A0A182HZ93_ANOAR	GT-A|GT-A	UDP-g_GGTase(34-1206)|GT8_HUGT1_C_like(1252-1499)
tr|A0A182JZ54|A0A182JZ54_9DIPT	GT-A|GT-A	UDP-g_GGTase(34-1206)|GT8_HUGT1_C_like(1252-1499)
tr|A0A182KXF2|A0A182KXF2_9DIPT	GT-A|GT-A	UDP-g_GGTase(34-1206)|GT8_HUGT1_C_like(1252-1499)
tr|A0A182LTU5|A0A182LTU5_9DIPT	GT-A|GT-A	UDP-g_GGTase(33-1204)|GT8_HUGT1_C_like(1249-1496)
tr|A0A182NSP3|A0A182NSP3_9DIPT	GT-A|GT-A	UDP-g_GGTase(34-1206)|GT8_HUGT1_C_like(1256-1503)
tr|A0A182PH54|A0A182PH54_9DIPT	GT-A|GT-A	UDP-g_GGTase(34-1205)|GT8_HUGT1_C_like(1251-1498)
tr|A0A182QRW2|A0A182QRW2_9DIPT	GT-A|GT-A	UDP-g_GGTase(34-1202)|GT8_HUGT1_C_like(1252-1499)
tr|A0A182RZF1|A0A182RZF1_ANOFN	GT-A|GT-A	UDP-g_GGTase(38-1211)|GT8_HUGT1_C_like(1256-1503)
tr|A0A182TAR5|A0A182TAR5_9DIPT	GT-A|GT-A	UDP-g_GGTase(39-1184)|GT8_HUGT1_C_like(1231-1478)
tr|A0A182TQR4|A0A182TQR4_9DIPT	GT-A|GT-A	UDP-g_GGTase(34-1206)|GT8_HUGT1_C_like(1252-1499)
tr|A0A182UZT9|A0A182UZT9_ANOME	GT-A|GT-A	UDP-g_GGTase(34-1206)|GT8_HUGT1_C_like(1252-1499)
tr|A0A182VQ37|A0A182VQ37_9DIPT	GT-A|GT-A	UDP-g_GGTase(37-1167)|GT8_HUGT1_C_like(1212-1459)
tr|A0A182WVU5|A0A182WVU5_ANOQN	GT-A|GT-A	UDP-g_GGTase(34-1206)|GT8_HUGT1_C_like(1252-1499)
tr|A0A182Y7E9|A0A182Y7E9_ANOST	GT-A|GT-A	UDP-g_GGTase(35-1208)|GT8_HUGT1_C_like(1256-1503)
tr|A0A194UXQ7|A0A194UXQ7_9PEZI	GT-A|GT-A	UDP-g_GGTase(30-1132)|GT8_HUGT1_C_like(1177-1424)
tr|A0A194W6G9|A0A194W6G9_9PEZI	GT-A|GT-A	UDP-g_GGTase(30-1132)|GT8_HUGT1_C_like(1177-1424)
tr|A0A194X3V2|A0A194X3V2_9HELO	GT-A|GT-A	UDP-g_GGTase(29-1139)|GT8_HUGT1_C_like(1184-1431)
tr|A0A194YT12|A0A194YT12_SORBI	GT-A|GT-A	UDP-g_GGTase(40-1248)|GT8_HUGT1_C_like(1309-1556)
tr|A0A196S929|A0A196S929_BLAHN	GT-A|GT-A	UDP-g_GGTase(38-684)|Glyco_tranf_GTA_type(752-996)
tr|A0A197K7G5|A0A197K7G5_9FUNG	GT-A|GT-A	UDP-g_GGTase(23-1187)|GT8_HUGT1_C_like(1230-1477)
tr|A0A199V426|A0A199V426_ANACO	GT-A|GT-A	UDP-g_GGTase(40-1284)|GT8_HUGT1_C_like(1347-1594)
tr|A0A1A0HCM1|A0A1A0HCM1_9ASCO	GT-A|GT-A	UDP-g_GGTase(19-1121)|Glyco_tranf_GTA_type(1142-1390)
tr|A0A1A6A7X6|A0A1A6A7X6_9TREE	GT-A|GT-A	UDP-g_GGTase(26-1234)|GT8_HUGT1_C_like(1282-1529)
tr|A0A1A6HLM6|A0A1A6HLM6_NEOLE	GT-A|GT-A	UDP-g_GGTase(6-851)|GT8_HUGT1_C_like(905-1152)
tr|A0A1A9V3T6|A0A1A9V3T6_GLOAU	GT-A|GT-A	UDP-g_GGTase(40-1209)|GT8_HUGT1_C_like(1252-1499)
tr|A0A1A9W760|A0A1A9W760_9MUSC	GT-A|GT-A	UDP-g_GGTase(39-1208)|GT8_HUGT1_C_like(1251-1498)
tr|A0A1A9Y0W5|A0A1A9Y0W5_GLOFF	GT-A|GT-A	UDP-g_GGTase(40-1209)|GT8_HUGT1_C_like(1252-1499)
tr|A0A1B0AI77|A0A1B0AI77_GLOPL	GT-A|GT-A	UDP-g_GGTase(40-1209)|GT8_HUGT1_C_like(1252-1499)
tr|A0A1B0B6V6|A0A1B0B6V6_9MUSC	GT-A|GT-A	UDP-g_GGTase(40-1209)|GT8_HUGT1_C_like(1252-1499)
tr|A0A1B0CKK3|A0A1B0CKK3_LUTLO	GT-A|GT-A	UDP-g_GGTase(24-1179)|GT8_HUGT1_C_like(1216-1429)
tr|A0A1B0G8K0|A0A1B0G8K0_GLOMM	GT-A|GT-A	UDP-g_GGTase(40-1209)|GT8_HUGT1_C_like(1252-1499)
tr|A0A1B7N073|A0A1B7N073_9HOMO	GT-A|GT-A	UDP-g_GGTase(21-1256)|GT8_HUGT1_C_like(1308-1555)
tr|A0A1B7NXC8|A0A1B7NXC8_9EURO	GT-A|GT-A	UDP-g_GGTase(1-145)|GT8_HUGT1_C_like(190-437)
tr|A0A1B8AFB1|A0A1B8AFB1_FUSPO	GT-A|GT-A	UDP-g_GGTase(22-1121)|GT8_HUGT1_C_like(1167-1414)
tr|A0A1B8CM99|A0A1B8CM99_9PEZI	GT-A|GT-A	UDP-g_GGTase(29-1135)|GT8_HUGT1_C_like(1183-1430)
tr|A0A1B8CZS3|A0A1B8CZS3_9PEZI	GT-A|GT-A	UDP-g_GGTase(29-1134)|GT8_HUGT1_C_like(1181-1428)
tr|A0A1B8E7Y6|A0A1B8E7Y6_9PEZI	GT-A|GT-A	UDP-g_GGTase(29-1136)|GT8_HUGT1_C_like(1186-1433)
tr|A0A1B8F7D9|A0A1B8F7D9_9PEZI	GT-A|GT-A	UDP-g_GGTase(29-1135)|GT8_HUGT1_C_like(1182-1429)
tr|A0A1B8GBQ7|A0A1B8GBQ7_9PEZI	GT-A|GT-A	UDP-g_GGTase(29-1134)|GT8_HUGT1_C_like(1181-1428)
tr|A0A1B9FSQ5|A0A1B9FSQ5_9TREE	GT-A|GT-A	UDP-g_GGTase(26-1241)|GT8_HUGT1_C_like(1289-1536)
tr|A0A1B9GWF3|A0A1B9GWF3_9TREE	GT-A|GT-A	UDP-g_GGTase(38-1281)|GT8_HUGT1_C_like(1323-1570)
tr|A0A1B9I9L6|A0A1B9I9L6_9TREE	GT-A|GT-A	UDP-g_GGTase(26-1233)|GT8_HUGT1_C_like(1275-1522)
tr|A0A1B9IHU1|A0A1B9IHU1_9TREE	GT-A|GT-A	UDP-g_GGTase(26-1244)|GT8_HUGT1_C_like(1293-1540)
tr|A0A1C1CHF5|A0A1C1CHF5_9EURO	GT-A|GT-A	UDP-g_GGTase(15-1080)|GT8_HUGT1_C_like(1124-1371)
tr|A0A1C7M6Y4|A0A1C7M6Y4_GRIFR	GT-A|GT-A	UDP-g_GGTase(116-1303)|Glyco_tranf_GTA_type(1365-1654)
tr|A0A1C7ND93|A0A1C7ND93_9FUNG	GT-A|GT-A	UDP-g_GGTase(29-1178)|GT8_HUGT1_C_like(1227-1474)
tr|A0A1D1VAS6|A0A1D1VAS6_RAMVA	GT-A|GT-A	UDP-g_GGTase(30-1228)|GT8_HUGT1_C_like(1271-1518)
tr|A0A1D2N071|A0A1D2N071_ORCCI	GT-A|GT-A	UDP-g_GGTase(37-352)|GT8_HUGT1_C_like(395-642)
tr|A0A1D2VMY5|A0A1D2VMY5_9ASCO	GT-A|GT-A	UDP-g_GGTase(31-1266)|GT8_HUGT1_C_like(1331-1579)
tr|A0A1D5NZ55|A0A1D5NZ55_CHICK	GT-A|GT-A	UDP-g_GGTase(78-1235)|GT8_HUGT1_C_like(1290-1537)
tr|A0A1D5QZ45|A0A1D5QZ45_MACMU	GT-A|GT-A	UDP-g_GGTase(33-1244)|GT8_HUGT1_C_like(1283-1530)
tr|A0A1D5RYT0|A0A1D5RYT0_WHEAT	GT-A|GT-A	UDP-g_GGTase(40-1236)|GT8_HUGT1_C_like(1297-1544)
tr|A0A1D5SCE0|A0A1D5SCE0_WHEAT	GT-A|GT-A	UDP-g_GGTase(40-1236)|GT8_HUGT1_C_like(1302-1549)
tr|A0A1D5SXP5|A0A1D5SXP5_WHEAT	GT-A|GT-A	UDP-g_GGTase(1-563)|GT8_HUGT1_C_like(624-871)
tr|A0A1D6HNS8|A0A1D6HNS8_MAIZE	GT-A|GT-A	UDP-g_GGTase(40-1236)|GT8_HUGT1_C_like(1373-1646)
tr|A0A1D8PJN6|A0A1D8PJN6_CANAL	GT-A|GT-A	UDP-g_GGTase(32-1122)|Glyco_tranf_GTA_type(1137-1386)
tr|A0A1E1KQ93|A0A1E1KQ93_9HELO	GT-A|GT-A	UDP-g_GGTase(30-1145)|GT8_HUGT1_C_like(1189-1436)
tr|A0A1E3BF49|A0A1E3BF49_9EURO	GT-A|GT-A	UDP-g_GGTase(29-1133)|GT8_HUGT1_C_like(1181-1428)
tr|A0A1E3HYD4|A0A1E3HYD4_9TREE	GT-A|GT-A	UDP-g_GGTase(22-1218)|GT8_HUGT1_C_like(1262-1509)
tr|A0A1E3I8Z4|A0A1E3I8Z4_9TREE	GT-A|GT-A	UDP-g_GGTase(23-1199)|GT8_HUGT1_C_like(1244-1491)
tr|A0A1E3NR97|A0A1E3NR97_9ASCO	GT-A|GT-A	UDP-g_GGTase(33-1111)|GT8_HUGT1_C_like(1157-1405)
tr|A0A1E3P489|A0A1E3P489_WICAO	GT-A|GT-A	UDP-g_GGTase(20-1082)|GT8_HUGT1_C_like(1125-1373)
tr|A0A1E3PFF7|A0A1E3PFF7_9ASCO	GT-A|GT-A	UDP-g_GGTase(30-1163)|GT8_HUGT1_C_like(1200-1447)
tr|A0A1E3QJX2|A0A1E3QJX2_9ASCO	GT-A|GT-A	UDP-g_GGTase(27-1104)|GT8_HUGT1_C_like(1137-1385)
tr|A0A1E4RHS5|A0A1E4RHS5_9ASCO	GT-A|GT-A	UDP-g_GGTase(32-1182)|GT8_HUGT1_C_like(1227-1475)
tr|A0A1E4S4R2|A0A1E4S4R2_CYBJA	GT-A|GT-A	UDP-g_GGTase(18-1072)|GT8_HUGT1_C_like(1108-1356)
tr|A0A1E4SFY6|A0A1E4SFY6_9ASCO	GT-A|GT-A	UDP-g_GGTase(27-1165)|GT8_HUGT1_C_like(1181-1429)
tr|A0A1E4SW70|A0A1E4SW70_9ASCO	GT-A|GT-A	UDP-g_GGTase(25-1144)|GT8_HUGT1_C_like(1184-1432)
tr|A0A1E4THD5|A0A1E4THD5_9ASCO	GT-A|GT-A	UDP-g_GGTase(1-1083)|GT8_HUGT1_C_like(1111-1358)
tr|A0A1E4TYY7|A0A1E4TYY7_PACTA	GT-A|GT-A	UDP-g_GGTase(34-1174)|GT8_HUGT1_C_like(1216-1465)
tr|A0A1E5WES5|A0A1E5WES5_9POAL	GT-A|GT-A	UDP-g_GGTase(40-1259)|GT8_HUGT1_C_like(1320-1567)
tr|A0A1E7G021|A0A1E7G021_9STRA	GT-A|GT-A	UDP-g_GGTase(66-1421)|GT8_HUGT1_C_like(1442-1689)
tr|A0A1F5LIU3|A0A1F5LIU3_9EURO	GT-A|GT-A	UDP-g_GGTase(30-1137)|GT8_HUGT1_C_like(1184-1431)
tr|A0A1F7ZZ00|A0A1F7ZZ00_9EURO	GT-A|GT-A	UDP-g_GGTase(29-1138)|GT8_HUGT1_C_like(1187-1434)
tr|A0A1G4BAW5|A0A1G4BAW5_9PEZI	GT-A|GT-A	UDP-g_GGTase(25-1124)|GT8_HUGT1_C_like(1165-1412)
tr|A0A1G4J4N8|A0A1G4J4N8_9SACH	GT-A|GT-A	UDP-g_GGTase(58-903)|Glyco_tranf_GTA_type(1065-1278)
tr|A0A1G4JKD3|A0A1G4JKD3_9SACH	GT-A|GT-A	UDP-g_GGTase(93-902)|Glyco_tranf_GTA_type(1063-1275)
tr|A0A1G4JYQ5|A0A1G4JYQ5_9SACH	GT-A|GT-A	UDP-g_GGTase(89-992)|Glyco_tranf_GTA_type(1058-1271)
tr|A0A1G4MC84|A0A1G4MC84_LACFM	GT-A|GT-A	UDP-g_GGTase(107-901)|Glyco_tranf_GTA_type(1061-1277)
tr|A0A1I7SMR6|A0A1I7SMR6_BURXY	GT-A|GT-A	UDP-g_GGTase(21-1169)|GT8_HUGT1_C_like(1213-1460)
tr|A0A1I7TWE2|A0A1I7TWE2_9PELO	GT-A|GT-A	UDP-g_GGTase(22-1170)|GT8_HUGT1_C_like(1202-1449)
tr|A0A1I7W223|A0A1I7W223_LOALO	GT-A|GT-A	UDP-g_GGTase(23-1189)|GT8_HUGT1_C_like(1228-1475)
tr|A0A1I7XZC7|A0A1I7XZC7_9BILA	GT-A|GT-A	UDP-g_GGTase(1-62)|GT8_HUGT1_C_like(96-353)
tr|A0A1I8B9P0|A0A1I8B9P0_MELHA	GT-A|GT-A	UDP-g_GGTase(35-1215)|GT8_HUGT1_C_like(1275-1499)
tr|A0A1I8GXW1|A0A1I8GXW1_9PLAT	GT-A|GT-A	UDP-g_GGTase(47-1220)|GT8_HUGT1_C_like(1254-1501)
tr|A0A1I8H6R2|A0A1I8H6R2_9PLAT	GT-A|GT-A	UDP-g_GGTase(47-1220)|GT8_HUGT1_C_like(1254-1501)
tr|A0A1I8PAU5|A0A1I8PAU5_STOCA	GT-A|GT-A	UDP-g_GGTase(32-1201)|GT8_HUGT1_C_like(1241-1488)
tr|A0A1J1IZW3|A0A1J1IZW3_9DIPT	GT-A|GT-A	UDP-g_GGTase(30-1195)|GT8_HUGT1_C_like(1232-1479)
tr|A0A1J4JQ54|A0A1J4JQ54_9EUKA	GT-A|GT-A	UDP-g_GGTase(245-992)|Glyco_tranf_GTA_type(1024-1271)
tr|A0A1J4K0U3|A0A1J4K0U3_9EUKA	GT-A|GT-A	UDP-g_GGTase(17-994)|GT8_HUGT1_C_like(1015-1262)
tr|A0A1J4K7A4|A0A1J4K7A4_9EUKA	GT-A|GT-A	UDP-g_GGTase(198-1019)|GT8_HUGT1_C_like(1078-1327)
tr|A0A1J4K8E0|A0A1J4K8E0_9EUKA	GT-A|GT-A	UDP-g_GGTase(152-956)|GT8_HUGT1_C_like(1069-1316)
tr|A0A1J4KIT2|A0A1J4KIT2_9EUKA	GT-A|GT-A	UDP-g_GGTase(35-956)|Glyco_tranf_GTA_type(976-1225)
tr|A0A1J4KLM6|A0A1J4KLM6_9EUKA	GT-A|GT-A	UDP-g_GGTase(18-1045)|GT8_HUGT1_C_like(1029-1276)
tr|A0A1J4KWZ6|A0A1J4KWZ6_9EUKA	GT-A|GT-A	UDP-g_GGTase(24-1054)|Glyco_tranf_GTA_type(1101-1349)
tr|A0A1J7IG35|A0A1J7IG35_9PEZI	GT-A|GT-A	UDP-g_GGTase(30-1138)|GT8_HUGT1_C_like(1189-1436)
tr|A0A1J9P4B7|A0A1J9P4B7_9EURO	GT-A|GT-A	UDP-g_GGTase(32-1149)|GT8_HUGT1_C_like(1194-1441)
tr|A0A1J9RYN7|A0A1J9RYN7_9PEZI	GT-A|GT-A	UDP-g_GGTase(28-1134)|GT8_HUGT1_C_like(1201-1448)
tr|A0A1L0C278|A0A1L0C278_9ASCO	GT-A|GT-A	UDP-g_GGTase(17-1128)|GT8_HUGT1_C_like(1151-1399)
tr|A0A1L7WXY8|A0A1L7WXY8_9HELO	GT-A|GT-A	UDP-g_GGTase(29-1139)|GT8_HUGT1_C_like(1184-1431)
tr|A0A1L8GB77|A0A1L8GB77_XENLA	GT-A|GT-A	UDP-g_GGTase(23-1189)|GT8_HUGT1_C_like(1232-1479)
tr|A0A1L8H931|A0A1L8H931_XENLA	GT-A|GT-A	UDP-g_GGTase(1-1038)|GT8_HUGT1_C_like(1078-1325)
tr|A0A1L8HH73|A0A1L8HH73_XENLA	GT-A|GT-A	UDP-g_GGTase(25-1187)|GT8_HUGT1_C_like(1227-1474)
tr|A0A1L9MZ27|A0A1L9MZ27_ASPTU	GT-A|GT-A	UDP-g_GGTase(30-1139)|GT8_HUGT1_C_like(1188-1435)
tr|A0A1L9PPI6|A0A1L9PPI6_ASPVE	GT-A|GT-A	UDP-g_GGTase(30-1133)|GT8_HUGT1_C_like(1181-1428)
tr|A0A1L9RVY9|A0A1L9RVY9_ASPWE	GT-A|GT-A	UDP-g_GGTase(30-1133)|GT8_HUGT1_C_like(1181-1428)
tr|A0A1L9SWE6|A0A1L9SWE6_9EURO	GT-A|GT-A	UDP-g_GGTase(31-1132)|GT8_HUGT1_C_like(1181-1428)
tr|A0A1L9TBX3|A0A1L9TBX3_9EURO	GT-A|GT-A	UDP-g_GGTase(30-1133)|GT8_HUGT1_C_like(1181-1428)
tr|A0A1L9UM07|A0A1L9UM07_9EURO	GT-A|GT-A	UDP-g_GGTase(30-1138)|GT8_HUGT1_C_like(1185-1432)
tr|A0A1L9V622|A0A1L9V622_ASPGL	GT-A|GT-A	UDP-g_GGTase(29-1134)|GT8_HUGT1_C_like(1182-1429)
tr|A0A1L9X429|A0A1L9X429_ASPAC	GT-A|GT-A	UDP-g_GGTase(31-1144)|GT8_HUGT1_C_like(1195-1442)
tr|A0A1M2V498|A0A1M2V498_TRAPU	GT-A|GT-A	UDP-g_GGTase(1-1116)|GT8_HUGT1_C_like(1168-1415)
tr|A0A1Q2YC58|A0A1Q2YC58_9ASCO	GT-A|GT-A	UDP-g_GGTase(30-1108)|GT8_HUGT1_C_like(1154-1402)
tr|A0A1Q3AZM3|A0A1Q3AZM3_CEPFO	GT-A|GT-A	UDP-g_GGTase(37-1278)|GT8_HUGT1_C_like(1340-1587)
tr|A0A1Q3E8E7|A0A1Q3E8E7_LENED	GT-A|GT-A	UDP-g_GGTase(14-1176)|GT8_HUGT1_C_like(1224-1471)
tr|A0A1Q5Q9F4|A0A1Q5Q9F4_9EURO	GT-A|GT-A	UDP-g_GGTase(32-1149)|GT8_HUGT1_C_like(1201-1449)
tr|A0A1Q5UQD5|A0A1Q5UQD5_9EURO	GT-A|GT-A	UDP-g_GGTase(30-1135)|GT8_HUGT1_C_like(1182-1429)
tr|A0A1Q8RTX2|A0A1Q8RTX2_9PEZI	GT-A|GT-A	UDP-g_GGTase(25-1124)|GT8_HUGT1_C_like(1165-1412)
tr|A0A1R0GSC2|A0A1R0GSC2_9FUNG	GT-A|GT-A	UDP-g_GGTase(60-1512)|GT8_HUGT1_C_like(1569-1816)
tr|A0A1R1PBW6|A0A1R1PBW6_ZANCU	GT-A|GT-A	UDP-g_GGTase(30-1021)|GT8_HUGT1_C_like(1057-1305)
tr|A0A1R1PVB0|A0A1R1PVB0_ZANCU	GT-A|GT-A	UDP-g_GGTase(204-519)|GT8_HUGT1_C_like(555-803)
tr|A0A1R1XQW6|A0A1R1XQW6_9FUNG	GT-A|GT-A	UDP-g_GGTase(1-1413)|GT8_HUGT1_C_like(1489-1736)
tr|A0A1R1YC16|A0A1R1YC16_9FUNG	GT-A|GT-A	UDP-g_GGTase(62-1521)|GT8_HUGT1_C_like(1597-1844)
tr|A0A1R2BW46|A0A1R2BW46_9CILI	GT-A|GT-A	UDP-g_GGTase(77-942)|Glyco_tranf_GTA_type(985-1232)
tr|A0A1R3HV99|A0A1R3HV99_COCAP	GT-A|GT-A	UDP-g_GGTase(34-1259)|GT8_HUGT1_C_like(1322-1538)
tr|A0A1R3K3A4|A0A1R3K3A4_9ROSI	GT-A|GT-A	UDP-g_GGTase(34-1271)|GT8_HUGT1_C_like(1334-1581)
tr|A0A1R3RN97|A0A1R3RN97_ASPC5	GT-A|GT-A	UDP-g_GGTase(30-1139)|GT8_HUGT1_C_like(1187-1434)
tr|A0A1S2ZZB2|A0A1S2ZZB2_ERIEU	GT-A|GT-A	UDP-g_GGTase(9-828)|GT8_HUGT1_C_like(868-1115)
tr|A0A1S3C1Y4|A0A1S3C1Y4_CUCME	GT-A|GT-A	UDP-g_GGTase(35-1257)|GT8_HUGT1_C_like(1328-1575)
tr|A0A1S3DYT4|A0A1S3DYT4_CICAR	GT-A|GT-A	UDP-g_GGTase(29-1265)|GT8_HUGT1_C_like(1327-1574)
tr|A0A1S3FPX4|A0A1S3FPX4_DIPOR	GT-A|GT-A	UDP-g_GGTase(33-1150)|GT8_HUGT1_C_like(1190-1437)
tr|A0A1S3G7M2|A0A1S3G7M2_DIPOR	GT-A|GT-A	UDP-g_GGTase(42-1146)|GT8_HUGT1_C_like(1201-1448)
tr|A0A1S3JKQ6|A0A1S3JKQ6_LINUN	GT-A|GT-A	UDP-g_GGTase(23-1175)|GT8_HUGT1_C_like(1241-1488)
tr|A0A1S3MRZ4|A0A1S3MRZ4_SALSA	GT-A|GT-A	UDP-g_GGTase(38-1205)|GT8_HUGT1_C_like(1249-1496)
tr|A0A1S3MVV2|A0A1S3MVV2_SALSA	GT-A|GT-A	UDP-g_GGTase(38-1205)|GT8_HUGT1_C_like(1249-1496)
tr|A0A1S3PME0|A0A1S3PME0_SALSA	GT-A|GT-A	UDP-g_GGTase(32-1197)|GT8_HUGT1_C_like(1266-1513)
tr|A0A1S3VGP4|A0A1S3VGP4_VIGRR	GT-A|GT-A	UDP-g_GGTase(27-1237)|GT8_HUGT1_C_like(1302-1549)
tr|A0A1S3W9H1|A0A1S3W9H1_ERIEU	GT-A|GT-A	UDP-g_GGTase(3-1077)|GT8_HUGT1_C_like(1132-1379)
tr|A0A1S4B7U2|A0A1S4B7U2_TOBAC	GT-A|GT-A	UDP-g_GGTase(34-1272)|GT8_HUGT1_C_like(1337-1584)
tr|A0A1S4CHP7|A0A1S4CHP7_TOBAC	GT-A|GT-A	UDP-g_GGTase(34-1272)|GT8_HUGT1_C_like(1337-1584)
tr|A0A1S8VQ80|A0A1S8VQ80_9FUNG	GT-A|GT-A	UDP-g_GGTase(65-1233)|GT8_HUGT1_C_like(1272-1519)
tr|A0A1S9DD19|A0A1S9DD19_ASPOZ	GT-A|GT-A	UDP-g_GGTase(29-1139)|GT8_HUGT1_C_like(1188-1435)
tr|A0A1U7LP83|A0A1U7LP83_9ASCO	GT-A|GT-A	UDP-g_GGTase(5-418)|GT8_HUGT1_C_like(445-705)
tr|A0A1U7RIP3|A0A1U7RIP3_ALLSI	GT-A|GT-A	UDP-g_GGTase(44-1192)|GT8_HUGT1_C_like(1234-1481)
tr|A0A1U7RND1|A0A1U7RND1_ALLSI	GT-A|GT-A	UDP-g_GGTase(22-1179)|GT8_HUGT1_C_like(1234-1481)
tr|A0A1U7TGK4|A0A1U7TGK4_TARSY	GT-A|GT-A	UDP-g_GGTase(2-314)|GT8_HUGT1_C_like(352-599)
tr|A0A1U7WZG3|A0A1U7WZG3_NICSY	GT-A|GT-A	UDP-g_GGTase(34-1272)|GT8_HUGT1_C_like(1337-1584)
tr|A0A1U8B0G5|A0A1U8B0G5_NELNU	GT-A|GT-A	UDP-g_GGTase(35-1274)|GT8_HUGT1_C_like(1338-1585)
tr|A0A1U8C306|A0A1U8C306_MESAU	GT-A|GT-A	UDP-g_GGTase(45-950)|GT8_HUGT1_C_like(1004-1251)
tr|A0A1U8CAW8|A0A1U8CAW8_MESAU	GT-A|GT-A	UDP-g_GGTase(34-1189)|GT8_HUGT1_C_like(1227-1474)
tr|A0A1U8HZ17|A0A1U8HZ17_GOSHI	GT-A|GT-A	UDP-g_GGTase(1-768)|GT8_HUGT1_C_like(830-1077)
tr|A0A1U8I677|A0A1U8I677_GOSHI	GT-A|GT-A	UDP-g_GGTase(34-1271)|GT8_HUGT1_C_like(1333-1580)
tr|A0A1U8LWX9|A0A1U8LWX9_GOSHI	GT-A|GT-A	UDP-g_GGTase(34-1273)|GT8_HUGT1_C_like(1337-1584)
tr|A0A1U8MYR6|A0A1U8MYR6_GOSHI	GT-A|GT-A	UDP-g_GGTase(34-1271)|GT8_HUGT1_C_like(1333-1580)
tr|A0A1U8NZ34|A0A1U8NZ34_GOSHI	GT-A|GT-A	UDP-g_GGTase(34-1271)|GT8_HUGT1_C_like(1336-1583)
tr|A0A1V1SYM0|A0A1V1SYM0_9FUNG	GT-A|GT-A	UDP-g_GGTase(30-1134)|GT8_HUGT1_C_like(1182-1429)
tr|A0A1V2L5R3|A0A1V2L5R3_CYBFA	GT-A|GT-A	UDP-g_GGTase(16-1056)|GT8_HUGT1_C_like(1095-1343)
tr|A0A1V4J4F9|A0A1V4J4F9_PATFA	GT-A|GT-A	UDP-g_GGTase(30-1191)|GT8_HUGT1_C_like(1231-1478)
tr|A0A1V4K4F2|A0A1V4K4F2_PATFA	GT-A|GT-A	UDP-g_GGTase(66-1223)|GT8_HUGT1_C_like(1278-1525)
tr|A0A1V6P1Q1|A0A1V6P1Q1_9EURO	GT-A|GT-A	UDP-g_GGTase(30-1147)|GT8_HUGT1_C_like(1195-1442)
tr|A0A1V6PLR3|A0A1V6PLR3_9EURO	GT-A|GT-A	UDP-g_GGTase(29-1137)|GT8_HUGT1_C_like(1185-1432)
tr|A0A1V6QA62|A0A1V6QA62_9EURO	GT-A|GT-A	UDP-g_GGTase(29-1136)|GT8_HUGT1_C_like(1183-1430)
tr|A0A1V6RQI5|A0A1V6RQI5_9EURO	GT-A|GT-A	UDP-g_GGTase(30-1144)|GT8_HUGT1_C_like(1192-1439)
tr|A0A1V6SAM2|A0A1V6SAM2_9EURO	GT-A|GT-A	UDP-g_GGTase(30-1142)|GT8_HUGT1_C_like(1190-1437)
tr|A0A1V6SMD6|A0A1V6SMD6_9EURO	GT-A|GT-A	UDP-g_GGTase(30-1144)|GT8_HUGT1_C_like(1190-1437)
tr|A0A1V6TR97|A0A1V6TR97_9EURO	GT-A|GT-A	UDP-g_GGTase(30-1135)|GT8_HUGT1_C_like(1181-1428)
tr|A0A1V6V7J0|A0A1V6V7J0_9EURO	GT-A|GT-A	UDP-g_GGTase(30-1144)|GT8_HUGT1_C_like(1192-1439)
tr|A0A1V6Z6I0|A0A1V6Z6I0_PENNA	GT-A|GT-A	UDP-g_GGTase(30-1122)|GT8_HUGT1_C_like(1168-1415)
tr|A0A1V8SJD4|A0A1V8SJD4_9PEZI	GT-A|GT-A	UDP-g_GGTase(19-1141)|GT8_HUGT1_C_like(1209-1456)
tr|A0A1V8TK48|A0A1V8TK48_9PEZI	GT-A|GT-A	UDP-g_GGTase(19-1141)|GT8_HUGT1_C_like(1209-1456)
tr|A0A1V8V6T0|A0A1V8V6T0_9PEZI	GT-A|GT-A	UDP-g_GGTase(19-1141)|GT8_HUGT1_C_like(1209-1456)
tr|A0A1V8V8D7|A0A1V8V8D7_9PEZI	GT-A|GT-A	UDP-g_GGTase(19-1141)|GT8_HUGT1_C_like(1209-1456)
tr|A0A1V9X457|A0A1V9X457_9ACAR	GT-A|GT-A	UDP-g_GGTase(1-421)|GT8_HUGT1_C_like(466-713)
tr|A0A1W0WCK1|A0A1W0WCK1_HYPDU	GT-A|GT-A	UDP-g_GGTase(30-1226)|GT8_HUGT1_C_like(1276-1523)
tr|A0A1W4UQX1|A0A1W4UQX1_DROFC	GT-A|GT-A	UDP-g_GGTase(29-1196)|GT8_HUGT1_C_like(1240-1487)
tr|A0A1W4X5K4|A0A1W4X5K4_AGRPL	GT-A|GT-A	UDP-g_GGTase(30-1184)|GT8_HUGT1_C_like(1238-1485)
tr|A0A1W5D236|A0A1W5D236_9LECA	GT-A|GT-A	UDP-g_GGTase(707-1811)|GT8_HUGT1_C_like(1857-2104)
