tr|A0A2I1CKB3|A0A2I1CKB3_9EURO	Transporter|Transporter|Transporter|GT-A	Mito_carr(43-128)|Mito_carr(152-260)|Mito_carr(228-322)|Anp1(535-800)
tr|A0A1E4RT40|A0A1E4RT40_9ASCO	TMhelix|GT-A	TMhelix(20-37)|Anp1(72-333)
tr|A0A1E4RZ29|A0A1E4RZ29_CYBJA	TMhelix|GT-A	TMhelix(20-42)|Anp1(56-317)
tr|A0A1E4SIC8|A0A1E4SIC8_9ASCO	TMhelix|GT-A	TMhelix(19-41)|Anp1(75-337)
tr|A0A1E4SXD7|A0A1E4SXD7_9ASCO	TMhelix|GT-A	TMhelix(43-60)|Anp1(82-341)
tr|A0A1E4SY79|A0A1E4SY79_9ASCO	TMhelix|GT-A	TMhelix(33-50)|Anp1(103-413)
tr|A0A1E4T6P6|A0A1E4T6P6_9ASCO	TMhelix|GT-A	TMhelix(21-40)|Anp1(68-333)
tr|A0A1E4TAE3|A0A1E4TAE3_9ASCO	TMhelix|GT-A	TMhelix(17-39)|Anp1(62-322)
tr|A0A1E4TM46|A0A1E4TM46_9ASCO	TMhelix|GT-A	TMhelix(35-57)|Anp1(70-332)
tr|A0A1E4TQY2|A0A1E4TQY2_PACTA	TMhelix|GT-A	TMhelix(37-54)|Anp1(116-427)
tr|A0A1E4U055|A0A1E4U055_PACTA	TMhelix|GT-A	TMhelix(17-39)|Anp1(69-333)
tr|A0A1E4U329|A0A1E4U329_PACTA	TMhelix|GT-A	TMhelix(77-99)|Anp1(138-399)
tr|A0A1E5R660|A0A1E5R660_9ASCO	TMhelix|GT-A	TMhelix(62-84)|Anp1(210-512)
tr|A0A1E5R7W3|A0A1E5R7W3_9ASCO	TMhelix|GT-A	TMhelix(9-28)|Anp1(92-355)
tr|A0A1E5RFJ4|A0A1E5RFJ4_9ASCO	TMhelix|GT-A	TMhelix(78-100)|Anp1(188-491)
tr|A0A1E5RTD0|A0A1E5RTD0_9ASCO	TMhelix|GT-A	TMhelix(21-43)|Anp1(62-323)
tr|A0A1E5RTG6|A0A1E5RTG6_9ASCO	TMhelix|GT-A	TMhelix(9-28)|Anp1(92-357)
tr|A0A1E5S019|A0A1E5S019_9ASCO	TMhelix|GT-A	TMhelix(12-31)|Anp1(76-337)
tr|A0A1G4JQ26|A0A1G4JQ26_9SACH	TMhelix|GT-A	TMhelix(13-32)|Anp1(95-358)
tr|A0A1G4K0Z6|A0A1G4K0Z6_9SACH	TMhelix|GT-A	TMhelix(7-29)|Anp1(53-314)
tr|A0A1G4M8V5|A0A1G4M8V5_LACFM	TMhelix|GT-A	TMhelix(78-100)|Anp1(120-381)
tr|A0A1G4MI40|A0A1G4MI40_LACFM	TMhelix|GT-A	TMhelix(13-32)|Anp1(96-358)
tr|A0A1J7IQV8|A0A1J7IQV8_9PEZI	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|A0A1J7J5Z8|A0A1J7J5Z8_9PEZI	TMhelix|GT-A	TMhelix(13-35)|Anp1(73-340)
tr|A0A1J9QXW0|A0A1J9QXW0_9PEZI	TMhelix|GT-A	TMhelix(13-30)|Anp1(71-336)
tr|A0A1J9S1U5|A0A1J9S1U5_9PEZI	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-366)
tr|A0A1L0D468|A0A1L0D468_9ASCO	TMhelix|GT-A	TMhelix(45-63)|Anp1(78-340)
tr|A0A1L0DRA5|A0A1L0DRA5_9ASCO	TMhelix|GT-A	TMhelix(21-43)|Anp1(74-335)
tr|A0A1L7WEQ8|A0A1L7WEQ8_9HELO	TMhelix|GT-A	TMhelix(13-35)|Anp1(74-339)
tr|A0A1L9VXB9|A0A1L9VXB9_ASPGL	TMhelix|GT-A	TMhelix(41-63)|Anp1(82-344)
tr|A0A1Q2YJ05|A0A1Q2YJ05_9ASCO	TMhelix|GT-A	TMhelix(35-54)|Anp1(131-442)
tr|A0A1Q5QBN8|A0A1Q5QBN8_9EURO	TMhelix|GT-A	TMhelix(13-30)|Anp1(76-343)
tr|A0A1Q5T9F9|A0A1Q5T9F9_9EURO	TMhelix|GT-A	TMhelix(47-69)|Anp1(88-350)
tr|A0A1Q8RQ18|A0A1Q8RQ18_9PEZI	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|A0A1Q8S793|A0A1Q8S793_9PEZI	TMhelix|GT-A	TMhelix(13-35)|Anp1(56-318)
tr|A0A1U7LT98|A0A1U7LT98_9ASCO	TMhelix|GT-A	TMhelix(13-35)|Anp1(51-308)
tr|A0A1V1T570|A0A1V1T570_9FUNG	TMhelix|GT-A	TMhelix(13-32)|Anp1(67-331)
tr|A0A1V1TFR3|A0A1V1TFR3_9FUNG	TMhelix|GT-A	TMhelix(16-38)|Glyco_tranf_GTA_type(92-344)
tr|A0A1V1TGV1|A0A1V1TGV1_9FUNG	TMhelix|GT-A	TMhelix(55-77)|Anp1(100-362)
tr|A0A1V2L5M7|A0A1V2L5M7_CYBFA	TMhelix|GT-A	TMhelix(59-81)|Anp1(112-373)
tr|A0A1V6P1H5|A0A1V6P1H5_9EURO	TMhelix|GT-A	TMhelix(44-66)|Anp1(85-347)
tr|A0A1V6RNW8|A0A1V6RNW8_9EURO	TMhelix|GT-A	TMhelix(44-66)|Anp1(85-347)
tr|A0A1V6RTN8|A0A1V6RTN8_9EURO	TMhelix|GT-A	TMhelix(44-66)|Anp1(85-347)
tr|A0A1V6TN20|A0A1V6TN20_9EURO	TMhelix|GT-A	TMhelix(45-67)|Anp1(86-348)
tr|A0A1V6V1M8|A0A1V6V1M8_9EURO	TMhelix|GT-A	TMhelix(44-66)|Anp1(85-347)
tr|A0A1V6Z3U6|A0A1V6Z3U6_PENNA	TMhelix|GT-A	TMhelix(44-66)|Anp1(85-347)
tr|A0A1V8T5S2|A0A1V8T5S2_9PEZI	TMhelix|GT-A	TMhelix(13-31)|Anp1(79-340)
tr|A0A1V8UZR1|A0A1V8UZR1_9PEZI	TMhelix|GT-A	TMhelix(13-31)|Anp1(79-308)
tr|A0A1W5DCV9|A0A1W5DCV9_9LECA	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|A0A1X2I512|A0A1X2I512_9FUNG	TMhelix|GT-A	TMhelix(20-42)|Anp1(80-344)
tr|A0A1X2IRA2|A0A1X2IRA2_9FUNG	TMhelix|GT-A	TMhelix(13-32)|Anp1(74-309)
tr|A0A1X2ISV2|A0A1X2ISV2_9FUNG	TMhelix|GT-A	TMhelix(94-113)|Anp1(146-384)
tr|A0A1X7R2A6|A0A1X7R2A6_9SACH	TMhelix|GT-A	TMhelix(13-32)|Anp1(56-317)
tr|A0A1X7R474|A0A1X7R474_9SACH	TMhelix|GT-A	TMhelix(49-71)|Anp1(154-466)
tr|A0A1X7R5G1|A0A1X7R5G1_9SACH	TMhelix|GT-A	TMhelix(7-29)|Glyco_tranf_GTA_type(89-350)
tr|A0A1X7R6H5|A0A1X7R6H5_9SACH	TMhelix|GT-A	TMhelix(15-34)|Anp1(96-359)
tr|A0A1X7RGZ4|A0A1X7RGZ4_ZYMTR	TMhelix|GT-A	TMhelix(39-58)|Anp1(111-370)
tr|A0A1X7S4P6|A0A1X7S4P6_ZYMTR	TMhelix|GT-A	TMhelix(65-87)|Anp1(111-373)
tr|A0A1X7S7K2|A0A1X7S7K2_ZYMTR	TMhelix|GT-A	TMhelix(37-54)|Anp1(106-368)
tr|A0A1Y1YUW2|A0A1Y1YUW2_9PLEO	TMhelix|GT-A	TMhelix(12-30)|Anp1(72-336)
tr|A0A1Y2A9M9|A0A1Y2A9M9_9PLEO	TMhelix|GT-A	TMhelix(31-53)|Anp1(75-337)
tr|A0A1Y2DJP5|A0A1Y2DJP5_9PEZI	TMhelix|GT-A	TMhelix(42-64)|Anp1(86-348)
tr|A0A1Y2E1V8|A0A1Y2E1V8_9PEZI	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|A0A1Y2E695|A0A1Y2E695_9PEZI	TMhelix|GT-A	TMhelix(13-35)|Anp1(60-321)
tr|A0A1Y2EQ31|A0A1Y2EQ31_9BASI	TMhelix|GT-A	TMhelix(45-62)|Anp1(96-351)
tr|A0A1Y2EXH9|A0A1Y2EXH9_9ASCO	TMhelix|GT-A	TMhelix(12-31)|Anp1(53-316)
tr|A0A1Y2FWA9|A0A1Y2FWA9_9BASI	TMhelix|GT-A	TMhelix(25-47)|Anp1(61-316)
tr|A0A1Y2G6E4|A0A1Y2G6E4_9BASI	TMhelix|GT-A	TMhelix(44-66)|Glyco_tranf_GTA_type(131-411)
tr|A0A1Z5SLU4|A0A1Z5SLU4_HORWE	TMhelix|GT-A	TMhelix(65-87)|Anp1(112-374)
tr|A0A1Z5T9A9|A0A1Z5T9A9_HORWE	TMhelix|GT-A	TMhelix(13-31)|Anp1(82-345)
tr|A0A1Z5THY5|A0A1Z5THY5_HORWE	TMhelix|GT-A	TMhelix(32-54)|Anp1(101-384)
tr|A0A1Z5TK35|A0A1Z5TK35_HORWE	TMhelix|GT-A	TMhelix(65-87)|Anp1(112-374)
tr|A0A1Z5TPC5|A0A1Z5TPC5_HORWE	TMhelix|GT-A	TMhelix(134-153)|Anp1(204-462)
tr|A0A225ARS8|A0A225ARS8_9EURO	TMhelix|GT-A	TMhelix(47-69)|Anp1(89-351)
tr|A0A229YH31|A0A229YH31_9EURO	TMhelix|GT-A	TMhelix(47-69)|Anp1(88-350)
tr|A0A238FEP8|A0A238FEP8_9BASI	TMhelix|GT-A	TMhelix(32-54)|Anp1(74-326)
tr|A0A238FFB1|A0A238FFB1_9BASI	TMhelix|GT-A	TMhelix(79-101)|Glyco_tranf_GTA_type(202-483)
tr|A0A238FMM3|A0A238FMM3_9BASI	TMhelix|GT-A	TMhelix(56-75)|Glyco_tranf_GTA_type(117-393)
tr|A0A2B7X0H8|A0A2B7X0H8_9EURO	TMhelix|GT-A	TMhelix(47-69)|Anp1(88-350)
tr|A0A2B7XGN4|A0A2B7XGN4_9EURO	TMhelix|GT-A	TMhelix(27-49)|Anp1(69-331)
tr|A0A2B7ZK80|A0A2B7ZK80_9EURO	TMhelix|GT-A	TMhelix(47-69)|Anp1(88-350)
tr|A0A2B7ZRU3|A0A2B7ZRU3_9EURO	TMhelix|GT-A	TMhelix(45-67)|Anp1(114-375)
tr|A0A2C5WUZ1|A0A2C5WUZ1_9PEZI	TMhelix|GT-A	TMhelix(43-62)|Anp1(85-347)
tr|A0A2C6AKV4|A0A2C6AKV4_9HYPO	TMhelix|GT-A	TMhelix(13-30)|Anp1(71-336)
tr|A0A2D3VNI6|A0A2D3VNI6_9PEZI	TMhelix|GT-A	TMhelix(12-31)|Anp1(80-343)
tr|A0A2G5HLB3|A0A2G5HLB3_CERBT	TMhelix|GT-A	TMhelix(34-56)|Anp1(103-365)
tr|A0A2G5IBB3|A0A2G5IBB3_CERBT	TMhelix|GT-A	TMhelix(13-30)|Anp1(80-343)
tr|A0A2H0ZMV6|A0A2H0ZMV6_CANAR	TMhelix|GT-A	TMhelix(25-44)|Anp1(95-407)
tr|A0A2H1A723|A0A2H1A723_CANAR	TMhelix|GT-A	TMhelix(42-61)|Anp1(77-337)
tr|A0A2H2ZH47|A0A2H2ZH47_9HYPO	TMhelix|GT-A	TMhelix(46-63)|Anp1(85-347)
tr|A0A2H3A3M6|A0A2H3A3M6_9HYPO	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|A0A2H3ETI5|A0A2H3ETI5_9HELO	TMhelix|GT-A	TMhelix(43-65)|Anp1(85-347)
tr|A0A2H3F979|A0A2H3F979_9HELO	TMhelix|GT-A	TMhelix(12-34)|Anp1(73-338)
tr|A0A2H3F9C0|A0A2H3F9C0_9HELO	TMhelix|GT-A	TMhelix(43-65)|Anp1(85-347)
tr|A0A2H3GH19|A0A2H3GH19_FUSOX	TMhelix|GT-A	TMhelix(42-61)|Anp1(85-347)
tr|A0A2H3TLI1|A0A2H3TLI1_FUSOX	TMhelix|GT-A	TMhelix(42-61)|Anp1(85-347)
tr|A0A2I0RU79|A0A2I0RU79_9PEZI	TMhelix|GT-A	TMhelix(13-30)|Anp1(80-343)
tr|A0A2I0S126|A0A2I0S126_9PEZI	TMhelix|GT-A	TMhelix(34-56)|Anp1(103-365)
tr|A0A2J6PRA8|A0A2J6PRA8_9HELO	TMhelix|GT-A	TMhelix(44-66)|Anp1(86-348)
tr|A0A2J6QF57|A0A2J6QF57_9HELO	TMhelix|GT-A	TMhelix(13-35)|Anp1(74-339)
tr|A0A2J6QM34|A0A2J6QM34_9HELO	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-366)
tr|A0A2J6QWK6|A0A2J6QWK6_9HELO	TMhelix|GT-A	TMhelix(44-66)|Anp1(86-348)
tr|A0A2J6RMW8|A0A2J6RMW8_9HELO	TMhelix|GT-A	TMhelix(13-30)|Anp1(71-336)
tr|A0A2J6S005|A0A2J6S005_9HELO	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-381)
tr|A0A2J6SMP9|A0A2J6SMP9_9HELO	TMhelix|GT-A	TMhelix(13-30)|Anp1(71-336)
tr|A0A2J6T1D0|A0A2J6T1D0_9HELO	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-365)
tr|A0A2J6THG3|A0A2J6THG3_9HELO	TMhelix|GT-A	TMhelix(44-66)|Anp1(86-348)
tr|A0A2K0WN31|A0A2K0WN31_GIBNY	TMhelix|GT-A	TMhelix(42-61)|Anp1(85-347)
tr|A0A2K3Q2F8|A0A2K3Q2F8_9HYPO	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|A0A2K3QR53|A0A2K3QR53_9HYPO	TMhelix|GT-A	TMhelix(129-148)|Anp1(171-433)
tr|A0A2N3NHR5|A0A2N3NHR5_9PEZI	TMhelix|GT-A	TMhelix(13-35)|Anp1(63-326)
tr|A0A2N6NHQ3|A0A2N6NHQ3_BEABA	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-364)
tr|A0A2N6NXE0|A0A2N6NXE0_BEABA	TMhelix|GT-A	TMhelix(42-64)|Anp1(85-347)
tr|A0A2P4LSC6|A0A2P4LSC6_QUESU	TMhelix|GT-A	TMhelix(23-45)|Anp1(93-353)
tr|A0A2P5HPK3|A0A2P5HPK3_9PEZI	TMhelix|GT-A	TMhelix(57-79)|Anp1(102-364)
tr|A2R608|A2R608_ASPNC	TMhelix|GT-A	TMhelix(50-72)|Anp1(91-353)
tr|A3LPZ3|A3LPZ3_PICST	TMhelix|GT-A	TMhelix(17-39)|Anp1(74-336)
tr|A3LU43|A3LU43_PICST	TMhelix|GT-A	TMhelix(39-61)|Anp1(74-336)
tr|A5DBD7|A5DBD7_PICGU	TMhelix|GT-A	TMhelix(17-34)|Anp1(72-334)
tr|A5DYU7|A5DYU7_LODEL	TMhelix|GT-A	TMhelix(46-68)|Anp1(81-340)
tr|A5E5P5|A5E5P5_LODEL	TMhelix|GT-A	TMhelix(13-35)|Anp1(88-354)
tr|A7EBX1|A7EBX1_SCLS1	TMhelix|GT-A	TMhelix(13-35)|Anp1(75-340)
tr|A7TI08|A7TI08_VANPO	TMhelix|GT-A	TMhelix(13-32)|Anp1(95-358)
tr|A7TSH8|A7TSH8_VANPO	TMhelix|GT-A	TMhelix(7-29)|Anp1(66-327)
tr|B2B2U0|B2B2U0_PODAN	TMhelix|GT-A	TMhelix(52-74)|Anp1(95-357)
tr|B2B816|B2B816_PODAN	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-361)
tr|B2WFX9|B2WFX9_PYRTR	TMhelix|GT-A	TMhelix(48-70)|Anp1(93-355)
tr|B2WJ63|B2WJ63_PYRTR	TMhelix|GT-A	TMhelix(13-30)|Anp1(69-333)
tr|B6HJM4|B6HJM4_PENRW	TMhelix|GT-A	TMhelix(44-66)|Anp1(85-347)
tr|B6JWN9|B6JWN9_SCHJY	TMhelix|GT-A	TMhelix(37-54)|Anp1(88-349)
tr|B6Q4M1|B6Q4M1_TALMQ	TMhelix|GT-A	TMhelix(13-30)|Anp1(76-343)
tr|B6QG36|B6QG36_TALMQ	TMhelix|GT-A	TMhelix(47-69)|Anp1(89-351)
tr|B8M5B4|B8M5B4_TALSN	TMhelix|GT-A	TMhelix(13-30)|Anp1(76-343)
tr|B8MBN7|B8MBN7_TALSN	TMhelix|GT-A	TMhelix(47-69)|Anp1(89-351)
tr|C1G560|C1G560_PARBD	TMhelix|GT-A	TMhelix(47-69)|Anp1(88-350)
tr|C1GZJ6|C1GZJ6_PARBA	TMhelix|GT-A	TMhelix(47-69)|Anp1(88-350)
tr|C4JDG7|C4JDG7_UNCRE	TMhelix|GT-A	TMhelix(147-169)|Anp1(188-450)
tr|C4R1Q3|C4R1Q3_KOMPG	TMhelix|GT-A	TMhelix(31-53)|Anp1(93-403)
tr|C4R4S8|C4R4S8_KOMPG	TMhelix|GT-A	TMhelix(33-55)|Anp1(74-334)
tr|C4R6V4|C4R6V4_KOMPG	TMhelix|GT-A	TMhelix(20-42)|Anp1(73-337)
tr|C4XW92|C4XW92_CLAL4	TMhelix|GT-A	TMhelix(22-41)|Anp1(98-413)
tr|C4Y3G6|C4Y3G6_CLAL4	TMhelix|GT-A	TMhelix(44-61)|Anp1(76-338)
tr|C5DXX3|C5DXX3_ZYGRC	TMhelix|GT-A	TMhelix(13-35)|Anp1(96-359)
tr|C5E0N4|C5E0N4_ZYGRC	TMhelix|GT-A	TMhelix(44-66)|Anp1(144-456)
tr|C5FEL2|C5FEL2_ARTOC	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-347)
tr|C5FZ55|C5FZ55_ARTOC	TMhelix|GT-A	TMhelix(66-88)|Anp1(107-369)
tr|C5G8B5|C5G8B5_AJEDR	TMhelix|GT-A	TMhelix(32-50)|Anp1(101-362)
tr|C5GN03|C5GN03_AJEDR	TMhelix|GT-A	TMhelix(47-69)|Anp1(88-350)
tr|C5M7M2|C5M7M2_CANTT	TMhelix|GT-A	TMhelix(31-53)|Anp1(75-334)
tr|C7Z902|C7Z902_NECH7	TMhelix|GT-A	TMhelix(42-61)|Anp1(85-347)
tr|C8VM93|C8VM93_EMENI	TMhelix|GT-A	TMhelix(47-69)|Anp1(88-350)
tr|D4AZK7|D4AZK7_ARTBC	TMhelix|GT-A	TMhelix(32-49)|Anp1(122-384)
tr|D5GL70|D5GL70_TUBMM	TMhelix|GT-A	TMhelix(41-63)|Anp1(85-337)
tr|E3QN98|E3QN98_COLGM	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|E3RZ80|E3RZ80_PYRTT	TMhelix|GT-A	TMhelix(46-68)|Anp1(91-353)
tr|E3S991|E3S991_PYRTT	TMhelix|GT-A	TMhelix(13-30)|Anp1(69-333)
tr|E4UVV3|E4UVV3_ARTGP	TMhelix|GT-A	TMhelix(43-65)|Anp1(88-350)
tr|E4ZRW3|E4ZRW3_LEPMJ	TMhelix|GT-A	TMhelix(47-69)|Anp1(91-353)
tr|E5A5D0|E5A5D0_LEPMJ	TMhelix|GT-A	TMhelix(13-30)|Anp1(69-333)
tr|E5R3F8|E5R3F8_ARTGP	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|E7KSA3|E7KSA3_YEASL	TMhelix|GT-A	TMhelix(67-89)|Anp1(169-478)
tr|E7LYJ0|E7LYJ0_YEASV	TMhelix|GT-A	TMhelix(69-91)|Anp1(171-480)
tr|E7M1I1|E7M1I1_YEASV	TMhelix|GT-A	TMhelix(13-32)|Anp1(95-358)
tr|E7QLG7|E7QLG7_YEASZ	TMhelix|GT-A	TMhelix(13-32)|Anp1(95-358)
tr|E9D621|E9D621_COCPS	TMhelix|GT-A	TMhelix(47-69)|Anp1(88-350)
tr|E9DYB5|E9DYB5_METAQ	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|E9EHE4|E9EHE4_METAQ	TMhelix|GT-A	TMhelix(42-61)|Anp1(85-347)
tr|E9ERW0|E9ERW0_METRA	TMhelix|GT-A	TMhelix(42-61)|Anp1(85-347)
tr|E9ESY0|E9ESY0_METRA	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|F0XEY8|F0XEY8_GROCL	TMhelix|GT-A	TMhelix(57-79)|Anp1(99-361)
tr|F0Y613|F0Y613_AURAN	TMhelix|GT-A	TMhelix(118-140)|Glyco_tranf_GTA_type(19-262)
tr|F2PMM9|F2PMM9_TRIEC	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|F2SGJ1|F2SGJ1_TRIRC	TMhelix|GT-A	TMhelix(47-69)|Anp1(88-350)
tr|F2SYI6|F2SYI6_TRIRC	TMhelix|GT-A	TMhelix(30-49)|Anp1(101-363)
tr|F2Z612|F2Z612_YARLI	TMhelix|GT-A	TMhelix(49-66)|Anp1(109-372)
tr|F7VT27|F7VT27_SORMK	TMhelix|GT-A	TMhelix(13-35)|Anp1(74-339)
tr|F7W002|F7W002_SORMK	TMhelix|GT-A	TMhelix(71-93)|Anp1(112-374)
tr|F9X0M6|F9X0M6_ZYMTI	TMhelix|GT-A	TMhelix(12-31)|Anp1(84-343)
tr|F9XJB5|F9XJB5_ZYMTI	TMhelix|GT-A	TMhelix(65-87)|Anp1(111-373)
tr|F9XNI7|F9XNI7_ZYMTI	TMhelix|GT-A	TMhelix(37-54)|Anp1(106-369)
tr|G0RTC2|G0RTC2_HYPJQ	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|G0RX40|G0RX40_HYPJQ	TMhelix|GT-A	TMhelix(46-63)|Anp1(85-347)
tr|G0VAZ1|G0VAZ1_NAUCC	TMhelix|GT-A	TMhelix(47-69)|Anp1(158-470)
tr|G0VBK2|G0VBK2_NAUCC	TMhelix|GT-A	TMhelix(21-40)|Anp1(102-366)
tr|G0VCL3|G0VCL3_NAUCC	TMhelix|GT-A	TMhelix(17-34)|Anp1(93-356)
tr|G0W8S3|G0W8S3_NAUDC	TMhelix|GT-A	TMhelix(20-38)|Anp1(101-370)
tr|G0WAS5|G0WAS5_NAUDC	TMhelix|GT-A	TMhelix(49-71)|Anp1(156-468)
tr|G0WBJ9|G0WBJ9_NAUDC	TMhelix|GT-A	TMhelix(13-35)|Anp1(96-359)
tr|G0WDE9|G0WDE9_NAUDC	TMhelix|GT-A	TMhelix(13-32)|Anp1(87-348)
tr|G1X0G7|G1X0G7_ARTOA	TMhelix|GT-A	TMhelix(61-83)|Anp1(104-365)
tr|G1XIZ9|G1XIZ9_ARTOA	TMhelix|GT-A	TMhelix(34-56)|Glyco_tranf_GTA_type(144-397)
tr|G2Q281|G2Q281_MYCTT	TMhelix|GT-A	TMhelix(13-35)|Anp1(74-339)
tr|G2Q307|G2Q307_MYCTT	TMhelix|GT-A	TMhelix(52-71)|Anp1(103-365)
tr|G2R333|G2R333_THITE	TMhelix|GT-A	TMhelix(54-76)|Anp1(103-362)
tr|G2RF00|G2RF00_THITE	TMhelix|GT-A	TMhelix(13-35)|Anp1(73-338)
tr|G2Y626|G2Y626_BOTF4	TMhelix|GT-A	TMhelix(13-35)|Anp1(75-340)
tr|G2YKB9|G2YKB9_BOTF4	TMhelix|GT-A	TMhelix(49-71)|Anp1(92-354)
tr|G3AR98|G3AR98_SPAPN	TMhelix|GT-A	TMhelix(17-34)|Anp1(71-333)
tr|G3ARY7|G3ARY7_SPAPN	TMhelix|GT-A	TMhelix(29-48)|Anp1(113-423)
tr|G3AUN7|G3AUN7_SPAPN	TMhelix|GT-A	TMhelix(21-39)|Glyco_tranf_GTA_type(84-347)
tr|G3AYS2|G3AYS2_CANTC	TMhelix|GT-A	TMhelix(17-34)|Anp1(77-339)
tr|G3AZU0|G3AZU0_CANTC	TMhelix|GT-A	TMhelix(13-35)|Anp1(47-309)
tr|G3B0X8|G3B0X8_CANTC	TMhelix|GT-A	TMhelix(21-43)|Anp1(87-400)
tr|G3J3Q9|G3J3Q9_CORMM	TMhelix|GT-A	TMhelix(42-64)|Anp1(85-347)
tr|G3JKD5|G3JKD5_CORMM	TMhelix|GT-A	TMhelix(128-150)|Anp1(190-455)
tr|G4N031|G4N031_MAGO7	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|G4UB17|G4UB17_NEUT9	TMhelix|GT-A	TMhelix(13-35)|Anp1(74-339)
tr|G4UE78|G4UE78_NEUT9	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|G7XX75|G7XX75_ASPKW	TMhelix|GT-A	TMhelix(66-88)|Anp1(107-369)
tr|G8BAP5|G8BAP5_CANPC	TMhelix|GT-A	TMhelix(44-63)|Anp1(77-339)
tr|G8C014|G8C014_TETPH	TMhelix|GT-A	TMhelix(13-35)|Anp1(95-358)
tr|G8JQB2|G8JQB2_ERECY	TMhelix|GT-A	TMhelix(13-35)|Anp1(95-356)
tr|G8JQQ9|G8JQQ9_ERECY	TMhelix|GT-A	TMhelix(7-29)|Anp1(50-311)
tr|G8JSC0|G8JSC0_ERECY	TMhelix|GT-A	TMhelix(57-74)|Anp1(158-471)
tr|G8YDV8|G8YDV8_PICSO	TMhelix|GT-A	TMhelix(17-39)|Anp1(76-319)
tr|G8YPN9|G8YPN9_PICSO	TMhelix|GT-A	TMhelix(12-34)|Anp1(47-309)
tr|G8YR49|G8YR49_PICSO	TMhelix|GT-A	TMhelix(12-34)|Anp1(48-309)
tr|G8ZNJ1|G8ZNJ1_TORDC	TMhelix|GT-A	TMhelix(46-68)|Anp1(147-456)
tr|G8ZNS2|G8ZNS2_TORDC	TMhelix|GT-A	TMhelix(13-35)|Anp1(96-359)
tr|G8ZRK7|G8ZRK7_TORDC	TMhelix|GT-A	TMhelix(7-26)|Anp1(57-319)
tr|G9MJ33|G9MJ33_HYPVG	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|G9MYR5|G9MYR5_HYPVG	TMhelix|GT-A	TMhelix(42-61)|Anp1(85-347)
tr|G9NN72|G9NN72_HYPAI	TMhelix|GT-A	TMhelix(42-61)|Anp1(85-347)
tr|G9PBE7|G9PBE7_HYPAI	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|H1V4X6|H1V4X6_COLHI	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-363)
tr|H2AMW9|H2AMW9_KAZAF	TMhelix|GT-A	TMhelix(46-68)|Anp1(146-455)
tr|H2AYZ3|H2AYZ3_KAZAF	TMhelix|GT-A	TMhelix(16-34)|Anp1(98-361)
tr|H3HBA7|H3HBA7_PHYRM	TMhelix|GT-A	TMhelix(51-73)|Glyco_tranf_GTA_type(127-353)
tr|H6C204|H6C204_EXODN	TMhelix|GT-A	TMhelix(17-36)|Anp1(80-345)
tr|I1CCE2|I1CCE2_RHIO9	TMhelix|GT-A	TMhelix(12-31)|Anp1(64-299)
tr|I1RRV9|I1RRV9_GIBZE	TMhelix|GT-A	TMhelix(13-35)|Anp1(76-341)
tr|I2GY57|I2GY57_TETBL	TMhelix|GT-A	TMhelix(13-35)|Anp1(72-333)
tr|I2GYG6|I2GYG6_TETBL	TMhelix|GT-A	TMhelix(40-62)|Anp1(154-466)
tr|I2H8B3|I2H8B3_TETBL	TMhelix|GT-A	TMhelix(13-31)|Anp1(93-356)
tr|I2JW75|I2JW75_DEKBR	TMhelix|GT-A	TMhelix(23-42)|Anp1(65-324)
tr|J3P5P1|J3P5P1_GAGT3	TMhelix|GT-A	TMhelix(51-73)|Anp1(96-358)
tr|J4VTF1|J4VTF1_BEAB2	TMhelix|GT-A	TMhelix(32-49)|Anp1(101-364)
tr|J4WCG5|J4WCG5_BEAB2	TMhelix|GT-A	TMhelix(42-64)|Anp1(85-347)
tr|J5S0V1|J5S0V1_SACK1	TMhelix|GT-A	TMhelix(21-43)|Anp1(62-323)
