tr|Q01A30|Q01A30_OSTTA	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(142-164)|TMhelix(184-206)|TMhelix(506-528)|TMhelix(538-560)|TMhelix(572-594)
tr|A0A182E031|A0A182E031_ONCOC	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(13-35)|TMhelix(60-82)|BcsA(49-459)|Glyco_trans_2_3(192-377)|TMhelix(353-375)|TMhelix(388-410)|TMhelix(422-444)
tr|A0A182R259|A0A182R259_ANOFN	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(9-31)|TMhelix(51-73)|BcsA(52-447)|Glyco_trans_2_3(185-361)|TMhelix(346-368)|TMhelix(378-400)|TMhelix(407-429)
tr|A0A182T4G0|A0A182T4G0_9DIPT	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(9-31)|TMhelix(51-73)|BcsA(52-447)|Glyco_trans_2_3(185-379)|TMhelix(346-368)|TMhelix(378-400)|TMhelix(407-429)
tr|A0A182VVF5|A0A182VVF5_9DIPT	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(9-31)|TMhelix(51-73)|BcsA(68-447)|Glyco_trans_2_3(185-361)|TMhelix(346-368)|TMhelix(378-400)|TMhelix(407-429)
tr|A0A182XYA8|A0A182XYA8_ANOST	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(34-56)|TMhelix(76-98)|BcsA(77-472)|Glyco_trans_2_3(210-404)|TMhelix(371-393)|TMhelix(403-425)|TMhelix(432-454)
tr|A0A195BVY6|A0A195BVY6_9HYME	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(9-31)|TMhelix(46-68)|BcsA(41-436)|Glyco_trans_2_3(185-373)|TMhelix(346-368)|TMhelix(378-400)|TMhelix(407-429)
tr|A0A195CR99|A0A195CR99_9HYME	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(9-31)|TMhelix(46-68)|BcsA(45-439)|Glyco_trans_2_3(185-373)|TMhelix(346-368)|TMhelix(378-400)|TMhelix(407-429)
tr|A0A195EMY3|A0A195EMY3_9HYME	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(9-31)|TMhelix(46-68)|BcsA(41-436)|Glyco_trans_2_3(185-373)|TMhelix(346-368)|TMhelix(378-400)|TMhelix(407-429)
tr|A0A195FLC8|A0A195FLC8_9HYME	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(9-31)|TMhelix(46-68)|BcsA(41-436)|Glyco_trans_2_3(185-373)|TMhelix(346-368)|TMhelix(378-400)|TMhelix(407-429)
tr|A0A1D2MW90|A0A1D2MW90_ORCCI	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(9-31)|TMhelix(61-83)|BcsA(48-453)|Glyco_trans_2_3(189-365)|TMhelix(350-372)|TMhelix(382-404)|TMhelix(417-439)
tr|A0A1I7VTI4|A0A1I7VTI4_LOALO	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(13-35)|TMhelix(63-85)|BcsA(52-460)|Glyco_trans_2_3(193-391)|TMhelix(354-376)|TMhelix(386-408)|TMhelix(421-443)
tr|A0A1I8CYU2|A0A1I8CYU2_9BILA	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(9-31)|TMhelix(51-73)|BcsA(54-436)|Glyco_trans_2_3(187-366)|TMhelix(352-374)|TMhelix(379-401)|TMhelix(414-433)
tr|A0A1I8PNZ8|A0A1I8PNZ8_STOCA	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-28)|TMhelix(54-76)|BcsA(40-422)|Glyco_trans_2_3(184-372)|TMhelix(345-367)|TMhelix(377-399)|TMhelix(406-428)
tr|A0A226E495|A0A226E495_FOLCA	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(9-31)|TMhelix(46-68)|BcsA(44-452)|Glyco_trans_2_3(189-377)|TMhelix(355-377)|TMhelix(381-403)|TMhelix(416-438)
tr|A0A2J7QAN6|A0A2J7QAN6_9NEOP	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|TMhelix(54-76)|BcsA(50-447)|Glyco_trans_2_3(184-372)|TMhelix(345-367)|TMhelix(377-399)|TMhelix(406-428)
tr|A0A2M8L053|A0A2M8L053_9BACT	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(45-62)|TMhelix(72-94)|BcsA(73-466)|Glyco_trans_2_3(216-399)|TMhelix(379-401)|TMhelix(411-433)|TMhelix(454-476)
tr|C5A4C9|C5A4C9_THEGJ	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(46-68)|TMhelix(83-100)|BcsA(83-474)|Glyco_trans_2_3(218-406)|TMhelix(382-404)|TMhelix(414-431)|TMhelix(450-472)
tr|D2A043|D2A043_TRICA	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(12-34)|TMhelix(49-71)|BcsA(53-442)|Glyco_trans_2_3(191-367)|TMhelix(352-374)|TMhelix(384-406)|TMhelix(413-435)
tr|E0W2B3|E0W2B3_PEDHC	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(9-31)|TMhelix(51-73)|BcsA(47-437)|Glyco_trans_2_3(186-376)|TMhelix(347-369)|TMhelix(379-401)|TMhelix(408-430)
tr|E1ZZ85|E1ZZ85_CAMFO	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(9-31)|TMhelix(46-68)|BcsA(41-436)|Glyco_trans_2_3(185-373)|TMhelix(346-368)|TMhelix(378-400)|TMhelix(407-429)
tr|E2BLQ5|E2BLQ5_HARSA	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(9-31)|TMhelix(51-73)|BcsA(45-436)|Glyco_trans_2_3(185-373)|TMhelix(346-368)|TMhelix(378-400)|TMhelix(407-429)
tr|F4WVG4|F4WVG4_ACREC	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(9-31)|TMhelix(46-68)|BcsA(41-436)|Glyco_trans_2_3(185-373)|TMhelix(346-368)|TMhelix(378-400)|TMhelix(407-429)
tr|K7IYU6|K7IYU6_NASVI	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(29-51)|TMhelix(71-93)|BcsA(88-469)|Glyco_trans_2_3(205-393)|TMhelix(366-388)|TMhelix(398-420)|TMhelix(427-449)
tr|U6NPT1|U6NPT1_HAECO	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|TMhelix(53-75)|BcsA(45-427)|Glyco_trans_2_3(183-371)|TMhelix(345-364)|TMhelix(379-401)|TMhelix(413-435)
tr|T1I475|T1I475_RHOPR	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix	TMhelix(13-32)|TMhelix(42-64)|BcsA(45-423)|Glyco_trans_2_3(185-373)|TMhelix(378-400)|TMhelix(407-429)
tr|A0A182U057|A0A182U057_9DIPT	TMhelix|TMhelix|GT-A	TMhelix(9-31)|TMhelix(51-73)|Glyco_trans_2_3(185-270)
tr|A0A1Y3BLH2|A0A1Y3BLH2_EURMA	TMhelix|TMhelix|GT-A	TMhelix(7-26)|TMhelix(55-77)|Glyco_tranf_GTA_type(186-264)
tr|A0A2A2JFZ9|A0A2A2JFZ9_9BILA	TMhelix|TMhelix|GT-A	TMhelix(7-29)|TMhelix(55-77)|Glyco_trans_2_3(185-361)
tr|A0A0F2TAD3|A0A0F2TAD3_STRR3	TMhelix|TMhelix|CcmH|GT|TMhelix|TMhelix|TMhelix	TMhelix(22-41)|TMhelix(51-73)|CcmH(46-90)|Glyco_tranf_2_3(91-343)|TMhelix(366-388)|TMhelix(392-414)|TMhelix(435-457)
tr|A0A1E7MZI9|A0A1E7MZI9_KITAU	TMhelix|TMhelix|CcmH|GT|TMhelix|TMhelix|TMhelix	TMhelix(31-50)|TMhelix(60-82)|CcmH(55-99)|Glyco_tranf_2_3(100-352)|TMhelix(369-391)|TMhelix(401-423)|TMhelix(444-466)
tr|A0A2S4Z0G0|A0A2S4Z0G0_9ACTN	TMhelix|TMhelix|CcmH|GT|TMhelix|TMhelix|TMhelix	TMhelix(29-48)|TMhelix(58-80)|CcmH(48-104)|Glyco_tranf_2_3(99-352)|TMhelix(369-391)|TMhelix(401-423)|TMhelix(444-466)
tr|G7DY21|G7DY21_MIXOS	TMhelix|TMhelix|Acyltransferase|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|TMhelix|TMhelix	TMhelix(605-627)|TMhelix(648-665)|Acyl_transf_3(458-856)|TMhelix(675-697)|TMhelix(718-740)|TMhelix(836-858)|TMhelix(976-995)|TMhelix(1010-1032)|Glyco_trans_2_3(1138-1311)|TMhelix(1289-1311)|TMhelix(1326-1348)
tr|A0A2N3URT6|A0A2N3URT6_9ACTN	TMhelix|MATE_like|TMhelix|GT|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(30-48)|MATE_like(32-82)|TMhelix(58-80)|Glyco_tranf_2_3(99-351)|TMhelix(348-370)|TMhelix(374-393)|TMhelix(406-423)|TMhelix(443-465)
tr|D4GQ07|D4GQ07_HALVD	TMhelix|HopW1-1|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|HopW1-1(71-147)|Glyco_tranf_GTA_type(129-308)|TMhelix(279-301)|TMhelix(305-327)|TMhelix(339-361)
tr|A0A0V0YN73|A0A0V0YN73_TRIPS	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|PLN02327	TMhelix(20-42)|Glyco_trans_2_3(196-381)|TMhelix(362-384)|TMhelix(388-410)|TMhelix(423-445)|PLN02327(455-791)
tr|A0A023ESK1|A0A023ESK1_AEDAL	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(58-80)|Glyco_trans_2_3(185-361)|TMhelix(346-368)|TMhelix(378-400)|TMhelix(407-429)
tr|A0A060HNH7|A0A060HNH7_9ARCH	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|BcsA(2-441)|TMhelix(310-332)|TMhelix(375-397)|TMhelix(410-432)
tr|A0A063ZPP4|A0A063ZPP4_9EURY	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|BcsA(129-344)|TMhelix(280-299)|TMhelix(309-331)|TMhelix(338-360)
tr|A0A0N9Y7E8|A0A0N9Y7E8_9ARCH	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(4-26)|BcsA(6-358)|TMhelix(304-326)|TMhelix(378-400)|TMhelix(421-443)
tr|A0A0P5ZD50|A0A0P5ZD50_9CRUS	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(56-78)|Glyco_trans_2_3(242-424)|TMhelix(403-425)|TMhelix(435-457)|TMhelix(469-491)
tr|A0A0V0UAE9|A0A0V0UAE9_9BILA	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(20-42)|Glyco_trans_2_3(199-384)|TMhelix(365-387)|TMhelix(391-413)|TMhelix(426-448)
tr|A0A0V0W731|A0A0V0W731_9BILA	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(20-42)|Glyco_trans_2_3(199-409)|TMhelix(390-412)|TMhelix(416-438)|TMhelix(451-473)
tr|A0A0V1A692|A0A0V1A692_9BILA	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(20-42)|Glyco_trans_2_3(199-406)|TMhelix(387-409)|TMhelix(413-435)|TMhelix(448-470)
tr|A0A182FJZ2|A0A182FJZ2_ANOAL	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(51-73)|Glyco_trans_2_3(185-379)|TMhelix(346-368)|TMhelix(378-399)|TMhelix(412-434)
tr|A0A182IWH4|A0A182IWH4_9DIPT	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(55-77)|Glyco_trans_2_3(185-379)|TMhelix(346-368)|TMhelix(378-400)|TMhelix(407-429)
tr|A0A182N1I5|A0A182N1I5_9DIPT	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(55-77)|Glyco_trans_2_3(185-379)|TMhelix(346-368)|TMhelix(378-400)|TMhelix(407-429)
tr|A0A1B0D345|A0A1B0D345_PHLPP	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(54-76)|Glyco_trans_2_3(184-372)|TMhelix(350-372)|TMhelix(376-398)|TMhelix(411-433)
tr|A0A1D1VFZ4|A0A1D1VFZ4_RAMVA	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(63-85)|Glyco_trans_2_3(193-383)|TMhelix(357-379)|TMhelix(389-408)|TMhelix(415-437)
tr|A0A1D8S310|A0A1D8S310_9EURY	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|BcsA(122-324)|TMhelix(274-296)|TMhelix(303-325)|TMhelix(335-357)
tr|A0A1F8P090|A0A1F8P090_9CHLR	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(4-23)|Glyco_trans_2_3(126-323)|TMhelix(285-307)|TMhelix(311-330)|TMhelix(351-373)
tr|A0A1F8PCJ5|A0A1F8PCJ5_9CHLR	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(4-23)|BcsA(3-387)|TMhelix(286-308)|TMhelix(312-334)|TMhelix(355-377)
tr|A0A1G9TQM0|A0A1G9TQM0_9EURY	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(76-98)|BcsA(190-406)|TMhelix(343-365)|TMhelix(370-392)|TMhelix(399-421)
tr|A0A1H3GHX0|A0A1H3GHX0_9EURY	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|BcsA(8-325)|TMhelix(280-302)|TMhelix(307-329)|TMhelix(338-360)
tr|A0A1H6W0Z8|A0A1H6W0Z8_9EURY	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|BcsA(106-327)|TMhelix(276-295)|TMhelix(305-327)|TMhelix(334-356)
tr|A0A1I6FM36|A0A1I6FM36_HALSD	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(53-75)|BcsA(50-323)|TMhelix(320-342)|TMhelix(347-369)|TMhelix(376-398)
tr|A0A1M5M2R2|A0A1M5M2R2_9EURY	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(6-28)|Glyco_tranf_GTA_type(122-300)|TMhelix(275-297)|TMhelix(301-323)|TMhelix(330-352)
tr|A0A1W4XIE0|A0A1W4XIE0_AGRPL	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(47-69)|Glyco_trans_2_3(181-396)|TMhelix(348-370)|TMhelix(374-396)|TMhelix(403-425)
tr|A0A2A2F5X1|A0A2A2F5X1_9EURY	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|BcsA(121-347)|TMhelix(271-293)|TMhelix(303-325)|TMhelix(332-354)
tr|A0A2C9LSB5|A0A2C9LSB5_BIOGL	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(29-51)|Glyco_trans_2_3(163-357)|TMhelix(326-348)|TMhelix(353-375)|TMhelix(387-406)
tr|A0A2G1WGE0|A0A2G1WGE0_9EURY	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|BcsA(121-347)|TMhelix(271-293)|TMhelix(303-325)|TMhelix(332-354)
tr|A0A2G1X243|A0A2G1X243_9EURY	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|BcsA(124-347)|TMhelix(271-293)|TMhelix(303-325)|TMhelix(332-354)
tr|A0A2G6HCK1|A0A2G6HCK1_9ACTO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(38-60)|Glyco_tranf_GTA_type(161-366)|TMhelix(325-347)|TMhelix(356-378)|TMhelix(398-420)
tr|A0A2P6KP78|A0A2P6KP78_NEPCL	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(70-92)|Glyco_trans_2_3(200-401)|TMhelix(366-388)|TMhelix(392-414)|TMhelix(427-449)
tr|B0XIH2|B0XIH2_CULQU	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(58-80)|Glyco_trans_2_3(188-361)|TMhelix(346-368)|TMhelix(378-400)|TMhelix(407-429)
tr|B4GUX8|B4GUX8_DROPE	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(36-58)|Glyco_trans_2_3(166-354)|TMhelix(327-349)|TMhelix(359-381)|TMhelix(388-410)
tr|B4JX91|B4JX91_DROGR	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(60-82)|Glyco_trans_2_3(190-378)|TMhelix(351-373)|TMhelix(383-405)|TMhelix(412-434)
tr|B4L1D8|B4L1D8_DROMO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(55-77)|Glyco_trans_2_3(185-373)|TMhelix(346-368)|TMhelix(378-400)|TMhelix(407-429)
tr|B4M782|B4M782_DROVI	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(55-77)|Glyco_trans_2_3(185-373)|TMhelix(346-368)|TMhelix(378-400)|TMhelix(407-429)
tr|B4MSR7|B4MSR7_DROWI	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(58-80)|Glyco_trans_2_3(188-376)|TMhelix(349-371)|TMhelix(381-403)|TMhelix(410-432)
tr|E3J4S9|E3J4S9_FRAIE	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(4-26)|Glyco_trans_2_3(131-336)|TMhelix(295-317)|TMhelix(327-349)|TMhelix(369-391)
tr|F8D2X5|F8D2X5_HALXS	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(15-34)|BcsA(128-262)|TMhelix(280-299)|TMhelix(309-331)|TMhelix(338-360)
tr|G2MKB3|G2MKB3_9EURY	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|BcsA(2-276)|TMhelix(264-286)|TMhelix(291-313)|TMhelix(320-339)
tr|L9XQB9|L9XQB9_9EURY	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|BcsA(1-352)|TMhelix(275-297)|TMhelix(302-324)|TMhelix(331-353)
tr|M0FJF0|M0FJF0_9EURY	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|BcsA(126-325)|TMhelix(276-298)|TMhelix(305-327)|TMhelix(337-359)
tr|M0M802|M0M802_HALMO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(4-26)|BcsA(4-322)|TMhelix(274-296)|TMhelix(300-319)|TMhelix(332-354)
tr|M0MEP1|M0MEP1_HALMO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(15-37)|BcsA(125-354)|TMhelix(277-299)|TMhelix(304-323)|TMhelix(330-352)
tr|M0MFA6|M0MFA6_9EURY	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(15-37)|Glyco_tranf_GTA_type(127-308)|TMhelix(280-302)|TMhelix(306-327)|TMhelix(334-356)
tr|M0ML37|M0ML37_9EURY	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|BcsA(112-351)|TMhelix(279-301)|TMhelix(306-328)|TMhelix(340-362)
tr|M0N196|M0N196_HALMO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-29)|BcsA(1-338)|TMhelix(274-296)|TMhelix(300-322)|TMhelix(334-356)
tr|Q18ID3|Q18ID3_HALWD	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(9-31)|BcsA(124-347)|TMhelix(276-295)|TMhelix(304-326)|TMhelix(336-358)
tr|Q29GT6|Q29GT6_DROPS	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(54-76)|Glyco_trans_2_3(184-372)|TMhelix(345-367)|TMhelix(377-399)|TMhelix(406-428)
tr|Q8ZZW8|Q8ZZW8_PYRAE	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|Glyco_trans_2_3(113-298)|TMhelix(263-280)|TMhelix(284-306)|TMhelix(313-332)
tr|T1GS72|T1GS72_MEGSC	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(54-76)|Glyco_trans_2_3(184-256)|TMhelix(265-287)|TMhelix(297-319)|TMhelix(332-354)
tr|T1JBR4|T1JBR4_STRMM	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(13-32)|Glyco_trans_2_3(185-373)|TMhelix(351-373)|TMhelix(377-399)|TMhelix(412-434)
tr|U1NB39|U1NB39_9EURY	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|BcsA(110-328)|TMhelix(282-304)|TMhelix(309-328)|TMhelix(340-362)
tr|U3A1S9|U3A1S9_9EURY	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(42-64)|BcsA(143-380)|TMhelix(310-332)|TMhelix(336-355)|TMhelix(368-390)
tr|V4IW66|V4IW66_9EURY	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|BcsA(12-338)|TMhelix(286-308)|TMhelix(318-340)|TMhelix(347-369)
tr|V4J1W8|V4J1W8_9EURY	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|BcsA(124-360)|TMhelix(276-295)|TMhelix(315-337)|TMhelix(344-366)
tr|V4XKG9|V4XKG9_9ARCH	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|Glyco_trans_2_3(129-297)|TMhelix(272-294)|TMhelix(309-331)|TMhelix(338-360)
tr|W0JLN4|W0JLN4_9EURY	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|BcsA(113-345)|TMhelix(280-299)|TMhelix(309-331)|TMhelix(338-360)
tr|W5JJS7|W5JJS7_ANODA	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(51-73)|Glyco_trans_2_3(185-379)|TMhelix(346-368)|TMhelix(378-399)|TMhelix(412-434)
tr|A0A146FQD5|A0A146FQD5_9EURO	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(21-43)|Glyco_trans_2_3(199-375)|TMhelix(354-376)|TMhelix(420-442)
tr|A0A1H0RJS8|A0A1H0RJS8_9MICC	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glyco_trans_2_3(165-358)|TMhelix(346-368)|TMhelix(388-410)
tr|A0A1I7UQR6|A0A1I7UQR6_9PELO	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(44-66)|Glyco_trans_2_3(184-372)|TMhelix(345-366)|TMhelix(376-395)
tr|A0A1W0WYI6|A0A1W0WYI6_HYPDU	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(31-53)|Glyco_tranf_GTA_type(216-414)|TMhelix(393-415)|TMhelix(440-462)
tr|A0A238W191|A0A238W191_9ACTN	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|Glyco_tranf_GTA_type(162-365)|TMhelix(343-365)|TMhelix(385-407)
tr|A4WJT7|A4WJT7_PYRAR	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(5-27)|Glyco_tranf_GTA_type(113-247)|TMhelix(265-287)|TMhelix(315-334)
tr|A7BVJ0|A7BVJ0_9GAMM	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(10-32)|BcsA(1-340)|TMhelix(294-313)|TMhelix(318-340)
tr|B8D344|B8D344_DESA1	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(12-34)|Glyco_trans_2_3(129-315)|TMhelix(293-315)|TMhelix(336-358)
tr|D5U0U7|D5U0U7_THEAM	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(15-34)|Glyco_trans_2_3(144-322)|TMhelix(294-316)|TMhelix(336-358)
tr|H3EMH2|H3EMH2_PRIPA	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(15-37)|Glyco_trans_2_3(127-312)|TMhelix(288-310)|TMhelix(320-351)
tr|I3TFY9|I3TFY9_THEC1	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(13-35)|Glyco_tranf_GTA_type(131-324)|TMhelix(296-318)|TMhelix(338-360)
tr|V4JI98|V4JI98_9CREN	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(27-49)|BcsA(202-385)|TMhelix(316-338)|TMhelix(353-375)
tr|E9GYD0|E9GYD0_DAPPU	TMhelix|GT-A|TMhelix|GT-A|TMhelix|TMhelix	TMhelix(16-38)|Glyco_trans_2_3(202-380)|TMhelix(363-385)|BcsA(301-468)|TMhelix(390-412)|TMhelix(433-455)
tr|A0A1H3I1W0|A0A1H3I1W0_9ACTN	TMhelix|GT-A|TMhelix|GT-A|TMhelix	TMhelix(10-32)|Glyco_tranf_GTA_type(164-362)|TMhelix(345-367)|Glyco_tranf_GTA_type(267-462)|TMhelix(387-409)
tr|D9Q0M3|D9Q0M3_ACIS3	TMhelix|GT-A|TMhelix	TMhelix(20-42)|BcsA(7-311)|TMhelix(345-367)
tr|L0AAX9|L0AAX9_CALLD	TMhelix|GT-A|TMhelix	TMhelix(31-53)|BcsA(29-367)|TMhelix(355-377)
tr|A0A127A419|A0A127A419_9MICC	TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|BcsA(4-398)|Glyco_tranf_GTA_type(165-358)|TMhelix(346-368)|TMhelix(388-410)|TMhelix(423-445)
tr|A0A1F8Q8J3|A0A1F8Q8J3_9CHLR	TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(4-23)|BcsA(5-375)|Glyco_tranf_GTA_type(126-304)|TMhelix(284-306)|TMhelix(311-328)|TMhelix(349-371)
tr|A0A1I6I4Q6|A0A1I6I4Q6_9EURY	TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-30)|Glyco_tranf_GTA_type(60-215)|BcsA(155-326)|TMhelix(275-294)|TMhelix(304-326)|TMhelix(333-355)
tr|A0A1J1IV97|A0A1J1IV97_9DIPT	TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(39-58)|BcsA(41-460)|Glyco_trans_2_3(183-377)|TMhelix(349-371)|TMhelix(375-397)|TMhelix(410-432)
tr|A0A1Q9P1R8|A0A1Q9P1R8_9ARCH	TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-29)|BcsA(1-475)|Glyco_tranf_GTA_type(166-369)|TMhelix(348-370)|TMhelix(400-422)|TMhelix(443-465)
tr|A0A1S3IZD9|A0A1S3IZD9_LINUN	TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(54-76)|BcsA(46-434)|Glyco_trans_2_3(184-360)|TMhelix(345-367)|TMhelix(377-396)|TMhelix(405-427)
tr|A0A1S4EFF4|A0A1S4EFF4_DIACI	TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|BcsA(50-433)|Glyco_trans_2_3(183-330)|TMhelix(332-354)|TMhelix(374-396)|TMhelix(409-431)
