tr|D3B9T6|D3B9T6_POLPP	ZnF_GATA|GT	ZnF_GATA(428-468)|GlcNAc(610-934)
tr|H3GVK4|H3GVK4_PHYRM	GT	GlcNAc(165-435)
tr|H3NU47|H3NU47_9GAMM	GT	GlcNAc(6-304)
tr|H5WVV4|H5WVV4_9BURK	GT	GlcNAc(6-304)
tr|I1YKK7|I1YKK7_METFJ	GT	GlcNAc(5-293)
tr|J4WP89|J4WP89_9GAMM	GT	GlcNAc(3-300)
tr|K6FDX7|K6FDX7_9GAMM	GT	GlcNAc(3-297)
tr|K8YS24|K8YS24_NANGC	GT	GlcNAc(83-410)
tr|L8HGY6|L8HGY6_ACACA	GT	GlcNAc(4-350)
tr|Q0WCW1|Q0WCW1_YERPE	GT	GlcNAc(6-316)
tr|Q113Y5|Q113Y5_TRIEI	GT	GlcNAc(3-287)
tr|Q3AIL0|Q3AIL0_SYNSC	GT	GlcNAc(4-308)
tr|Q63P40|Q63P40_BURPS	GT	GlcNAc(4-328)
tr|Q7U806|Q7U806_SYNPX	GT	GlcNAc(4-308)
tr|R1BFT5|R1BFT5_EMIHU	GT	GlcNAc(37-359)
tr|R1BMC5|R1BMC5_EMIHU	GT	GlcNAc(206-558)
tr|R1CPV2|R1CPV2_EMIHU	GT	GlcNAc(47-353)
tr|R1ERS5|R1ERS5_EMIHU	GT	GlcNAc(47-353)
tr|R4L652|R4L652_9ACTN	GT	GlcNAc(2-287)
tr|S9PP94|S9PP94_9DELT	GT	GlcNAc(7-305)
tr|S9TP19|S9TP19_9TRYP	GT	GlcNAc(279-682)
tr|S9UUF3|S9UUF3_9TRYP	GT	GlcNAc(195-512)
tr|S9VUC0|S9VUC0_9TRYP	GT	GlcNAc(66-340)
tr|U5VT04|U5VT04_9ACTN	GT	GlcNAc(2-287)
tr|W4G6K9|W4G6K9_9STRA	GT	GlcNAc(57-366)
tr|W6KKZ9|W6KKZ9_9TRYP	GT	GlcNAc(222-605)
tr|X6LIN7|X6LIN7_RETFI	GT	GlcNAc(19-190)
tr|X6MQK6|X6MQK6_RETFI	GT	GlcNAc(43-308)
tr|X6MXZ8|X6MXZ8_RETFI	GT	GlcNAc(101-362)
tr|X6NJL6|X6NJL6_RETFI	GT	GlcNAc(13-277)
tr|S9UC28|S9UC28_9TRYP	DUF959|GT	DUF959(52-136)|GlcNAc(482-807)
tr|C1E1Y6|C1E1Y6_MICCC	DnaJ|GT	DnaJ(219-247)|GlcNAc(302-732)
tr|K8ECG8|K8ECG8_9CHLO	DnaJ|3a0801s09|GT	DnaJ(17-71)|3a0801s09(100-185)|GlcNAc(590-1016)
tr|A0A1Q9CYG9|A0A1Q9CYG9_SYMMI	cupin_like|FBPase|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|Choline_transpo|GT	cupin_like(122-262)|FBPase(407-754)|TMhelix(1015-1034)|TMhelix(1039-1061)|TMhelix(1071-1093)|TMhelix(1106-1128)|TMhelix(1143-1160)|TMhelix(1167-1189)|Choline_transpo(1109-1338)|GlcNAc(1628-1970)
tr|A0A2K3E3K2|A0A2K3E3K2_CHLRE	2OG-FeII_Oxy|Oxygenase|GT	2OG-FeII_Oxy(96-229)|2OG-FeII_Oxy_3(327-366)|GlcNAc(487-731)
tr|A0A138ZYQ2|A0A138ZYQ2_GONPR	2OG-FeII_Oxy|GT	2OG-FeII_Oxy(12-176)|GlcNAc(205-561)
