tr|A0A199UHN5|A0A199UHN5_ANACO	zf-Dof|GT	zf-Dof(87-137)|PLN02829(204-685)
tr|A0A2J6LCZ9|A0A2J6LCZ9_LACSA	TMhelix|PLN02659	TMhelix(39-61)|PLN02659(1-533)
tr|A0A2K3NRH6|A0A2K3NRH6_TRIPR	TMhelix|PLN02659	TMhelix(39-61)|PLN02659(1-531)
tr|A0A2P4LM08|A0A2P4LM08_QUESU	TMhelix|PLN02659	TMhelix(33-55)|PLN02659(1-533)
tr|A0A2P5C4A6|A0A2P5C4A6_9ROSA	TMhelix|PLN02659	TMhelix(37-54)|PLN02659(1-533)
tr|A0A2P5CKA9|A0A2P5CKA9_PARAD	TMhelix|PLN02659	TMhelix(37-54)|PLN02659(1-533)
tr|A0A2P5RYN7|A0A2P5RYN7_GOSBA	TMhelix|PLN02659	TMhelix(32-54)|PLN02659(1-423)
tr|A0A2P6QBP1|A0A2P6QBP1_ROSCH	TMhelix|PLN02659	TMhelix(37-54)|PLN02659(1-533)
tr|A0A2R6QDE4|A0A2R6QDE4_ACTCH	TMhelix|PLN02659	TMhelix(33-55)|PLN02659(1-533)
tr|A0A2R6QWU6|A0A2R6QWU6_ACTCH	TMhelix|PLN02659	TMhelix(39-61)|PLN02659(1-533)
tr|B9I087|B9I087_POPTR	TMhelix|PLN02659	TMhelix(37-54)|PLN02659(1-532)
tr|B9SA11|B9SA11_RICCO	TMhelix|PLN02659	TMhelix(37-54)|PLN02659(1-459)
tr|D7MUC4|D7MUC4_ARALL	TMhelix|PLN02659	TMhelix(39-61)|PLN02659(1-535)
tr|E0CT53|E0CT53_VITVI	TMhelix|PLN02659	TMhelix(39-61)|PLN02659(1-533)
tr|G7IHE2|G7IHE2_MEDTR	TMhelix|PLN02659	TMhelix(48-70)|PLN02659(10-541)
tr|G7JLQ5|G7JLQ5_MEDTR	TMhelix|PLN02659	TMhelix(25-42)|PLN02659(1-464)
tr|I1KEF1|I1KEF1_SOYBN	TMhelix|PLN02659	TMhelix(37-59)|PLN02659(1-532)
tr|I1LSN3|I1LSN3_SOYBN	TMhelix|PLN02659	TMhelix(37-59)|PLN02659(1-532)
tr|I1LUR4|I1LUR4_SOYBN	TMhelix|PLN02659	TMhelix(39-61)|PLN02659(1-533)
tr|I1M3I1|I1M3I1_SOYBN	TMhelix|PLN02659	TMhelix(39-61)|PLN02659(1-533)
tr|K4CH88|K4CH88_SOLLC	TMhelix|PLN02659	TMhelix(39-61)|PLN02659(1-533)
tr|K4CXI1|K4CXI1_SOLLC	TMhelix|PLN02659	TMhelix(35-57)|PLN02659(1-533)
tr|M0SUB8|M0SUB8_MUSAM	TMhelix|PLN02659	TMhelix(37-54)|PLN02659(1-501)
tr|M0T303|M0T303_MUSAM	TMhelix|PLN02659	TMhelix(37-54)|PLN02659(1-479)
tr|M1B569|M1B569_SOLTU	TMhelix|PLN02659	TMhelix(35-57)|PLN02659(1-533)
tr|M1BNU2|M1BNU2_SOLTU	TMhelix|PLN02659	TMhelix(39-61)|PLN02659(1-533)
tr|M4CFI1|M4CFI1_BRARP	TMhelix|PLN02659	TMhelix(39-61)|PLN02659(1-535)
tr|M4E1T9|M4E1T9_BRARP	TMhelix|PLN02659	TMhelix(39-61)|PLN02659(1-534)
tr|M5X0L1|M5X0L1_PRUPE	TMhelix|PLN02659	TMhelix(37-59)|PLN02659(1-533)
tr|S8E328|S8E328_9LAMI	TMhelix|PLN02659	TMhelix(39-61)|PLN02659(2-533)
tr|U5GXM5|U5GXM5_POPTR	TMhelix|PLN02659	TMhelix(37-54)|PLN02659(1-533)
tr|V7AHC8|V7AHC8_PHAVU	TMhelix|PLN02659	TMhelix(37-54)|PLN02659(1-532)
tr|V7BXA8|V7BXA8_PHAVU	TMhelix|PLN02659	TMhelix(39-61)|PLN02659(1-533)
tr|W1NSS1|W1NSS1_AMBTC	TMhelix|PLN02659	TMhelix(53-75)|PLN02659(16-548)
tr|A0A2P5R7E4|A0A2P5R7E4_GOSBA	TMhelix|GT|TMhelix	TMhelix(38-60)|PLN02870(1-544)|TMhelix(542-564)
tr|A0A164U257|A0A164U257_DAUCA	TMhelix|GT|Rad60-SLD_2	TMhelix(38-60)|PLN02870(1-507)|Rad60-SLD_2(515-624)
tr|A0A2J6K8G1|A0A2J6K8G1_LACSA	TMhelix|GT|Rad60-SLD_2	TMhelix(38-60)|PLN02870(1-510)|Rad60-SLD_2(504-598)
tr|A0A0E0MBW4|A0A0E0MBW4_ORYPU	TMhelix|GT|GT	TMhelix(66-88)|PLN02769(45-697)|PLN02769(698-1218)
tr|A0A1J7HI64|A0A1J7HI64_LUPAN	TMhelix|GT-A|TMhelix|GT-A	TMhelix(20-42)|PLN02523(27-233)|TMhelix(273-295)|PLN02523(282-810)
sp|Q2HJ96|GL8D2_BOVIN	TMhelix|GT-A	TMhelix(7-24)|Glyco_tranf_GTA_type(69-336)
sp|Q9FWA4|GAUT9_ARATH	TMhelix|GT-A	TMhelix(23-45)|PLN02523(17-561)
sp|Q9H1C3|GL8D2_HUMAN	TMhelix|GT-A	TMhelix(7-24)|Glyco_tranf_GTA_type(51-336)
sp|Q9LSG3|GAUT8_ARATH	TMhelix|GT-A	TMhelix(21-43)|PLN02523(1-559)
tr|A0A061DP31|A0A061DP31_THECC	TMhelix|GT-A	TMhelix(21-43)|PLN02523(1-560)
tr|A0A061ENG9|A0A061ENG9_THECC	TMhelix|GT-A	TMhelix(28-50)|PLN02523(1-553)
tr|A0A061GC66|A0A061GC66_THECC	TMhelix|GT-A	TMhelix(55-72)|Glyco_tranf_GTA_type(125-384)
tr|A0A067FR87|A0A067FR87_CITSI	TMhelix|GT-A	TMhelix(20-42)|PLN02523(1-560)
tr|A0A067JR44|A0A067JR44_JATCU	TMhelix|GT-A	TMhelix(21-43)|PLN02523(6-560)
tr|A0A067JXP5|A0A067JXP5_JATCU	TMhelix|GT-A	TMhelix(24-46)|PLN02523(18-562)
tr|A0A0P6D7Q5|A0A0P6D7Q5_9CRUS	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(77-335)
tr|A0A0R0GJA9|A0A0R0GJA9_SOYBN	TMhelix|GT-A	TMhelix(17-39)|PLN02523(1-552)
tr|A0A103XKV1|A0A103XKV1_CYNCS	TMhelix|GT-A	TMhelix(23-45)|PLN02523(1-558)
tr|A0A103XNV8|A0A103XNV8_CYNCS	TMhelix|GT-A	TMhelix(37-59)|PLN02523(1-577)
tr|A0A103YH34|A0A103YH34_CYNCS	TMhelix|GT-A	TMhelix(23-45)|PLN02523(14-562)
tr|A0A124SIC4|A0A124SIC4_CYNCS	TMhelix|GT-A	TMhelix(26-48)|PLN02523(15-575)
tr|A0A151RZU0|A0A151RZU0_CAJCA	TMhelix|GT-A	TMhelix(17-39)|PLN02523(1-552)
tr|A0A151SNL6|A0A151SNL6_CAJCA	TMhelix|GT-A	TMhelix(13-35)|PLN02523(13-555)
tr|A0A151SX99|A0A151SX99_CAJCA	TMhelix|GT-A	TMhelix(21-43)|PLN02523(10-561)
tr|A0A164UQG4|A0A164UQG4_DAUCA	TMhelix|GT-A	TMhelix(22-44)|PLN02523(18-560)
tr|A0A176VGG5|A0A176VGG5_MARPO	TMhelix|GT-A	TMhelix(19-38)|PLN02523(2-554)
tr|A0A1J7H120|A0A1J7H120_LUPAN	TMhelix|GT-A	TMhelix(13-35)|PLN02523(14-551)
tr|A0A1L8GY89|A0A1L8GY89_XENLA	TMhelix|GT-A	TMhelix(21-38)|Glyco_tranf_GTA_type(62-347)
tr|A0A1Q3AWY3|A0A1Q3AWY3_CEPFO	TMhelix|GT-A	TMhelix(23-45)|PLN02523(19-564)
tr|A0A1Q3BS52|A0A1Q3BS52_CEPFO	TMhelix|GT-A	TMhelix(20-42)|PLN02523(1-559)
tr|A0A1R3G3I3|A0A1R3G3I3_COCAP	TMhelix|GT-A	TMhelix(23-45)|PLN02523(20-560)
tr|A0A1R3H891|A0A1R3H891_COCAP	TMhelix|GT-A	TMhelix(34-56)|PLN02523(31-572)
tr|A0A1R3HZP7|A0A1R3HZP7_9ROSI	TMhelix|GT-A	TMhelix(23-45)|PLN02523(20-560)
tr|A0A1R3KF22|A0A1R3KF22_9ROSI	TMhelix|GT-A	TMhelix(34-56)|PLN02523(27-572)
tr|A0A1S2YMY0|A0A1S2YMY0_CICAR	TMhelix|GT-A	TMhelix(17-39)|PLN02523(1-555)
tr|A0A1S2Z4Q1|A0A1S2Z4Q1_CICAR	TMhelix|GT-A	TMhelix(13-35)|PLN02523(8-554)
tr|A0A1S3C177|A0A1S3C177_CUCME	TMhelix|GT-A	TMhelix(22-44)|PLN02523(1-550)
tr|A0A1S3C5F8|A0A1S3C5F8_CUCME	TMhelix|GT-A	TMhelix(24-46)|PLN02523(24-566)
tr|A0A1S3C6X0|A0A1S3C6X0_CUCME	TMhelix|GT-A	TMhelix(22-44)|PLN02523(6-566)
tr|A0A1S3IZA2|A0A1S3IZA2_LINUN	TMhelix|GT-A	TMhelix(17-36)|Glyco_tranf_GTA_type(75-356)
tr|A0A1S3P3P6|A0A1S3P3P6_SALSA	TMhelix|GT-A	TMhelix(21-38)|GT8_like_1(83-369)
tr|A0A1S3TWQ8|A0A1S3TWQ8_VIGRR	TMhelix|GT-A	TMhelix(13-35)|PLN02523(8-555)
tr|A0A1S3UCV4|A0A1S3UCV4_VIGRR	TMhelix|GT-A	TMhelix(13-35)|PLN02523(19-550)
tr|A0A1S3VUZ2|A0A1S3VUZ2_VIGRR	TMhelix|GT-A	TMhelix(17-39)|PLN02523(1-546)
tr|A0A1S4A3S7|A0A1S4A3S7_TOBAC	TMhelix|GT-A	TMhelix(21-43)|PLN02523(14-546)
tr|A0A1S4B9M5|A0A1S4B9M5_TOBAC	TMhelix|GT-A	TMhelix(29-51)|PLN02523(20-520)
tr|A0A1S4D1G7|A0A1S4D1G7_TOBAC	TMhelix|GT-A	TMhelix(21-43)|PLN02523(14-546)
tr|A0A1U7WDQ8|A0A1U7WDQ8_NICSY	TMhelix|GT-A	TMhelix(29-51)|PLN02523(20-566)
tr|A0A1U7XM91|A0A1U7XM91_NICSY	TMhelix|GT-A	TMhelix(21-43)|PLN02523(14-546)
tr|A0A1U7Z741|A0A1U7Z741_NELNU	TMhelix|GT-A	TMhelix(30-52)|PLN02523(1-568)
tr|A0A1U8A7H0|A0A1U8A7H0_NELNU	TMhelix|GT-A	TMhelix(28-50)|PLN02523(25-569)
tr|A0A1U8H237|A0A1U8H237_CAPAN	TMhelix|GT-A	TMhelix(21-43)|PLN02523(2-559)
tr|A0A1U8IK29|A0A1U8IK29_GOSHI	TMhelix|GT-A	TMhelix(43-65)|Glyco_tranf_GTA_type(110-354)
tr|A0A1U8KFM4|A0A1U8KFM4_GOSHI	TMhelix|GT-A	TMhelix(43-65)|Glyco_tranf_GTA_type(115-348)
tr|A0A1U8M169|A0A1U8M169_GOSHI	TMhelix|GT-A	TMhelix(30-52)|PLN02523(5-568)
tr|A0A1U8NC20|A0A1U8NC20_GOSHI	TMhelix|GT-A	TMhelix(23-45)|PLN02523(20-560)
tr|A0A1U8NX61|A0A1U8NX61_GOSHI	TMhelix|GT-A	TMhelix(28-50)|PLN02523(1-563)
tr|A0A1U8P467|A0A1U8P467_GOSHI	TMhelix|GT-A	TMhelix(23-45)|PLN02523(18-556)
tr|A0A1U8P470|A0A1U8P470_GOSHI	TMhelix|GT-A	TMhelix(30-52)|PLN02523(23-568)
tr|A0A1U8P6D4|A0A1U8P6D4_GOSHI	TMhelix|GT-A	TMhelix(28-50)|PLN02523(1-563)
tr|A0A1V4K8P6|A0A1V4K8P6_PATFA	TMhelix|GT-A	TMhelix(7-29)|GT8_like_1(67-352)
tr|A0A200QBQ9|A0A200QBQ9_9MAGN	TMhelix|GT-A	TMhelix(27-49)|PLN02523(14-537)
tr|A0A200QIL4|A0A200QIL4_9MAGN	TMhelix|GT-A	TMhelix(29-48)|PLN02523(21-562)
tr|A0A218VCS5|A0A218VCS5_9PASE	TMhelix|GT-A	TMhelix(7-29)|GT8_like_1(67-352)
tr|A0A218VVA0|A0A218VVA0_PUNGR	TMhelix|GT-A	TMhelix(24-46)|PLN02523(21-553)
tr|A0A218XD77|A0A218XD77_PUNGR	TMhelix|GT-A	TMhelix(12-34)|PLN02523(1-561)
tr|A0A226NPK4|A0A226NPK4_CALSU	TMhelix|GT-A	TMhelix(20-39)|Glyco_tranf_GTA_type(65-350)
tr|A0A251Q508|A0A251Q508_PRUPE	TMhelix|GT-A	TMhelix(24-46)|PLN02523(21-562)
tr|A0A251U7V1|A0A251U7V1_HELAN	TMhelix|GT-A	TMhelix(23-45)|PLN02523(17-565)
tr|A0A251UTY0|A0A251UTY0_HELAN	TMhelix|GT-A	TMhelix(22-44)|PLN02523(19-561)
tr|A0A251UYQ9|A0A251UYQ9_HELAN	TMhelix|GT-A	TMhelix(40-62)|PLN02523(33-572)
tr|A0A2D0PIG4|A0A2D0PIG4_ICTPU	TMhelix|GT-A	TMhelix(27-49)|GT8_like_1(86-369)
tr|A0A2G2WN90|A0A2G2WN90_CAPBA	TMhelix|GT-A	TMhelix(21-43)|PLN02523(2-559)
tr|A0A2G2XHQ5|A0A2G2XHQ5_CAPBA	TMhelix|GT-A	TMhelix(19-41)|PLN02523(14-539)
tr|A0A2G3ABX0|A0A2G3ABX0_CAPAN	TMhelix|GT-A	TMhelix(19-41)|PLN02523(14-539)
tr|A0A2G3CCA0|A0A2G3CCA0_CAPCH	TMhelix|GT-A	TMhelix(21-43)|PLN02523(2-559)
tr|A0A2G3D904|A0A2G3D904_CAPCH	TMhelix|GT-A	TMhelix(19-41)|PLN02523(14-539)
tr|A0A2G9G2I2|A0A2G9G2I2_9LAMI	TMhelix|GT-A	TMhelix(21-43)|PLN02523(18-553)
tr|A0A2G9GC71|A0A2G9GC71_9LAMI	TMhelix|GT-A	TMhelix(21-43)|PLN02523(21-552)
tr|A0A2G9GSA4|A0A2G9GSA4_9LAMI	TMhelix|GT-A	TMhelix(21-43)|PLN02523(18-546)
tr|A0A2G9H5L2|A0A2G9H5L2_9LAMI	TMhelix|GT-A	TMhelix(21-43)|PLN02523(18-557)
tr|A0A2G9H8Z4|A0A2G9H8Z4_9LAMI	TMhelix|GT-A	TMhelix(31-53)|PLN02523(1-570)
tr|A0A2G9I8W7|A0A2G9I8W7_9LAMI	TMhelix|GT-A	TMhelix(31-53)|PLN02523(25-568)
tr|A0A2H3XIK1|A0A2H3XIK1_PHODC	TMhelix|GT-A	TMhelix(20-42)|PLN02523(5-531)
tr|A0A2H3YR78|A0A2H3YR78_PHODC	TMhelix|GT-A	TMhelix(16-38)|PLN02523(3-536)
tr|A0A2H5NIQ7|A0A2H5NIQ7_CITUN	TMhelix|GT-A	TMhelix(20-42)|PLN02523(1-560)
tr|A0A2H5P1K9|A0A2H5P1K9_CITUN	TMhelix|GT-A	TMhelix(21-43)|PLN02523(1-559)
tr|A0A2I0A5B4|A0A2I0A5B4_9ASPA	TMhelix|GT-A	TMhelix(21-40)|PLN02523(3-523)
tr|A0A2I0B0C7|A0A2I0B0C7_9ASPA	TMhelix|GT-A	TMhelix(48-70)|PLN02523(58-570)
tr|A0A2I4DJQ0|A0A2I4DJQ0_9ROSI	TMhelix|GT-A	TMhelix(60-82)|PLN02523(37-598)
tr|A0A2I4EBY8|A0A2I4EBY8_9ROSI	TMhelix|GT-A	TMhelix(24-46)|PLN02523(1-562)
tr|A0A2I4H1Z6|A0A2I4H1Z6_9ROSI	TMhelix|GT-A	TMhelix(25-47)|PLN02523(6-569)
tr|A0A2J6K7A1|A0A2J6K7A1_LACSA	TMhelix|GT-A	TMhelix(37-59)|PLN02523(35-577)
tr|A0A2J6KRC9|A0A2J6KRC9_LACSA	TMhelix|GT-A	TMhelix(23-45)|PLN02523(21-555)
tr|A0A2J6KSK3|A0A2J6KSK3_LACSA	TMhelix|GT-A	TMhelix(23-45)|PLN02523(1-551)
tr|A0A2J6LNR9|A0A2J6LNR9_LACSA	TMhelix|GT-A	TMhelix(37-59)|PLN02523(17-579)
tr|A0A2J8XM71|A0A2J8XM71_PONAB	TMhelix|GT-A	TMhelix(7-24)|Glyco_tranf_GTA_type(51-336)
tr|A0A2K1IIQ2|A0A2K1IIQ2_PHYPA	TMhelix|GT-A	TMhelix(55-77)|Glyco_tranf_GTA_type(161-485)
tr|A0A2K1IVM7|A0A2K1IVM7_PHYPA	TMhelix|GT-A	TMhelix(56-78)|Glyco_tranf_GTA_type(162-486)
tr|A0A2K1X673|A0A2K1X673_POPTR	TMhelix|GT-A	TMhelix(23-45)|PLN02523(20-558)
tr|A0A2K3MUK8|A0A2K3MUK8_TRIPR	TMhelix|GT-A	TMhelix(17-39)|PLN02523(17-555)
tr|A0A2K3NBI2|A0A2K3NBI2_TRIPR	TMhelix|GT-A	TMhelix(13-35)|PLN02523(8-550)
tr|A0A2K5HJM6|A0A2K5HJM6_COLAP	TMhelix|GT-A	TMhelix(7-24)|Glyco_tranf_GTA_type(51-336)
tr|A0A2K5L290|A0A2K5L290_CERAT	TMhelix|GT-A	TMhelix(7-24)|Glyco_tranf_GTA_type(51-336)
tr|A0A2K5Z832|A0A2K5Z832_MANLE	TMhelix|GT-A	TMhelix(10-28)|Glyco_tranf_GTA_type(55-340)
tr|A0A2K6BUN7|A0A2K6BUN7_MACNE	TMhelix|GT-A	TMhelix(7-24)|Glyco_tranf_GTA_type(51-336)
tr|A0A2K6FYU5|A0A2K6FYU5_PROCO	TMhelix|GT-A	TMhelix(7-24)|Glyco_tranf_GTA_type(69-293)
tr|A0A2K6KAB1|A0A2K6KAB1_RHIBE	TMhelix|GT-A	TMhelix(7-24)|Glyco_tranf_GTA_type(51-336)
tr|A0A2K6QW46|A0A2K6QW46_RHIRO	TMhelix|GT-A	TMhelix(7-24)|Glyco_tranf_GTA_type(51-336)
tr|A0A2K6S754|A0A2K6S754_SAIBB	TMhelix|GT-A	TMhelix(7-24)|Glyco_tranf_GTA_type(51-336)
tr|A0A2P4KDD7|A0A2P4KDD7_QUESU	TMhelix|GT-A	TMhelix(28-50)|PLN02523(1-566)
tr|A0A2P5AHQ5|A0A2P5AHQ5_PARAD	TMhelix|GT-A	TMhelix(21-43)|PLN02523(1-563)
tr|A0A2P5ALY8|A0A2P5ALY8_9ROSA	TMhelix|GT-A	TMhelix(25-47)|PLN02523(24-563)
tr|A0A2P5CAL1|A0A2P5CAL1_PARAD	TMhelix|GT-A	TMhelix(25-47)|PLN02523(24-563)
tr|A0A2P5CE84|A0A2P5CE84_9ROSA	TMhelix|GT-A	TMhelix(20-42)|PLN02523(1-562)
tr|A0A2P5Q174|A0A2P5Q174_GOSBA	TMhelix|GT-A	TMhelix(23-45)|PLN02523(20-559)
tr|A0A2P5QLU2|A0A2P5QLU2_GOSBA	TMhelix|GT-A	TMhelix(28-50)|PLN02523(1-563)
tr|A0A2P5RNM0|A0A2P5RNM0_GOSBA	TMhelix|GT-A	TMhelix(30-52)|PLN02523(23-569)
tr|A0A2P6PU58|A0A2P6PU58_ROSCH	TMhelix|GT-A	TMhelix(21-43)|PLN02523(1-564)
tr|A0A2P6S3G7|A0A2P6S3G7_ROSCH	TMhelix|GT-A	TMhelix(22-44)|PLN02523(1-542)
tr|A0A2R6P9X6|A0A2R6P9X6_ACTCH	TMhelix|GT-A	TMhelix(24-46)|PLN02523(1-560)
tr|A0A2R6QSK1|A0A2R6QSK1_ACTCH	TMhelix|GT-A	TMhelix(25-47)|PLN02523(7-566)
tr|A0A2R6RKJ6|A0A2R6RKJ6_ACTCH	TMhelix|GT-A	TMhelix(24-46)|PLN02523(1-560)
tr|A0A2R6WBQ5|A0A2R6WBQ5_MARPO	TMhelix|GT-A	TMhelix(19-38)|PLN02523(2-554)
tr|A0A2R8RIX2|A0A2R8RIX2_DANRE	TMhelix|GT-A	TMhelix(12-31)|Glyco_tranf_GTA_type(64-350)
tr|A0A2R9A4J7|A0A2R9A4J7_PANPA	TMhelix|GT-A	TMhelix(7-24)|Glyco_tranf_GTA_type(51-336)
tr|B9SXT3|B9SXT3_RICCO	TMhelix|GT-A	TMhelix(25-47)|PLN02523(17-563)
tr|B9T3B4|B9T3B4_RICCO	TMhelix|GT-A	TMhelix(21-43)|PLN02523(1-566)
tr|D7KZG1|D7KZG1_ARALL	TMhelix|GT-A	TMhelix(23-45)|PLN02523(17-561)
tr|D7MVS5|D7MVS5_ARALL	TMhelix|GT-A	TMhelix(21-43)|PLN02523(1-559)
tr|D7SMK4|D7SMK4_VITVI	TMhelix|GT-A	TMhelix(20-42)|PLN02523(1-543)
tr|D8S996|D8S996_SELML	TMhelix|GT-A	TMhelix(13-35)|PLN02523(15-540)
tr|F1M570|F1M570_RAT	TMhelix|GT-A	TMhelix(4-26)|Glyco_tranf_GTA_type(70-337)
tr|F1PTP8|F1PTP8_CANLF	TMhelix|GT-A	TMhelix(31-53)|GT8_like_1(97-382)
tr|F1SH98|F1SH98_PIG	TMhelix|GT-A	TMhelix(40-62)|GT8_like_1(100-385)
tr|F6HCQ2|F6HCQ2_VITVI	TMhelix|GT-A	TMhelix(20-42)|PLN02523(9-558)
tr|F6V7I4|F6V7I4_MACMU	TMhelix|GT-A	TMhelix(7-24)|Glyco_tranf_GTA_type(51-336)
tr|F7FIG5|F7FIG5_ORNAN	TMhelix|GT-A	TMhelix(7-29)|Glyco_tranf_GTA_type(66-351)
tr|F7GE36|F7GE36_MONDO	TMhelix|GT-A	TMhelix(7-24)|Glyco_tranf_GTA_type(68-335)
tr|G1R427|G1R427_NOMLE	TMhelix|GT-A	TMhelix(7-24)|Glyco_tranf_GTA_type(51-336)
tr|G3RHZ2|G3RHZ2_GORGO	TMhelix|GT-A	TMhelix(7-24)|Glyco_tranf_GTA_type(51-309)
tr|G3ST45|G3ST45_LOXAF	TMhelix|GT-A	TMhelix(5-24)|Glyco_tranf_GTA_type(69-336)
tr|G3VMX3|G3VMX3_SARHA	TMhelix|GT-A	TMhelix(7-24)|Glyco_tranf_GTA_type(69-336)
tr|G7ZV05|G7ZV05_MEDTR	TMhelix|GT-A	TMhelix(17-39)|PLN02523(1-555)
tr|H0Z5T4|H0Z5T4_TAEGU	TMhelix|GT-A	TMhelix(7-29)|GT8_like_1(67-352)
tr|H2Q6R4|H2Q6R4_PANTR	TMhelix|GT-A	TMhelix(7-24)|Glyco_tranf_GTA_type(51-336)
tr|H2ZX91|H2ZX91_LATCH	TMhelix|GT-A	TMhelix(7-29)|Glyco_tranf_GTA_type(67-354)
tr|I1KZ34|I1KZ34_SOYBN	TMhelix|GT-A	TMhelix(13-35)|PLN02523(2-555)
tr|I1N201|I1N201_SOYBN	TMhelix|GT-A	TMhelix(13-35)|PLN02523(2-555)
tr|I1N6I1|I1N6I1_SOYBN	TMhelix|GT-A	TMhelix(17-39)|PLN02523(1-552)
tr|K4BC95|K4BC95_SOLLC	TMhelix|GT-A	TMhelix(21-43)|PLN02523(14-546)
tr|L5K8I6|L5K8I6_PTEAL	TMhelix|GT-A	TMhelix(45-67)|GT8_like_1(106-391)
tr|L5LDP1|L5LDP1_MYODS	TMhelix|GT-A	TMhelix(73-95)|GT8_like_1(133-418)
tr|L9LAB2|L9LAB2_TUPCH	TMhelix|GT-A	TMhelix(5-24)|Glyco_tranf_GTA_type(70-294)
tr|M0ZLT9|M0ZLT9_SOLTU	TMhelix|GT-A	TMhelix(21-43)|PLN02523(1-546)
tr|M4CA12|M4CA12_BRARP	TMhelix|GT-A	TMhelix(20-42)|PLN02523(1-539)
tr|M4DF32|M4DF32_BRARP	TMhelix|GT-A	TMhelix(21-43)|PLN02523(1-569)
tr|M4DY70|M4DY70_BRARP	TMhelix|GT-A	TMhelix(20-42)|PLN02523(1-551)
tr|M5VZF3|M5VZF3_PRUPE	TMhelix|GT-A	TMhelix(21-43)|PLN02523(5-561)
tr|R1EPD4|R1EPD4_EMIHU	TMhelix|GT-A	TMhelix(49-71)|Glyco_tranf_GTA_type(102-358)
tr|S8CE36|S8CE36_9LAMI	TMhelix|GT-A	TMhelix(21-43)|PLN02523(21-557)
tr|U3IBC5|U3IBC5_ANAPL	TMhelix|GT-A	TMhelix(5-27)|GT8_like_1(70-357)
tr|U5GIL2|U5GIL2_POPTR	TMhelix|GT-A	TMhelix(23-45)|PLN02523(20-562)
tr|U5GJF5|U5GJF5_POPTR	TMhelix|GT-A	TMhelix(43-65)|Glyco_tranf_GTA_type(105-378)
tr|V7C225|V7C225_PHAVU	TMhelix|GT-A	TMhelix(17-39)|PLN02523(1-546)
tr|W4Z6T8|W4Z6T8_STRPU	TMhelix|GT-A	TMhelix(5-27)|Glyco_tranf_GTA_type(63-328)
tr|W5MX00|W5MX00_LEPOC	TMhelix|GT-A	TMhelix(5-27)|GT8_like_1(68-353)
sp|Q0WV13|GAUTD_ARATH	TMhelix|GT	TMhelix(38-60)|PLN02870(1-533)
sp|Q8GWT1|GAUTE_ARATH	TMhelix|GT	TMhelix(38-60)|PLN02870(1-532)
sp|Q949Q1|GAUTB_ARATH	TMhelix|GT	TMhelix(19-41)|PLN02742(1-536)
sp|Q9SKT6|GAUTA_ARATH	TMhelix|GT	TMhelix(21-43)|PLN02742(2-536)
sp|Q9ZVI7|GAUT7_ARATH	TMhelix|GT	TMhelix(20-42)|PLN02769(15-618)
tr|A0A061E2Z4|A0A061E2Z4_THECC	TMhelix|GT	TMhelix(19-36)|PLN02742(1-533)
tr|A0A061EGT3|A0A061EGT3_THECC	TMhelix|GT	TMhelix(38-60)|PLN02870(1-533)
tr|A0A061ELN6|A0A061ELN6_THECC	TMhelix|GT	TMhelix(21-43)|PLN02769(14-610)
tr|A0A061FZ40|A0A061FZ40_THECC	TMhelix|GT	TMhelix(16-38)|PLN02742(1-535)
tr|A0A067DYU6|A0A067DYU6_CITSI	TMhelix|GT	TMhelix(19-36)|PLN02742(1-532)
tr|A0A067FLD5|A0A067FLD5_CITSI	TMhelix|GT	TMhelix(25-47)|PLN02769(18-642)
tr|A0A067FQE3|A0A067FQE3_CITSI	TMhelix|GT	TMhelix(17-39)|PLN02742(1-535)
tr|A0A067GBE2|A0A067GBE2_CITSI	TMhelix|GT	TMhelix(42-64)|PLN02870(1-537)
tr|A0A067JP82|A0A067JP82_JATCU	TMhelix|GT	TMhelix(17-39)|PLN02769(9-641)
tr|A0A067JXE1|A0A067JXE1_JATCU	TMhelix|GT	TMhelix(13-32)|PLN02742(2-529)
tr|A0A067K5I3|A0A067K5I3_JATCU	TMhelix|GT	TMhelix(16-38)|PLN02742(1-532)
tr|A0A067K621|A0A067K621_JATCU	TMhelix|GT	TMhelix(40-62)|PLN02870(1-535)
tr|A0A072UBU7|A0A072UBU7_MEDTR	TMhelix|GT	TMhelix(21-43)|PLN02769(6-661)
tr|A0A072V1Q3|A0A072V1Q3_MEDTR	TMhelix|GT	TMhelix(16-38)|PLN02742(1-535)
tr|A0A072V914|A0A072V914_MEDTR	TMhelix|GT	TMhelix(20-42)|PLN02742(1-587)
tr|A0A0D3FFC4|A0A0D3FFC4_9ORYZ	TMhelix|GT	TMhelix(32-54)|PLN02870(39-534)
tr|A0A0D3FJS9|A0A0D3FJS9_9ORYZ	TMhelix|GT	TMhelix(26-45)|PLN02742(8-541)
tr|A0A0D3G038|A0A0D3G038_9ORYZ	TMhelix|GT	TMhelix(136-158)|PLN02742(119-669)
tr|A0A0D3HHM3|A0A0D3HHM3_9ORYZ	TMhelix|GT	TMhelix(20-42)|PLN02769(1-642)
tr|A0A0D3HQT8|A0A0D3HQT8_9ORYZ	TMhelix|GT	TMhelix(21-43)|PLN02769(46-659)
tr|A0A0D3HW24|A0A0D3HW24_9ORYZ	TMhelix|GT	TMhelix(57-79)|PLN02870(1-552)
