tr|A0A2I4BCB5|A0A2I4BCB5_9TELE	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(13-30)|TMhelix(45-67)|TMhelix(79-96)|MGAT2(172-524)
tr|A0A2P4GNB6|A0A2P4GNB6_QUESU	GT-A	MGAT2(80-414)
tr|A0A2P5SJ98|A0A2P5SJ98_GOSBA	GT-A	MGAT2(85-384)
tr|A0A2P5WQU8|A0A2P5WQU8_GOSBA	GT-A	MGAT2(76-412)
tr|A0A2P6KWF2|A0A2P6KWF2_NEPCL	GT-A	MGAT2(85-430)
tr|A0A2R6QE87|A0A2R6QE87_ACTCH	GT-A	MGAT2(89-417)
tr|A2XAL4|A2XAL4_ORYSI	GT-A	MGAT2(88-426)
tr|A4IG58|A4IG58_DANRE	GT-A	MGAT2(91-443)
tr|B3S8T7|B3S8T7_TRIAD	GT-A	MGAT2(7-363)
tr|B4LSN6|B4LSN6_DROVI	GT-A	MGAT2(81-427)
tr|B5X4D8|B5X4D8_SALSA	GT-A	MGAT2(106-458)
tr|B9IAT6|B9IAT6_POPTR	GT-A	MGAT2(91-419)
tr|B9SW46|B9SW46_RICCO	GT-A	MGAT2(90-418)
tr|C3Y3M2|C3Y3M2_BRAFL	GT-A	MGAT2(2-354)
tr|C5XV13|C5XV13_SORBI	GT-A	MGAT2(104-438)
tr|D2HIE3|D2HIE3_AILME	GT-A	MGAT2(92-439)
tr|D8QY16|D8QY16_SELML	GT-A	MGAT2(83-416)
tr|E0V922|E0V922_PEDHC	GT-A	MGAT2(59-408)
tr|E3NF79|E3NF79_CAERE	GT-A	MGAT2(96-439)
tr|E9FX39|E9FX39_DAPPU	GT-A	MGAT2(2-355)
tr|F2UKB7|F2UKB7_SALR5	GT-A	MGAT2(172-525)
tr|F2UNG5|F2UNG5_SALR5	GT-A	MGAT2(149-361)
tr|F2URD8|F2URD8_SALR5	GT-A	MGAT2(136-401)
tr|F6HHP8|F6HHP8_VITVI	GT-A	MGAT2(90-418)
tr|F6PWZ6|F6PWZ6_HORSE	GT-A	MGAT2(1-306)
tr|F6QME8|F6QME8_XENTR	GT-A	MGAT2(4-348)
tr|F6SNS1|F6SNS1_MONDO	GT-A	MGAT2(75-420)
tr|F6TV00|F6TV00_ORNAN	GT-A	MGAT2(80-431)
tr|G0N8M9|G0N8M9_CAEBE	GT-A	MGAT2(101-447)
tr|G0N8N1|G0N8N1_CAEBE	GT-A	MGAT2(101-447)
tr|G1Q5I6|G1Q5I6_MYOLU	GT-A	MGAT2(98-445)
tr|G1T9H4|G1T9H4_RABIT	GT-A	MGAT2(92-440)
tr|G3IH20|G3IH20_CRIGR	GT-A	MGAT2(87-435)
tr|G3NKB0|G3NKB0_GASAC	GT-A	MGAT2(55-399)
tr|G3PHC3|G3PHC3_GASAC	GT-A	MGAT2(84-436)
tr|G3SSC5|G3SSC5_LOXAF	GT-A	MGAT2(93-441)
tr|G3VUH6|G3VUH6_SARHA	GT-A	MGAT2(75-442)
tr|G5BW66|G5BW66_HETGA	GT-A	MGAT2(92-440)
tr|G7PA72|G7PA72_MACFA	GT-A	MGAT2(45-393)
tr|H0VDY2|H0VDY2_CAVPO	GT-A	MGAT2(92-440)
tr|H0XN69|H0XN69_OTOGA	GT-A	MGAT2(92-440)
tr|H2MJF2|H2MJF2_ORYLA	GT-A	MGAT2(89-441)
tr|H2MM59|H2MM59_ORYLA	GT-A	MGAT2(69-413)
tr|H2NL64|H2NL64_PONAB	GT-A	MGAT2(92-440)
tr|H2SGT6|H2SGT6_TAKRU	GT-A	MGAT2(63-408)
tr|H2XN21|H2XN21_CIOIN	GT-A	MGAT2(61-406)
tr|H3AA66|H3AA66_LATCH	GT-A	MGAT2(93-439)
tr|H3C9U4|H3C9U4_TETNG	GT-A	MGAT2(79-431)
tr|H9IWH6|H9IWH6_BOMMO	GT-A	MGAT2(17-379)
tr|I1P573|I1P573_ORYGL	GT-A	MGAT2(89-427)
tr|I3KYM2|I3KYM2_ORENI	GT-A	MGAT2(110-462)
tr|I3KYN0|I3KYN0_ORENI	GT-A	MGAT2(67-411)
tr|I3M8X4|I3M8X4_ICTTR	GT-A	MGAT2(92-440)
tr|J3LI15|J3LI15_ORYBR	GT-A	MGAT2(84-422)
tr|J9EMZ2|J9EMZ2_WUCBA	GT-A	MGAT2(62-409)
tr|J9P947|J9P947_CANLF	GT-A	MGAT2(92-439)
tr|K3YSG2|K3YSG2_SETIT	GT-A	MGAT2(102-430)
tr|K7FIS1|K7FIS1_PELSI	GT-A	MGAT2(3-280)
tr|K7IVH5|K7IVH5_NASVI	GT-A	MGAT2(124-486)
tr|K7U1D4|K7U1D4_MAIZE	GT-A	MGAT2(97-431)
tr|L1IDQ8|L1IDQ8_GUITH	GT-A	MGAT2(707-901)
tr|L1JC85|L1JC85_GUITH	GT-A	MGAT2(667-793)
tr|L9J9R0|L9J9R0_TUPCH	GT-A	MGAT2(92-440)
tr|M3XAB6|M3XAB6_FELCA	GT-A	MGAT2(92-439)
tr|M3Z7D4|M3Z7D4_MUSPF	GT-A	MGAT2(92-439)
tr|M3ZHU0|M3ZHU0_XIPMA	GT-A	MGAT2(62-406)
tr|M4AYH8|M4AYH8_XIPMA	GT-A	MGAT2(115-466)
tr|M7Z8C1|M7Z8C1_TRIUA	GT-A	MGAT2(1-274)
tr|O17560|O17560_CAEEL	GT-A	MGAT2(101-447)
tr|Q178C2|Q178C2_AEDAE	GT-A	MGAT2(1-369)
tr|Q566K5|Q566K5_XENLA	GT-A	MGAT2(62-415)
tr|Q69QZ8|Q69QZ8_ORYSJ	GT-A	MGAT2(85-423)
tr|Q961U0|Q961U0_DROME	GT-A	MGAT2(129-600)
tr|S8D435|S8D435_9LAMI	GT-A	MGAT2(11-350)
tr|T1G7J6|T1G7J6_HELRO	GT-A	MGAT2(1-321)
tr|T1IIP3|T1IIP3_STRMM	GT-A	MGAT2(1-241)
tr|T1J8R2|T1J8R2_STRMM	GT-A	MGAT2(22-370)
tr|T1K1D4|T1K1D4_TETUR	GT-A	MGAT2(80-428)
tr|U3JGB1|U3JGB1_FICAL	GT-A	MGAT2(13-360)
tr|U5D5L3|U5D5L3_AMBTC	GT-A	MGAT2(81-419)
tr|V8NKE2|V8NKE2_OPHHA	GT-A	MGAT2(5-325)
tr|W4XKR2|W4XKR2_STRPU	GT-A	MGAT2(112-462)
tr|W5G619|W5G619_WHEAT	GT-A	MGAT2(1-274)
tr|W5GX41|W5GX41_WHEAT	GT-A	MGAT2(1-274)
tr|W5LSP2|W5LSP2_ASTMX	GT-A	MGAT2(89-441)
tr|W5NMF2|W5NMF2_LEPOC	GT-A	MGAT2(79-426)
tr|W5NN88|W5NN88_LEPOC	GT-A	MGAT2(76-421)
tr|W5NRR6|W5NRR6_SHEEP	GT-A	MGAT2(92-439)
tr|L1J7T5|L1J7T5_GUITH	FlhF|DUF4214|GT-A	FlhF(117-269)|DUF4214(189-239)|MGAT2(393-653)
