tr|A0A1V4JFB3|A0A1V4JFB3_PATFA	Uup|GT-A|GT-A	Uup(121-220)|Galactosyl_T(373-469)|CHGN(442-944)
tr|A0A158P0Y9|A0A158P0Y9_ATTCE	GT-A|GT-A	Galactosyl_T(69-255)|CHGN(223-775)
tr|A0A164R860|A0A164R860_9CRUS	GT-A|GT-A	Galactosyl_T(74-265)|Glyco_tranf_GTA_type(225-394)
tr|A0A182FMM8|A0A182FMM8_ANOAL	GT-A|GT-A	Galactosyl_T(150-248)|CHGN(244-801)
tr|A0A182IYS0|A0A182IYS0_9DIPT	GT-A|GT-A	Galactosyl_T(141-280)|CHGN(240-787)
tr|A0A182KC49|A0A182KC49_9DIPT	GT-A|GT-A	Galactosyl_T(65-176)|CHGN(146-776)
tr|A0A182SU58|A0A182SU58_9DIPT	GT-A|GT-A	Galactosyl_T(40-220)|CHGN(190-824)
tr|A0A1A6G422|A0A1A6G422_NEOLE	GT-A|GT-A	Galactosyl_T(194-283)|CHGN(262-761)
tr|A0A1A6HL62|A0A1A6HL62_NEOLE	GT-A|GT-A	Galactosyl_T(32-124)|CHGN(97-612)
tr|A0A1A9VRT9|A0A1A9VRT9_GLOAU	GT-A|GT-A	Galactosyl_T(71-251)|CHGN(221-811)
tr|A0A1A9W8P6|A0A1A9W8P6_9MUSC	GT-A|GT-A	Galactosyl_T(71-251)|CHGN(221-809)
tr|A0A1A9ZID4|A0A1A9ZID4_GLOPL	GT-A|GT-A	Galactosyl_T(71-251)|CHGN(221-811)
tr|A0A1B0AN77|A0A1B0AN77_9MUSC	GT-A|GT-A	Galactosyl_T(71-251)|CHGN(221-791)
tr|A0A1B0GL08|A0A1B0GL08_LUTLO	GT-A|GT-A	Glyco_tranf_GTA_type(211-600)|CHGN(771-1314)
tr|A0A1B8Y1E4|A0A1B8Y1E4_XENTR	GT-A|GT-A	Galactosyl_T(174-280)|CHGN(252-771)
tr|A0A1D1W257|A0A1D1W257_RAMVA	GT-A|GT-A	Galactosyl_T(67-251)|CHGN(223-756)
tr|A0A1D5QLZ2|A0A1D5QLZ2_MACMU	GT-A|GT-A	Galactosyl_T(84-305)|CHGN(235-774)
tr|A0A1I7SC13|A0A1I7SC13_BURXY	GT-A|GT-A	Galactosyl_T(53-256)|CHGN(209-710)
tr|A0A1I7U4L4|A0A1I7U4L4_9PELO	GT-A|GT-A	Galactosyl_T(77-269)|Glyco_tranf_GTA_type(229-285)
tr|A0A1I7UUZ3|A0A1I7UUZ3_9PELO	GT-A|GT-A	Galactosyl_T(28-106)|Glyco_tranf_GTA_type(139-685)
tr|A0A1I7UUZ4|A0A1I7UUZ4_9PELO	GT-A|GT-A	Galactosyl_T(81-159)|Glyco_tranf_GTA_type(192-738)
tr|A0A1I8CY36|A0A1I8CY36_9BILA	GT-A|GT-A	Galactosyl_T(56-288)|CHGN(214-728)
tr|A0A1I8N876|A0A1I8N876_MUSDO	GT-A|GT-A	Galactosyl_T(73-253)|Glyco_tranf_GTA_type(223-343)
tr|A0A1I8PYK0|A0A1I8PYK0_STOCA	GT-A|GT-A	Galactosyl_T(73-253)|CHGN(223-802)
tr|A0A1L8ENP1|A0A1L8ENP1_XENLA	GT-A|GT-A	Galactosyl_T(186-287)|CHGN(254-755)
tr|A0A1L8EVH1|A0A1L8EVH1_XENLA	GT-A|GT-A	Galactosyl_T(188-281)|CHGN(253-754)
tr|A0A1L8FQ07|A0A1L8FQ07_XENLA	GT-A|GT-A	Galactosyl_T(210-307)|CHGN(281-782)
tr|A0A1L8GSE6|A0A1L8GSE6_XENLA	GT-A|GT-A	Galactosyl_T(96-317)|CHGN(247-786)
tr|A0A1L8H129|A0A1L8H129_XENLA	GT-A|GT-A	Galactosyl_T(93-319)|CHGN(249-788)
tr|A0A1S3A1Q2|A0A1S3A1Q2_ERIEU	GT-A|GT-A	Galactosyl_T(173-400)|CHGN(330-866)
tr|A0A1S3A4N7|A0A1S3A4N7_ERIEU	GT-A|GT-A	Galactosyl_T(77-298)|CHGN(228-767)
tr|A0A1S3AL79|A0A1S3AL79_ERIEU	GT-A|GT-A	Galactosyl_T(168-200)|CHGN(233-651)
tr|A0A1S3DHN2|A0A1S3DHN2_DIACI	GT-A|GT-A	Galactosyl_T(2-182)|Glyco_tranf_GTA_type(150-184)
tr|A0A1S3ESG1|A0A1S3ESG1_DIPOR	GT-A|GT-A	Galactosyl_T(160-381)|CHGN(311-850)
tr|A0A1S3EW68|A0A1S3EW68_DIPOR	GT-A|GT-A	Galactosyl_T(194-283)|CHGN(262-761)
tr|A0A1S3FY19|A0A1S3FY19_DIPOR	GT-A|GT-A	Galactosyl_T(189-418)|CHGN(348-884)
tr|A0A1S3G1L3|A0A1S3G1L3_DIPOR	GT-A|GT-A	Galactosyl_T(183-275)|CHGN(248-765)
tr|A0A1S3JT82|A0A1S3JT82_LINUN	GT-A|GT-A	Galactosyl_T(71-290)|CHGN(225-772)
tr|A0A1S3KWH9|A0A1S3KWH9_SALSA	GT-A|GT-A	Galactosyl_T(84-262)|Glyco_tranf_GTA_type(235-269)
tr|A0A1S3NWG5|A0A1S3NWG5_SALSA	GT-A|GT-A	Galactosyl_T(183-272)|CHGN(251-753)
tr|A0A1S3PW67|A0A1S3PW67_SALSA	GT-A|GT-A	Galactosyl_T(84-262)|Glyco_tranf_GTA_type(235-269)
tr|A0A1S3QA95|A0A1S3QA95_SALSA	GT-A|GT-A	Galactosyl_T(188-279)|CHGN(253-758)
tr|A0A1U7QM73|A0A1U7QM73_MESAU	GT-A|GT-A	Galactosyl_T(194-283)|CHGN(262-761)
tr|A0A1U7RHJ1|A0A1U7RHJ1_ALLSI	GT-A|GT-A	Galactosyl_T(4-217)|CHGN(147-686)
tr|A0A1U7S084|A0A1U7S084_ALLSI	GT-A|GT-A	Galactosyl_T(185-335)|CHGN(265-801)
tr|A0A1U7SRU5|A0A1U7SRU5_ALLSI	GT-A|GT-A	Galactosyl_T(32-118)|CHGN(97-595)
tr|A0A1U7U9G8|A0A1U7U9G8_TARSY	GT-A|GT-A	Galactosyl_T(2-217)|CHGN(147-686)
tr|A0A1U7UZQ9|A0A1U7UZQ9_TARSY	GT-A|GT-A	Galactosyl_T(183-275)|CHGN(248-765)
tr|A0A1U8CLE5|A0A1U8CLE5_MESAU	GT-A|GT-A	Galactosyl_T(60-281)|CHGN(211-750)
tr|A0A1U8D082|A0A1U8D082_MESAU	GT-A|GT-A	Galactosyl_T(177-269)|CHGN(242-757)
tr|A0A1V4JE07|A0A1V4JE07_PATFA	GT-A|GT-A	Galactosyl_T(2-217)|CHGN(147-686)
tr|A0A1W4VG21|A0A1W4VG21_DROFC	GT-A|GT-A	Galactosyl_T(72-252)|CHGN(222-801)
tr|A0A1X7V579|A0A1X7V579_AMPQE	GT-A|GT-A	Galactosyl_T(141-255)|Glyco_tranf_GTA_type(222-331)
tr|A0A1X7VNX3|A0A1X7VNX3_AMPQE	GT-A|GT-A	Galactosyl_T(127-293)|Glyco_tranf_GTA_type(280-779)
tr|A0A1Y1Z7C5|A0A1Y1Z7C5_9FUNG	GT-A|GT-A	Galactosyl_T(69-217)|Glyco_tranf_GTA_type(195-297)
tr|A0A1Y1Z7G0|A0A1Y1Z7G0_9FUNG	GT-A|GT-A	Galactosyl_T(69-170)|Glyco_tranf_GTA_type(195-298)
tr|A0A218UFG3|A0A218UFG3_9PASE	GT-A|GT-A	Galactosyl_T(2-220)|CHGN(150-687)
tr|A0A218V114|A0A218V114_9PASE	GT-A|GT-A	Galactosyl_T(2-217)|CHGN(147-686)
tr|A0A226F3Q8|A0A226F3Q8_FOLCA	GT-A|GT-A	Galactosyl_T(103-289)|CHGN(261-837)
tr|A0A226N5I4|A0A226N5I4_CALSU	GT-A|GT-A	Galactosyl_T(140-317)|Glyco_tranf_GTA_type(294-328)
tr|A0A226NN64|A0A226NN64_CALSU	GT-A|GT-A	Galactosyl_T(91-198)|Glyco_tranf_GTA_type(171-211)
tr|A0A226PC98|A0A226PC98_COLVI	GT-A|GT-A	Galactosyl_T(2-174)|Glyco_tranf_GTA_type(147-187)
tr|A0A226PW95|A0A226PW95_COLVI	GT-A|GT-A	Galactosyl_T(107-284)|Glyco_tranf_GTA_type(261-295)
tr|A0A232F365|A0A232F365_9HYME	GT-A|GT-A	Galactosyl_T(14-119)|CHGN(87-566)
tr|A0A286XFL2|A0A286XFL2_CAVPO	GT-A|GT-A	Galactosyl_T(177-269)|CHGN(242-759)
tr|A0A286XRE8|A0A286XRE8_CAVPO	GT-A|GT-A	Galactosyl_T(58-208)|CHGN(138-677)
tr|A0A287AWP7|A0A287AWP7_PIG	GT-A|GT-A	Galactosyl_T(88-309)|CHGN(239-778)
tr|A0A287BSH4|A0A287BSH4_PIG	GT-A|GT-A	Galactosyl_T(8-158)|CHGN(88-624)
tr|A0A2A2KRW1|A0A2A2KRW1_9BILA	GT-A|GT-A	Galactosyl_T(151-367)|CHGN(303-743)
tr|A0A2A2LC70|A0A2A2LC70_9BILA	GT-A|GT-A	Galactosyl_T(21-237)|CHGN(173-664)
tr|A0A2C9LXQ8|A0A2C9LXQ8_BIOGL	GT-A|GT-A	Galactosyl_T(98-289)|Glyco_tranf_GTA_type(249-784)
tr|A0A2D0RD21|A0A2D0RD21_ICTPU	GT-A|GT-A	Galactosyl_T(132-271)|CHGN(245-750)
tr|A0A2G5VFC8|A0A2G5VFC8_9PELO	GT-A|GT-A	Galactosyl_T(82-274)|CHGN(234-726)
tr|A0A2G9R7E0|A0A2G9R7E0_LITCT	GT-A|GT-A	Galactosyl_T(184-280)|CHGN(252-677)
tr|A0A2I2UES7|A0A2I2UES7_FELCA	GT-A|GT-A	Galactosyl_T(68-289)|CHGN(219-758)
tr|A0A2I2YWR5|A0A2I2YWR5_GORGO	GT-A|GT-A	Galactosyl_T(177-269)|CHGN(242-759)
tr|A0A2I3GNC5|A0A2I3GNC5_NOMLE	GT-A|GT-A	Galactosyl_T(223-444)|CHGN(374-913)
tr|A0A2I3S725|A0A2I3S725_PANTR	GT-A|GT-A	Galactosyl_T(177-269)|CHGN(242-759)
tr|A0A2I4B7S2|A0A2I4B7S2_9TELE	GT-A|GT-A	Galactosyl_T(173-268)|CHGN(242-746)
tr|A0A2I4CRK5|A0A2I4CRK5_9TELE	GT-A|GT-A	Galactosyl_T(84-305)|Glyco_tranf_GTA_type(235-454)
tr|A0A2K5BVX1|A0A2K5BVX1_AOTNA	GT-A|GT-A	Galactosyl_T(194-304)|CHGN(262-762)
tr|A0A2K5DLN5|A0A2K5DLN5_AOTNA	GT-A|GT-A	Galactosyl_T(177-269)|CHGN(242-759)
tr|A0A2K5F8K8|A0A2K5F8K8_AOTNA	GT-A|GT-A	Galactosyl_T(91-312)|CHGN(242-782)
tr|A0A2K5H718|A0A2K5H718_COLAP	GT-A|GT-A	Galactosyl_T(194-304)|CHGN(262-762)
tr|A0A2K5ICG6|A0A2K5ICG6_COLAP	GT-A|GT-A	Galactosyl_T(1-222)|CHGN(152-691)
tr|A0A2K5JGC7|A0A2K5JGC7_COLAP	GT-A|GT-A	Galactosyl_T(177-269)|CHGN(242-759)
tr|A0A2K5MSR1|A0A2K5MSR1_CERAT	GT-A|GT-A	Galactosyl_T(177-269)|CHGN(242-759)
tr|A0A2K5N7M8|A0A2K5N7M8_CERAT	GT-A|GT-A	Galactosyl_T(194-304)|CHGN(262-762)
tr|A0A2K5PN45|A0A2K5PN45_CEBCA	GT-A|GT-A	Galactosyl_T(194-304)|CHGN(262-762)
tr|A0A2K5RAV2|A0A2K5RAV2_CEBCA	GT-A|GT-A	Galactosyl_T(87-308)|CHGN(238-777)
tr|A0A2K5SJE2|A0A2K5SJE2_CEBCA	GT-A|GT-A	Galactosyl_T(183-275)|CHGN(248-765)
tr|A0A2K5YD69|A0A2K5YD69_MANLE	GT-A|GT-A	Galactosyl_T(64-214)|CHGN(144-680)
tr|A0A2K5YES0|A0A2K5YES0_MANLE	GT-A|GT-A	Galactosyl_T(22-243)|CHGN(173-712)
tr|A0A2K6A3G1|A0A2K6A3G1_MANLE	GT-A|GT-A	Galactosyl_T(177-269)|CHGN(242-759)
tr|A0A2K6AQ72|A0A2K6AQ72_MACNE	GT-A|GT-A	Galactosyl_T(2-217)|CHGN(147-686)
tr|A0A2K6C5Q0|A0A2K6C5Q0_MACNE	GT-A|GT-A	Galactosyl_T(194-304)|CHGN(262-762)
tr|A0A2K6E885|A0A2K6E885_MACNE	GT-A|GT-A	Galactosyl_T(177-269)|CHGN(242-759)
tr|A0A2K6ELV6|A0A2K6ELV6_PROCO	GT-A|GT-A	Galactosyl_T(172-399)|CHGN(329-865)
tr|A0A2K6EVH1|A0A2K6EVH1_PROCO	GT-A|GT-A	Galactosyl_T(90-311)|CHGN(241-780)
tr|A0A2K6GEP2|A0A2K6GEP2_PROCO	GT-A|GT-A	Galactosyl_T(191-306)|CHGN(259-759)
tr|A0A2K6GL79|A0A2K6GL79_PROCO	GT-A|GT-A	Galactosyl_T(184-276)|CHGN(249-766)
tr|A0A2K6JRF4|A0A2K6JRF4_RHIBE	GT-A|GT-A	Galactosyl_T(194-304)|CHGN(262-762)
tr|A0A2K6LE64|A0A2K6LE64_RHIBE	GT-A|GT-A	Galactosyl_T(37-258)|CHGN(188-727)
tr|A0A2K6MCW3|A0A2K6MCW3_RHIBE	GT-A|GT-A	Galactosyl_T(177-269)|CHGN(242-759)
tr|A0A2K6MT25|A0A2K6MT25_RHIBE	GT-A|GT-A	Galactosyl_T(173-398)|CHGN(328-864)
tr|A0A2K6NUJ5|A0A2K6NUJ5_RHIRO	GT-A|GT-A	Galactosyl_T(177-269)|CHGN(242-759)
tr|A0A2K6QNZ8|A0A2K6QNZ8_RHIRO	GT-A|GT-A	Galactosyl_T(194-304)|CHGN(262-762)
tr|A0A2K6R1L7|A0A2K6R1L7_RHIRO	GT-A|GT-A	Galactosyl_T(62-283)|CHGN(213-752)
tr|A0A2K6RYW8|A0A2K6RYW8_SAIBB	GT-A|GT-A	Galactosyl_T(183-275)|CHGN(248-765)
tr|A0A2K6T301|A0A2K6T301_SAIBB	GT-A|GT-A	Galactosyl_T(194-304)|CHGN(262-762)
tr|A0A2K6TUG0|A0A2K6TUG0_SAIBB	GT-A|GT-A	Galactosyl_T(2-217)|CHGN(147-686)
tr|A0A2K6UVA6|A0A2K6UVA6_SAIBB	GT-A|GT-A	Galactosyl_T(119-343)|CHGN(274-810)
tr|A0A2P4S729|A0A2P4S729_BAMTH	GT-A|GT-A	Galactosyl_T(44-221)|Glyco_tranf_GTA_type(198-232)
tr|A0A2P4SPJ4|A0A2P4SPJ4_BAMTH	GT-A|GT-A	Galactosyl_T(17-176)|Glyco_tranf_GTA_type(149-183)
tr|A0A2R8ZGX7|A0A2R8ZGX7_PANPA	GT-A|GT-A	Galactosyl_T(177-269)|CHGN(242-759)
tr|A0A2R9AQZ5|A0A2R9AQZ5_PANPA	GT-A|GT-A	Galactosyl_T(194-304)|CHGN(262-762)
tr|A0A2R9C262|A0A2R9C262_PANPA	GT-A|GT-A	Galactosyl_T(57-278)|CHGN(208-747)
tr|A1L0Y7|A1L0Y7_XENTR	GT-A|GT-A	Galactosyl_T(92-318)|CHGN(248-787)
tr|A7RR84|A7RR84_NEMVE	GT-A|GT-A	Galactosyl_T(63-244)|CHGN(214-715)
tr|B0X8P8|B0X8P8_CULQU	GT-A|GT-A	Galactosyl_T(23-203)|CHGN(173-815)
tr|B3MZ25|B3MZ25_DROAN	GT-A|GT-A	Galactosyl_T(86-266)|CHGN(236-813)
tr|B4GWH1|B4GWH1_DROPE	GT-A|GT-A	Galactosyl_T(71-251)|CHGN(221-801)
tr|B4L3W6|B4L3W6_DROMO	GT-A|GT-A	Galactosyl_T(71-251)|CHGN(221-805)
tr|B5SNN2|B5SNN2_OTOGA	GT-A|GT-A	Galactosyl_T(194-283)|CHGN(262-762)
tr|C3Z422|C3Z422_BRAFL	GT-A|GT-A	Galactosyl_T(3-191)|CHGN(159-690)
tr|C3ZRP6|C3ZRP6_BRAFL	GT-A|GT-A	Galactosyl_T(6-114)|Glyco_tranf_GTA_type(87-187)
tr|D3ZRM3|D3ZRM3_RAT	GT-A|GT-A	Galactosyl_T(75-296)|CHGN(226-765)
tr|D4ADR5|D4ADR5_RAT	GT-A|GT-A	Galactosyl_T(177-269)|CHGN(242-757)
tr|E0VDG3|E0VDG3_PEDHC	GT-A|GT-A	Galactosyl_T(55-231)|CHGN(209-770)
tr|E1B9D0|E1B9D0_BOVIN	GT-A|GT-A	Galactosyl_T(177-269)|CHGN(242-756)
tr|E1BMM8|E1BMM8_BOVIN	GT-A|GT-A	Galactosyl_T(194-304)|CHGN(262-762)
tr|E2QWQ7|E2QWQ7_CANLF	GT-A|GT-A	Galactosyl_T(88-309)|CHGN(239-778)
tr|E3M398|E3M398_CAERE	GT-A|GT-A	Galactosyl_T(74-266)|CHGN(226-718)
tr|E4XR58|E4XR58_OIKDI	GT-A|GT-A	Galactosyl_T(51-230)|Glyco_tranf_GTA_type(198-654)
tr|E4XTY6|E4XTY6_OIKDI	GT-A|GT-A	Galactosyl_T(25-213)|Glyco_tranf_GTA_type(181-679)
tr|E4XVK7|E4XVK7_OIKDI	GT-A|GT-A	Galactosyl_T(164-251)|Glyco_tranf_GTA_type(233-692)
tr|E4XW68|E4XW68_OIKDI	GT-A|GT-A	Galactosyl_T(42-230)|Glyco_tranf_GTA_type(198-686)
tr|F1PAJ1|F1PAJ1_CANLF	GT-A|GT-A	Galactosyl_T(185-277)|CHGN(250-767)
tr|F1Q679|F1Q679_DANRE	GT-A|GT-A	Galactosyl_T(133-272)|CHGN(246-751)
tr|F1QEX3|F1QEX3_DANRE	GT-A|GT-A	Galactosyl_T(110-334)|CHGN(264-803)
tr|F1SSM9|F1SSM9_PIG	GT-A|GT-A	Galactosyl_T(177-269)|CHGN(242-759)
tr|F6PHI7|F6PHI7_CIOIN	GT-A|GT-A	Galactosyl_T(21-206)|CHGN(179-726)
tr|F6PU96|F6PU96_BOVIN	GT-A|GT-A	Galactosyl_T(88-309)|CHGN(239-778)
tr|F6QY63|F6QY63_CALJA	GT-A|GT-A	Galactosyl_T(194-304)|CHGN(262-762)
tr|F6RCN5|F6RCN5_XENTR	GT-A|GT-A	Galactosyl_T(127-351)|CHGN(281-817)
tr|F6SCG6|F6SCG6_MONDO	GT-A|GT-A	Galactosyl_T(195-287)|CHGN(260-777)
tr|F6UTS9|F6UTS9_HORSE	GT-A|GT-A	Galactosyl_T(177-269)|CHGN(242-759)
tr|F6XNH3|F6XNH3_XENTR	GT-A|GT-A	Galactosyl_T(77-183)|CHGN(155-656)
tr|F6Z6T5|F6Z6T5_CIOIN	GT-A|GT-A	Galactosyl_T(87-188)|CHGN(156-681)
tr|F6ZQD4|F6ZQD4_CIOIN	GT-A|GT-A	Galactosyl_T(5-172)|CHGN(151-684)
tr|F7A4C4|F7A4C4_XENTR	GT-A|GT-A	Galactosyl_T(112-212)|CHGN(186-687)
tr|F7ALM7|F7ALM7_MONDO	GT-A|GT-A	Galactosyl_T(108-329)|CHGN(259-798)
tr|F7AZ52|F7AZ52_ORNAN	GT-A|GT-A	Galactosyl_T(146-250)|Glyco_tranf_GTA_type(223-401)
tr|F7DBA2|F7DBA2_HORSE	GT-A|GT-A	Galactosyl_T(52-202)|CHGN(132-671)
tr|F7GS31|F7GS31_CALJA	GT-A|GT-A	Galactosyl_T(173-397)|CHGN(328-864)
tr|F7H1W8|F7H1W8_MACMU	GT-A|GT-A	Galactosyl_T(177-269)|CHGN(242-759)
tr|F7HY89|F7HY89_CALJA	GT-A|GT-A	Galactosyl_T(87-308)|CHGN(238-777)
tr|G0P1S5|G0P1S5_CAEBE	GT-A|GT-A	Galactosyl_T(74-266)|CHGN(226-718)
tr|G1K9G1|G1K9G1_ANOCA	GT-A|GT-A	Galactosyl_T(242-392)|CHGN(322-858)
tr|G1LDS2|G1LDS2_AILME	GT-A|GT-A	Galactosyl_T(94-274)|Glyco_tranf_GTA_type(251-285)
tr|G1M4M4|G1M4M4_AILME	GT-A|GT-A	Galactosyl_T(190-282)|CHGN(255-771)
tr|G1M6U6|G1M6U6_AILME	GT-A|GT-A	Galactosyl_T(56-277)|CHGN(207-746)
tr|G1NAX3|G1NAX3_MELGA	GT-A|GT-A	Galactosyl_T(52-202)|CHGN(132-671)
tr|G1P0F0|G1P0F0_MYOLU	GT-A|GT-A	Galactosyl_T(182-274)|CHGN(247-761)
tr|G1P8C0|G1P8C0_MYOLU	GT-A|GT-A	Galactosyl_T(57-206)|CHGN(137-678)
tr|G1PAU2|G1PAU2_MYOLU	GT-A|GT-A	Galactosyl_T(137-364)|CHGN(294-830)
tr|G1PFP5|G1PFP5_MYOLU	GT-A|GT-A	Galactosyl_T(191-280)|CHGN(259-759)
tr|G1RED8|G1RED8_NOMLE	GT-A|GT-A	Galactosyl_T(194-299)|CHGN(262-756)
tr|G1RPC1|G1RPC1_NOMLE	GT-A|GT-A	Galactosyl_T(173-398)|CHGN(328-864)
tr|G1SCW9|G1SCW9_RABIT	GT-A|GT-A	Galactosyl_T(177-269)|CHGN(242-759)
tr|G1T147|G1T147_RABIT	GT-A|GT-A	Galactosyl_T(121-210)|Glyco_tranf_GTA_type(189-411)
tr|G1T2F5|G1T2F5_RABIT	GT-A|GT-A	Galactosyl_T(76-226)|CHGN(156-695)
tr|G3HB61|G3HB61_CRIGR	GT-A|GT-A	Galactosyl_T(177-269)|CHGN(242-757)
tr|G3NVG7|G3NVG7_GASAC	GT-A|GT-A	Galactosyl_T(183-272)|CHGN(251-753)
tr|G3PLW7|G3PLW7_GASAC	GT-A|GT-A	Galactosyl_T(84-305)|CHGN(235-774)
tr|G3QJT9|G3QJT9_GORGO	GT-A|GT-A	Galactosyl_T(194-304)|CHGN(262-762)
tr|G3R0R0|G3R0R0_GORGO	GT-A|GT-A	Galactosyl_T(87-308)|CHGN(238-777)
tr|G3RP27|G3RP27_GORGO	GT-A|GT-A	Galactosyl_T(174-399)|CHGN(329-865)
tr|G3STR9|G3STR9_LOXAF	GT-A|GT-A	Galactosyl_T(87-308)|CHGN(238-777)
tr|G3T2A1|G3T2A1_LOXAF	GT-A|GT-A	Galactosyl_T(177-269)|CHGN(242-759)
tr|G3ULT7|G3ULT7_LOXAF	GT-A|GT-A	Galactosyl_T(139-228)|CHGN(207-707)
tr|G3VAE6|G3VAE6_SARHA	GT-A|GT-A	Galactosyl_T(177-269)|Glyco_tranf_GTA_type(242-365)
tr|G3VMU5|G3VMU5_SARHA	GT-A|GT-A	Galactosyl_T(104-325)|CHGN(255-794)
tr|G3WEL5|G3WEL5_SARHA	GT-A|GT-A	Galactosyl_T(123-221)|CHGN(191-675)
tr|G5AKI9|G5AKI9_HETGA	GT-A|GT-A	Galactosyl_T(112-198)|CHGN(180-678)
tr|G5AMT8|G5AMT8_HETGA	GT-A|GT-A	Galactosyl_T(177-269)|CHGN(242-759)
tr|G5BRI5|G5BRI5_HETGA	GT-A|GT-A	Galactosyl_T(2-162)|Glyco_tranf_GTA_type(166-282)
tr|G7P223|G7P223_MACFA	GT-A|GT-A	Galactosyl_T(177-269)|CHGN(242-759)
tr|G7P870|G7P870_MACFA	GT-A|GT-A	Galactosyl_T(28-131)|CHGN(108-645)
tr|G7P9J8|G7P9J8_MACFA	GT-A|GT-A	Galactosyl_T(51-201)|CHGN(131-670)
tr|G7PK52|G7PK52_MACFA	GT-A|GT-A	Galactosyl_T(119-229)|CHGN(187-687)
tr|H0WIQ2|H0WIQ2_OTOGA	GT-A|GT-A	Galactosyl_T(172-399)|CHGN(329-865)
tr|H0WNJ9|H0WNJ9_OTOGA	GT-A|GT-A	Galactosyl_T(88-309)|CHGN(239-778)
tr|H0XG83|H0XG83_OTOGA	GT-A|GT-A	Galactosyl_T(190-282)|CHGN(255-772)
tr|H0YQ34|H0YQ34_TAEGU	GT-A|GT-A	Galactosyl_T(2-226)|CHGN(156-693)
tr|H2NPC0|H2NPC0_PONAB	GT-A|GT-A	Galactosyl_T(52-202)|CHGN(132-671)
tr|H2PGF9|H2PGF9_PONAB	GT-A|GT-A	Galactosyl_T(173-351)|Glyco_tranf_GTA_type(328-362)
tr|H2PP30|H2PP30_PONAB	GT-A|GT-A	Galactosyl_T(177-269)|CHGN(242-759)
tr|H2QJH3|H2QJH3_PANTR	GT-A|GT-A	Galactosyl_T(194-304)|CHGN(262-762)
tr|H2QRF5|H2QRF5_PANTR	GT-A|GT-A	Galactosyl_T(173-398)|CHGN(328-864)
tr|H2TK83|H2TK83_TAKRU	GT-A|GT-A	Galactosyl_T(183-272)|CHGN(251-753)
tr|H2Y4K8|H2Y4K8_CIOSA	GT-A|GT-A	Galactosyl_T(79-180)|CHGN(148-681)
tr|H2Z1X9|H2Z1X9_CIOSA	GT-A|GT-A	Galactosyl_T(87-196)|CHGN(169-764)
tr|H3A279|H3A279_LATCH	GT-A|GT-A	Galactosyl_T(186-298)|CHGN(261-761)
tr|H3B0C3|H3B0C3_LATCH	GT-A|GT-A	Galactosyl_T(192-278)|CHGN(257-759)
tr|H3BFB6|H3BFB6_LATCH	GT-A|GT-A	Galactosyl_T(86-307)|CHGN(237-776)
tr|H3CJ94|H3CJ94_TETNG	GT-A|GT-A	Galactosyl_T(172-267)|CHGN(246-748)
tr|H3CMJ2|H3CMJ2_TETNG	GT-A|GT-A	Galactosyl_T(84-305)|CHGN(235-774)
tr|H3DID3|H3DID3_TETNG	GT-A|GT-A	Galactosyl_T(179-274)|CHGN(248-754)
tr|H9GID3|H9GID3_ANOCA	GT-A|GT-A	Galactosyl_T(2-216)|CHGN(147-686)
tr|H9H8A3|H9H8A3_MONDO	GT-A|GT-A	Galactosyl_T(190-287)|CHGN(257-758)
tr|H9JS80|H9JS80_BOMMO	GT-A|GT-A	Galactosyl_T(72-254)|Glyco_tranf_GTA_type(222-255)
tr|I3JG24|I3JG24_ORENI	GT-A|GT-A	Galactosyl_T(132-271)|CHGN(245-751)
tr|I3JZ41|I3JZ41_ORENI	GT-A|GT-A	Galactosyl_T(95-272)|CHGN(249-789)
tr|I3JZQ0|I3JZQ0_ORENI	GT-A|GT-A	Galactosyl_T(88-309)|CHGN(239-778)
tr|I3LGX9|I3LGX9_PIG	GT-A|GT-A	Galactosyl_T(194-283)|CHGN(262-762)
tr|I3MCS8|I3MCS8_ICTTR	GT-A|GT-A	Galactosyl_T(91-312)|CHGN(242-781)
tr|I3MDY8|I3MDY8_ICTTR	GT-A|GT-A	Galactosyl_T(177-269)|CHGN(242-759)
tr|I3MJ36|I3MJ36_ICTTR	GT-A|GT-A	Galactosyl_T(194-283)|CHGN(262-761)
tr|I3N8A7|I3N8A7_ICTTR	GT-A|GT-A	Galactosyl_T(173-400)|CHGN(330-866)
tr|K1R4W5|K1R4W5_CRAGI	GT-A|GT-A	Galactosyl_T(93-275)|CHGN(245-772)
tr|K7G5W1|K7G5W1_PELSI	GT-A|GT-A	Galactosyl_T(66-287)|CHGN(217-756)
tr|L5JSL3|L5JSL3_PTEAL	GT-A|GT-A	Galactosyl_T(2-217)|CHGN(147-667)
tr|L5JUZ5|L5JUZ5_PTEAL	GT-A|GT-A	Galactosyl_T(169-349)|Glyco_tranf_GTA_type(326-365)
tr|L5K0P9|L5K0P9_PTEAL	GT-A|GT-A	Galactosyl_T(177-269)|CHGN(242-774)
tr|L5L162|L5L162_PTEAL	GT-A|GT-A	Galactosyl_T(194-283)|CHGN(262-735)
tr|L5LDT7|L5LDT7_MYODS	GT-A|GT-A	Galactosyl_T(2-216)|CHGN(147-636)
tr|L5LM38|L5LM38_MYODS	GT-A|GT-A	Galactosyl_T(177-269)|CHGN(242-756)
