tr|A0A1B0EX43|A0A1B0EX43_PHLPP	WD40|GT-A|Clathrin|RING_Ubox	WD40(40-241)|Galactosyl_T(511-693)|Clathrin(913-1043)|RING_Ubox(1127-1180)
tr|A0A2H3XEA8|A0A2H3XEA8_PHODC	TMhelix|GT-A	TMhelix(48-70)|Galactosyl_T(124-319)
tr|A0A2H5PZ41|A0A2H5PZ41_CITUN	TMhelix|GT-A	TMhelix(41-63)|Galactosyl_T(119-314)
tr|A0A2H5PZ42|A0A2H5PZ42_CITUN	TMhelix|GT-A	TMhelix(41-63)|Galactosyl_T(119-281)
tr|A0A2I4AQ00|A0A2I4AQ00_9TELE	TMhelix|GT-A	TMhelix(13-30)|Galactosyl_T(86-270)
tr|A0A2K3NTY4|A0A2K3NTY4_TRIPR	TMhelix|GT-A	TMhelix(20-37)|Galactosyl_T(93-306)
tr|A0A2P4ICP7|A0A2P4ICP7_QUESU	TMhelix|GT-A	TMhelix(44-66)|Galactosyl_T(117-297)
tr|A0A2P4TG69|A0A2P4TG69_BAMTH	TMhelix|GT-A	TMhelix(13-30)|Galactosyl_T(87-275)
tr|A0A2P5RW75|A0A2P5RW75_GOSBA	TMhelix|GT-A	TMhelix(47-69)|Galactosyl_T(127-322)
tr|A0A2P6Q194|A0A2P6Q194_ROSCH	TMhelix|GT-A	TMhelix(42-64)|Galactosyl_T(120-315)
tr|A0A2R6PD64|A0A2R6PD64_ACTCH	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(102-297)
tr|A0A2R6PIN8|A0A2R6PIN8_ACTCH	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(101-296)
tr|B4JQ18|B4JQ18_DROGR	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(133-312)
tr|B9HDM8|B9HDM8_POPTR	TMhelix|GT-A	TMhelix(41-63)|Galactosyl_T(119-314)
tr|B9RRS4|B9RRS4_RICCO	TMhelix|GT-A	TMhelix(40-62)|Galactosyl_T(118-313)
tr|D6WKW7|D6WKW7_TRICA	TMhelix|GT-A	TMhelix(13-32)|Galactosyl_T(72-293)
tr|D7KKG2|D7KKG2_ARALL	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(101-297)
tr|D7L3X5|D7L3X5_ARALL	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(99-293)
tr|D7LCP4|D7LCP4_ARALL	TMhelix|GT-A	TMhelix(44-66)|Galactosyl_T(120-315)
tr|D7STR5|D7STR5_VITVI	TMhelix|GT-A	TMhelix(43-65)|Galactosyl_T(116-311)
tr|E1BYQ2|E1BYQ2_CHICK	TMhelix|GT-A	TMhelix(13-30)|Galactosyl_T(87-275)
tr|E3M0U8|E3M0U8_CAERE	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(67-254)
tr|F2U2D3|F2U2D3_SALR5	TMhelix|GT-A	TMhelix(5-23)|Galactosyl_T(75-261)
tr|G3NY11|G3NY11_GASAC	TMhelix|GT-A	TMhelix(13-30)|Galactosyl_T(86-270)
tr|H2TF98|H2TF98_TAKRU	TMhelix|GT-A	TMhelix(13-30)|Galactosyl_T(66-250)
tr|H2ZHB0|H2ZHB0_CIOSA	TMhelix|GT-A	TMhelix(7-26)|Galactosyl_T(58-245)
tr|H3BH67|H3BH67_LATCH	TMhelix|GT-A	TMhelix(13-30)|Galactosyl_T(80-264)
tr|H9JE18|H9JE18_BOMMO	TMhelix|GT-A	TMhelix(12-31)|Galactosyl_T(70-299)
tr|I1KDM0|I1KDM0_SOYBN	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(94-288)
tr|I1M320|I1M320_SOYBN	TMhelix|GT-A	TMhelix(17-39)|Galactosyl_T(93-286)
tr|I1NE03|I1NE03_SOYBN	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(94-288)
tr|I3KZD1|I3KZD1_ORENI	TMhelix|GT-A	TMhelix(13-30)|Galactosyl_T(86-270)
tr|M4AZV9|M4AZV9_XIPMA	TMhelix|GT-A	TMhelix(13-30)|Galactosyl_T(86-270)
tr|M4CBJ6|M4CBJ6_BRARP	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(98-290)
tr|M4EZP6|M4EZP6_BRARP	TMhelix|GT-A	TMhelix(40-62)|Galactosyl_T(115-311)
tr|M4FAK0|M4FAK0_BRARP	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(101-296)
tr|M5WFX9|M5WFX9_PRUPE	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(108-301)
tr|M5XF57|M5XF57_PRUPE	TMhelix|GT-A	TMhelix(44-66)|Galactosyl_T(123-318)
tr|Q256Z0|Q256Z0_ORYLA	TMhelix|GT-A	TMhelix(13-30)|Galactosyl_T(86-270)
tr|Q256Z9|Q256Z9_CIOIN	TMhelix|GT-A	TMhelix(13-35)|Galactosyl_T(69-258)
tr|S8DKL0|S8DKL0_9LAMI	TMhelix|GT-A	TMhelix(20-42)|Galactosyl_T(94-287)
tr|T1KZH0|T1KZH0_TETUR	TMhelix|GT-A	TMhelix(25-47)|Galactosyl_T(120-307)
tr|U5DC62|U5DC62_AMBTC	TMhelix|GT-A	TMhelix(31-53)|Galactosyl_T(111-306)
tr|V7BTW2|V7BTW2_PHAVU	TMhelix|GT-A	TMhelix(20-39)|Galactosyl_T(89-283)
sp|A8MRC7|B3GT2_ARATH	TMhelix|GT	TMhelix(13-35)|PLN03193(1-407)
sp|Q9SAA4|B3GT1_ARATH	TMhelix|GT	TMhelix(21-43)|PLN03193(1-382)
sp|Q9ZV71|B3GT3_ARATH	TMhelix|GT	TMhelix(20-42)|PLN03193(1-409)
tr|A0A061FFP4|A0A061FFP4_THECC	TMhelix|GT	TMhelix(13-35)|PLN03193(9-347)
tr|A0A061G2N6|A0A061G2N6_THECC	TMhelix|GT	TMhelix(17-39)|PLN03193(11-429)
tr|A0A061GFT8|A0A061GFT8_THECC	TMhelix|GT	TMhelix(13-35)|PLN03193(1-407)
tr|A0A067E132|A0A067E132_CITSI	TMhelix|GT	TMhelix(23-45)|PLN03193(91-339)
tr|A0A067ELC6|A0A067ELC6_CITSI	TMhelix|GT	TMhelix(19-41)|PLN03193(1-407)
tr|A0A067GHV6|A0A067GHV6_CITSI	TMhelix|GT	TMhelix(20-42)|PLN03193(1-397)
tr|A0A067GQ68|A0A067GQ68_CITSI	TMhelix|GT	TMhelix(13-35)|PLN03193(14-401)
tr|A0A067JAD6|A0A067JAD6_JATCU	TMhelix|GT	TMhelix(21-43)|PLN03193(1-386)
tr|A0A067JE55|A0A067JE55_JATCU	TMhelix|GT	TMhelix(48-70)|PLN03193(45-438)
tr|A0A067JQC0|A0A067JQC0_JATCU	TMhelix|GT	TMhelix(21-43)|PLN03193(6-325)
tr|A0A067KJT0|A0A067KJT0_JATCU	TMhelix|GT	TMhelix(21-43)|PLN03193(86-334)
tr|A0A072UHE6|A0A072UHE6_MEDTR	TMhelix|GT	TMhelix(22-44)|PLN03193(1-378)
tr|A0A072UKR4|A0A072UKR4_MEDTR	TMhelix|GT	TMhelix(19-41)|PLN03193(1-407)
tr|A0A0D3G489|A0A0D3G489_9ORYZ	TMhelix|GT	TMhelix(54-76)|PLN03193(126-330)
tr|A0A0D3G7W9|A0A0D3G7W9_9ORYZ	TMhelix|GT	TMhelix(83-105)|PLN03193(79-460)
tr|A0A0D3GJX7|A0A0D3GJX7_9ORYZ	TMhelix|GT	TMhelix(13-30)|PLN03193(1-426)
tr|A0A0D3GVS8|A0A0D3GVS8_9ORYZ	TMhelix|GT	TMhelix(23-45)|PLN03193(27-388)
tr|A0A0D9ZVF0|A0A0D9ZVF0_9ORYZ	TMhelix|GT	TMhelix(54-76)|PLN03193(126-330)
tr|A0A0E0ADB8|A0A0E0ADB8_9ORYZ	TMhelix|GT	TMhelix(13-30)|PLN03193(1-426)
tr|A0A0E0AQ64|A0A0E0AQ64_9ORYZ	TMhelix|GT	TMhelix(23-45)|PLN03193(27-388)
tr|A0A0E0D340|A0A0E0D340_9ORYZ	TMhelix|GT	TMhelix(29-51)|PLN03193(16-406)
tr|A0A0E0G1S0|A0A0E0G1S0_ORYNI	TMhelix|GT	TMhelix(17-39)|PLN03193(13-333)
tr|A0A0E0I6M0|A0A0E0I6M0_ORYNI	TMhelix|GT	TMhelix(23-45)|PLN03193(27-388)
tr|A0A0E0KFS1|A0A0E0KFS1_ORYPU	TMhelix|GT	TMhelix(29-51)|PLN03193(16-405)
tr|A0A0E0KZJ1|A0A0E0KZJ1_ORYPU	TMhelix|GT	TMhelix(48-70)|PLN03193(116-363)
tr|A0A0E0L836|A0A0E0L836_ORYPU	TMhelix|GT	TMhelix(101-123)|PLN03193(175-471)
tr|A0A0E0LQN6|A0A0E0LQN6_ORYPU	TMhelix|GT	TMhelix(23-45)|PLN03193(27-388)
tr|A0A0E0PIQ0|A0A0E0PIQ0_ORYRU	TMhelix|GT	TMhelix(54-76)|PLN03193(126-330)
tr|A0A0E0QDM3|A0A0E0QDM3_ORYRU	TMhelix|GT	TMhelix(23-45)|PLN03193(27-388)
tr|A0A103XI87|A0A103XI87_CYNCS	TMhelix|GT	TMhelix(12-31)|PLN03193(7-267)
tr|A0A103XJP4|A0A103XJP4_CYNCS	TMhelix|GT	TMhelix(21-43)|PLN03193(50-318)
tr|A0A118JRF7|A0A118JRF7_CYNCS	TMhelix|GT	TMhelix(15-37)|PLN03193(11-371)
tr|A0A118JZN1|A0A118JZN1_CYNCS	TMhelix|GT	TMhelix(33-55)|PLN03193(36-326)
tr|A0A151RMU0|A0A151RMU0_CAJCA	TMhelix|GT	TMhelix(19-41)|PLN03193(1-407)
tr|A0A151RYJ0|A0A151RYJ0_CAJCA	TMhelix|GT	TMhelix(13-35)|PLN03193(5-398)
tr|A0A151S0J7|A0A151S0J7_CAJCA	TMhelix|GT	TMhelix(19-41)|PLN03193(1-407)
tr|A0A151TK10|A0A151TK10_CAJCA	TMhelix|GT	TMhelix(15-37)|PLN03193(42-270)
tr|A0A151TSM4|A0A151TSM4_CAJCA	TMhelix|GT	TMhelix(7-29)|PLN03193(9-396)
tr|A0A161XA82|A0A161XA82_DAUCA	TMhelix|GT	TMhelix(12-34)|PLN03193(8-390)
tr|A0A162AGN1|A0A162AGN1_DAUCA	TMhelix|GT	TMhelix(50-72)|PLN03193(51-430)
tr|A0A176VII2|A0A176VII2_MARPO	TMhelix|GT	TMhelix(20-37)|PLN03193(15-429)
tr|A0A176WJN6|A0A176WJN6_MARPO	TMhelix|GT	TMhelix(13-35)|PLN03193(7-394)
tr|A0A176WQ90|A0A176WQ90_MARPO	TMhelix|GT	TMhelix(35-54)|PLN03193(121-369)
tr|A0A199UQZ4|A0A199UQZ4_ANACO	TMhelix|GT	TMhelix(29-51)|PLN03193(1-414)
tr|A0A199VY50|A0A199VY50_ANACO	TMhelix|GT	TMhelix(21-43)|PLN03193(12-360)
tr|A0A199VYA5|A0A199VYA5_ANACO	TMhelix|GT	TMhelix(31-53)|PLN03193(21-360)
tr|A0A1B6P8R2|A0A1B6P8R2_SORBI	TMhelix|GT	TMhelix(26-48)|PLN03193(22-404)
tr|A0A1D5S467|A0A1D5S467_WHEAT	TMhelix|GT	TMhelix(50-72)|PLN03193(112-329)
tr|A0A1D6BJ98|A0A1D6BJ98_WHEAT	TMhelix|GT	TMhelix(22-44)|PLN03193(20-403)
tr|A0A1D6C281|A0A1D6C281_WHEAT	TMhelix|GT	TMhelix(19-41)|PLN03193(1-409)
tr|A0A1D6C8T5|A0A1D6C8T5_WHEAT	TMhelix|GT	TMhelix(21-43)|PLN03193(8-400)
tr|A0A1D6GMC4|A0A1D6GMC4_MAIZE	TMhelix|GT	TMhelix(37-59)|PLN03193(25-416)
tr|A0A1D6GSP1|A0A1D6GSP1_MAIZE	TMhelix|GT	TMhelix(12-31)|PLN03193(12-417)
tr|A0A1E5UQ77|A0A1E5UQ77_9POAL	TMhelix|GT	TMhelix(49-71)|PLN03193(92-398)
tr|A0A1E5VUW8|A0A1E5VUW8_9POAL	TMhelix|GT	TMhelix(29-51)|PLN03193(17-405)
tr|A0A1E5VXI4|A0A1E5VXI4_9POAL	TMhelix|GT	TMhelix(21-40)|PLN03193(5-400)
tr|A0A1E5W078|A0A1E5W078_9POAL	TMhelix|GT	TMhelix(17-39)|PLN03193(17-401)
tr|A0A1J6IMU0|A0A1J6IMU0_NICAT	TMhelix|GT	TMhelix(24-46)|PLN03193(57-329)
tr|A0A1J6IRU4|A0A1J6IRU4_NICAT	TMhelix|GT	TMhelix(21-43)|PLN03193(1-408)
tr|A0A1J6JBL9|A0A1J6JBL9_NICAT	TMhelix|GT	TMhelix(13-35)|PLN03193(9-396)
tr|A0A1J6K0C8|A0A1J6K0C8_NICAT	TMhelix|GT	TMhelix(24-46)|PLN03193(6-409)
tr|A0A1J7GVR5|A0A1J7GVR5_LUPAN	TMhelix|GT	TMhelix(13-30)|PLN03193(5-341)
tr|A0A1J7GZA4|A0A1J7GZA4_LUPAN	TMhelix|GT	TMhelix(19-41)|PLN03193(1-407)
tr|A0A1Q3AUH6|A0A1Q3AUH6_CEPFO	TMhelix|GT	TMhelix(13-35)|PLN03193(9-396)
tr|A0A1Q3BG52|A0A1Q3BG52_CEPFO	TMhelix|GT	TMhelix(19-41)|PLN03193(1-407)
tr|A0A1Q3BVI5|A0A1Q3BVI5_CEPFO	TMhelix|GT	TMhelix(48-70)|PLN03193(42-434)
tr|A0A1Q3C4D0|A0A1Q3C4D0_CEPFO	TMhelix|GT	TMhelix(13-35)|PLN03193(9-396)
tr|A0A1Q3CXR5|A0A1Q3CXR5_CEPFO	TMhelix|GT	TMhelix(20-39)|PLN03193(1-394)
tr|A0A1R3H3J7|A0A1R3H3J7_9ROSI	TMhelix|GT	TMhelix(20-42)|PLN03193(1-400)
tr|A0A1R3IBH8|A0A1R3IBH8_COCAP	TMhelix|GT	TMhelix(17-39)|PLN03193(11-385)
tr|A0A1R3K6Q2|A0A1R3K6Q2_9ROSI	TMhelix|GT	TMhelix(17-39)|PLN03193(11-402)
tr|A0A1S2XFA9|A0A1S2XFA9_CICAR	TMhelix|GT	TMhelix(19-41)|PLN03193(1-408)
tr|A0A1S2YNX9|A0A1S2YNX9_CICAR	TMhelix|GT	TMhelix(22-44)|PLN03193(1-377)
tr|A0A1S2YXJ6|A0A1S2YXJ6_CICAR	TMhelix|GT	TMhelix(21-40)|PLN03193(2-341)
tr|A0A1S2Z4V8|A0A1S2Z4V8_CICAR	TMhelix|GT	TMhelix(20-42)|PLN03193(1-408)
tr|A0A1S2Z5X5|A0A1S2Z5X5_CICAR	TMhelix|GT	TMhelix(13-30)|PLN03193(9-393)
tr|A0A1S3ATZ9|A0A1S3ATZ9_CUCME	TMhelix|GT	TMhelix(21-40)|PLN03193(1-336)
tr|A0A1S3B022|A0A1S3B022_CUCME	TMhelix|GT	TMhelix(21-43)|PLN03193(1-403)
tr|A0A1S3BAE8|A0A1S3BAE8_CUCME	TMhelix|GT	TMhelix(9-28)|PLN03193(25-395)
tr|A0A1S3C1X5|A0A1S3C1X5_CUCME	TMhelix|GT	TMhelix(20-42)|PLN03193(1-408)
tr|A0A1S3C260|A0A1S3C260_CUCME	TMhelix|GT	TMhelix(19-41)|PLN03193(1-407)
tr|A0A1S3CLH9|A0A1S3CLH9_CUCME	TMhelix|GT	TMhelix(25-47)|PLN03193(70-333)
tr|A0A1S3TKT5|A0A1S3TKT5_VIGRR	TMhelix|GT	TMhelix(19-41)|PLN03193(1-406)
tr|A0A1S3U8B0|A0A1S3U8B0_VIGRR	TMhelix|GT	TMhelix(9-28)|PLN03193(9-387)
tr|A0A1S3U8M1|A0A1S3U8M1_VIGRR	TMhelix|GT	TMhelix(20-42)|PLN03193(1-408)
tr|A0A1S3UC74|A0A1S3UC74_VIGRR	TMhelix|GT	TMhelix(12-34)|PLN03193(2-391)
tr|A0A1S3WZE6|A0A1S3WZE6_TOBAC	TMhelix|GT	TMhelix(21-43)|PLN03193(1-408)
tr|A0A1S3X6G3|A0A1S3X6G3_TOBAC	TMhelix|GT	TMhelix(21-43)|PLN03193(1-405)
tr|A0A1S3X6Z4|A0A1S3X6Z4_TOBAC	TMhelix|GT	TMhelix(13-35)|PLN03193(9-396)
tr|A0A1S3YJ76|A0A1S3YJ76_TOBAC	TMhelix|GT	TMhelix(40-62)|PLN03193(16-423)
tr|A0A1S3YMT6|A0A1S3YMT6_TOBAC	TMhelix|GT	TMhelix(24-46)|PLN03193(18-409)
tr|A0A1S3YTM0|A0A1S3YTM0_TOBAC	TMhelix|GT	TMhelix(24-46)|PLN03193(6-409)
tr|A0A1S3Z306|A0A1S3Z306_TOBAC	TMhelix|GT	TMhelix(22-44)|PLN03193(78-329)
tr|A0A1S4AV35|A0A1S4AV35_TOBAC	TMhelix|GT	TMhelix(24-46)|PLN03193(57-329)
tr|A0A1S4BJR7|A0A1S4BJR7_TOBAC	TMhelix|GT	TMhelix(21-43)|PLN03193(1-408)
tr|A0A1S4C5I4|A0A1S4C5I4_TOBAC	TMhelix|GT	TMhelix(13-35)|PLN03193(9-396)
tr|A0A1S4CCP3|A0A1S4CCP3_TOBAC	TMhelix|GT	TMhelix(22-44)|PLN03193(85-336)
tr|A0A1S4CDJ7|A0A1S4CDJ7_TOBAC	TMhelix|GT	TMhelix(24-46)|PLN03193(83-329)
tr|A0A1S4CQW5|A0A1S4CQW5_TOBAC	TMhelix|GT	TMhelix(24-46)|PLN03193(6-404)
tr|A0A1S4DNB0|A0A1S4DNB0_TOBAC	TMhelix|GT	TMhelix(9-28)|PLN03193(70-443)
tr|A0A1S4E474|A0A1S4E474_CUCME	TMhelix|GT	TMhelix(21-43)|PLN03193(1-407)
tr|A0A1U7W6R4|A0A1U7W6R4_NICSY	TMhelix|GT	TMhelix(21-43)|PLN03193(1-405)
tr|A0A1U7W9J5|A0A1U7W9J5_NICSY	TMhelix|GT	TMhelix(21-43)|PLN03193(1-408)
tr|A0A1U7WI28|A0A1U7WI28_NICSY	TMhelix|GT	TMhelix(24-46)|PLN03193(6-409)
tr|A0A1U7WMB9|A0A1U7WMB9_NICSY	TMhelix|GT	TMhelix(22-44)|PLN03193(78-329)
tr|A0A1U7WXP4|A0A1U7WXP4_NICSY	TMhelix|GT	TMhelix(24-46)|PLN03193(18-409)
tr|A0A1U7X3I5|A0A1U7X3I5_NICSY	TMhelix|GT	TMhelix(13-35)|PLN03193(9-396)
tr|A0A1U7XQ05|A0A1U7XQ05_NICSY	TMhelix|GT	TMhelix(24-46)|PLN03193(57-329)
tr|A0A1U7YX33|A0A1U7YX33_NELNU	TMhelix|GT	TMhelix(13-35)|PLN03193(9-396)
tr|A0A1U7ZT49|A0A1U7ZT49_NELNU	TMhelix|GT	TMhelix(20-42)|PLN03193(10-402)
tr|A0A1U8A4Y2|A0A1U8A4Y2_NELNU	TMhelix|GT	TMhelix(21-40)|PLN03193(1-341)
tr|A0A1U8AIY0|A0A1U8AIY0_NELNU	TMhelix|GT	TMhelix(48-70)|PLN03193(106-357)
tr|A0A1U8B037|A0A1U8B037_NELNU	TMhelix|GT	TMhelix(21-43)|PLN03193(81-329)
tr|A0A1U8B5F6|A0A1U8B5F6_NELNU	TMhelix|GT	TMhelix(19-41)|PLN03193(1-404)
tr|A0A1U8BF75|A0A1U8BF75_NELNU	TMhelix|GT	TMhelix(20-42)|PLN03193(1-405)
tr|A0A1U8BKM5|A0A1U8BKM5_NELNU	TMhelix|GT	TMhelix(21-43)|PLN03193(70-329)
tr|A0A1U8BL59|A0A1U8BL59_NELNU	TMhelix|GT	TMhelix(12-34)|PLN03193(2-392)
tr|A0A1U8GEW3|A0A1U8GEW3_CAPAN	TMhelix|GT	TMhelix(13-35)|PLN03193(9-396)
tr|A0A1U8I3B9|A0A1U8I3B9_GOSHI	TMhelix|GT	TMhelix(21-43)|PLN03193(20-342)
tr|A0A1U8KQD5|A0A1U8KQD5_GOSHI	TMhelix|GT	TMhelix(13-35)|PLN03193(4-397)
tr|A0A1U8LC97|A0A1U8LC97_GOSHI	TMhelix|GT	TMhelix(19-41)|PLN03193(1-400)
tr|A0A1U8LPR9|A0A1U8LPR9_GOSHI	TMhelix|GT	TMhelix(17-39)|PLN03193(11-401)
tr|A0A1U8MCX8|A0A1U8MCX8_GOSHI	TMhelix|GT	TMhelix(19-41)|PLN03193(1-400)
tr|A0A1U8N5J4|A0A1U8N5J4_GOSHI	TMhelix|GT	TMhelix(17-39)|PLN03193(11-401)
tr|A0A1U8PZH8|A0A1U8PZH8_GOSHI	TMhelix|GT	TMhelix(21-43)|PLN03193(17-343)
tr|A0A200PSW6|A0A200PSW6_9MAGN	TMhelix|GT	TMhelix(44-66)|PLN03193(105-353)
tr|A0A200PYT8|A0A200PYT8_9MAGN	TMhelix|GT	TMhelix(20-42)|PLN03193(1-403)
tr|A0A200QFL8|A0A200QFL8_9MAGN	TMhelix|GT	TMhelix(21-43)|PLN03193(72-331)
tr|A0A200QM15|A0A200QM15_9MAGN	TMhelix|GT	TMhelix(20-42)|PLN03193(1-404)
tr|A0A200QPC1|A0A200QPC1_9MAGN	TMhelix|GT	TMhelix(23-45)|PLN03193(85-341)
tr|A0A200QQS4|A0A200QQS4_9MAGN	TMhelix|GT	TMhelix(12-34)|PLN03193(10-398)
tr|A0A200R905|A0A200R905_9MAGN	TMhelix|GT	TMhelix(49-71)|PLN03193(39-430)
tr|A0A218WHD7|A0A218WHD7_PUNGR	TMhelix|GT	TMhelix(17-39)|PLN03193(11-388)
tr|A0A218WNA6|A0A218WNA6_PUNGR	TMhelix|GT	TMhelix(21-40)|PLN03193(13-400)
tr|A0A218XER9|A0A218XER9_PUNGR	TMhelix|GT	TMhelix(21-43)|PLN03193(1-358)
tr|A0A251P710|A0A251P710_PRUPE	TMhelix|GT	TMhelix(21-40)|PLN03193(1-341)
tr|A0A251RG41|A0A251RG41_PRUPE	TMhelix|GT	TMhelix(60-82)|PLN03193(51-451)
tr|A0A251RXL7|A0A251RXL7_HELAN	TMhelix|GT	TMhelix(20-39)|PLN03193(2-403)
tr|A0A251S9U0|A0A251S9U0_HELAN	TMhelix|GT	TMhelix(17-39)|PLN03193(14-394)
tr|A0A251SX15|A0A251SX15_HELAN	TMhelix|GT	TMhelix(19-41)|PLN03193(10-392)
tr|A0A251T2T3|A0A251T2T3_HELAN	TMhelix|GT	TMhelix(20-42)|PLN03193(83-334)
tr|A0A251T4N0|A0A251T4N0_HELAN	TMhelix|GT	TMhelix(31-53)|PLN03193(27-402)
tr|A0A251V7B3|A0A251V7B3_HELAN	TMhelix|GT	TMhelix(21-38)|PLN03193(1-404)
tr|A0A251VCJ3|A0A251VCJ3_HELAN	TMhelix|GT	TMhelix(31-53)|PLN03193(30-406)
tr|A0A251VTV7|A0A251VTV7_HELAN	TMhelix|GT	TMhelix(33-55)|PLN03193(36-345)
tr|A0A287F0Z0|A0A287F0Z0_HORVV	TMhelix|GT	TMhelix(123-145)|PLN03193(185-430)
tr|A0A2G2VRC3|A0A2G2VRC3_CAPBA	TMhelix|GT	TMhelix(23-45)|PLN03193(91-339)
tr|A0A2G2WDG1|A0A2G2WDG1_CAPBA	TMhelix|GT	TMhelix(24-46)|PLN03193(1-410)
tr|A0A2G2WXX6|A0A2G2WXX6_CAPBA	TMhelix|GT	TMhelix(13-35)|PLN03193(9-411)
tr|A0A2G2X223|A0A2G2X223_CAPBA	TMhelix|GT	TMhelix(21-43)|PLN03193(1-408)
tr|A0A2G2YTT5|A0A2G2YTT5_CAPAN	TMhelix|GT	TMhelix(21-43)|PLN03193(1-408)
tr|A0A2G2Z348|A0A2G2Z348_CAPAN	TMhelix|GT	TMhelix(24-46)|PLN03193(1-411)
tr|A0A2G2Z4X5|A0A2G2Z4X5_CAPAN	TMhelix|GT	TMhelix(20-42)|PLN03193(76-290)
tr|A0A2G3AZ00|A0A2G3AZ00_CAPCH	TMhelix|GT	TMhelix(24-46)|PLN03193(1-410)
tr|A0A2G3BCF8|A0A2G3BCF8_CAPCH	TMhelix|GT	TMhelix(23-45)|PLN03193(91-339)
tr|A0A2G3BMU2|A0A2G3BMU2_CAPCH	TMhelix|GT	TMhelix(21-43)|PLN03193(1-408)
tr|A0A2G3CMA2|A0A2G3CMA2_CAPCH	TMhelix|GT	TMhelix(13-35)|PLN03193(9-411)
tr|A0A2G9FX74|A0A2G9FX74_9LAMI	TMhelix|GT	TMhelix(20-39)|PLN03193(2-400)
tr|A0A2G9G8E8|A0A2G9G8E8_9LAMI	TMhelix|GT	TMhelix(23-45)|PLN03193(24-405)
tr|A0A2G9GMT6|A0A2G9GMT6_9LAMI	TMhelix|GT	TMhelix(13-30)|PLN03193(1-392)
tr|A0A2G9H0G0|A0A2G9H0G0_9LAMI	TMhelix|GT	TMhelix(13-35)|PLN03193(5-394)
tr|A0A2G9HEA9|A0A2G9HEA9_9LAMI	TMhelix|GT	TMhelix(13-30)|PLN03193(1-392)
tr|A0A2G9HG98|A0A2G9HG98_9LAMI	TMhelix|GT	TMhelix(20-39)|PLN03193(65-329)
tr|A0A2G9HSK8|A0A2G9HSK8_9LAMI	TMhelix|GT	TMhelix(20-37)|PLN03193(1-404)
tr|A0A2H3XDX3|A0A2H3XDX3_PHODC	TMhelix|GT	TMhelix(19-41)|PLN03193(12-399)
tr|A0A2H3XN41|A0A2H3XN41_PHODC	TMhelix|GT	TMhelix(75-97)|PLN03193(147-395)
tr|A0A2H3YQE6|A0A2H3YQE6_PHODC	TMhelix|GT	TMhelix(19-41)|PLN03193(15-399)
tr|A0A2H3YRZ0|A0A2H3YRZ0_PHODC	TMhelix|GT	TMhelix(20-39)|PLN03193(10-404)
tr|A0A2H3YV63|A0A2H3YV63_PHODC	TMhelix|GT	TMhelix(26-48)|PLN03193(1-411)
tr|A0A2H3Z4Q5|A0A2H3Z4Q5_PHODC	TMhelix|GT	TMhelix(26-48)|PLN03193(1-411)
tr|A0A2H5N4N5|A0A2H5N4N5_CITUN	TMhelix|GT	TMhelix(20-42)|PLN03193(1-418)
tr|A0A2H5PWN0|A0A2H5PWN0_CITUN	TMhelix|GT	TMhelix(19-41)|PLN03193(1-407)
tr|A0A2H5PXS2|A0A2H5PXS2_CITUN	TMhelix|GT	TMhelix(17-39)|PLN03193(7-411)
tr|A0A2H5QI15|A0A2H5QI15_CITUN	TMhelix|GT	TMhelix(23-45)|PLN03193(93-297)
tr|A0A2H9ZRX7|A0A2H9ZRX7_9ASPA	TMhelix|GT	TMhelix(28-50)|PLN03193(91-343)
tr|A0A2I0AAL6|A0A2I0AAL6_9ASPA	TMhelix|GT	TMhelix(34-56)|PLN03193(11-415)
tr|A0A2I0AD94|A0A2I0AD94_9ASPA	TMhelix|GT	TMhelix(31-53)|PLN03193(1-415)
tr|A0A2I0AM69|A0A2I0AM69_9ASPA	TMhelix|GT	TMhelix(35-57)|PLN03193(27-405)
tr|A0A2I0AWR8|A0A2I0AWR8_9ASPA	TMhelix|GT	TMhelix(21-43)|PLN03193(6-331)
tr|A0A2I4DX14|A0A2I4DX14_9ROSI	TMhelix|GT	TMhelix(20-42)|PLN03193(1-405)
tr|A0A2I4ESZ3|A0A2I4ESZ3_9ROSI	TMhelix|GT	TMhelix(16-38)|PLN03193(74-326)
tr|A0A2I4ETC9|A0A2I4ETC9_9ROSI	TMhelix|GT	TMhelix(17-39)|PLN03193(11-403)
tr|A0A2I4G6D7|A0A2I4G6D7_9ROSI	TMhelix|GT	TMhelix(43-65)|PLN03193(101-349)
tr|A0A2I4GZZ2|A0A2I4GZZ2_9ROSI	TMhelix|GT	TMhelix(21-43)|PLN03193(85-337)
tr|A0A2I4H3F6|A0A2I4H3F6_9ROSI	TMhelix|GT	TMhelix(13-35)|PLN03193(5-390)
