tr|A0A1U7QMM0|A0A1U7QMM0_MESAU	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(20-39)|TMhelix(107-129)|TMhelix(142-159)|Glyco_tranf_GTA_type(81-346)
tr|A0A2D0QCL3|A0A2D0QCL3_ICTPU	GT-A	Glyco_tranf_GTA_type(1-210)
tr|A0A2D0QKT3|A0A2D0QKT3_ICTPU	GT-A	Glyco_transf_6(1-265)
tr|A0A2G9QG40|A0A2G9QG40_LITCT	GT-A	Glyco_tranf_GTA_type(6-270)
tr|A0A2G9RMR4|A0A2G9RMR4_LITCT	GT-A	Glyco_tranf_GTA_type(1-211)
tr|A0A2G9S799|A0A2G9S799_LITCT	GT-A	Glyco_tranf_GTA_type(7-205)
tr|A0A2H9SLN5|A0A2H9SLN5_9BACT	GT-A	Glyco_tranf_GTA_type(25-248)
tr|A0A2I2U8V9|A0A2I2U8V9_FELCA	GT-A	Glyco_tranf_GTA_type(42-303)
tr|A0A2I2U937|A0A2I2U937_FELCA	GT-A	Glyco_tranf_GTA_type(41-297)
tr|A0A2I2UAI4|A0A2I2UAI4_FELCA	GT-A	Glyco_transf_6(21-301)
tr|A0A2I2ULR5|A0A2I2ULR5_FELCA	GT-A	Glyco_tranf_GTA_type(73-284)
tr|A0A2I2URY8|A0A2I2URY8_FELCA	GT-A	Glyco_tranf_GTA_type(40-307)
tr|A0A2I3H5A9|A0A2I3H5A9_NOMLE	GT-A	Glyco_tranf_GTA_type(60-342)
tr|A0A2I3T876|A0A2I3T876_PANTR	GT-A	Glyco_tranf_GTA_type(60-347)
tr|A0A2I4AS66|A0A2I4AS66_9TELE	GT-A	Glyco_tranf_GTA_type(68-337)
tr|A0A2I4BEB8|A0A2I4BEB8_9TELE	GT-A	Glyco_tranf_GTA_type(63-332)
tr|A0A2I7N555|A0A2I7N555_9NEIS	GT-A	Glyco_tranf_GTA_type(11-224)
tr|A0A2K5CC96|A0A2K5CC96_AOTNA	GT-A	Glyco_tranf_GTA_type(34-306)
tr|A0A2K5CKK3|A0A2K5CKK3_AOTNA	GT-A	Glyco_tranf_GTA_type(1-219)
tr|A0A2K5EEX8|A0A2K5EEX8_AOTNA	GT-A	Glyco_tranf_GTA_type(52-309)
tr|A0A2K5KDS4|A0A2K5KDS4_COLAP	GT-A	Glyco_tranf_GTA_type(42-299)
tr|A0A2K5NNI5|A0A2K5NNI5_CERAT	GT-A	Glyco_tranf_GTA_type(36-293)
tr|A0A2K5NWN2|A0A2K5NWN2_CERAT	GT-A	Glyco_transf_6(68-339)
tr|A0A2K5Q6B1|A0A2K5Q6B1_CEBCA	GT-A	Glyco_transf_6(67-338)
tr|A0A2K5QFI6|A0A2K5QFI6_CEBCA	GT-A	Glyco_tranf_GTA_type(64-346)
tr|A0A2K5QWW6|A0A2K5QWW6_CEBCA	GT-A	Glyco_tranf_GTA_type(69-339)
tr|A0A2K5R0D4|A0A2K5R0D4_CEBCA	GT-A	Glyco_tranf_GTA_type(42-299)
tr|A0A2K5XKG7|A0A2K5XKG7_MANLE	GT-A	Glyco_tranf_GTA_type(38-317)
tr|A0A2K5ZLH7|A0A2K5ZLH7_MANLE	GT-A	Glyco_tranf_GTA_type(14-250)
tr|A0A2K6AVA4|A0A2K6AVA4_MACNE	GT-A	Glyco_tranf_GTA_type(68-307)
tr|A0A2K6BDH5|A0A2K6BDH5_MACNE	GT-A	Glyco_tranf_GTA_type(42-299)
tr|A0A2K6BKQ7|A0A2K6BKQ7_MACNE	GT-A	Glyco_tranf_GTA_type(72-353)
tr|A0A2K6EST5|A0A2K6EST5_PROCO	GT-A	Glyco_transf_6(68-339)
tr|A0A2K6FLP9|A0A2K6FLP9_PROCO	GT-A	Glyco_transf_6(60-348)
tr|A0A2K6FWZ1|A0A2K6FWZ1_PROCO	GT-A	Glyco_tranf_GTA_type(41-298)
tr|A0A2K6L1T1|A0A2K6L1T1_RHIBE	GT-A	Glyco_tranf_GTA_type(42-299)
tr|A0A2K6MQA9|A0A2K6MQA9_RHIBE	GT-A	Glyco_tranf_GTA_type(63-330)
tr|A0A2K6MTW5|A0A2K6MTW5_RHIBE	GT-A	Glyco_transf_6(68-339)
tr|A0A2K6NXZ8|A0A2K6NXZ8_RHIRO	GT-A	Glyco_tranf_GTA_type(42-299)
tr|A0A2K6Q2P4|A0A2K6Q2P4_RHIRO	GT-A	Glyco_transf_6(68-339)
tr|A0A2K6QJ84|A0A2K6QJ84_RHIRO	GT-A	Glyco_tranf_GTA_type(63-338)
tr|A0A2K6S509|A0A2K6S509_SAIBB	GT-A	Glyco_tranf_GTA_type(42-303)
tr|A0A2K6T9M2|A0A2K6T9M2_SAIBB	GT-A	Glyco_transf_6(67-338)
tr|A0A2K6UWA1|A0A2K6UWA1_SAIBB	GT-A	Glyco_tranf_GTA_type(60-346)
tr|A0A2N2F6E9|A0A2N2F6E9_9BACT	GT-A	Glyco_tranf_GTA_type(42-271)
tr|A0A2P4SXS2|A0A2P4SXS2_BAMTH	GT-A	Glyco_transf_6(42-312)
tr|A0A2R8ZUK4|A0A2R8ZUK4_PANPA	GT-A	Glyco_tranf_GTA_type(2-255)
tr|A0A2R8ZV33|A0A2R8ZV33_PANPA	GT-A	Glyco_tranf_GTA_type(60-347)
tr|A0JNE4|A0JNE4_BOVIN	GT-A	Glyco_tranf_GTA_type(49-330)
tr|A2AUQ8|A2AUQ8_MOUSE	GT-A	Glyco_tranf_GTA_type(65-329)
tr|B0NSM3|B0NSM3_BACSE	GT-A	Glyco_tranf_GTA_type(3-204)
tr|B0R0W5|B0R0W5_DANRE	GT-A	Glyco_tranf_GTA_type(31-298)
tr|B0S7I1|B0S7I1_DANRE	GT-A	Glyco_tranf_GTA_type(37-301)
tr|B0UVK9|B0UVK9_HISS2	GT-A	Glyco_tranf_GTA_type(5-247)
tr|B5X0T3|B5X0T3_SALSA	GT-A	Glyco_tranf_GTA_type(47-330)
tr|D0SG80|D0SG80_ACIJO	GT-A	Glyco_tranf_GTA_type(4-212)
tr|D1B3X0|D1B3X0_SULD5	GT-A	Glyco_tranf_GTA_type(4-213)
tr|D1PIY3|D1PIY3_9FIRM	GT-A	Glyco_tranf_GTA_type(12-221)
tr|D1PRD4|D1PRD4_9FIRM	GT-A	Glyco_tranf_GTA_type(6-217)
tr|D3I9S3|D3I9S3_9BACT	GT-A	Glyco_tranf_GTA_type(3-209)
tr|D3UIY4|D3UIY4_HELM1	GT-A	Glyco_tranf_GTA_type(52-244)
tr|D7NC57|D7NC57_9BACT	GT-A	Glyco_tranf_GTA_type(10-195)
tr|E1BBZ2|E1BBZ2_BOVIN	GT-A	Glyco_tranf_GTA_type(55-317)
tr|E2QRW7|E2QRW7_CANLF	GT-A	Glyco_tranf_GTA_type(51-333)
tr|E4TIL1|E4TIL1_CALNY	GT-A	Glyco_tranf_GTA_type(4-216)
tr|F1MP25|F1MP25_BOVIN	GT-A	Glyco_tranf_GTA_type(1-263)
tr|F1N6E8|F1N6E8_BOVIN	GT-A	Glyco_tranf_GTA_type(59-335)
tr|F1N6G4|F1N6G4_BOVIN	GT-A	Glyco_transf_6(74-361)
tr|F1NUX2|F1NUX2_CHICK	GT-A	Glyco_transf_6(72-342)
tr|F1PEJ9|F1PEJ9_CANLF	GT-A	Glyco_transf_6(66-351)
tr|F1PP38|F1PP38_CANLF	GT-A	Glyco_tranf_GTA_type(135-362)
tr|F1PRS8|F1PRS8_CANLF	GT-A	Glyco_tranf_GTA_type(18-294)
tr|F6R2J3|F6R2J3_CALJA	GT-A	Glyco_tranf_GTA_type(60-347)
tr|F6R3H6|F6R3H6_HORSE	GT-A	Glyco_tranf_GTA_type(43-308)
tr|F6RD65|F6RD65_ORNAN	GT-A	Glyco_tranf_GTA_type(56-343)
tr|F6S5C0|F6S5C0_HORSE	GT-A	Glyco_tranf_GTA_type(43-306)
tr|F6SUP5|F6SUP5_XENTR	GT-A	Glyco_tranf_GTA_type(1-286)
tr|F6SY78|F6SY78_HORSE	GT-A	Glyco_transf_6(60-347)
tr|F6TKV0|F6TKV0_XENTR	GT-A	Glyco_transf_6(22-293)
tr|F6TL64|F6TL64_XENTR	GT-A	Glyco_transf_6(22-295)
tr|F6UY75|F6UY75_MONDO	GT-A	Glyco_tranf_GTA_type(1-273)
tr|F6VEF8|F6VEF8_XENTR	GT-A	Glyco_tranf_GTA_type(1-227)
tr|F6VWU9|F6VWU9_HORSE	GT-A	Glyco_tranf_GTA_type(41-304)
tr|F6VXM6|F6VXM6_MONDO	GT-A	Glyco_tranf_GTA_type(58-345)
tr|F6ZCM4|F6ZCM4_HORSE	GT-A	Glyco_tranf_GTA_type(1-268)
tr|F7BTW1|F7BTW1_ORNAN	GT-A	Glyco_tranf_GTA_type(1-249)
tr|F7DCZ4|F7DCZ4_XENTR	GT-A	Glyco_tranf_GTA_type(8-271)
tr|F7DIL2|F7DIL2_MACMU	GT-A	Glyco_transf_6(68-339)
tr|F7E5H7|F7E5H7_XENTR	GT-A	Glyco_tranf_GTA_type(1-283)
tr|F7EVI7|F7EVI7_XENTR	GT-A	Glyco_tranf_GTA_type(20-290)
tr|F7FKE2|F7FKE2_MACMU	GT-A	Glyco_tranf_GTA_type(42-299)
tr|F7FNW2|F7FNW2_ORNAN	GT-A	Glyco_tranf_GTA_type(1-274)
tr|F8KUR1|F8KUR1_PARAV	GT-A	Glyco_tranf_GTA_type(25-247)
tr|G1L1Y7|G1L1Y7_AILME	GT-A	Glyco_tranf_GTA_type(48-330)
tr|G1L2D4|G1L2D4_AILME	GT-A	Glyco_tranf_GTA_type(1-218)
tr|G1L9E9|G1L9E9_AILME	GT-A	Glyco_tranf_GTA_type(44-301)
tr|G1LL42|G1LL42_AILME	GT-A	Glyco_tranf_GTA_type(1-258)
tr|G1LMN0|G1LMN0_AILME	GT-A	Glyco_tranf_GTA_type(1-176)
tr|G1N3M4|G1N3M4_MELGA	GT-A	Glyco_transf_6(73-343)
tr|G1Q1S5|G1Q1S5_MYOLU	GT-A	Glyco_tranf_GTA_type(55-315)
tr|G1Q523|G1Q523_MYOLU	GT-A	Glyco_tranf_GTA_type(47-328)
tr|G1QF96|G1QF96_MYOLU	GT-A	Glyco_transf_6(69-354)
tr|G1RC29|G1RC29_NOMLE	GT-A	Glyco_tranf_GTA_type(30-278)
tr|G1SVL2|G1SVL2_RABIT	GT-A	Glyco_transf_6(9-294)
tr|G1TCT6|G1TCT6_RABIT	GT-A	Glyco_tranf_GTA_type(1-228)
tr|G1TJJ5|G1TJJ5_RABIT	GT-A	Glyco_tranf_GTA_type(65-351)
tr|G1TQK9|G1TQK9_RABIT	GT-A	Glyco_tranf_GTA_type(46-326)
tr|G1U7R7|G1U7R7_RABIT	GT-A	Glyco_tranf_GTA_type(28-271)
tr|G1U831|G1U831_RABIT	GT-A	Glyco_tranf_GTA_type(65-351)
tr|G3H924|G3H924_CRIGR	GT-A	Glyco_transf_6(53-324)
tr|G3I9S6|G3I9S6_CRIGR	GT-A	Glyco_transf_6(5-278)
tr|G3IIN1|G3IIN1_CRIGR	GT-A	Glyco_tranf_GTA_type(1-278)
tr|G3INM0|G3INM0_CRIGR	GT-A	Glyco_tranf_GTA_type(3-228)
tr|G3N5W5|G3N5W5_GASAC	GT-A	Glyco_tranf_GTA_type(1-272)
tr|G3PUA7|G3PUA7_GASAC	GT-A	Glyco_tranf_GTA_type(1-272)
tr|G3PYA5|G3PYA5_GASAC	GT-A	Glyco_transf_6(63-332)
tr|G3QLN1|G3QLN1_GORGO	GT-A	Glyco_tranf_GTA_type(60-347)
tr|G3QM07|G3QM07_GORGO	GT-A	Glyco_transf_6(68-340)
tr|G3QXW9|G3QXW9_GORGO	GT-A	Glyco_tranf_GTA_type(3-259)
tr|G3SWP0|G3SWP0_LOXAF	GT-A	Glyco_transf_6(60-346)
tr|G3TPT7|G3TPT7_LOXAF	GT-A	Glyco_tranf_GTA_type(43-296)
tr|G3TT39|G3TT39_LOXAF	GT-A	Glyco_tranf_GTA_type(3-264)
tr|G3TWE4|G3TWE4_LOXAF	GT-A	Glyco_tranf_GTA_type(1-272)
tr|G3U9U2|G3U9U2_LOXAF	GT-A	Glyco_tranf_GTA_type(47-330)
tr|G3W2W9|G3W2W9_SARHA	GT-A	Glyco_tranf_GTA_type(58-339)
tr|G3X131|G3X131_SARHA	GT-A	Glyco_tranf_GTA_type(31-313)
tr|G3X1I1|G3X1I1_SARHA	GT-A	Glyco_tranf_GTA_type(11-283)
tr|G5ANW5|G5ANW5_HETGA	GT-A	Glyco_tranf_GTA_type(39-287)
tr|G5AXR6|G5AXR6_HETGA	GT-A	Glyco_tranf_GTA_type(1-273)
tr|G5AXR7|G5AXR7_HETGA	GT-A	Glyco_tranf_GTA_type(1-262)
tr|G7PR68|G7PR68_MACFA	GT-A	Glyco_tranf_GTA_type(42-299)
tr|H0UZR1|H0UZR1_CAVPO	GT-A	Glyco_tranf_GTA_type(42-298)
tr|H0XHS5|H0XHS5_OTOGA	GT-A	Glyco_tranf_GTA_type(3-257)
tr|H0XI02|H0XI02_OTOGA	GT-A	Glyco_tranf_GTA_type(33-296)
tr|H0XLI3|H0XLI3_OTOGA	GT-A	Glyco_tranf_GTA_type(3-271)
tr|H0XUD6|H0XUD6_OTOGA	GT-A	Glyco_tranf_GTA_type(1-238)
tr|H0YXR2|H0YXR2_TAEGU	GT-A	Glyco_tranf_GTA_type(1-247)
tr|H0Z4U1|H0Z4U1_TAEGU	GT-A	Glyco_transf_6(73-343)
tr|H2L5L3|H2L5L3_ORYLA	GT-A	Glyco_tranf_GTA_type(51-320)
tr|H2L5L4|H2L5L4_ORYLA	GT-A	Glyco_tranf_GTA_type(1-212)
tr|H2LXF1|H2LXF1_ORYLA	GT-A	Glyco_tranf_GTA_type(1-210)
tr|H2M2S0|H2M2S0_ORYLA	GT-A	Glyco_tranf_GTA_type(82-356)
tr|H2N831|H2N831_PONAB	GT-A	Glyco_transf_6(60-331)
tr|H2PTT8|H2PTT8_PONAB	GT-A	Glyco_tranf_GTA_type(59-345)
tr|H2PTX6|H2PTX6_PONAB	GT-A	Glyco_tranf_GTA_type(42-277)
tr|H2R628|H2R628_PANTR	GT-A	Glyco_tranf_GTA_type(17-274)
tr|H2UKJ8|H2UKJ8_TAKRU	GT-A	Glyco_transf_6(69-338)
tr|H2UWL5|H2UWL5_TAKRU	GT-A	Glyco_tranf_GTA_type(1-270)
tr|H2ZT23|H2ZT23_LATCH	GT-A	Glyco_tranf_GTA_type(1-226)
tr|H3AG18|H3AG18_LATCH	GT-A	Glyco_tranf_GTA_type(58-329)
tr|H3CZ94|H3CZ94_TETNG	GT-A	Glyco_tranf_GTA_type(1-256)
tr|H3DBD2|H3DBD2_TETNG	GT-A	Glyco_transf_6(7-276)
tr|I3J7U2|I3J7U2_ORENI	GT-A	Glyco_transf_6(66-335)
tr|I3J8F1|I3J8F1_ORENI	GT-A	Glyco_transf_6(6-275)
tr|I3JF20|I3JF20_ORENI	GT-A	Glyco_tranf_GTA_type(23-292)
tr|I3JJJ3|I3JJJ3_ORENI	GT-A	Glyco_tranf_GTA_type(21-290)
tr|I3JJJ6|I3JJJ6_ORENI	GT-A	Glyco_tranf_GTA_type(1-269)
tr|I3JRV7|I3JRV7_ORENI	GT-A	Glyco_tranf_GTA_type(19-289)
tr|I3MTK8|I3MTK8_ICTTR	GT-A	Glyco_tranf_GTA_type(26-279)
tr|I3MUY6|I3MUY6_ICTTR	GT-A	Glyco_transf_6(69-340)
tr|J9P1L4|J9P1L4_CANLF	GT-A	Glyco_transf_6(41-303)
tr|K7FA26|K7FA26_PELSI	GT-A	Glyco_tranf_GTA_type(4-279)
tr|K7FPG7|K7FPG7_PELSI	GT-A	Glyco_tranf_GTA_type(1-284)
tr|K7FQB7|K7FQB7_PELSI	GT-A	Glyco_tranf_GTA_type(3-278)
tr|K7FUB7|K7FUB7_PELSI	GT-A	Glyco_tranf_GTA_type(1-272)
tr|K7G4C3|K7G4C3_PELSI	GT-A	Glyco_tranf_GTA_type(3-274)
tr|K7G612|K7G612_PELSI	GT-A	Glyco_tranf_GTA_type(40-324)
tr|L1K0P3|L1K0P3_GUITH	GT-A	Glyco_tranf_GTA_type(185-465)
tr|L1K4J1|L1K4J1_GUITH	GT-A	Glyco_tranf_GTA_type(241-430)
tr|L5JU41|L5JU41_PTEAL	GT-A	Glyco_tranf_GTA_type(25-253)
tr|L5K6I6|L5K6I6_PTEAL	GT-A	Glyco_transf_6(60-347)
tr|L5KA11|L5KA11_PTEAL	GT-A	Glyco_transf_6(142-425)
tr|L5KA37|L5KA37_PTEAL	GT-A	Glyco_tranf_GTA_type(27-366)
tr|L7N1I6|L7N1I6_MYOLU	GT-A	Glyco_transf_6(56-341)
tr|L7N2S9|L7N2S9_XENTR	GT-A	Glyco_tranf_GTA_type(1-276)
tr|L8XZL0|L8XZL0_TUPCH	GT-A	Glyco_tranf_GTA_type(1-284)
tr|L8YDI6|L8YDI6_TUPCH	GT-A	Glyco_tranf_GTA_type(43-303)
tr|L9KPF4|L9KPF4_TUPCH	GT-A	Glyco_tranf_GTA_type(32-256)
tr|M3WRB6|M3WRB6_FELCA	GT-A	Glyco_transf_6(65-352)
tr|M3X3U2|M3X3U2_FELCA	GT-A	Glyco_tranf_GTA_type(39-300)
tr|M3X8P5|M3X8P5_FELCA	GT-A	Glyco_transf_6(96-382)
tr|M3XSB7|M3XSB7_MUSPF	GT-A	Glyco_tranf_GTA_type(2-205)
tr|M3Y7U8|M3Y7U8_MUSPF	GT-A	Glyco_tranf_GTA_type(49-328)
tr|M3YLW8|M3YLW8_MUSPF	GT-A	Glyco_transf_6(34-320)
tr|M3YLX5|M3YLX5_MUSPF	GT-A	Glyco_tranf_GTA_type(60-337)
tr|M3YUG2|M3YUG2_MUSPF	GT-A	Glyco_tranf_GTA_type(5-276)
tr|M3ZTM4|M3ZTM4_XIPMA	GT-A	Glyco_tranf_GTA_type(19-278)
tr|M4ADZ8|M4ADZ8_XIPMA	GT-A	Glyco_tranf_GTA_type(1-283)
tr|M4AJ92|M4AJ92_XIPMA	GT-A	Glyco_tranf_GTA_type(18-289)
tr|M4ARQ2|M4ARQ2_XIPMA	GT-A	Glyco_tranf_GTA_type(11-280)
tr|Q28IV5|Q28IV5_XENTR	GT-A	Glyco_tranf_GTA_type(40-329)
tr|R5HJZ0|R5HJZ0_9SPIR	GT-A	Glyco_tranf_GTA_type(3-205)
tr|R5HLA7|R5HLA7_9SPIR	GT-A	Glyco_tranf_GTA_type(5-220)
tr|R5UQB5|R5UQB5_9BACE	GT-A	Glyco_tranf_GTA_type(10-210)
tr|R6C4N4|R6C4N4_9CLOT	GT-A	Glyco_tranf_GTA_type(11-213)
tr|R7L650|R7L650_9BACT	GT-A	Glyco_tranf_GTA_type(9-209)
tr|S0GK24|S0GK24_9BACT	GT-A	Glyco_tranf_GTA_type(2-213)
tr|U3JDR2|U3JDR2_FICAL	GT-A	Glyco_tranf_GTA_type(68-327)
tr|U3JFK1|U3JFK1_FICAL	GT-A	Glyco_tranf_GTA_type(63-337)
tr|U3KNZ1|U3KNZ1_RABIT	GT-A	Glyco_tranf_GTA_type(55-317)
tr|V8NE80|V8NE80_OPHHA	GT-A	Glyco_tranf_GTA_type(59-341)
tr|W4UP70|W4UP70_9BACE	GT-A	Glyco_tranf_GTA_type(3-215)
tr|W5LTG6|W5LTG6_ASTMX	GT-A	Glyco_tranf_GTA_type(15-273)
tr|W5LXG5|W5LXG5_LEPOC	GT-A	Glyco_tranf_GTA_type(8-225)
tr|W5M9D0|W5M9D0_LEPOC	GT-A	Glyco_transf_6(11-281)
tr|W5P4V0|W5P4V0_SHEEP	GT-A	Glyco_tranf_GTA_type(42-299)
tr|W5P5E1|W5P5E1_SHEEP	GT-A	Glyco_tranf_GTA_type(59-348)
tr|W5PYU7|W5PYU7_SHEEP	GT-A	Glyco_tranf_GTA_type(49-329)
tr|W5PYV9|W5PYV9_SHEEP	GT-A	Glyco_tranf_GTA_type(55-319)
