tr|F0YCC4|F0YCC4_AURAN	Unknown	DUF563(212-324)
tr|A0A1L8FVV3|A0A1L8FVV3_XENLA	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(168-254)
tr|A0A1L8H9W0|A0A1L8H9W0_XENLA	TMhelix|GT-A	TMhelix(9-31)|Galactosyl_T(144-240)
tr|A0A1L8HA21|A0A1L8HA21_XENLA	TMhelix|GT-A	TMhelix(12-34)|Galactosyl_T(145-233)
tr|A0A1L8HI41|A0A1L8HI41_XENLA	TMhelix|GT-A	TMhelix(12-34)|Galactosyl_T(144-234)
tr|A0A1L8HI45|A0A1L8HI45_XENLA	TMhelix|GT-A	TMhelix(17-39)|Galactosyl_T(158-240)
tr|A0A1L8HI50|A0A1L8HI50_XENLA	TMhelix|GT-A	TMhelix(9-28)|Galactosyl_T(144-240)
tr|A0A1L8HI67|A0A1L8HI67_XENLA	TMhelix|GT-A	TMhelix(2-24)|Galactosyl_T(144-228)
tr|A0A1L8HIC2|A0A1L8HIC2_XENLA	TMhelix|GT-A	TMhelix(12-34)|Galactosyl_T(144-232)
tr|A0A1L9SAC5|A0A1L9SAC5_9EURO	TMhelix|GT-A	TMhelix(20-37)|Galactosyl_T(231-360)
tr|A0A1Q9DDS9|A0A1Q9DDS9_SYMMI	TMhelix|GT-A	TMhelix(31-53)|Galactosyl_T(126-229)
tr|A0A1S2XRZ1|A0A1S2XRZ1_CICAR	TMhelix|GT-A	TMhelix(20-42)|DUF604(208-462)
tr|A0A1S2YVX1|A0A1S2YVX1_CICAR	TMhelix|GT-A	TMhelix(13-35)|DUF604(209-461)
tr|A0A1S2Z2U8|A0A1S2Z2U8_CICAR	TMhelix|GT-A	TMhelix(12-34)|DUF604(211-446)
tr|A0A1S3AC07|A0A1S3AC07_ERIEU	TMhelix|GT-A	TMhelix(20-42)|Galactosyl_T(120-261)
tr|A0A1S3H9F1|A0A1S3H9F1_LINUN	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(68-195)
tr|A0A1S3H9F7|A0A1S3H9F7_LINUN	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(52-231)
tr|A0A1S3J4G7|A0A1S3J4G7_LINUN	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(137-285)
tr|A0A1S3K9Z6|A0A1S3K9Z6_LINUN	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(137-285)
tr|A0A1S3LK38|A0A1S3LK38_SALSA	TMhelix|GT-A	TMhelix(54-76)|Galactosyl_T(152-332)
tr|A0A1S3M4K6|A0A1S3M4K6_SALSA	TMhelix|GT-A	TMhelix(7-26)|Galactosyl_T(146-236)
tr|A0A1S3MI31|A0A1S3MI31_SALSA	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(112-276)
tr|A0A1S3Q0A4|A0A1S3Q0A4_SALSA	TMhelix|GT-A	TMhelix(5-27)|Galactosyl_T(147-237)
tr|A0A1S3TM83|A0A1S3TM83_VIGRR	TMhelix|GT-A	TMhelix(34-56)|DUF604(213-465)
tr|A0A1S3X8B6|A0A1S3X8B6_TOBAC	TMhelix|GT-A	TMhelix(28-50)|DUF604(239-492)
tr|A0A1S3XW65|A0A1S3XW65_TOBAC	TMhelix|GT-A	TMhelix(21-38)|DUF604(201-451)
tr|A0A1S4BHT8|A0A1S4BHT8_TOBAC	TMhelix|GT-A	TMhelix(21-38)|DUF604(201-451)
tr|A0A1S4C4S7|A0A1S4C4S7_TOBAC	TMhelix|GT-A	TMhelix(20-39)|DUF604(199-450)
tr|A0A1U7UY87|A0A1U7UY87_NICSY	TMhelix|GT-A	TMhelix(21-38)|Galactosyl_T(49-265)
tr|A0A1U7Y700|A0A1U7Y700_NICSY	TMhelix|GT-A	TMhelix(28-50)|DUF604(239-492)
tr|A0A1U7YBS3|A0A1U7YBS3_NICSY	TMhelix|GT-A	TMhelix(20-39)|DUF604(199-450)
tr|A0A1U7YTE7|A0A1U7YTE7_NELNU	TMhelix|GT-A	TMhelix(31-53)|DUF604(207-459)
tr|A0A1U7ZPF7|A0A1U7ZPF7_NELNU	TMhelix|GT-A	TMhelix(35-57)|DUF604(243-496)
tr|A0A1U8D7S4|A0A1U8D7S4_ALLSI	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(165-249)
tr|A0A1U8DK39|A0A1U8DK39_ALLSI	TMhelix|GT-A	TMhelix(88-107)|Galactosyl_T(222-347)
tr|A0A1U8ES70|A0A1U8ES70_CAPAN	TMhelix|GT-A	TMhelix(13-35)|DUF604(216-469)
tr|A0A1U8I0E1|A0A1U8I0E1_GOSHI	TMhelix|GT-A	TMhelix(9-31)|DUF604(199-450)
tr|A0A1V4KBU2|A0A1V4KBU2_PATFA	TMhelix|GT-A	TMhelix(50-72)|Galactosyl_T(148-289)
tr|A0A1V6RSK8|A0A1V6RSK8_9EURO	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(188-296)
tr|A0A1V6XHE4|A0A1V6XHE4_PENNA	TMhelix|GT-A	TMhelix(9-28)|Galactosyl_T(187-250)
tr|A0A1V9XDK0|A0A1V9XDK0_9ACAR	TMhelix|GT-A	TMhelix(30-52)|Galactosyl_T(144-272)
tr|A0A1V9XTB3|A0A1V9XTB3_9ACAR	TMhelix|GT-A	TMhelix(60-82)|Galactosyl_T(216-314)
tr|A0A1W0W8P1|A0A1W0W8P1_HYPDU	TMhelix|GT-A	TMhelix(17-39)|Galactosyl_T(78-169)
tr|A0A1W0WH55|A0A1W0WH55_HYPDU	TMhelix|GT-A	TMhelix(17-39)|Galactosyl_T(72-187)
tr|A0A1W0WRA3|A0A1W0WRA3_HYPDU	TMhelix|GT-A	TMhelix(12-29)|Galactosyl_T(90-222)
tr|A0A1W0WY78|A0A1W0WY78_HYPDU	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(81-261)
tr|A0A1W0X5R0|A0A1W0X5R0_HYPDU	TMhelix|GT-A	TMhelix(12-31)|Galactosyl_T(81-203)
tr|A0A1W0X828|A0A1W0X828_HYPDU	TMhelix|GT-A	TMhelix(13-32)|Galactosyl_T(106-221)
tr|A0A1W4UTS4|A0A1W4UTS4_DROFC	TMhelix|GT-A	TMhelix(13-32)|Galactosyl_T(86-232)
tr|A0A1W4UTY1|A0A1W4UTY1_DROFC	TMhelix|GT-A	TMhelix(42-64)|Galactosyl_T(437-538)
tr|A0A1W4V813|A0A1W4V813_DROFC	TMhelix|GT-A	TMhelix(28-50)|Galactosyl_T(79-184)
tr|A0A1W4VBH9|A0A1W4VBH9_DROFC	TMhelix|GT-A	TMhelix(21-40)|Galactosyl_T(131-188)
tr|A0A1W4VF28|A0A1W4VF28_DROFC	TMhelix|GT-A	TMhelix(27-49)|Galactosyl_T(89-256)
tr|A0A1W4VZN4|A0A1W4VZN4_DROFC	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(119-265)
tr|A0A1W4W4C7|A0A1W4W4C7_AGRPL	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(86-246)
tr|A0A1Y1IKA5|A0A1Y1IKA5_KLENI	TMhelix|GT-A	TMhelix(40-62)|Galactosyl_T(133-553)
tr|A0A212EHL0|A0A212EHL0_DANPL	TMhelix|GT-A	TMhelix(13-35)|Galactosyl_T(91-255)
tr|A0A218V7S8|A0A218V7S8_9PASE	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(108-249)
tr|A0A226EA20|A0A226EA20_FOLCA	TMhelix|GT-A	TMhelix(13-35)|Galactosyl_T(107-230)
tr|A0A226EHW1|A0A226EHW1_FOLCA	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(128-290)
tr|A0A226F5V1|A0A226F5V1_FOLCA	TMhelix|GT-A	TMhelix(44-63)|Galactosyl_T(104-299)
tr|A0A226NIK2|A0A226NIK2_CALSU	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(108-249)
tr|A0A226PYK9|A0A226PYK9_COLVI	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(108-249)
tr|A0A232FNA7|A0A232FNA7_9HYME	TMhelix|GT-A	TMhelix(12-29)|Galactosyl_T(124-248)
tr|A0A251U7S2|A0A251U7S2_HELAN	TMhelix|GT-A	TMhelix(13-35)|DUF604(214-467)
tr|A0A261BGI4|A0A261BGI4_9PELO	TMhelix|GT-A	TMhelix(51-73)|Galactosyl_T(122-253)
tr|A0A261CGY7|A0A261CGY7_9PELO	TMhelix|GT-A	TMhelix(40-62)|Galactosyl_T(98-250)
tr|A0A286Y0J4|A0A286Y0J4_CAVPO	TMhelix|GT-A	TMhelix(13-35)|Galactosyl_T(115-256)
tr|A0A287AIY2|A0A287AIY2_PIG	TMhelix|GT-A	TMhelix(5-27)|Galactosyl_T(102-158)
tr|A0A2A2J6B6|A0A2A2J6B6_9BILA	TMhelix|GT-A	TMhelix(20-42)|Galactosyl_T(89-224)
tr|A0A2A2J6X2|A0A2A2J6X2_9BILA	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(105-273)
tr|A0A2A2JFG9|A0A2A2JFG9_9BILA	TMhelix|GT-A	TMhelix(38-60)|Galactosyl_T(91-229)
tr|A0A2A2JR52|A0A2A2JR52_9BILA	TMhelix|GT-A	TMhelix(30-52)|Galactosyl_T(105-240)
tr|A0A2A2K1S8|A0A2A2K1S8_9BILA	TMhelix|GT-A	TMhelix(38-60)|Galactosyl_T(91-246)
tr|A0A2C9JRE1|A0A2C9JRE1_BIOGL	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(104-247)
tr|A0A2C9JS82|A0A2C9JS82_BIOGL	TMhelix|GT-A	TMhelix(9-31)|Galactosyl_T(90-242)
tr|A0A2C9JXL4|A0A2C9JXL4_BIOGL	TMhelix|GT-A	TMhelix(13-30)|Galactosyl_T(168-257)
tr|A0A2C9K3F0|A0A2C9K3F0_BIOGL	TMhelix|GT-A	TMhelix(5-27)|Galactosyl_T(251-452)
tr|A0A2C9LFY7|A0A2C9LFY7_BIOGL	TMhelix|GT-A	TMhelix(20-39)|Galactosyl_T(87-215)
tr|A0A2C9LN20|A0A2C9LN20_BIOGL	TMhelix|GT-A	TMhelix(20-39)|Galactosyl_T(91-220)
tr|A0A2D0S1B5|A0A2D0S1B5_ICTPU	TMhelix|GT-A	TMhelix(31-53)|Galactosyl_T(131-276)
tr|A0A2D0SKS0|A0A2D0SKS0_ICTPU	TMhelix|GT-A	TMhelix(7-25)|Galactosyl_T(164-287)
tr|A0A2G2Z8B7|A0A2G2Z8B7_CAPAN	TMhelix|GT-A	TMhelix(33-55)|Galactosyl_T(78-286)
tr|A0A2G5T651|A0A2G5T651_9PELO	TMhelix|GT-A	TMhelix(38-60)|Galactosyl_T(96-248)
tr|A0A2G5TLH7|A0A2G5TLH7_9PELO	TMhelix|GT-A	TMhelix(11-28)|Galactosyl_T(133-244)
tr|A0A2G5U721|A0A2G5U721_9PELO	TMhelix|GT-A	TMhelix(33-55)|Galactosyl_T(104-235)
tr|A0A2G9G5X9|A0A2G9G5X9_9LAMI	TMhelix|GT-A	TMhelix(13-30)|DUF604(223-476)
tr|A0A2G9HKZ0|A0A2G9HKZ0_9LAMI	TMhelix|GT-A	TMhelix(28-50)|DUF604(208-462)
tr|A0A2G9QAA0|A0A2G9QAA0_LITCT	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(166-252)
tr|A0A2G9RMW5|A0A2G9RMW5_LITCT	TMhelix|GT-A	TMhelix(12-29)|Galactosyl_T(139-260)
tr|A0A2G9SJM5|A0A2G9SJM5_LITCT	TMhelix|GT-A	TMhelix(10-32)|Galactosyl_T(154-242)
tr|A0A2H2I8G8|A0A2H2I8G8_CAEJA	TMhelix|GT-A	TMhelix(12-31)|Galactosyl_T(82-213)
tr|A0A2H2IRW5|A0A2H2IRW5_CAEJA	TMhelix|GT-A	TMhelix(38-60)|Galactosyl_T(95-213)
tr|A0A2H5QK70|A0A2H5QK70_CITUN	TMhelix|GT-A	TMhelix(16-38)|DUF604(197-448)
tr|A0A2I1C107|A0A2I1C107_9EURO	TMhelix|GT-A	TMhelix(35-57)|Galactosyl_T(215-280)
tr|A0A2I4B9Y1|A0A2I4B9Y1_9TELE	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(102-243)
tr|A0A2J7PME5|A0A2J7PME5_9NEOP	TMhelix|GT-A	TMhelix(35-57)|Galactosyl_T(195-288)
tr|A0A2K1KUD5|A0A2K1KUD5_PHYPA	TMhelix|GT-A	TMhelix(26-48)|DUF604(222-478)
tr|A0A2K5CZ21|A0A2K5CZ21_AOTNA	TMhelix|GT-A	TMhelix(13-35)|Galactosyl_T(115-256)
tr|A0A2K5LNR9|A0A2K5LNR9_CERAT	TMhelix|GT-A	TMhelix(20-42)|Galactosyl_T(163-217)
tr|A0A2K5SGD6|A0A2K5SGD6_CEBCA	TMhelix|GT-A	TMhelix(13-35)|Galactosyl_T(115-256)
tr|A0A2K5Y5J9|A0A2K5Y5J9_MANLE	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(170-224)
tr|A0A2K6ALD0|A0A2K6ALD0_MANLE	TMhelix|GT-A	TMhelix(13-35)|Galactosyl_T(115-229)
tr|A0A2K6TJP4|A0A2K6TJP4_SAIBB	TMhelix|GT-A	TMhelix(13-35)|Galactosyl_T(115-256)
tr|A0A2P4IIY8|A0A2P4IIY8_QUESU	TMhelix|GT-A	TMhelix(31-53)|DUF604(234-481)
tr|A0A2P4SP94|A0A2P4SP94_BAMTH	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(108-249)
tr|A0A2P6QI03|A0A2P6QI03_ROSCH	TMhelix|GT-A	TMhelix(55-77)|DUF604(269-536)
tr|A0A2R8MMN8|A0A2R8MMN8_CALJA	TMhelix|GT-A	TMhelix(13-35)|Galactosyl_T(115-256)
tr|A0A2R9A7M1|A0A2R9A7M1_PANPA	TMhelix|GT-A	TMhelix(13-35)|Galactosyl_T(115-256)
tr|A0A2R9AFP8|A0A2R9AFP8_PANPA	TMhelix|GT-A	TMhelix(20-42)|Galactosyl_T(167-201)
tr|A8JNT2|A8JNT2_DROME	TMhelix|GT-A	TMhelix(12-34)|Galactosyl_T(72-183)
tr|A8WQZ2|A8WQZ2_CAEBR	TMhelix|GT-A	TMhelix(50-72)|Galactosyl_T(121-252)
tr|A8XDB0|A8XDB0_CAEBR	TMhelix|GT-A	TMhelix(38-60)|Galactosyl_T(96-248)
tr|A8XV45|A8XV45_CAEBR	TMhelix|GT-A	TMhelix(11-28)|Galactosyl_T(133-253)
tr|B0W718|B0W718_CULQU	TMhelix|GT-A	TMhelix(13-35)|Galactosyl_T(117-267)
tr|B0XDH0|B0XDH0_CULQU	TMhelix|GT-A	TMhelix(36-55)|Galactosyl_T(92-277)
tr|B3M5E1|B3M5E1_DROAN	TMhelix|GT-A	TMhelix(12-34)|Galactosyl_T(83-233)
tr|B3MNY7|B3MNY7_DROAN	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(177-266)
tr|B3N166|B3N166_DROAN	TMhelix|GT-A	TMhelix(77-99)|Galactosyl_T(131-298)
tr|B4GJ75|B4GJ75_DROPE	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(119-265)
tr|B4GSC3|B4GSC3_DROPE	TMhelix|GT-A	TMhelix(22-44)|Galactosyl_T(115-237)
tr|B4GU84|B4GU84_DROPE	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(366-397)
tr|B4HBX6|B4HBX6_DROPE	TMhelix|GT-A	TMhelix(12-31)|Galactosyl_T(407-464)
tr|B4HIJ1|B4HIJ1_DROSE	TMhelix|GT-A	TMhelix(12-34)|Galactosyl_T(126-183)
tr|B4HVL3|B4HVL3_DROSE	TMhelix|GT-A	TMhelix(5-24)|Galactosyl_T(73-223)
tr|B4HYS8|B4HYS8_DROSE	TMhelix|GT-A	TMhelix(12-34)|Galactosyl_T(110-256)
tr|B4I2R2|B4I2R2_DROSE	TMhelix|GT-A	TMhelix(13-32)|Galactosyl_T(140-197)
tr|B4I2R8|B4I2R8_DROSE	TMhelix|GT-A	TMhelix(28-50)|Galactosyl_T(86-184)
tr|B4I709|B4I709_DROSE	TMhelix|GT-A	TMhelix(40-62)|Galactosyl_T(103-270)
tr|B4JZE4|B4JZE4_DROGR	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(120-266)
tr|B4JZE8|B4JZE8_DROGR	TMhelix|GT-A	TMhelix(15-37)|Galactosyl_T(97-255)
tr|B4JZF2|B4JZF2_DROGR	TMhelix|GT-A	TMhelix(26-45)|Galactosyl_T(159-264)
tr|B4K232|B4K232_DROGR	TMhelix|GT-A	TMhelix(21-40)|Galactosyl_T(99-228)
tr|B4KEA6|B4KEA6_DROMO	TMhelix|GT-A	TMhelix(12-34)|Galactosyl_T(63-185)
tr|B4KF98|B4KF98_DROMO	TMhelix|GT-A	TMhelix(13-35)|Galactosyl_T(396-456)
tr|B4KF99|B4KF99_DROMO	TMhelix|GT-A	TMhelix(20-42)|Galactosyl_T(99-228)
tr|B4KFA0|B4KFA0_DROMO	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(102-255)
tr|B4KFA1|B4KFA1_DROMO	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(113-266)
tr|B4KFA2|B4KFA2_DROMO	TMhelix|GT-A	TMhelix(13-35)|Galactosyl_T(95-224)
tr|B4L0H7|B4L0H7_DROMO	TMhelix|GT-A	TMhelix(46-68)|Galactosyl_T(104-189)
tr|B4L4C2|B4L4C2_DROMO	TMhelix|GT-A	TMhelix(49-71)|Galactosyl_T(104-269)
tr|B4LUX6|B4LUX6_DROVI	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(165-262)
tr|B4LUX9|B4LUX9_DROVI	TMhelix|GT-A	TMhelix(13-35)|Galactosyl_T(400-486)
tr|B4LUY0|B4LUY0_DROVI	TMhelix|GT-A	TMhelix(17-39)|Galactosyl_T(104-226)
tr|B4LUY2|B4LUY2_DROVI	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(177-266)
tr|B4MCW0|B4MCW0_DROVI	TMhelix|GT-A	TMhelix(48-67)|Galactosyl_T(105-272)
tr|B4MUK0|B4MUK0_DROWI	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(177-266)
tr|B4MUK1|B4MUK1_DROWI	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(120-266)
tr|B4N011|B4N011_DROWI	TMhelix|GT-A	TMhelix(13-32)|Galactosyl_T(147-248)
tr|B4NCE2|B4NCE2_DROWI	TMhelix|GT-A	TMhelix(38-60)|Galactosyl_T(101-268)
tr|B4NUQ0|B4NUQ0_DROSI	TMhelix|GT-A	TMhelix(40-62)|Galactosyl_T(103-270)
tr|B4Q7B3|B4Q7B3_DROSI	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(119-265)
tr|B4Q8L3|B4Q8L3_DROSI	TMhelix|GT-A	TMhelix(13-32)|Galactosyl_T(140-195)
tr|B4Q8L9|B4Q8L9_DROSI	TMhelix|GT-A	TMhelix(28-50)|Galactosyl_T(86-184)
tr|B4QL64|B4QL64_DROSI	TMhelix|GT-A	TMhelix(12-34)|Galactosyl_T(126-157)
tr|B5DJU9|B5DJU9_DROPS	TMhelix|GT-A	TMhelix(22-44)|Galactosyl_T(115-237)
tr|B5DJV6|B5DJV6_DROPS	TMhelix|GT-A	TMhelix(13-32)|Galactosyl_T(143-240)
tr|B6AA26|B6AA26_CRYMR	TMhelix|GT-A	TMhelix(12-31)|Galactosyl_T(281-515)
tr|B9HMK9|B9HMK9_POPTR	TMhelix|GT-A	TMhelix(35-54)|DUF604(212-466)
tr|B9RPQ0|B9RPQ0_RICCO	TMhelix|GT-A	TMhelix(20-42)|DUF604(196-448)
tr|C3Z8K9|C3Z8K9_BRAFL	TMhelix|GT-A	TMhelix(9-31)|Galactosyl_T(117-260)
tr|D3BMZ4|D3BMZ4_POLPP	TMhelix|GT-A	TMhelix(45-64)|Galactosyl_T(113-288)
tr|D6WWB8|D6WWB8_TRICA	TMhelix|GT-A	TMhelix(20-42)|Galactosyl_T(103-255)
tr|D7KED2|D7KED2_ARALL	TMhelix|GT-A	TMhelix(20-42)|DUF604(208-454)
tr|D8QTD2|D8QTD2_SELML	TMhelix|GT-A	TMhelix(55-77)|DUF604(288-544)
tr|D8SBY5|D8SBY5_SELML	TMhelix|GT-A	TMhelix(55-77)|DUF604(288-552)
tr|E0VK77|E0VK77_PEDHC	TMhelix|GT-A	TMhelix(12-31)|Galactosyl_T(99-256)
tr|E3LZN2|E3LZN2_CAERE	TMhelix|GT-A	TMhelix(47-69)|Galactosyl_T(105-257)
tr|E3M639|E3M639_CAERE	TMhelix|GT-A	TMhelix(51-73)|Galactosyl_T(122-253)
tr|E3N571|E3N571_CAERE	TMhelix|GT-A	TMhelix(12-34)|Galactosyl_T(133-197)
tr|E3NSK5|E3NSK5_CAERE	TMhelix|GT-A	TMhelix(12-34)|Galactosyl_T(136-200)
tr|E9IGS8|E9IGS8_SOLIN	TMhelix|GT-A	TMhelix(7-26)|Galactosyl_T(134-258)
tr|E9J664|E9J664_SOLIN	TMhelix|GT-A	TMhelix(17-39)|Galactosyl_T(142-301)
tr|F2U3Q7|F2U3Q7_SALR5	TMhelix|GT-A	TMhelix(13-32)|Galactosyl_T(286-425)
tr|F4X6V2|F4X6V2_ACREC	TMhelix|GT-A	TMhelix(95-117)|Galactosyl_T(188-347)
tr|G0NE87|G0NE87_CAEBE	TMhelix|GT-A	TMhelix(38-60)|Galactosyl_T(96-233)
tr|G1KN54|G1KN54_ANOCA	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(108-251)
tr|G1NBQ6|G1NBQ6_MELGA	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(108-249)
tr|G1PQS8|G1PQS8_MYOLU	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(107-248)
tr|G3N6J2|G3N6J2_GASAC	TMhelix|GT-A	TMhelix(7-24)|Galactosyl_T(165-249)
tr|G3P2L7|G3P2L7_GASAC	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(156-284)
tr|G3QUN9|G3QUN9_GORGO	TMhelix|GT-A	TMhelix(20-42)|Galactosyl_T(167-201)
tr|G4LV49|G4LV49_SCHMA	TMhelix|GT-A	TMhelix(34-56)|Galactosyl_T(127-279)
tr|G7Y7V0|G7Y7V0_CLOSI	TMhelix|GT-A	TMhelix(13-35)|Galactosyl_T(124-201)
tr|G7Y7V1|G7Y7V1_CLOSI	TMhelix|GT-A	TMhelix(20-42)|Galactosyl_T(93-242)
tr|G7YNU4|G7YNU4_CLOSI	TMhelix|GT-A	TMhelix(27-49)|Galactosyl_T(101-255)
tr|G7YPF9|G7YPF9_CLOSI	TMhelix|GT-A	TMhelix(25-44)|Galactosyl_T(150-240)
tr|G7YTZ8|G7YTZ8_CLOSI	TMhelix|GT-A	TMhelix(29-51)|Galactosyl_T(138-250)
tr|H0YTV0|H0YTV0_TAEGU	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(108-249)
tr|H2KST0|H2KST0_CLOSI	TMhelix|GT-A	TMhelix(20-42)|Galactosyl_T(81-249)
tr|H2L872|H2L872_ORYLA	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(162-273)
tr|H2LTI0|H2LTI0_ORYLA	TMhelix|GT-A	TMhelix(9-31)|Galactosyl_T(159-283)
tr|H2Q7E0|H2Q7E0_PANTR	TMhelix|GT-A	TMhelix(55-77)|Fringe(313-516)
tr|H2U884|H2U884_TAKRU	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(166-250)
tr|H3AHL2|H3AHL2_LATCH	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(109-252)
tr|H3BFW3|H3BFW3_LATCH	TMhelix|GT-A	TMhelix(11-33)|Galactosyl_T(168-256)
tr|H3DAR8|H3DAR8_TETNG	TMhelix|GT-A	TMhelix(11-33)|Galactosyl_T(164-222)
tr|H9GBB7|H9GBB7_ANOCA	TMhelix|GT-A	TMhelix(10-32)|Galactosyl_T(159-247)
tr|I1K6F3|I1K6F3_SOYBN	TMhelix|GT-A	TMhelix(35-52)|DUF604(232-485)
tr|I3K296|I3K296_ORENI	TMhelix|GT-A	TMhelix(11-33)|Galactosyl_T(164-252)
tr|I3KSD8|I3KSD8_ORENI	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(109-286)
tr|I3N372|I3N372_ICTTR	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(107-248)
tr|J9K8T9|J9K8T9_ACYPI	TMhelix|GT-A	TMhelix(17-39)|Galactosyl_T(185-272)
tr|K1PRF7|K1PRF7_CRAGI	TMhelix|GT-A	TMhelix(25-44)|Galactosyl_T(111-272)
tr|K1PSC7|K1PSC7_CRAGI	TMhelix|GT-A	TMhelix(26-48)|Galactosyl_T(140-287)
tr|K1PYT6|K1PYT6_CRAGI	TMhelix|GT-A	TMhelix(13-35)|Galactosyl_T(135-312)
tr|K4ASP3|K4ASP3_SOLLC	TMhelix|GT-A	TMhelix(20-42)|DUF604(218-471)
tr|K4DAX7|K4DAX7_SOLLC	TMhelix|GT-A	TMhelix(13-35)|DUF604(215-468)
tr|K7F934|K7F934_PELSI	TMhelix|GT-A	TMhelix(20-42)|Galactosyl_T(178-264)
tr|M3XQY2|M3XQY2_MUSPF	TMhelix|GT-A	TMhelix(13-35)|Galactosyl_T(115-229)
tr|M3ZIK9|M3ZIK9_XIPMA	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(163-247)
tr|M3ZRX8|M3ZRX8_XIPMA	TMhelix|GT-A	TMhelix(30-52)|Galactosyl_T(183-303)
tr|O16535|O16535_CAEEL	TMhelix|GT-A	TMhelix(32-49)|Galactosyl_T(141-274)
tr|O17053|O17053_CAEEL	TMhelix|GT-A	TMhelix(16-35)|Galactosyl_T(83-223)
tr|O44563|O44563_CAEEL	TMhelix|GT-A	TMhelix(33-55)|Galactosyl_T(104-235)
tr|Q171Q2|Q171Q2_AEDAE	TMhelix|GT-A	TMhelix(58-80)|Galactosyl_T(156-306)
tr|Q22900|Q22900_CAEEL	TMhelix|GT-A	TMhelix(39-61)|Galactosyl_T(98-250)
tr|Q29GD1|Q29GD1_DROPS	TMhelix|GT-A	TMhelix(42-64)|Galactosyl_T(99-262)
tr|Q29JS8|Q29JS8_DROPS	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(119-265)
tr|Q29KF4|Q29KF4_DROPS	TMhelix|GT-A	TMhelix(12-31)|Galactosyl_T(407-464)
tr|Q2PE08|Q2PE08_DROME	TMhelix|GT-A	TMhelix(20-39)|Galactosyl_T(93-243)
tr|Q7Q146|Q7Q146_ANOGA	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(111-270)
tr|Q9VQH4|Q9VQH4_DROME	TMhelix|GT-A	TMhelix(13-32)|Galactosyl_T(86-235)
tr|Q9VQH6|Q9VQH6_DROME	TMhelix|GT-A	TMhelix(12-29)|Galactosyl_T(90-214)
tr|Q9VQH7|Q9VQH7_DROME	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(400-458)
tr|Q9VQI0|Q9VQI0_DROME	TMhelix|GT-A	TMhelix(28-50)|Galactosyl_T(86-184)
tr|Q9VWM1|Q9VWM1_DROME	TMhelix|GT-A	TMhelix(40-62)|Galactosyl_T(103-270)
tr|R0KB96|R0KB96_ANAPL	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(108-249)
tr|T1EEM8|T1EEM8_HELRO	TMhelix|GT-A	TMhelix(16-34)|Galactosyl_T(108-266)
tr|T1GHU9|T1GHU9_MEGSC	TMhelix|GT-A	TMhelix(13-35)|Galactosyl_T(136-290)
