tr|A0A2P6U4S8|A0A2P6U4S8_CHLSO	zf-MYND|GT-A	zf-MYND(4-49)|PLN03180(568-905)
tr|A0A1S3YH08|A0A1S3YH08_TOBAC	GT-A	PLN03180(1-345)
tr|A0A1S3YIZ3|A0A1S3YIZ3_TOBAC	GT-A	PLN03180(1-342)
tr|A0A1S3YWJ5|A0A1S3YWJ5_TOBAC	GT-A	PLN03180(1-345)
tr|A0A1S3ZMD5|A0A1S3ZMD5_TOBAC	GT-A	PLN03180(1-344)
tr|A0A1S4B5L4|A0A1S4B5L4_TOBAC	GT-A	PLN03180(1-342)
tr|A0A1S4BQ99|A0A1S4BQ99_TOBAC	GT-A	PLN03180(5-348)
tr|A0A1S4C2N5|A0A1S4C2N5_TOBAC	GT-A	PLN03180(1-344)
tr|A0A1S4C365|A0A1S4C365_TOBAC	GT-A	PLN03180(12-353)
tr|A0A1S4CDG6|A0A1S4CDG6_TOBAC	GT-A	RGP(6-344)
tr|A0A1S4CVB2|A0A1S4CVB2_TOBAC	GT-A	PLN03180(1-344)
tr|A0A1S4DX21|A0A1S4DX21_CUCME	GT-A	RGP(84-422)
tr|A0A1T4T3Y9|A0A1T4T3Y9_9ACTN	GT-A	RGP(90-312)
tr|A0A1U7UX23|A0A1U7UX23_NICSY	GT-A	PLN03180(12-353)
tr|A0A1U7VIV9|A0A1U7VIV9_NICSY	GT-A	PLN03180(1-345)
tr|A0A1U7W110|A0A1U7W110_NICSY	GT-A	PLN03180(1-344)
tr|A0A1U7WGI8|A0A1U7WGI8_NICSY	GT-A	RGP(6-344)
tr|A0A1U7WUH0|A0A1U7WUH0_NICSY	GT-A	PLN03180(1-345)
tr|A0A1U7X4E6|A0A1U7X4E6_NICSY	GT-A	PLN03180(1-342)
tr|A0A1U7XZ24|A0A1U7XZ24_NICSY	GT-A	PLN03180(5-348)
tr|A0A1U7YNJ0|A0A1U7YNJ0_NICSY	GT-A	PLN03180(1-344)
tr|A0A1U7YYY2|A0A1U7YYY2_NELNU	GT-A	RGP(84-423)
tr|A0A1U7ZCV5|A0A1U7ZCV5_NELNU	GT-A	PLN03180(4-348)
tr|A0A1U8A8U7|A0A1U8A8U7_NELNU	GT-A	PLN03180(6-348)
tr|A0A1U8AFG0|A0A1U8AFG0_NELNU	GT-A	PLN03180(6-347)
tr|A0A1U8EKL9|A0A1U8EKL9_CAPAN	GT-A	PLN03180(2-346)
tr|A0A1U8EPD7|A0A1U8EPD7_CAPAN	GT-A	PLN03180(1-346)
tr|A0A1U8EXI2|A0A1U8EXI2_CAPAN	GT-A	RGP(6-344)
tr|A0A1U8FPX6|A0A1U8FPX6_CAPAN	GT-A	PLN03180(1-344)
tr|A0A1U8FRF2|A0A1U8FRF2_CAPAN	GT-A	PLN03180(1-343)
tr|A0A1U8I2J6|A0A1U8I2J6_GOSHI	GT-A	PLN03180(14-355)
tr|A0A1U8ID50|A0A1U8ID50_GOSHI	GT-A	PLN03180(5-349)
tr|A0A1U8J404|A0A1U8J404_GOSHI	GT-A	PLN03180(14-355)
tr|A0A1U8JT42|A0A1U8JT42_GOSHI	GT-A	RGP(5-340)
tr|A0A1U8K4W0|A0A1U8K4W0_GOSHI	GT-A	PLN03180(5-349)
tr|A0A1U8K7A2|A0A1U8K7A2_GOSHI	GT-A	RGP(5-343)
tr|A0A1U8KRT3|A0A1U8KRT3_GOSHI	GT-A	RGP(89-427)
tr|A0A1U8KSL9|A0A1U8KSL9_GOSHI	GT-A	PLN03180(5-349)
tr|A0A1U8LPB7|A0A1U8LPB7_GOSHI	GT-A	RGP(83-418)
tr|A0A1U8NBN5|A0A1U8NBN5_GOSHI	GT-A	PLN03180(5-349)
tr|A0A1U8NS21|A0A1U8NS21_GOSHI	GT-A	PLN03180(5-349)
tr|A0A1U8NZ47|A0A1U8NZ47_GOSHI	GT-A	PLN03180(20-357)
tr|A0A1U8NZJ4|A0A1U8NZJ4_GOSHI	GT-A	PLN03180(2-346)
tr|A0A1U8NZZ5|A0A1U8NZZ5_GOSHI	GT-A	PLN03180(17-353)
tr|A0A1U8P4A9|A0A1U8P4A9_GOSHI	GT-A	PLN03180(14-354)
tr|A0A1V4C2Y4|A0A1V4C2Y4_9EURY	GT-A	RGP(89-317)
tr|A0A1Y1HS30|A0A1Y1HS30_KLENI	GT-A	PLN03180(3-340)
tr|A0A1Y1IHV6|A0A1Y1IHV6_KLENI	GT-A	PLN03180(54-397)
tr|A0A200PTV3|A0A200PTV3_9MAGN	GT-A	RGP(6-347)
tr|A0A200PTZ9|A0A200PTZ9_9MAGN	GT-A	RGP(6-345)
tr|A0A200QGN9|A0A200QGN9_9MAGN	GT-A	PLN03180(7-349)
tr|A0A200QKE3|A0A200QKE3_9MAGN	GT-A	PLN03180(5-349)
tr|A0A200QVT2|A0A200QVT2_9MAGN	GT-A	PLN03180(7-352)
tr|A0A218VXA7|A0A218VXA7_PUNGR	GT-A	PLN03180(14-351)
tr|A0A218VXB8|A0A218VXB8_PUNGR	GT-A	PLN03180(8-370)
tr|A0A218XMW5|A0A218XMW5_PUNGR	GT-A	RGP(6-343)
tr|A0A218XZ72|A0A218XZ72_PUNGR	GT-A	PLN03180(6-351)
tr|A0A250XI95|A0A250XI95_9CHLO	GT-A	PLN03180(2-338)
tr|A0A250XMP5|A0A250XMP5_9CHLO	GT-A	PLN03180(2-338)
tr|A0A250XQ12|A0A250XQ12_9CHLO	GT-A	PLN03180(6-336)
tr|A0A251P0N1|A0A251P0N1_PRUPE	GT-A	RGP(84-422)
tr|A0A251R5T7|A0A251R5T7_PRUPE	GT-A	PLN03180(8-313)
tr|A0A251RM91|A0A251RM91_HELAN	GT-A	PLN03180(5-350)
tr|A0A251RWQ6|A0A251RWQ6_HELAN	GT-A	PLN03180(4-347)
tr|A0A251STB2|A0A251STB2_HELAN	GT-A	PLN03180(4-349)
tr|A0A251STC7|A0A251STC7_HELAN	GT-A	PLN03180(4-349)
tr|A0A251TAQ0|A0A251TAQ0_HELAN	GT-A	RGP(6-344)
tr|A0A251TYH1|A0A251TYH1_HELAN	GT-A	PLN03180(1-345)
tr|A0A251U1D2|A0A251U1D2_HELAN	GT-A	PLN03180(32-377)
tr|A0A251UT98|A0A251UT98_HELAN	GT-A	RGP(102-439)
tr|A0A251VIE1|A0A251VIE1_HELAN	GT-A	PLN03180(3-348)
tr|A0A256HCJ3|A0A256HCJ3_9EURY	GT-A	RGP(116-326)
tr|A0A256IHD1|A0A256IHD1_9EURY	GT-A	RGP(116-328)
tr|A0A256JUM5|A0A256JUM5_9EURY	GT-A	RGP(116-308)
tr|A0A256KYY7|A0A256KYY7_9EURY	GT-A	RGP(96-328)
tr|A0A257B2G2|A0A257B2G2_9BACT	GT-A	RGP(89-372)
tr|A0A285NEH1|A0A285NEH1_9EURY	GT-A	RGP(7-374)
tr|A0A287HMM0|A0A287HMM0_HORVV	GT-A	PLN03180(24-369)
tr|A0A2A2FJ04|A0A2A2FJ04_9EURY	GT-A	RGP(116-384)
tr|A0A2A5QWT6|A0A2A5QWT6_9EURY	GT-A	RGP(108-380)
tr|A0A2G1WM20|A0A2G1WM20_9EURY	GT-A	RGP(116-328)
tr|A0A2G1X131|A0A2G1X131_9EURY	GT-A	RGP(96-328)
tr|A0A2G2VL37|A0A2G2VL37_CAPBA	GT-A	PLN03180(2-346)
tr|A0A2G2WQV0|A0A2G2WQV0_CAPBA	GT-A	PLN03180(1-346)
tr|A0A2G2X8P5|A0A2G2X8P5_CAPBA	GT-A	PLN03180(1-342)
tr|A0A2G2XCF5|A0A2G2XCF5_CAPBA	GT-A	PLN03180(1-257)
tr|A0A2G2XHL8|A0A2G2XHL8_CAPBA	GT-A	PLN03180(1-319)
tr|A0A2G3A0X1|A0A2G3A0X1_CAPAN	GT-A	PLN03180(1-342)
tr|A0A2G3AW11|A0A2G3AW11_CAPCH	GT-A	PLN03180(1-342)
tr|A0A2G3B2K4|A0A2G3B2K4_CAPCH	GT-A	RGP(6-344)
tr|A0A2G3B6Z4|A0A2G3B6Z4_CAPCH	GT-A	PLN03180(2-346)
tr|A0A2G3CYZ0|A0A2G3CYZ0_CAPCH	GT-A	PLN03180(1-346)
tr|A0A2G3D357|A0A2G3D357_CAPCH	GT-A	PLN03180(1-343)
tr|A0A2G3D965|A0A2G3D965_CAPCH	GT-A	PLN03180(1-344)
tr|A0A2G9FXP1|A0A2G9FXP1_9LAMI	GT-A	RGP(6-305)
tr|A0A2G9G116|A0A2G9G116_9LAMI	GT-A	PLN03180(3-347)
tr|A0A2G9GBA0|A0A2G9GBA0_9LAMI	GT-A	PLN03180(3-347)
tr|A0A2G9GD73|A0A2G9GD73_9LAMI	GT-A	PLN03180(2-344)
tr|A0A2G9H595|A0A2G9H595_9LAMI	GT-A	PLN03180(3-347)
tr|A0A2G9H7A0|A0A2G9H7A0_9LAMI	GT-A	PLN03180(4-348)
tr|A0A2G9HS47|A0A2G9HS47_9LAMI	GT-A	PLN03180(6-344)
tr|A0A2G9IC40|A0A2G9IC40_9LAMI	GT-A	PLN03180(1-345)
tr|A0A2H0KB73|A0A2H0KB73_9BACT	GT-A	RGP(84-317)
tr|A0A2H0SJ41|A0A2H0SJ41_9BACT	GT-A	RGP(12-342)
tr|A0A2H0URQ3|A0A2H0URQ3_9BACT	GT-A	RGP(186-323)
tr|A0A2H3WZ14|A0A2H3WZ14_PHODC	GT-A	PLN03180(20-322)
tr|A0A2H3XLV0|A0A2H3XLV0_PHODC	GT-A	PLN03180(17-319)
tr|A0A2H3XMZ3|A0A2H3XMZ3_PHODC	GT-A	PLN03180(7-350)
tr|A0A2H3ZDE3|A0A2H3ZDE3_PHODC	GT-A	PLN03180(5-349)
tr|A0A2H3ZVP8|A0A2H3ZVP8_PHODC	GT-A	RGP(5-344)
tr|A0A2H5NVT2|A0A2H5NVT2_CITUN	GT-A	PLN03180(4-348)
tr|A0A2H5NWT5|A0A2H5NWT5_CITUN	GT-A	RGP(6-343)
tr|A0A2H5P1M5|A0A2H5P1M5_CITUN	GT-A	PLN03180(23-361)
tr|A0A2H5PW25|A0A2H5PW25_CITUN	GT-A	PLN03180(4-349)
tr|A0A2H5QJR2|A0A2H5QJR2_CITUN	GT-A	PLN03180(9-352)
tr|A0A2H9ZZ87|A0A2H9ZZ87_9ASPA	GT-A	RGP(5-342)
tr|A0A2I0A2H1|A0A2I0A2H1_9ASPA	GT-A	PLN03180(15-365)
tr|A0A2I0ADV1|A0A2I0ADV1_9ASPA	GT-A	PLN03180(15-352)
tr|A0A2I0ANB0|A0A2I0ANB0_9ASPA	GT-A	PLN03180(1-353)
tr|A0A2I4DQA0|A0A2I4DQA0_9ROSI	GT-A	PLN03180(4-350)
tr|A0A2I4EC90|A0A2I4EC90_9ROSI	GT-A	PLN03180(7-351)
tr|A0A2I4EGY4|A0A2I4EGY4_9ROSI	GT-A	PLN03180(7-350)
tr|A0A2I4EZQ7|A0A2I4EZQ7_9ROSI	GT-A	PLN03180(5-349)
tr|A0A2I4FDS9|A0A2I4FDS9_9ROSI	GT-A	RGP(84-422)
tr|A0A2I4G506|A0A2I4G506_9ROSI	GT-A	PLN03180(4-348)
tr|A0A2I8VJH9|A0A2I8VJH9_9EURY	GT-A	RGP(88-375)
tr|A0A2J6JLF5|A0A2J6JLF5_LACSA	GT-A	PLN03180(4-348)
tr|A0A2J6KHT3|A0A2J6KHT3_LACSA	GT-A	PLN03180(3-347)
tr|A0A2J6KR66|A0A2J6KR66_LACSA	GT-A	PLN03180(2-345)
tr|A0A2J6KWU5|A0A2J6KWU5_LACSA	GT-A	PLN03180(4-347)
tr|A0A2J6LGL0|A0A2J6LGL0_LACSA	GT-A	RGP(6-343)
tr|A0A2J6M0B2|A0A2J6M0B2_LACSA	GT-A	PLN03180(3-348)
tr|A0A2J6MC09|A0A2J6MC09_LACSA	GT-A	PLN03180(1-367)
tr|A0A2J8AEC6|A0A2J8AEC6_9CHLO	GT-A	PLN03180(1-364)
tr|A0A2K1K4F5|A0A2K1K4F5_PHYPA	GT-A	PLN03180(6-344)
tr|A0A2K3N4T4|A0A2K3N4T4_TRIPR	GT-A	PLN03180(5-349)
tr|A0A2K3PGD6|A0A2K3PGD6_TRIPR	GT-A	RGP(6-344)
tr|A0A2K3PKL4|A0A2K3PKL4_TRIPR	GT-A	PLN03180(1-345)
tr|A0A2M6WZP4|A0A2M6WZP4_9BACT	GT-A	RGP(82-326)
tr|A0A2P4HCJ5|A0A2P4HCJ5_QUESU	GT-A	PLN03180(5-349)
tr|A0A2P4HEL4|A0A2P4HEL4_QUESU	GT-A	RGP(6-344)
tr|A0A2P4HPY7|A0A2P4HPY7_QUESU	GT-A	PLN03180(7-352)
tr|A0A2P4HVZ5|A0A2P4HVZ5_QUESU	GT-A	PLN03180(7-350)
tr|A0A2P4LE98|A0A2P4LE98_QUESU	GT-A	PLN03180(4-348)
tr|A0A2P5AJ73|A0A2P5AJ73_9ROSA	GT-A	RGP(8-346)
tr|A0A2P5B2C7|A0A2P5B2C7_PARAD	GT-A	PLN03180(12-349)
tr|A0A2P5B9N1|A0A2P5B9N1_PARAD	GT-A	RGP(8-346)
tr|A0A2P5BMX6|A0A2P5BMX6_PARAD	GT-A	PLN03180(4-349)
tr|A0A2P5DVC7|A0A2P5DVC7_PARAD	GT-A	PLN03180(3-245)
tr|A0A2P5E2G2|A0A2P5E2G2_PARAD	GT-A	PLN03180(12-353)
tr|A0A2P5E958|A0A2P5E958_9ROSA	GT-A	PLN03180(5-349)
tr|A0A2P5EBT0|A0A2P5EBT0_9ROSA	GT-A	PLN03180(4-349)
tr|A0A2P5FD77|A0A2P5FD77_9ROSA	GT-A	PLN03180(3-245)
tr|A0A2P5FHG4|A0A2P5FHG4_9ROSA	GT-A	PLN03180(13-355)
tr|A0A2P5Q8G5|A0A2P5Q8G5_GOSBA	GT-A	PLN03180(5-349)
tr|A0A2P5QUZ9|A0A2P5QUZ9_GOSBA	GT-A	RGP(5-439)
tr|A0A2P5R0I6|A0A2P5R0I6_GOSBA	GT-A	PLN03180(5-349)
tr|A0A2P5RRA7|A0A2P5RRA7_GOSBA	GT-A	PLN03180(14-355)
tr|A0A2P5RWT0|A0A2P5RWT0_GOSBA	GT-A	RGP(5-325)
tr|A0A2P5S6Z9|A0A2P5S6Z9_GOSBA	GT-A	PLN03180(2-346)
tr|A0A2P5SM48|A0A2P5SM48_GOSBA	GT-A	PLN03180(1-319)
tr|A0A2P5STS1|A0A2P5STS1_GOSBA	GT-A	PLN03180(1-318)
tr|A0A2P6P361|A0A2P6P361_ROSCH	GT-A	PLN03180(5-349)
tr|A0A2P6P363|A0A2P6P363_ROSCH	GT-A	PLN03180(5-334)
tr|A0A2P6P4U0|A0A2P6P4U0_ROSCH	GT-A	PLN03180(1-343)
tr|A0A2P6R564|A0A2P6R564_ROSCH	GT-A	RGP(6-344)
tr|A0A2P6S3Q4|A0A2P6S3Q4_ROSCH	GT-A	PLN03180(1-344)
tr|A0A2R4ZTG9|A0A2R4ZTG9_9CREN	GT-A	RGP(33-372)
tr|A0A2R6EVD4|A0A2R6EVD4_9EURY	GT-A	RGP(88-308)
tr|A0A2R6FY66|A0A2R6FY66_9EURY	GT-A	RGP(85-378)
tr|A0A2R6GMR8|A0A2R6GMR8_9EURY	GT-A	RGP(81-314)
tr|A0A2R6HHG9|A0A2R6HHG9_9EURY	GT-A	RGP(108-320)
tr|A0A2R6HUH0|A0A2R6HUH0_9EURY	GT-A	RGP(77-319)
tr|A0A2R6HZ48|A0A2R6HZ48_9EURY	GT-A	RGP(87-295)
tr|A0A2R6I7H1|A0A2R6I7H1_9EURY	GT-A	RGP(156-306)
tr|A0A2R6IHJ9|A0A2R6IHJ9_9EURY	GT-A	RGP(90-345)
tr|A0A2R6JNQ5|A0A2R6JNQ5_9EURY	GT-A	RGP(10-306)
tr|A0A2R6KK23|A0A2R6KK23_9EURY	GT-A	RGP(107-317)
tr|A0A2R6P9U1|A0A2R6P9U1_ACTCH	GT-A	PLN03180(1-343)
tr|A0A2R6PCJ3|A0A2R6PCJ3_ACTCH	GT-A	PLN03180(4-348)
tr|A0A2R6PRP1|A0A2R6PRP1_ACTCH	GT-A	PLN03180(4-346)
tr|A0A2R6PU99|A0A2R6PU99_ACTCH	GT-A	PLN03180(4-348)
tr|A0A2R6PYL7|A0A2R6PYL7_ACTCH	GT-A	RGP(6-343)
tr|A0A2R6QAV5|A0A2R6QAV5_ACTCH	GT-A	RGP(6-343)
tr|A0A2R6QHG4|A0A2R6QHG4_ACTCH	GT-A	PLN03180(5-348)
tr|A0A2R6RKI7|A0A2R6RKI7_ACTCH	GT-A	PLN03180(1-345)
tr|A0A2R6XC76|A0A2R6XC76_MARPO	GT-A	PLN03180(16-354)
tr|A0A2R6XC81|A0A2R6XC81_MARPO	GT-A	PLN03180(12-350)
tr|A2PZC2|A2PZC2_CHLRE	GT-A	PLN03180(1-342)
tr|A8ZVM3|A8ZVM3_DESOH	GT-A	RGP(155-312)
tr|A9SCU3|A9SCU3_PHYPA	GT-A	PLN03180(6-344)
tr|A9SX10|A9SX10_PHYPA	GT-A	PLN03180(6-344)
tr|A9SX11|A9SX11_PHYPA	GT-A	PLN03180(6-341)
tr|A9T7V8|A9T7V8_PHYPA	GT-A	RGP(8-328)
tr|B4FQX1|B4FQX1_MAIZE	GT-A	PLN03180(10-355)
tr|B4G039|B4G039_MAIZE	GT-A	PLN03180(10-354)
tr|B4VH96|B4VH96_9CYAN	GT-A	RGP(164-385)
tr|B8AM48|B8AM48_ORYSI	GT-A	PLN03180(10-303)
tr|B8AW08|B8AW08_ORYSI	GT-A	RGP(37-373)
tr|B8B8B1|B8B8B1_ORYSI	GT-A	PLN03180(13-353)
tr|B9H0I1|B9H0I1_POPTR	GT-A	PLN03180(10-354)
tr|B9HIG2|B9HIG2_POPTR	GT-A	PLN03180(4-348)
tr|B9HXH9|B9HXH9_POPTR	GT-A	PLN03180(4-348)
tr|B9I3U7|B9I3U7_POPTR	GT-A	PLN03180(4-349)
tr|B9IFE5|B9IFE5_POPTR	GT-A	PLN03180(1-340)
tr|B9IQ01|B9IQ01_POPTR	GT-A	RGP(6-344)
tr|B9N4E1|B9N4E1_POPTR	GT-A	PLN03180(5-346)
tr|B9N6N2|B9N6N2_POPTR	GT-A	PLN03180(10-354)
tr|B9NBT1|B9NBT1_POPTR	GT-A	RGP(6-344)
tr|B9RAC8|B9RAC8_RICCO	GT-A	PLN03180(4-349)
tr|B9REB8|B9REB8_RICCO	GT-A	PLN03180(5-347)
tr|B9RFU2|B9RFU2_RICCO	GT-A	RGP(6-344)
tr|B9RLK7|B9RLK7_RICCO	GT-A	PLN03180(5-349)
tr|C0P439|C0P439_MAIZE	GT-A	PLN03180(4-349)
tr|C4RFT5|C4RFT5_9ACTN	GT-A	RGP(164-340)
tr|C5WT90|C5WT90_SORBI	GT-A	PLN03180(10-355)
tr|C5XDW6|C5XDW6_SORBI	GT-A	PLN03180(5-349)
tr|C5XKU8|C5XKU8_SORBI	GT-A	PLN03180(1-341)
tr|C5Y9L6|C5Y9L6_SORBI	GT-A	RGP(5-343)
tr|C6TAB7|C6TAB7_SOYBN	GT-A	PLN03180(4-347)
tr|C7NXF6|C7NXF6_HALMD	GT-A	RGP(87-374)
tr|D4H049|D4H049_HALVD	GT-A	RGP(88-316)
tr|D7L7N9|D7L7N9_ARALL	GT-A	PLN03180(6-360)
tr|D7LAM1|D7LAM1_ARALL	GT-A	PLN03180(16-355)
tr|D7M7E9|D7M7E9_ARALL	GT-A	PLN03180(12-355)
tr|D7M855|D7M855_ARALL	GT-A	RGP(6-344)
tr|D7MQA6|D7MQA6_ARALL	GT-A	PLN03180(11-351)
tr|D7MW37|D7MW37_ARALL	GT-A	PLN03180(11-352)
tr|D8J3K5|D8J3K5_HALJB	GT-A	RGP(88-377)
tr|D8QMZ4|D8QMZ4_SELML	GT-A	PLN03180(20-324)
tr|D8QNK1|D8QNK1_SELML	GT-A	PLN03180(3-339)
tr|D8QSK0|D8QSK0_SELML	GT-A	PLN03180(1-346)
tr|D8R1R9|D8R1R9_SELML	GT-A	PLN03180(1-345)
tr|D8R788|D8R788_SELML	GT-A	PLN03180(20-324)
tr|D8RM55|D8RM55_SELML	GT-A	PLN03180(23-345)
tr|D8TBS9|D8TBS9_SELML	GT-A	PLN03180(11-345)
tr|D8TLE0|D8TLE0_VOLCA	GT-A	PLN03180(1-342)
tr|D8UGN3|D8UGN3_VOLCA	GT-A	PLN03180(1-342)
tr|D8UJF8|D8UJF8_VOLCA	GT-A	PLN03180(1-369)
tr|E1ZRS1|E1ZRS1_CHLVA	GT-A	PLN03180(1-340)
tr|E4NTM8|E4NTM8_HALBP	GT-A	RGP(2-318)
tr|F6GSW1|F6GSW1_VITVI	GT-A	PLN03180(4-349)
tr|F6GTE2|F6GTE2_VITVI	GT-A	PLN03180(2-346)
tr|F6GVV2|F6GVV2_VITVI	GT-A	PLN03180(4-348)
tr|F6GX33|F6GX33_VITVI	GT-A	RGP(6-345)
tr|F6HEZ8|F6HEZ8_VITVI	GT-A	PLN03180(4-349)
tr|F7PFC6|F7PFC6_9EURY	GT-A	RGP(5-345)
tr|F8D7A1|F8D7A1_HALXS	GT-A	RGP(108-371)
tr|G0QGJ2|G0QGJ2_NANS0	GT-A	RGP(90-376)
tr|G0QGN6|G0QGN6_NANS0	GT-A	RGP(6-377)
tr|G2LJ79|G2LJ79_CHLTF	GT-A	RGP(89-377)
tr|G2MJD8|G2MJD8_9EURY	GT-A	RGP(83-321)
tr|G7JWW6|G7JWW6_MEDTR	GT-A	PLN03180(3-348)
tr|I0YVE0|I0YVE0_COCSC	GT-A	PLN03180(6-345)
tr|I1GQE9|I1GQE9_BRADI	GT-A	PLN03180(10-353)
tr|I1GSJ4|I1GSJ4_BRADI	GT-A	PLN03180(2-347)
tr|I1HRV4|I1HRV4_BRADI	GT-A	PLN03180(1-342)
tr|I1J2W9|I1J2W9_BRADI	GT-A	RGP(5-343)
tr|I1J637|I1J637_SOYBN	GT-A	PLN03180(7-349)
tr|I1JEI0|I1JEI0_SOYBN	GT-A	PLN03180(6-351)
tr|I1JWM3|I1JWM3_SOYBN	GT-A	PLN03180(13-349)
tr|I1KD37|I1KD37_SOYBN	GT-A	PLN03180(6-349)
tr|I1KWI0|I1KWI0_SOYBN	GT-A	PLN03180(1-344)
tr|I1LWV7|I1LWV7_SOYBN	GT-A	PLN03180(4-347)
tr|I1PQI6|I1PQI6_ORYGL	GT-A	RGP(5-342)
tr|I1QDN7|I1QDN7_ORYGL	GT-A	PLN03180(13-353)
tr|I3R5I8|I3R5I8_HALMT	GT-A	RGP(108-316)
tr|I7CIG5|I7CIG5_NATSJ	GT-A	RGP(108-380)
tr|J3A1G6|J3A1G6_9EURY	GT-A	RGP(90-337)
tr|J3LQM6|J3LQM6_ORYBR	GT-A	PLN03180(10-355)
tr|J3M2A1|J3M2A1_ORYBR	GT-A	RGP(5-342)
tr|J3MMT1|J3MMT1_ORYBR	GT-A	PLN03180(3-348)
tr|K3ZD61|K3ZD61_SETIT	GT-A	RGP(5-343)
tr|K3ZUJ6|K3ZUJ6_SETIT	GT-A	PLN03180(4-349)
tr|K4ABP3|K4ABP3_SETIT	GT-A	PLN03180(10-355)
tr|K4B706|K4B706_SOLLC	GT-A	PLN03180(1-342)
tr|K4BC70|K4BC70_SOLLC	GT-A	PLN03180(1-343)
tr|K4BEU7|K4BEU7_SOLLC	GT-A	PLN03180(1-342)
tr|K4BHG8|K4BHG8_SOLLC	GT-A	PLN03180(1-345)
tr|K4BKY8|K4BKY8_SOLLC	GT-A	PLN03180(1-345)
tr|K4BNE0|K4BNE0_SOLLC	GT-A	PLN03180(4-347)
tr|K4BS82|K4BS82_SOLLC	GT-A	RGP(6-344)
tr|K7XKT7|K7XKT7_SOLTU	GT-A	PLN03180(1-344)
tr|L0IEP6|L0IEP6_HALRX	GT-A	RGP(108-376)
tr|L0JJA6|L0JJA6_NATP1	GT-A	RGP(108-370)
tr|L9Y2Z9|L9Y2Z9_9EURY	GT-A	RGP(108-376)
tr|M0CHS5|M0CHS5_9EURY	GT-A	RGP(108-380)
tr|M0CPC9|M0CPC9_9EURY	GT-A	RGP(109-317)
tr|M0DIJ2|M0DIJ2_9EURY	GT-A	RGP(90-316)
tr|M0FG63|M0FG63_9EURY	GT-A	RGP(116-328)
tr|M0HEN4|M0HEN4_9EURY	GT-A	RGP(108-377)
tr|M0LY35|M0LY35_9EURY	GT-A	RGP(108-398)
tr|M0M7D8|M0M7D8_HALMO	GT-A	RGP(88-307)
tr|M0MKV5|M0MKV5_9EURY	GT-A	RGP(88-307)
tr|M0P6U7|M0P6U7_9EURY	GT-A	RGP(96-328)
tr|M0RGE2|M0RGE2_MUSAM	GT-A	PLN03180(1-318)
tr|M0SHP6|M0SHP6_MUSAM	GT-A	PLN03180(1-256)
tr|M0SNW0|M0SNW0_MUSAM	GT-A	PLN03180(1-320)
tr|M0SRG3|M0SRG3_MUSAM	GT-A	PLN03180(1-257)
tr|M0SU53|M0SU53_MUSAM	GT-A	PLN03180(1-257)
tr|M0TCU5|M0TCU5_MUSAM	GT-A	PLN03180(1-256)
tr|M0TDI7|M0TDI7_MUSAM	GT-A	PLN03180(2-341)
tr|M0TUB5|M0TUB5_MUSAM	GT-A	PLN03180(17-354)
tr|M0UAK6|M0UAK6_MUSAM	GT-A	PLN03180(1-257)
tr|M0XJL4|M0XJL4_HORVV	GT-A	PLN03180(10-355)
tr|M0XUK9|M0XUK9_HORVV	GT-A	RGP(5-343)
tr|M0XYI8|M0XYI8_HORVV	GT-A	PLN03180(1-340)
tr|M0ZLR8|M0ZLR8_SOLTU	GT-A	PLN03180(1-343)
tr|M1B8D0|M1B8D0_SOLTU	GT-A	PLN03180(1-342)
tr|M1C4C1|M1C4C1_SOLTU	GT-A	RGP(6-344)
tr|M1CAG8|M1CAG8_SOLTU	GT-A	PLN03180(8-353)
tr|M1CIV2|M1CIV2_SOLTU	GT-A	PLN03180(1-343)
tr|M1Y543|M1Y543_NATM8	GT-A	RGP(95-390)
tr|M3AW40|M3AW40_STRMB	GT-A	RGP(5-364)
tr|M4C8V0|M4C8V0_BRARP	GT-A	PLN03180(11-351)
tr|M4CA08|M4CA08_BRARP	GT-A	PLN03180(15-355)
tr|M4CAV9|M4CAV9_BRARP	GT-A	PLN03180(6-351)
tr|M4CQ26|M4CQ26_BRARP	GT-A	PLN03180(12-351)
tr|M4CWL9|M4CWL9_BRARP	GT-A	RGP(6-344)
tr|M4CWT6|M4CWT6_BRARP	GT-A	PLN03180(12-355)
tr|M4DY77|M4DY77_BRARP	GT-A	PLN03180(15-355)
tr|M4E427|M4E427_BRARP	GT-A	PLN03180(12-332)
tr|M4ELQ9|M4ELQ9_BRARP	GT-A	PLN03180(6-362)
tr|M4FDJ4|M4FDJ4_BRARP	GT-A	PLN03180(15-355)
tr|M5WMI1|M5WMI1_PRUPE	GT-A	PLN03180(5-349)
tr|M5WQ07|M5WQ07_PRUPE	GT-A	PLN03180(1-341)
tr|M5X5J2|M5X5J2_PRUPE	GT-A	PLN03180(1-344)
tr|M5XB89|M5XB89_PRUPE	GT-A	PLN03180(8-348)
tr|M7ZLT6|M7ZLT6_TRIUA	GT-A	PLN03180(1-346)
tr|Q18EK9|Q18EK9_HALWD	GT-A	RGP(180-380)
tr|Q18H85|Q18H85_HALWD	GT-A	RGP(85-318)
tr|Q2HV87|Q2HV87_MEDTR	GT-A	RGP(6-344)
tr|Q38M71|Q38M71_SOLTU	GT-A	PLN03180(4-348)
tr|Q5V3M1|Q5V3M1_HALMA	GT-A	RGP(7-377)
tr|Q69F96|Q69F96_PHAVU	GT-A	PLN03180(1-344)
