tr|I0YXG6|I0YXG6_COCSC	WD40|PAN_4|GT-A|GT-A	WD40(69-389)|PAN_4(559-618)|Glyco_tranf_GTA_type(654-992)|Glyco_tranf_GTA_type(1106-1350)
tr|A0A2R6XBH7|A0A2R6XBH7_MARPO	TMhelix|GT-A	TMhelix(40-62)|PLN03182(19-433)
tr|A0A2R6XDB6|A0A2R6XDB6_MARPO	TMhelix|GT-A	TMhelix(34-56)|PLN03182(175-550)
tr|A5BRM5|A5BRM5_VITVI	TMhelix|GT-A	TMhelix(21-40)|PLN03182(1-445)
tr|A7EYG7|A7EYG7_SCLS1	TMhelix|GT-A	TMhelix(34-56)|Glyco_transf_34(62-291)
tr|B6K5X0|B6K5X0_SCHJY	TMhelix|GT-A	TMhelix(7-24)|Glyco_tranf_GTA_type(98-333)
tr|B9HSB0|B9HSB0_POPTR	TMhelix|GT-A	TMhelix(21-40)|PLN03182(1-452)
tr|B9HSB2|B9HSB2_POPTR	TMhelix|GT-A	TMhelix(20-42)|PLN03182(1-432)
tr|B9IBL4|B9IBL4_POPTR	TMhelix|GT-A	TMhelix(32-54)|PLN03181(1-456)
tr|B9RI53|B9RI53_RICCO	TMhelix|GT-A	TMhelix(21-43)|PLN03181(1-424)
tr|B9RLV1|B9RLV1_RICCO	TMhelix|GT-A	TMhelix(46-68)|PLN03182(30-450)
tr|B9RT50|B9RT50_RICCO	TMhelix|GT-A	TMhelix(21-40)|PLN03182(1-453)
tr|B9SH21|B9SH21_RICCO	TMhelix|GT-A	TMhelix(24-46)|PLN03181(1-444)
tr|C5WMH7|C5WMH7_SORBI	TMhelix|GT-A	TMhelix(13-35)|PLN03182(3-440)
tr|C5WMH8|C5WMH8_SORBI	TMhelix|GT-A	TMhelix(21-38)|PLN03182(43-441)
tr|C5XP57|C5XP57_SORBI	TMhelix|GT-A	TMhelix(21-43)|PLN03182(1-442)
tr|C5XTD8|C5XTD8_SORBI	TMhelix|GT-A	TMhelix(50-72)|PLN03182(33-478)
tr|C5XZS5|C5XZS5_SORBI	TMhelix|GT-A	TMhelix(12-34)|PLN03181(3-440)
tr|C5Y3W2|C5Y3W2_SORBI	TMhelix|GT-A	TMhelix(32-54)|PLN03181(13-445)
tr|C5YRQ9|C5YRQ9_SORBI	TMhelix|GT-A	TMhelix(31-53)|PLN03182(28-479)
tr|C5YRR0|C5YRR0_SORBI	TMhelix|GT-A	TMhelix(23-45)|PLN03182(6-457)
tr|D7G222|D7G222_ECTSI	TMhelix|GT-A	TMhelix(70-89)|Glyco_tranf_GTA_type(183-395)
tr|D7LE55|D7LE55_ARALL	TMhelix|GT-A	TMhelix(13-35)|PLN03181(1-433)
tr|D7M3H0|D7M3H0_ARALL	TMhelix|GT-A	TMhelix(21-40)|PLN03182(1-454)
tr|D7MA15|D7MA15_ARALL	TMhelix|GT-A	TMhelix(13-35)|PLN03181(1-435)
tr|D8RTL4|D8RTL4_SELML	TMhelix|GT-A	TMhelix(26-48)|PLN03182(9-436)
tr|D8T3P8|D8T3P8_SELML	TMhelix|GT-A	TMhelix(37-59)|PLN03182(20-451)
tr|D8T5J8|D8T5J8_SELML	TMhelix|GT-A	TMhelix(26-48)|PLN03182(9-437)
tr|F9FY52|F9FY52_FUSOF	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(163-323)
tr|F9X099|F9X099_ZYMTI	TMhelix|GT-A	TMhelix(32-54)|Glyco_tranf_GTA_type(75-301)
tr|G1X4H7|G1X4H7_ARTOA	TMhelix|GT-A	TMhelix(5-27)|Glyco_tranf_GTA_type(153-384)
tr|G7JF68|G7JF68_MEDTR	TMhelix|GT-A	TMhelix(21-40)|PLN03181(59-422)
tr|G7K2G3|G7K2G3_MEDTR	TMhelix|GT-A	TMhelix(27-49)|PLN03181(1-444)
tr|I0Z2D3|I0Z2D3_COCSC	TMhelix|GT-A	TMhelix(7-29)|Glyco_tranf_GTA_type(50-301)
tr|I1H690|I1H690_BRADI	TMhelix|GT-A	TMhelix(24-46)|PLN03182(31-441)
tr|I1H691|I1H691_BRADI	TMhelix|GT-A	TMhelix(21-43)|PLN03182(100-447)
tr|I1IA63|I1IA63_BRADI	TMhelix|GT-A	TMhelix(46-68)|PLN03182(29-472)
tr|I1IL80|I1IL80_BRADI	TMhelix|GT-A	TMhelix(39-61)|PLN03181(56-473)
tr|I1K2F3|I1K2F3_SOYBN	TMhelix|GT-A	TMhelix(12-34)|PLN03181(1-426)
tr|I1L100|I1L100_SOYBN	TMhelix|GT-A	TMhelix(21-40)|PLN03182(1-443)
tr|I1LH49|I1LH49_SOYBN	TMhelix|GT-A	TMhelix(26-48)|PLN03181(1-447)
tr|I1NB50|I1NB50_SOYBN	TMhelix|GT-A	TMhelix(21-40)|PLN03182(1-450)
tr|I1P0X9|I1P0X9_ORYGL	TMhelix|GT-A	TMhelix(50-72)|PLN03182(33-478)
tr|I1PAK9|I1PAK9_ORYGL	TMhelix|GT-A	TMhelix(25-47)|PLN03182(3-469)
tr|I1PAL1|I1PAL1_ORYGL	TMhelix|GT-A	TMhelix(29-51)|PLN03182(89-443)
tr|J3LDF3|J3LDF3_ORYBR	TMhelix|GT-A	TMhelix(50-72)|PLN03182(45-479)
tr|J3LN21|J3LN21_ORYBR	TMhelix|GT-A	TMhelix(31-53)|PLN03182(390-703)
tr|K1WHH8|K1WHH8_MARBU	TMhelix|GT-A	TMhelix(31-53)|Glyco_tranf_GTA_type(62-296)
tr|K3Y6T1|K3Y6T1_SETIT	TMhelix|GT-A	TMhelix(25-47)|PLN03182(13-464)
tr|K3YS43|K3YS43_SETIT	TMhelix|GT-A	TMhelix(44-66)|PLN03182(32-470)
tr|K3ZM05|K3ZM05_SETIT	TMhelix|GT-A	TMhelix(35-57)|Glyco_tranf_GTA_type(67-444)
tr|K3ZN54|K3ZN54_SETIT	TMhelix|GT-A	TMhelix(38-60)|Glyco_tranf_GTA_type(69-447)
tr|K4AIB9|K4AIB9_SETIT	TMhelix|GT-A	TMhelix(13-35)|PLN03182(7-429)
tr|K4AIR2|K4AIR2_SETIT	TMhelix|GT-A	TMhelix(21-43)|PLN03182(83-437)
tr|K4AJS5|K4AJS5_SETIT	TMhelix|GT-A	TMhelix(17-39)|PLN03182(79-429)
tr|K4BD17|K4BD17_SOLLC	TMhelix|GT-A	TMhelix(20-37)|PLN03181(8-437)
tr|K4BG12|K4BG12_SOLLC	TMhelix|GT-A	TMhelix(7-29)|PLN03181(2-411)
tr|K4BY23|K4BY23_SOLLC	TMhelix|GT-A	TMhelix(42-64)|PLN03182(26-442)
tr|K7TWY3|K7TWY3_MAIZE	TMhelix|GT-A	TMhelix(24-46)|PLN03182(10-449)
tr|K7U776|K7U776_MAIZE	TMhelix|GT-A	TMhelix(27-49)|PLN03181(13-437)
tr|K7UBP6|K7UBP6_MAIZE	TMhelix|GT-A	TMhelix(24-46)|PLN03182(7-449)
tr|K7UMG2|K7UMG2_MAIZE	TMhelix|GT-A	TMhelix(38-60)|PLN03181(3-454)
tr|M0RZB6|M0RZB6_MUSAM	TMhelix|GT-A	TMhelix(21-43)|Glyco_tranf_GTA_type(70-439)
tr|M0SJ18|M0SJ18_MUSAM	TMhelix|GT-A	TMhelix(52-74)|PLN03181(26-444)
tr|M0XCY6|M0XCY6_HORVV	TMhelix|GT-A	TMhelix(32-54)|PLN03182(69-436)
tr|M1BXL0|M1BXL0_SOLTU	TMhelix|GT-A	TMhelix(13-35)|PLN03181(1-440)
tr|M1DA54|M1DA54_SOLTU	TMhelix|GT-A	TMhelix(20-37)|PLN03181(8-437)
tr|M4C9J8|M4C9J8_BRARP	TMhelix|GT-A	TMhelix(21-40)|PLN03182(1-453)
tr|M4CHX1|M4CHX1_BRARP	TMhelix|GT-A	TMhelix(46-68)|PLN03182(41-448)
tr|M4DMW0|M4DMW0_BRARP	TMhelix|GT-A	TMhelix(13-35)|PLN03181(1-437)
tr|M4EA70|M4EA70_BRARP	TMhelix|GT-A	TMhelix(41-63)|PLN03182(34-500)
tr|M4F5A6|M4F5A6_BRARP	TMhelix|GT-A	TMhelix(21-40)|PLN03182(1-453)
tr|M4FFR4|M4FFR4_BRARP	TMhelix|GT-A	TMhelix(25-47)|PLN03181(1-447)
tr|M5VY86|M5VY86_PRUPE	TMhelix|GT-A	TMhelix(25-47)|PLN03181(1-448)
tr|N4U7A0|N4U7A0_FUSC1	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(163-323)
tr|Q0U5Q5|Q0U5Q5_PHANO	TMhelix|GT-A	TMhelix(12-31)|Glyco_tranf_GTA_type(141-314)
tr|Q5AVW8|Q5AVW8_EMENI	TMhelix|GT-A	TMhelix(121-140)|Glyco_tranf_GTA_type(152-412)
tr|Q5TIM9|Q5TIM9_MAIZE	TMhelix|GT-A	TMhelix(12-34)|PLN03181(3-441)
tr|Q5TIN0|Q5TIN0_MEDTR	TMhelix|GT-A	TMhelix(13-35)|PLN03181(4-436)
tr|R1FHI4|R1FHI4_EMIHU	TMhelix|GT-A	TMhelix(129-151)|Glyco_tranf_GTA_type(184-425)
tr|S8CIN4|S8CIN4_9LAMI	TMhelix|GT-A	TMhelix(13-30)|PLN03182(1-384)
tr|S8E2L7|S8E2L7_9LAMI	TMhelix|GT-A	TMhelix(12-34)|PLN03181(1-420)
tr|T1M8W4|T1M8W4_TRIUA	TMhelix|GT-A	TMhelix(31-53)|PLN03182(111-408)
tr|U4LPA1|U4LPA1_PYROM	TMhelix|GT-A	TMhelix(21-43)|Glyco_tranf_GTA_type(66-300)
tr|U7E1A7|U7E1A7_POPTR	TMhelix|GT-A	TMhelix(21-40)|PLN03182(1-452)
tr|V7B015|V7B015_PHAVU	TMhelix|GT-A	TMhelix(21-40)|PLN03182(1-445)
tr|V7CEZ4|V7CEZ4_PHAVU	TMhelix|GT-A	TMhelix(34-56)|PLN03181(21-448)
tr|V7D1L9|V7D1L9_PHAVU	TMhelix|GT-A	TMhelix(20-42)|PLN03182(1-447)
tr|W1P5M7|W1P5M7_AMBTC	TMhelix|GT-A	TMhelix(9-31)|Glyco_tranf_GTA_type(185-466)
tr|W7MXV7|W7MXV7_GIBM7	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(123-322)
tr|M7ZC93|M7ZC93_TRIUA	PTZ00121|GT-A	PTZ00121(17-149)|PLN03182(335-667)
tr|A0A2P5S9N2|A0A2P5S9N2_GOSBA	PLN03218|GT-A	PLN03218(186-428)|PLN03182(504-927)
tr|A0A1D6IT87|A0A1D6IT87_MAIZE	Med26|TFSII|GT-A	Med26(33-81)|TFSII(8-126)|PLN03182(556-993)
tr|M0TSP4|M0TSP4_MUSAM	GT-A|TMhelix	PLN03182(4-390)|TMhelix(400-422)
tr|A0A1X7RZ05|A0A1X7RZ05_ZYMTR	GT-A|dnaK	Glyco_tranf_GTA_type(172-344)|dnaK(413-475)
sp|A2X933|GT7_ORYSI	GT-A	PLN03181(1-446)
sp|A2XFP3|XXT1_ORYSI	GT-A	PLN03182(4-441)
sp|A2ZI32|GT3_ORYSI	GT-A	PLN03182(12-463)
sp|O13640|YGWH_SCHPO	GT-A	Glyco_transf_34(61-300)
sp|Q10MQ0|XXT1_ORYSJ	GT-A	PLN03182(4-441)
sp|Q2QXP0|GT3_ORYSJ	GT-A	PLN03182(9-463)
sp|Q6Z5M3|GT7_ORYSJ	GT-A	PLN03181(1-446)
sp|Q9CA75|XXT5_ARATH	GT-A	PLN03182(42-452)
sp|Q9LF80|XXT3_ARATH	GT-A	PLN03182(30-450)
sp|Q9LZJ3|XXT1_ARATH	GT-A	PLN03182(1-451)
tr|A0A061EN91|A0A061EN91_THECC	GT-A	PLN03182(4-433)
tr|A0A061G4G9|A0A061G4G9_THECC	GT-A	PLN03182(29-453)
tr|A0A067EWZ8|A0A067EWZ8_CITSI	GT-A	PLN03182(37-446)
tr|A0A067K501|A0A067K501_JATCU	GT-A	PLN03182(2-415)
tr|A0A072U0W4|A0A072U0W4_MEDTR	GT-A	PLN03182(1-413)
tr|A0A072U4W6|A0A072U4W6_MEDTR	GT-A	PLN03182(1-458)
tr|A0A072URH9|A0A072URH9_MEDTR	GT-A	PLN03182(29-442)
tr|A0A072UV09|A0A072UV09_MEDTR	GT-A	PLN03182(35-443)
tr|A0A0D3FHF0|A0A0D3FHF0_9ORYZ	GT-A	PLN03182(1-259)
tr|A0A0D3FHF1|A0A0D3FHF1_9ORYZ	GT-A	PLN03182(4-441)
tr|A0A0D3FHJ5|A0A0D3FHJ5_9ORYZ	GT-A	PLN03182(1-251)
tr|A0A0D3HRG7|A0A0D3HRG7_9ORYZ	GT-A	PLN03182(12-463)
tr|A0A0D9YXK8|A0A0D9YXK8_9ORYZ	GT-A	PLN03181(2-421)
tr|A0A0D9Z617|A0A0D9Z617_9ORYZ	GT-A	PLN03182(4-441)
tr|A0A0E0BNZ5|A0A0E0BNZ5_9ORYZ	GT-A	PLN03182(12-462)
tr|A0A0E0CZB5|A0A0E0CZB5_9ORYZ	GT-A	PLN03182(4-441)
tr|A0A0E0DCE5|A0A0E0DCE5_9ORYZ	GT-A	PLN03182(12-456)
tr|A0A0E0GCG4|A0A0E0GCG4_ORYNI	GT-A	PLN03181(2-421)
tr|A0A0E0GED1|A0A0E0GED1_ORYNI	GT-A	PLN03182(4-441)
tr|A0A0E0J6R0|A0A0E0J6R0_ORYNI	GT-A	PLN03182(12-463)
tr|A0A0E0K4M7|A0A0E0K4M7_ORYPU	GT-A	PLN03181(2-423)
tr|A0A0E0KCM1|A0A0E0KCM1_ORYPU	GT-A	PLN03182(4-441)
tr|A0A0E0MJM9|A0A0E0MJM9_ORYPU	GT-A	PLN03182(9-449)
tr|A0A0E0NKA6|A0A0E0NKA6_ORYRU	GT-A	PLN03181(2-421)
tr|A0A0E0NTW1|A0A0E0NTW1_ORYRU	GT-A	PLN03182(4-441)
tr|A0A0E0RDT7|A0A0E0RDT7_ORYRU	GT-A	PLN03182(9-463)
tr|A0A103XIW9|A0A103XIW9_CYNCS	GT-A	PLN03182(1-448)
tr|A0A118K3T1|A0A118K3T1_CYNCS	GT-A	PLN03182(41-448)
tr|A0A124SFS6|A0A124SFS6_CYNCS	GT-A	PLN03181(18-426)
tr|A0A151S889|A0A151S889_CAJCA	GT-A	PLN03182(1-404)
tr|A0A151SE44|A0A151SE44_CAJCA	GT-A	Glyco_tranf_GTA_type(16-347)
tr|A0A151T5Y6|A0A151T5Y6_CAJCA	GT-A	PLN03182(1-412)
tr|A0A161X761|A0A161X761_DAUCA	GT-A	PLN03182(3-445)
tr|A0A161X8T9|A0A161X8T9_DAUCA	GT-A	PLN03182(37-448)
tr|A0A163HM56|A0A163HM56_DIDRA	GT-A	Glyco_tranf_GTA_type(64-251)
tr|A0A163JEI5|A0A163JEI5_DIDRA	GT-A	Glyco_tranf_GTA_type(51-254)
tr|A0A164XLQ4|A0A164XLQ4_DAUCA	GT-A	PLN03182(32-443)
tr|A0A175YDE9|A0A175YDE9_DAUCA	GT-A	PLN03182(20-451)
tr|A0A176VDA3|A0A176VDA3_MARPO	GT-A	PLN03182(256-670)
tr|A0A176VIH9|A0A176VIH9_MARPO	GT-A	PLN03182(98-446)
tr|A0A176WA00|A0A176WA00_MARPO	GT-A	PLN03182(187-534)
tr|A0A176WES3|A0A176WES3_MARPO	GT-A	PLN03182(8-429)
tr|A0A176WHQ8|A0A176WHQ8_MARPO	GT-A	PLN03182(48-458)
tr|A0A176WK33|A0A176WK33_MARPO	GT-A	PLN03182(160-572)
tr|A0A177DA62|A0A177DA62_ALTAL	GT-A	Glyco_tranf_GTA_type(150-305)
tr|A0A177DQV6|A0A177DQV6_ALTAL	GT-A	Glyco_tranf_GTA_type(78-266)
tr|A0A178BBC4|A0A178BBC4_9PLEO	GT-A	Glyco_tranf_GTA_type(50-252)
tr|A0A178EKV4|A0A178EKV4_9PLEO	GT-A	Glyco_tranf_GTA_type(65-252)
tr|A0A178EL10|A0A178EL10_9PLEO	GT-A	Glyco_tranf_GTA_type(77-286)
tr|A0A179F127|A0A179F127_METCM	GT-A	Glyco_tranf_GTA_type(96-310)
tr|A0A199UEH5|A0A199UEH5_ANACO	GT-A	PLN03182(27-455)
tr|A0A199UHC7|A0A199UHC7_ANACO	GT-A	PLN03182(1-259)
tr|A0A199USF0|A0A199USF0_ANACO	GT-A	PLN03182(1-255)
tr|A0A199VRR2|A0A199VRR2_ANACO	GT-A	PLN03182(1-440)
tr|A0A1D5XDV0|A0A1D5XDV0_WHEAT	GT-A	PLN03182(1-300)
tr|A0A1D5XHC9|A0A1D5XHC9_WHEAT	GT-A	PLN03182(4-445)
tr|A0A1D5Y2N6|A0A1D5Y2N6_WHEAT	GT-A	PLN03182(1-300)
tr|A0A1D5YN14|A0A1D5YN14_WHEAT	GT-A	PLN03182(18-438)
tr|A0A1D5ZR91|A0A1D5ZR91_WHEAT	GT-A	PLN03182(5-438)
tr|A0A1D6AX23|A0A1D6AX23_WHEAT	GT-A	PLN03182(87-418)
tr|A0A1D6B1L2|A0A1D6B1L2_WHEAT	GT-A	Glyco_tranf_GTA_type(1-324)
tr|A0A1D6CAG6|A0A1D6CAG6_WHEAT	GT-A	PLN03182(5-311)
tr|A0A1D6JBS3|A0A1D6JBS3_MAIZE	GT-A	PLN03182(1-259)
tr|A0A1D6PC37|A0A1D6PC37_MAIZE	GT-A	PLN03182(21-365)
tr|A0A1D6Q5X3|A0A1D6Q5X3_MAIZE	GT-A	PLN03182(52-391)
tr|A0A1E1JQK1|A0A1E1JQK1_9HELO	GT-A	Glyco_transf_34(60-294)
tr|A0A1E3PMN2|A0A1E3PMN2_9ASCO	GT-A	Glyco_tranf_GTA_type(127-368)
tr|A0A1E3Q183|A0A1E3Q183_LIPST	GT-A	Glyco_tranf_GTA_type(94-329)
tr|A0A1E5UNT0|A0A1E5UNT0_9POAL	GT-A	PLN03182(2-446)
tr|A0A1E5W336|A0A1E5W336_9POAL	GT-A	PLN03182(14-457)
tr|A0A1E5WLR4|A0A1E5WLR4_9POAL	GT-A	PLN03181(2-431)
tr|A0A1I7MPB3|A0A1I7MPB3_9MICC	GT-A	Glyco_tranf_GTA_type(2-118)
tr|A0A1J6IW87|A0A1J6IW87_NICAT	GT-A	PLN03181(10-379)
tr|A0A1J6J003|A0A1J6J003_NICAT	GT-A	PLN03182(1-456)
tr|A0A1J6JPR7|A0A1J6JPR7_NICAT	GT-A	PLN03182(33-447)
tr|A0A1J7G4U8|A0A1J7G4U8_LUPAN	GT-A	PLN03182(1-455)
tr|A0A1J7GHJ7|A0A1J7GHJ7_LUPAN	GT-A	Glyco_tranf_GTA_type(1-321)
tr|A0A1J7H5U8|A0A1J7H5U8_LUPAN	GT-A	PLN03182(27-445)
tr|A0A1Q3BU90|A0A1Q3BU90_CEPFO	GT-A	PLN03182(39-451)
tr|A0A1Q3C0S6|A0A1Q3C0S6_CEPFO	GT-A	PLN03182(1-447)
tr|A0A1Q3C3U6|A0A1Q3C3U6_CEPFO	GT-A	PLN03182(1-437)
tr|A0A1R3G419|A0A1R3G419_9ROSI	GT-A	PLN03182(30-452)
tr|A0A1R3G6F6|A0A1R3G6F6_COCAP	GT-A	PLN03182(23-437)
tr|A0A1R3JUP1|A0A1R3JUP1_9ROSI	GT-A	PLN03182(23-439)
tr|A0A1R3KHH4|A0A1R3KHH4_COCAP	GT-A	PLN03182(30-452)
tr|A0A1S2XTN2|A0A1S2XTN2_CICAR	GT-A	PLN03182(1-459)
tr|A0A1S2Y693|A0A1S2Y693_CICAR	GT-A	PLN03182(34-442)
tr|A0A1S2YQ87|A0A1S2YQ87_CICAR	GT-A	PLN03182(1-444)
tr|A0A1S3AY34|A0A1S3AY34_CUCME	GT-A	PLN03182(1-447)
tr|A0A1S3TPF5|A0A1S3TPF5_VIGRR	GT-A	PLN03182(1-445)
tr|A0A1S3UHH4|A0A1S3UHH4_VIGRR	GT-A	PLN03182(21-439)
tr|A0A1S3ZA85|A0A1S3ZA85_TOBAC	GT-A	PLN03182(1-456)
tr|A0A1S4API8|A0A1S4API8_TOBAC	GT-A	PLN03182(35-453)
tr|A0A1S4AZA3|A0A1S4AZA3_TOBAC	GT-A	PLN03182(33-447)
tr|A0A1S4CH70|A0A1S4CH70_TOBAC	GT-A	PLN03182(33-447)
tr|A0A1S4DBT8|A0A1S4DBT8_TOBAC	GT-A	PLN03182(35-453)
tr|A0A1S4DLY6|A0A1S4DLY6_TOBAC	GT-A	PLN03182(1-458)
tr|A0A1U7LPE8|A0A1U7LPE8_9ASCO	GT-A	Glyco_tranf_GTA_type(78-309)
tr|A0A1U7V8A4|A0A1U7V8A4_NICSY	GT-A	PLN03182(35-453)
tr|A0A1U7VH62|A0A1U7VH62_NICSY	GT-A	PLN03182(33-447)
tr|A0A1U7WPS3|A0A1U7WPS3_NICSY	GT-A	PLN03182(1-458)
tr|A0A1U7ZV14|A0A1U7ZV14_NELNU	GT-A	PLN03182(33-445)
tr|A0A1U8A0E5|A0A1U8A0E5_NELNU	GT-A	PLN03182(1-442)
tr|A0A1U8APH5|A0A1U8APH5_NELNU	GT-A	PLN03182(4-448)
tr|A0A1U8E2X4|A0A1U8E2X4_CAPAN	GT-A	PLN03182(1-454)
tr|A0A1U8HQ70|A0A1U8HQ70_GOSHI	GT-A	PLN03182(37-453)
tr|A0A1U8I5U7|A0A1U8I5U7_GOSHI	GT-A	PLN03181(31-431)
tr|A0A1U8K0Q1|A0A1U8K0Q1_GOSHI	GT-A	PLN03182(7-439)
tr|A0A1U8KI51|A0A1U8KI51_GOSHI	GT-A	PLN03182(1-452)
tr|A0A1U8N1H2|A0A1U8N1H2_GOSHI	GT-A	PLN03182(30-453)
tr|A0A1U8NLQ3|A0A1U8NLQ3_GOSHI	GT-A	PLN03182(1-452)
tr|A0A1U8NMG9|A0A1U8NMG9_GOSHI	GT-A	PLN03182(36-452)
tr|A0A1U8NRY6|A0A1U8NRY6_GOSHI	GT-A	PLN03182(30-453)
tr|A0A1U8Q4B1|A0A1U8Q4B1_NELNU	GT-A	PLN03182(32-446)
tr|A0A1Y1HK51|A0A1Y1HK51_KLENI	GT-A	Glyco_tranf_GTA_type(68-351)
tr|A0A1Y1HQS7|A0A1Y1HQS7_KLENI	GT-A	Glyco_tranf_GTA_type(146-513)
tr|A0A1Y1I3H0|A0A1Y1I3H0_KLENI	GT-A	Glyco_tranf_GTA_type(234-519)
tr|A0A1Z5RIK5|A0A1Z5RIK5_SORBI	GT-A	PLN03181(1-479)
tr|A0A200Q0H4|A0A200Q0H4_9MAGN	GT-A	PLN03182(1-443)
tr|A0A200QP36|A0A200QP36_9MAGN	GT-A	PLN03182(36-448)
tr|A0A218VXQ3|A0A218VXQ3_PUNGR	GT-A	PLN03182(37-449)
tr|A0A218Y0N6|A0A218Y0N6_PUNGR	GT-A	PLN03182(26-439)
tr|A0A251N3H0|A0A251N3H0_PRUPE	GT-A	PLN03182(3-442)
tr|A0A251PKC3|A0A251PKC3_PRUPE	GT-A	PLN03181(1-439)
tr|A0A251S0P2|A0A251S0P2_HELAN	GT-A	PLN03182(69-477)
tr|A0A251STU2|A0A251STU2_HELAN	GT-A	PLN03182(1-438)
tr|A0A251V9T2|A0A251V9T2_HELAN	GT-A	PLN03182(1-448)
tr|A0A287QYN1|A0A287QYN1_HORVV	GT-A	PLN03182(5-436)
tr|A0A287UMH0|A0A287UMH0_HORVV	GT-A	PLN03181(3-424)
tr|A0A2G2WRA8|A0A2G2WRA8_CAPBA	GT-A	PLN03182(33-437)
tr|A0A2G2WYS2|A0A2G2WYS2_CAPBA	GT-A	Glyco_tranf_GTA_type(1-266)
tr|A0A2G2XR96|A0A2G2XR96_CAPBA	GT-A	PLN03182(1-454)
tr|A0A2G3A288|A0A2G3A288_CAPAN	GT-A	PLN03182(1-274)
tr|A0A2G3CM91|A0A2G3CM91_CAPCH	GT-A	Glyco_tranf_GTA_type(1-266)
tr|A0A2G3CZD7|A0A2G3CZD7_CAPCH	GT-A	PLN03182(33-437)
tr|A0A2G3DFV2|A0A2G3DFV2_CAPCH	GT-A	PLN03182(1-454)
tr|A0A2G9GT15|A0A2G9GT15_9LAMI	GT-A	PLN03182(1-456)
tr|A0A2G9I256|A0A2G9I256_9LAMI	GT-A	PLN03182(37-450)
tr|A0A2H3ES91|A0A2H3ES91_9HELO	GT-A	Glyco_tranf_GTA_type(61-295)
tr|A0A2H3ES92|A0A2H3ES92_9HELO	GT-A	Glyco_transf_34(61-295)
tr|A0A2H3XT00|A0A2H3XT00_PHODC	GT-A	PLN03182(14-445)
tr|A0A2H3XYW5|A0A2H3XYW5_PHODC	GT-A	PLN03182(1-438)
tr|A0A2H3YA93|A0A2H3YA93_PHODC	GT-A	PLN03182(1-440)
tr|A0A2H5QR34|A0A2H5QR34_CITUN	GT-A	PLN03182(37-446)
tr|A0A2H9ZYK7|A0A2H9ZYK7_9ASPA	GT-A	PLN03182(1-434)
tr|A0A2I0ADK0|A0A2I0ADK0_9ASPA	GT-A	PLN03181(16-456)
tr|A0A2I0AQ84|A0A2I0AQ84_9ASPA	GT-A	PLN03182(1-431)
tr|A0A2I0BGD8|A0A2I0BGD8_9ASPA	GT-A	PLN03182(14-455)
tr|A0A2I0BHA8|A0A2I0BHA8_9ASPA	GT-A	PLN03182(14-446)
tr|A0A2I4F258|A0A2I4F258_9ROSI	GT-A	PLN03182(1-445)
tr|A0A2I4FYV4|A0A2I4FYV4_9ROSI	GT-A	PLN03182(34-446)
tr|A0A2J6JMG2|A0A2J6JMG2_LACSA	GT-A	PLN03182(43-459)
tr|A0A2J6LLK4|A0A2J6LLK4_LACSA	GT-A	PLN03182(1-449)
tr|A0A2K1INI4|A0A2K1INI4_PHYPA	GT-A	PLN03182(9-435)
tr|A0A2K1IPE7|A0A2K1IPE7_PHYPA	GT-A	PLN03182(21-451)
tr|A0A2K1IS52|A0A2K1IS52_PHYPA	GT-A	PLN03182(27-458)
tr|A0A2K1ISF8|A0A2K1ISF8_PHYPA	GT-A	PLN03182(20-415)
tr|A0A2K1IY77|A0A2K1IY77_PHYPA	GT-A	PLN03182(27-442)
tr|A0A2K1IYA6|A0A2K1IYA6_PHYPA	GT-A	PLN03182(2-425)
tr|A0A2K1IZJ2|A0A2K1IZJ2_PHYPA	GT-A	PLN03182(7-435)
tr|A0A2K1IZZ6|A0A2K1IZZ6_PHYPA	GT-A	PLN03182(27-458)
tr|A0A2K1J058|A0A2K1J058_PHYPA	GT-A	PLN03182(18-443)
tr|A0A2K1JRW8|A0A2K1JRW8_PHYPA	GT-A	PLN03182(11-412)
tr|A0A2K1KMF8|A0A2K1KMF8_PHYPA	GT-A	PLN03182(24-428)
tr|A0A2K3LBK5|A0A2K3LBK5_TRIPR	GT-A	PLN03182(1-446)
tr|A0A2K3LH24|A0A2K3LH24_TRIPR	GT-A	PLN03181(12-375)
tr|A0A2K3MQ21|A0A2K3MQ21_TRIPR	GT-A	PLN03181(14-434)
tr|A0A2P4HQS5|A0A2P4HQS5_QUESU	GT-A	PLN03182(37-449)
tr|A0A2P4JIJ3|A0A2P4JIJ3_QUESU	GT-A	PLN03181(28-438)
tr|A0A2P4JR83|A0A2P4JR83_QUESU	GT-A	PLN03181(1-386)
tr|A0A2P4M1W4|A0A2P4M1W4_QUESU	GT-A	PLN03182(38-451)
tr|A0A2P5BZH3|A0A2P5BZH3_PARAD	GT-A	PLN03182(29-447)
tr|A0A2P5D6J9|A0A2P5D6J9_PARAD	GT-A	PLN03182(28-449)
tr|A0A2P5DAN9|A0A2P5DAN9_9ROSA	GT-A	PLN03182(28-449)
tr|A0A2P5G088|A0A2P5G088_9ROSA	GT-A	PLN03182(29-447)
