tr|A0A0K8P9Y5|A0A0K8P9Y5_9CHLR	Uncharacterized|Uncharacterized|GT-A	DUF4422(126-365)|DUF4422(404-645)|GT8_A4GalT_like(680-939)
tr|D8Q053|D8Q053_SCHCM	MT|GT-A	Methyltransf_24(53-173)|GT8_A4GalT_like(242-479)
tr|F8PX39|F8PX39_SERL3	MT|GT-A	Methyltransf_24(44-162)|GT8_A4GalT_like(232-456)
tr|J4GS78|J4GS78_9APHY	MT|GT-A	Methyltransf_24(46-164)|GT8_A4GalT_like(233-459)
tr|K5WJF6|K5WJF6_PHACS	MT|GT-A	Methyltransf_24(74-192)|GT8_A4GalT_like(259-491)
tr|M5C874|M5C874_THACB	MT|GT-A	Methyltransf_24(43-161)|GT8_A4GalT_like(234-483)
tr|S8FYA4|S8FYA4_FOMPI	MT|GT-A	Methyltransf_24(44-162)|GT8_A4GalT_like(233-462)
tr|A0A1G8SUD6|A0A1G8SUD6_9RHOB	MT|DUF616|GT-A|RgpF	Methyltransf_24(42-142)|DUF616(481-699)|GT8_A4GalT_like(724-989)|RgpF(973-1273)
tr|A0A1S1NTS4|A0A1S1NTS4_9GAMM	Mito_fiss_Elm1	Mito_fiss_Elm1(423-693)
tr|A0A1R4KBR4|A0A1R4KBR4_9SPHI	Mannosyl_trans3	Mannosyl_trans3(44-263)
tr|A0A2T5XW42|A0A2T5XW42_9SPHI	Mannosyl_trans3	Mannosyl_trans3(44-263)
tr|A0A250XTE8|A0A250XTE8_9CHLO	GT|GT-A|PHA03247|Atrophin-1	O-FucT_like(61-218)|Glyco_tranf_GTA_type(247-475)|PHA03247(783-951)|Atrophin-1(1058-1379)
tr|A0A150FYT8|A0A150FYT8_GONPE	GT|GT-A	O-FucT_like(180-329)|Glyco_tranf_GTA_type(455-565)
tr|A0A1Y3Y8B0|A0A1Y3Y8B0_9FIRM	GT|GT-A	PRK10073(33-302)|GT8_A4GalT_like(367-623)
tr|C4ZG45|C4ZG45_AGARV	GT|GT-A	PRK10073(1-289)|GT8_A4GalT_like(343-578)
tr|Q0AJN0|Q0AJN0_NITEC	GT-B|stp1	Glycosyltransferase_GTB-type(880-1176)|stp1(1072-1186)
tr|G7QE65|G7QE65_9DELT	GT-B|GT-A|Heptosyltransferase	GT9_LPS_heptosyltransferase(4-294)|Glyco_tranf_GTA_type(574-819)|RfaF(1420-1762)
tr|A0A0K3C996|A0A0K3C996_RHOTO	GT-B|GT-A|GT-A	GT4_PimA-like(107-479)|Glycos_transf_2(554-643)|Glyco_tranf_GTA_type(1083-1336)
tr|A0A125PIG7|A0A125PIG7_9BASI	GT-B|GT-A	GT4_PimA-like(111-515)|Glyco_tranf_GTA_type(1076-1330)
tr|A0A1H1U1S8|A0A1H1U1S8_9ACTN	GT-B|GT-A	Glycosyltransferase_GTB-type(273-436)|Glyco_tranf_GTA_type(623-861)
tr|V7HVH5|V7HVH5_9LACO	GT-B|GT-A	Glycosyltransferase_GTB-type(1-279)|GT8_A4GalT_like(340-587)
tr|F6F0N1|F6F0N1_SPHCR	GT-B	GT4_PimA-like(619-970)
tr|R5XQJ5|R5XQJ5_9PROT	GT-A|WavE	GT8_A4GalT_like(6-259)|WavE(299-607)
tr|A0A086ZQ80|A0A086ZQ80_9BIFI	GT-A|Uncharacterized|GT-A	Glycos_transf_2(5-114)|DUF4422(387-625)|GT8_A4GalT_like(664-927)
tr|A0A087E7I1|A0A087E7I1_9BIFI	GT-A|Uncharacterized|GT-A	Glyco_tranf_GTA_type(6-156)|DUF4422(388-628)|GT8_A4GalT_like(667-930)
tr|A0A1Y4BTA6|A0A1Y4BTA6_9ACTN	GT-A|Uncharacterized|GT-A	Glycos_transf_2(5-134)|DUF4422(384-625)|GT8_A4GalT_like(663-925)
tr|A0A1Y4K4E0|A0A1Y4K4E0_9ACTN	GT-A|Uncharacterized|GT-A	Glycos_transf_2(5-132)|DUF4422(383-623)|GT8_A4GalT_like(661-922)
tr|B6GCA0|B6GCA0_9ACTN	GT-A|Uncharacterized|GT-A	Glyco_tranf_GTA_type(2-95)|DUF4422(369-609)|GT8_A4GalT_like(648-909)
tr|B9CNW5|B9CNW5_9ACTN	GT-A|Uncharacterized|GT-A	Glycos_transf_2(5-128)|DUF4422(390-632)|GT8_A4GalT_like(676-938)
tr|C8W7U9|C8W7U9_ATOPD	GT-A|Uncharacterized|GT-A	Glycos_transf_2(5-127)|DUF4422(389-629)|GT8_A4GalT_like(673-935)
tr|N2BSU7|N2BSU7_9ACTN	GT-A|Uncharacterized|GT-A	Glycos_transf_2(5-115)|DUF4422(387-628)|GT8_A4GalT_like(671-931)
tr|A0A0P1GA62|A0A0P1GA62_9RHOB	GT-A|TT_ORF1	GT8_A4GalT_like(7-273)|TT_ORF1(271-299)
tr|E6JYP0|E6JYP0_PARDN	GT-A|Trypan_PARP	Glyco_tranf_GTA_type(1-245)|Trypan_PARP(291-375)
tr|A0A1R1EF00|A0A1R1EF00_9BACL	GT-A|Transformer	GT8_A4GalT_like(12-239)|Transformer(274-350)
tr|A0A1Q9E560|A0A1Q9E560_SYMMI	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|MFS_1|TMhelix|TMhelix|TMhelix|TMhelix|PHA03307|PLN03218|DEAD-like_helicase_N|HepA	Glyco_tranf_GTA_type(35-314)|TMhelix(354-376)|TMhelix(389-411)|TMhelix(426-448)|TMhelix(534-556)|MFS_1(393-762)|TMhelix(577-594)|TMhelix(609-631)|TMhelix(652-671)|TMhelix(681-700)|PHA03307(813-1272)|PLN03218(1511-1842)|DEAD-like_helicase_N(1950-2167)|HepA(1965-2380)
tr|R6ZDV6|R6ZDV6_9FIRM	GT-A|TMhelix|TMhelix	Glyco_tranf_GTA_type(11-260)|TMhelix(306-328)|TMhelix(332-354)
tr|Q8DWZ9|Q8DWZ9_STRA5	GT-A|TMhelix|GT-B	GT8_A4GalT_like(5-237)|TMhelix(126-148)|Glycosyltransferase_GTB-type(272-398)
tr|F7K667|F7K667_9FIRM	GT-A|TMhelix|DUF1538|TMhelix	Glyco_tranf_GTA_type(5-254)|TMhelix(300-322)|DUF1538(294-342)|TMhelix(326-348)
tr|R7LWH8|R7LWH8_9FUSO	GT-A|TMhelix|ABC_6TM_exporters|TMhelix	Glyco_tranf_GTA_type(7-243)|TMhelix(305-327)|ABC_6TM_exporters(306-381)|TMhelix(348-370)
tr|A0A099B740|A0A099B740_9HELI	GT-A|TMhelix	Glyco_tranf_GTA_type(2-327)|TMhelix(412-429)
tr|A0A099B7K8|A0A099B7K8_9HELI	GT-A|TMhelix	Glyco_tranf_GTA_type(80-291)|TMhelix(374-393)
tr|A0A142HSG6|A0A142HSG6_9SPHI	GT-A|TMhelix	Glyco_tranf_GTA_type(16-166)|TMhelix(266-288)
tr|A0A166DXW0|A0A166DXW0_9EURY	GT-A|TMhelix	GT8_A4GalT_like(6-269)|TMhelix(322-344)
tr|A0A1H8Z1U8|A0A1H8Z1U8_9FIRM	GT-A|TMhelix	GT8_A4GalT_like(1-255)|TMhelix(289-308)
tr|A0A1H9HQQ8|A0A1H9HQQ8_9FIRM	GT-A|TMhelix	GT8_A4GalT_like(1-266)|TMhelix(308-327)
tr|A0A1M6S6K9|A0A1M6S6K9_9BACT	GT-A|TMhelix	Glyco_tranf_GTA_type(15-242)|TMhelix(356-378)
tr|A0A1Q3M3Z9|A0A1Q3M3Z9_9BACT	GT-A|TMhelix	Glyco_tranf_GTA_type(1-248)|TMhelix(368-390)
tr|A0A1Y4RF58|A0A1Y4RF58_9FIRM	GT-A|TMhelix	GT8_A4GalT_like(8-249)|TMhelix(306-328)
tr|A0A1Z9TAH6|A0A1Z9TAH6_9PROT	GT-A|TMhelix	Glyco_tranf_GTA_type(5-242)|TMhelix(286-308)
tr|A0A219AMC7|A0A219AMC7_9EURY	GT-A|TMhelix	GT8_A4GalT_like(18-280)|TMhelix(320-339)
tr|A0A292RDU6|A0A292RDU6_9BACT	GT-A|TMhelix	GT8_A4GalT_like(4-235)|TMhelix(263-285)
tr|C5ZVZ7|C5ZVZ7_9HELI	GT-A|TMhelix	GT8_A4GalT_like(2-298)|TMhelix(340-362)
tr|D4CJY7|D4CJY7_9FIRM	GT-A|TMhelix	GT8_A4GalT_like(9-262)|TMhelix(295-317)
tr|M3HKW2|M3HKW2_LEPBO	GT-A|TMhelix	Glyco_tranf_GTA_type(8-237)|TMhelix(300-322)
tr|R5H4P8|R5H4P8_9SPIR	GT-A|TMhelix	GT8_A4GalT_like(8-241)|TMhelix(265-287)
tr|R6ZTG6|R6ZTG6_9FIRM	GT-A|TMhelix	GT8_A4GalT_like(1-256)|TMhelix(288-310)
tr|R7LQP8|R7LQP8_9CLOT	GT-A|TMhelix	GT8_A4GalT_like(1-257)|TMhelix(284-306)
tr|A0A0D6ASN1|A0A0D6ASN1_9CHRO	GT-A|Smc	Glyco_tranf_GTA_type(10-136)|Smc(343-459)
tr|A0A251WGI9|A0A251WGI9_9CYAN	GT-A|SH3_and_anchor	Glyco_tranf_GTA_type(4-204)|SH3_and_anchor(360-481)
tr|R6DSS2|R6DSS2_9CLOT	GT-A|SH3_and_anchor	GT8_A4GalT_like(6-264)|SH3_and_anchor(291-397)
tr|A0A1E5P749|A0A1E5P749_9ACTN	GT-A|PRK11788|GT-B	Glyco_tranf_GTA_type(24-239)|PRK11788(302-417)|PS_pyruv_trans(429-700)
tr|A0A0L0KPJ5|A0A0L0KPJ5_9ACTN	GT-A|PRK10819	GT8_A4GalT_like(1-251)|PRK10819(275-319)
tr|A0A285RB92|A0A285RB92_9BACI	GT-A|PRK05472	GT8_A4GalT_like(3-248)|PRK05472(279-330)
tr|A0A075NTZ1|A0A075NTZ1_9ALTE	GT-A|PLPDE_IV|FlaA1	GT8_A4GalT_like(7-244)|PLPDE_IV(228-292)|FlaA1(279-349)
tr|A0A1Q5KYI2|A0A1Q5KYI2_9ACTN	GT-A|PEP_TPR_lipo|GT-B|GT-B	Glyco_tranf_GTA_type(23-238)|PEP_TPR_lipo(296-391)|PS_pyruv_trans(427-698)|Glycosyltransferase_GTB-type(672-738)
tr|A0A1X7DEP3|A0A1X7DEP3_9ACTN	GT-A|PEP_TPR_lipo|GT-B|GT-B	Glyco_tranf_GTA_type(28-245)|PEP_TPR_lipo(305-399)|PS_pyruv_trans(451-706)|Glycosyltransferase_GTB-type(673-753)
tr|A0A2N0IXS3|A0A2N0IXS3_9ACTN	GT-A|PEP_TPR_lipo|GT-B|GT-B	Glyco_tranf_GTA_type(25-240)|PEP_TPR_lipo(303-412)|PS_pyruv_trans(429-700)|Glycosyltransferase_GTB-type(667-773)
tr|A0A089Z2V3|A0A089Z2V3_STRGA	GT-A|PEP_TPR_lipo|GT-B	Glyco_tranf_GTA_type(28-243)|PEP_TPR_lipo(303-423)|PS_pyruv_trans(433-704)
tr|A0A0X3UUK7|A0A0X3UUK7_9ACTN	GT-A|PEP_TPR_lipo|GT-B	Glyco_tranf_GTA_type(28-242)|PEP_TPR_lipo(290-418)|PS_pyruv_trans(434-705)
tr|A0A117RVX7|A0A117RVX7_9ACTN	GT-A|PEP_TPR_lipo|GT-B	Glyco_tranf_GTA_type(26-243)|PEP_TPR_lipo(295-397)|PS_pyruv_trans(433-704)
tr|A0A1G5H9S4|A0A1G5H9S4_9ACTN	GT-A|PEP_TPR_lipo|GT-B	Glyco_tranf_GTA_type(28-243)|PEP_TPR_lipo(303-397)|PS_pyruv_trans(479-706)
tr|A0A1Q4ZM87|A0A1Q4ZM87_9ACTN	GT-A|PEP_TPR_lipo|GT-B	Glyco_tranf_GTA_type(42-257)|PEP_TPR_lipo(317-411)|PS_pyruv_trans(493-720)
tr|A0A1Q5FIF8|A0A1Q5FIF8_9ACTN	GT-A|PEP_TPR_lipo|GT-B	Glyco_tranf_GTA_type(24-239)|PEP_TPR_lipo(299-393)|PS_pyruv_trans(475-702)
tr|A0A233SRZ5|A0A233SRZ5_9ACTN	GT-A|PEP_TPR_lipo|GT-B	Glyco_tranf_GTA_type(22-237)|PEP_TPR_lipo(296-410)|PS_pyruv_trans(426-697)
tr|R9JUI8|R9JUI8_9FIRM	GT-A|NADB_Rossmann	GT8_A4GalT_like(4-253)|NADB_Rossmann(311-397)
tr|Q2JLY3|Q2JLY3_SYNJB	GT-A|MT|MT	RfaJ(6-238)|Methyltransf_24(375-481)|AdoMet_MTases(558-742)
tr|B8LCW7|B8LCW7_THAPS	GT-A|MT	Glyco_tranf_GTA_type(69-336)|Methyltransf_21(661-807)
tr|W8SSL8|W8SSL8_9RHOB	GT-A|MT	Glyco_tranf_GTA_type(94-259)|AdoMet_MTases(446-531)
tr|R7AIQ8|R7AIQ8_9CLOT	GT-A|HprK_rel_A	GT8_A4GalT_like(1-243)|HprK_rel_A(390-526)
tr|A0A1Q4VLJ8|A0A1Q4VLJ8_9ACTN	GT-A|Herpes_BLLF1	GT8_A4GalT_like(1-254)|Herpes_BLLF1(269-367)
tr|A0A0R1UA68|A0A0R1UA68_9LACO	GT-A|GT-B|GT-D	GT8_A4GalT_like(5-236)|Glycosyltransferase_GTB-type(280-402)|GT-D(413-663)
tr|J1NUD0|J1NUD0_STREE	GT-A|GT-B|GT-B|glyco_access_1	GT8_A4GalT_like(3-234)|Glycosyltransferase_GTB-type(278-400)|Glycosyltransferase_GTB-type(394-485)|glyco_access_1(550-813)
tr|A0A0F5VQX1|A0A0F5VQX1_9ACTN	GT-A|GT-B|GT-B	Glyco_tranf_GTA_type(24-239)|PS_pyruv_trans(445-700)|Glycosyltransferase_GTB-type(674-754)
tr|A0A0M8QGI9|A0A0M8QGI9_9ACTN	GT-A|GT-B|GT-B	Glyco_tranf_GTA_type(28-243)|PS_pyruv_trans(433-704)|Glycosyltransferase_GTB-type(673-759)
tr|A0A1B1MG40|A0A1B1MG40_STRLN	GT-A|GT-B|GT-B	Glyco_tranf_GTA_type(27-242)|PS_pyruv_trans(432-703)|Glycosyltransferase_GTB-type(671-757)
tr|A0A1D2IAN3|A0A1D2IAN3_9ACTN	GT-A|GT-B|GT-B	Glyco_tranf_GTA_type(28-243)|PS_pyruv_trans(440-704)|Glycosyltransferase_GTB-type(671-741)
tr|A0A1D8STS0|A0A1D8STS0_STROV	GT-A|GT-B|GT-B	Glyco_tranf_GTA_type(28-243)|PS_pyruv_trans(433-704)|Glycosyltransferase_GTB-type(671-744)
tr|A0A1V4DSB7|A0A1V4DSB7_9ACTN	GT-A|GT-B|GT-B	Glyco_tranf_GTA_type(23-238)|PS_pyruv_trans(444-699)|Glycosyltransferase_GTB-type(666-753)
tr|A0A2A4KUY9|A0A2A4KUY9_9ACTN	GT-A|GT-B|GT-B	Glyco_tranf_GTA_type(27-242)|PS_pyruv_trans(448-705)|Glycosyltransferase_GTB-type(674-745)
tr|K9Z0S7|K9Z0S7_CYAAP	GT-A|GT-B|GT-B	Glyco_tranf_GTA_type(22-265)|Glycosyltransferase_GTB-type(546-719)|Glycosyltransferase_GTB-type(657-793)
tr|A0A139NTM3|A0A139NTM3_9STRE	GT-A|GT-B|GT-A|GT-B|glyco_access_1	GT8_A4GalT_like(3-235)|Glycosyltransferase_GTB-type(276-401)|GT8_A4GalT_like(410-632)|Glycosyltransferase_GTB-type(674-795)|glyco_access_1(807-1065)
tr|A3CM53|A3CM53_STRSV	GT-A|GT-B|GT-A|GT-B|glyco_access_1	GT8_A4GalT_like(2-235)|Glycosyltransferase_GTB-type(276-399)|GT8_A4GalT_like(408-630)|Glycosyltransferase_GTB-type(675-797)|glyco_access_1(808-1072)
tr|A5LNA3|A5LNA3_STREE	GT-A|GT-B|GT-A	RfaJ(5-332)|Glycosyltransferase_GTB-type(276-434)|RfaJ(413-779)
tr|Q74I58|Q74I58_LACJO	GT-A|GT-B|glyco_access_1	GT8_A4GalT_like(1-225)|Glycosyltransferase_GTB-type(243-393)|glyco_access_1(403-668)
tr|Q74I59|Q74I59_LACJO	GT-A|GT-B|glyco_access_1	GT8_A4GalT_like(2-229)|Glycosyltransferase_GTB-type(268-396)|glyco_access_1(409-674)
tr|A0A0C2AH48|A0A0C2AH48_9ACTN	GT-A|GT-B	Glyco_tranf_GTA_type(26-241)|PS_pyruv_trans(431-702)
tr|A0A0D6AG44|A0A0D6AG44_9CHRO	GT-A|GT-B	Glyco_tranf_GTA_type(4-240)|Glycosyltransferase_GTB-type(567-706)
tr|A0A0J8A9J5|A0A0J8A9J5_9ACTN	GT-A|GT-B	Glyco_tranf_GTA_type(23-238)|PS_pyruv_trans(427-698)
tr|A0A0L8KWZ7|A0A0L8KWZ7_9ACTN	GT-A|GT-B	Glyco_tranf_GTA_type(29-244)|PS_pyruv_trans(480-705)
tr|A0A0M8TQ78|A0A0M8TQ78_9ACTN	GT-A|GT-B	Glyco_tranf_GTA_type(28-243)|PS_pyruv_trans(448-704)
tr|A0A0M8VJ47|A0A0M8VJ47_9ACTN	GT-A|GT-B	Glyco_tranf_GTA_type(35-250)|PS_pyruv_trans(440-711)
tr|A0A0Q6Z2N4|A0A0Q6Z2N4_9ACTN	GT-A|GT-B	Glyco_tranf_GTA_type(28-243)|PS_pyruv_trans(433-704)
tr|A0A0Q7KLK9|A0A0Q7KLK9_9ACTN	GT-A|GT-B	Glyco_tranf_GTA_type(20-235)|PS_pyruv_trans(471-698)
tr|A0A0R1WW87|A0A0R1WW87_9LACO	GT-A|GT-B	GT8_A4GalT_like(2-231)|Glycosyltransferase_GTB-type(258-312)
tr|A0A0R2HZ36|A0A0R2HZ36_9LACO	GT-A|GT-B	GT8_A4GalT_like(7-237)|Glycosyltransferase_GTB-type(270-398)
tr|A0A0X3SCK2|A0A0X3SCK2_9ACTN	GT-A|GT-B	Glyco_tranf_GTA_type(30-247)|PS_pyruv_trans(437-708)
tr|A0A101V389|A0A101V389_9ACTN	GT-A|GT-B	Glyco_tranf_GTA_type(25-240)|PS_pyruv_trans(430-701)
tr|A0A124HAQ9|A0A124HAQ9_9ACTN	GT-A|GT-B	Glyco_tranf_GTA_type(28-243)|PS_pyruv_trans(433-704)
tr|A0A139NF89|A0A139NF89_9STRE	GT-A|GT-B	GT8_A4GalT_like(4-230)|Glycosyltransferase_GTB-type(277-384)
tr|A0A1A5P7S1|A0A1A5P7S1_9ACTN	GT-A|GT-B	Glyco_tranf_GTA_type(28-243)|PS_pyruv_trans(433-704)
tr|A0A1C4K1R3|A0A1C4K1R3_9ACTN	GT-A|GT-B	Glyco_tranf_GTA_type(37-252)|PS_pyruv_trans(448-722)
tr|A0A1C4T4U3|A0A1C4T4U3_9ACTN	GT-A|GT-B	Glyco_tranf_GTA_type(29-244)|PS_pyruv_trans(481-708)
tr|A0A1C5F8C0|A0A1C5F8C0_9ACTN	GT-A|GT-B	Glyco_tranf_GTA_type(27-242)|PS_pyruv_trans(432-703)
tr|A0A1I1M531|A0A1I1M531_9ACTN	GT-A|GT-B	Glyco_tranf_GTA_type(14-229)|PS_pyruv_trans(478-703)
tr|A0A1Q5NEG7|A0A1Q5NEG7_9ACTN	GT-A|GT-B	Glyco_tranf_GTA_type(25-240)|PS_pyruv_trans(476-703)
tr|A0A1Z4GWD9|A0A1Z4GWD9_9CYAN	GT-A|GT-B	Glyco_tranf_GTA_type(8-249)|Glycosyltransferase_GTB-type(305-510)
tr|A0A292RXL6|A0A292RXL6_9BACT	GT-A|GT-B	GT8_A4GalT_like(2-233)|Glycosyltransferase_GTB-type(439-633)
tr|A0A2A2YQ55|A0A2A2YQ55_9ACTN	GT-A|GT-B	Glyco_tranf_GTA_type(27-242)|PS_pyruv_trans(432-703)
tr|A5LNA7|A5LNA7_STREE	GT-A|GT-B	GT8_A4GalT_like(3-229)|Glycosyltransferase_GTB-type(276-399)
tr|A5LNA9|A5LNA9_STREE	GT-A|GT-B	GT8_A4GalT_like(5-235)|Glycosyltransferase_GTB-type(280-402)
tr|A8AY72|A8AY72_STRGC	GT-A|GT-B	GT8_A4GalT_like(36-267)|Glycosyltransferase_GTB-type(309-431)
tr|B5HV60|B5HV60_9ACTN	GT-A|GT-B	Glyco_tranf_GTA_type(28-243)|PS_pyruv_trans(433-704)
tr|B7C7N8|B7C7N8_9FIRM	GT-A|GT-B	GT8_A4GalT_like(21-246)|Glycosyltransferase_GTB-type(290-416)
tr|C7XX93|C7XX93_9LACO	GT-A|GT-B	GT8_A4GalT_like(5-235)|Glycosyltransferase_GTB-type(257-355)
tr|D6M5L2|D6M5L2_STRSH	GT-A|GT-B	Glyco_tranf_GTA_type(37-252)|PS_pyruv_trans(448-723)
tr|E3C8X6|E3C8X6_9LACO	GT-A|GT-B	GT8_A4GalT_like(6-235)|Glycosyltransferase_GTB-type(266-396)
tr|F9HIR5|F9HIR5_9STRE	GT-A|GT-B	GT8_A4GalT_like(3-241)|Glycosyltransferase_GTB-type(284-406)
tr|F9HIR8|F9HIR8_9STRE	GT-A|GT-B	GT8_A4GalT_like(5-237)|Glycosyltransferase_GTB-type(270-403)
tr|J1NUZ4|J1NUZ4_STREE	GT-A|GT-B	RfaJ(5-332)|Glycosyltransferase_GTB-type(276-396)
tr|K4R455|K4R455_STRDJ	GT-A|GT-B	Glyco_tranf_GTA_type(25-240)|PS_pyruv_trans(430-701)
tr|Q0ALS1|Q0ALS1_MARMM	GT-A|GT-B	Glyco_tranf_GTA_type(19-124)|GT4_PimA-like(497-852)
tr|Q8DWZ8|Q8DWZ8_STRA5	GT-A|GT-B	GT8_A4GalT_like(3-229)|Glycosyltransferase_GTB-type(276-400)
tr|Q8DYL9|Q8DYL9_STRA5	GT-A|GT-B	GT8_A4GalT_like(3-238)|Glycosyltransferase_GTB-type(276-384)
tr|Q8DYM0|Q8DYM0_STRA5	GT-A|GT-B	GT8_A4GalT_like(5-238)|Glycosyltransferase_GTB-type(284-365)
tr|R5V2R6|R5V2R6_9BACT	GT-A|GT-B	GT8_A4GalT_like(7-242)|GT4_PimA-like(295-664)
tr|V4QRY7|V4QRY7_STRIN	GT-A|GT-B	GT8_A4GalT_like(6-237)|Glycosyltransferase_GTB-type(277-395)
tr|V6K8L9|V6K8L9_STRNV	GT-A|GT-B	Glyco_tranf_GTA_type(26-241)|PS_pyruv_trans(433-716)
tr|V7HYM0|V7HYM0_9LACO	GT-A|GT-B	GT8_A4GalT_like(3-244)|Glycosyltransferase_GTB-type(271-325)
tr|A0A0R2I2D7|A0A0R2I2D7_9LACO	GT-A|GT-A|GT-B	Glyco_tranf_GTA_type(4-120)|Glyco_tranf_GTA_type(236-463)|Glycosyltransferase_GTB-type(502-629)
tr|A0A0R2IAQ9|A0A0R2IAQ9_9LACO	GT-A|GT-A|GT-B	Glyco_tranf_GTA_type(12-114)|Glyco_tranf_GTA_type(233-461)|Glycosyltransferase_GTB-type(489-627)
tr|G6EQU7|G6EQU7_STRTR	GT-A|GT-A|GT-B	Glycos_transf_2(6-178)|GT8_A4GalT_like(302-524)|Glycosyltransferase_GTB-type(571-675)
tr|Q5M3K9|Q5M3K9_STRT2	GT-A|GT-A|GT-B	Glycos_transf_2(6-178)|GT8_A4GalT_like(302-524)|Glycosyltransferase_GTB-type(571-675)
tr|R7NIZ4|R7NIZ4_9MOLU	GT-A|GT-A|GT-B	Glyco_tranf_GTA_type(37-248)|Glyco_tranf_GTA_type(282-485)|Glycosyltransferase_GTB-type(701-963)
tr|A5LNB1|A5LNB1_STREE	GT-A|GT-A|GT-A|GT-B	Glycos_transf_2(6-127)|WcaA(1-295)|RfaJ(299-626)|Glycosyltransferase_GTB-type(571-692)
tr|A0A0R2AGB2|A0A0R2AGB2_9LACO	GT-A|GT-A|GT-A|GT-A	Glyco_tranf_GTA_type(10-96)|WcaA(10-191)|GT8_A4GalT_like(228-468)|Glyco_tranf_GTA_type(504-661)
tr|A0A0R2AIU1|A0A0R2AIU1_9LACO	GT-A|GT-A|GT-A	Glyco_tranf_GTA_type(18-148)|GT8_A4GalT_like(238-482)|Glyco_tranf_GTA_type(521-683)
tr|A0A1H7UKV0|A0A1H7UKV0_9FIRM	GT-A|GT-A|GT-A	GT8_A4GalT_like(17-273)|Glycos_transf_2(481-603)|WcaA(476-756)
tr|A0A222MVL6|A0A222MVL6_9PROT	GT-A|GT-A|GT-A	Glycos_transf_2(11-133)|WcaA(6-297)|GT8_A4GalT_like(304-556)
tr|D5STB4|D5STB4_PLAL2	GT-A|GT-A|GT-A	Glyco_tranf_GTA_type(83-199)|Glyco_tranf_GTA_type(328-480)|Glyco_transf_25(909-1001)
tr|A0A080KH09|A0A080KH09_9GAMM	GT-A|GT-A	GT8_A4GalT_like(28-265)|Glyco_transf_8C(270-323)
tr|A0A080KL98|A0A080KL98_9GAMM	GT-A|GT-A	GT8_A4GalT_like(25-261)|Glyco_transf_8C(267-318)
tr|A0A0A1F9A0|A0A0A1F9A0_9BURK	GT-A|GT-A	GT8_A4GalT_like(18-262)|Glyco_transf_8C(267-321)
tr|A0A0A1FB46|A0A0A1FB46_9BURK	GT-A|GT-A	GT8_A4GalT_like(20-263)|Glyco_transf_8C(272-321)
tr|A0A0C1Y9I1|A0A0C1Y9I1_9BURK	GT-A|GT-A	GT8_A4GalT_like(11-255)|Glyco_transf_8C(265-313)
tr|A0A0C4WJN5|A0A0C4WJN5_9GAMM	GT-A|GT-A	GT8_A4GalT_like(12-258)|Glyco_transf_8C(264-319)
tr|A0A0D6YHS9|A0A0D6YHS9_MASLA	GT-A|GT-A	Glyco_tranf_GTA_type(28-111)|Glyco_tranf_GTA_type(82-246)
tr|A0A0K8NXQ8|A0A0K8NXQ8_IDESA	GT-A|GT-A	Glycos_transf_2(336-505)|GT8_A4GalT_like(623-880)
tr|A0A0Q4M1B5|A0A0Q4M1B5_9GAMM	GT-A|GT-A	GT8_A4GalT_like(37-275)|Glyco_transf_8C(281-328)
tr|A0A0R1RVB2|A0A0R1RVB2_9LACO	GT-A|GT-A	GT8_A4GalT_like(4-256)|GT8_A4GalT_like(287-533)
tr|A0A0R1WZP8|A0A0R1WZP8_9LACO	GT-A|GT-A	GT8_A4GalT_like(4-254)|GT8_A4GalT_like(279-525)
tr|A0A0R1YLL5|A0A0R1YLL5_9LACO	GT-A|GT-A	GT8_A4GalT_like(1-235)|GT8_A4GalT_like(265-512)
tr|A0A0R2ADZ3|A0A0R2ADZ3_9LACO	GT-A|GT-A	GT8_A4GalT_like(1-239)|Glyco_tranf_GTA_type(274-382)
tr|A0A0R2H3B0|A0A0R2H3B0_9LACO	GT-A|GT-A	GT8_A4GalT_like(245-492)|Glyco_tranf_GTA_type(537-672)
tr|A0A127QTI8|A0A127QTI8_9BURK	GT-A|GT-A	GT8_A4GalT_like(32-277)|Glyco_transf_8C(283-335)
tr|A0A127QTT7|A0A127QTT7_9BURK	GT-A|GT-A	GT8_A4GalT_like(18-262)|Glyco_transf_8C(267-320)
tr|A0A142X5H8|A0A142X5H8_9PLAN	GT-A|GT-A	GT8_A4GalT_like(5-256)|Glycos_transf_2(294-457)
tr|A0A1B2LX05|A0A1B2LX05_9GAMM	GT-A|GT-A	GT8_A4GalT_like(36-258)|Glyco_transf_8C(268-315)
tr|A0A1B7GIP8|A0A1B7GIP8_9BACT	GT-A|GT-A	Glycos_transf_2(7-173)|GT8_A4GalT_like(405-659)
tr|A0A1C4ARJ4|A0A1C4ARJ4_9GAMM	GT-A|GT-A	GT8_A4GalT_like(41-275)|Glyco_transf_8C(284-334)
tr|A0A1C4ARL6|A0A1C4ARL6_9GAMM	GT-A|GT-A	GT8_A4GalT_like(26-261)|Glyco_transf_8C(266-319)
tr|A0A1E4QVJ2|A0A1E4QVJ2_9BURK	GT-A|GT-A	GT8_A4GalT_like(23-265)|Glyco_transf_8C(277-325)
tr|A0A1G0D9V8|A0A1G0D9V8_9PROT	GT-A|GT-A	GT8_A4GalT_like(10-252)|Glyco_transf_8C(262-312)
