tr|A0A1S3Y3Q1|A0A1S3Y3Q1_TOBAC	TMhelix|Voltage_gated_ClC|GT-A	TMhelix(89-111)|Voltage_gated_ClC(77-138)|GlcAT-I(192-423)
tr|A0A1D6GU08|A0A1D6GU08_MAIZE	TMhelix|GT-A	TMhelix(49-68)|Glyco_transf_43(216-454)
tr|A0A1D6LPA4|A0A1D6LPA4_MAIZE	TMhelix|GT-A	TMhelix(48-67)|Glyco_transf_43(218-456)
tr|A0A1D6NFV7|A0A1D6NFV7_MAIZE	TMhelix|GT-A	TMhelix(90-109)|GlcAT-I(197-426)
tr|A0A1E5UWB3|A0A1E5UWB3_9POAL	TMhelix|GT-A	TMhelix(91-113)|GlcAT-I(195-424)
tr|A0A1E5VJ59|A0A1E5VJ59_9POAL	TMhelix|GT-A	TMhelix(124-146)|GlcAT-I(230-464)
tr|A0A1E5VT42|A0A1E5VT42_9POAL	TMhelix|GT-A	TMhelix(51-70)|Glyco_transf_43(221-459)
tr|A0A1I7RM28|A0A1I7RM28_BURXY	TMhelix|GT-A	TMhelix(43-65)|GlcAT-I(86-306)
tr|A0A1I7S5I7|A0A1I7S5I7_BURXY	TMhelix|GT-A	TMhelix(46-63)|Glyco_tranf_GTA_type(73-292)
tr|A0A1I7SVH9|A0A1I7SVH9_BURXY	TMhelix|GT-A	TMhelix(9-31)|Glyco_tranf_GTA_type(57-222)
tr|A0A1I7VJ50|A0A1I7VJ50_LOALO	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_43(83-288)
tr|A0A1I7XKV8|A0A1I7XKV8_HETBA	TMhelix|GT-A	TMhelix(12-31)|Glyco_tranf_GTA_type(53-230)
tr|A0A1I7YCD5|A0A1I7YCD5_9BILA	TMhelix|GT-A	TMhelix(21-40)|Glyco_transf_43(70-270)
tr|A0A1I7YZG9|A0A1I7YZG9_9BILA	TMhelix|GT-A	TMhelix(45-67)|GlcAT-I(87-315)
tr|A0A1I7ZFJ9|A0A1I7ZFJ9_9BILA	TMhelix|GT-A	TMhelix(26-48)|Glyco_transf_43(80-280)
tr|A0A1I7ZNM8|A0A1I7ZNM8_9BILA	TMhelix|GT-A	TMhelix(33-55)|Glyco_tranf_GTA_type(95-284)
tr|A0A1I8BVR9|A0A1I8BVR9_MELHA	TMhelix|GT-A	TMhelix(25-47)|GlcAT-I(85-303)
tr|A0A1I8F386|A0A1I8F386_9PLAT	TMhelix|GT-A	TMhelix(31-53)|GlcAT-I(66-294)
tr|A0A1I8FVK0|A0A1I8FVK0_9PLAT	TMhelix|GT-A	TMhelix(31-53)|GlcAT-I(66-294)
tr|A0A1I8ICG8|A0A1I8ICG8_9PLAT	TMhelix|GT-A	TMhelix(31-53)|GlcAT-I(66-257)
tr|A0A1I8ILU0|A0A1I8ILU0_9PLAT	TMhelix|GT-A	TMhelix(42-64)|GlcAT-I(77-305)
tr|A0A1I8MGM7|A0A1I8MGM7_MUSDO	TMhelix|GT-A	TMhelix(7-29)|GlcAT-I(42-262)
tr|A0A1I8MSQ4|A0A1I8MSQ4_MUSDO	TMhelix|GT-A	TMhelix(48-67)|GlcAT-I(122-340)
tr|A0A1I8P852|A0A1I8P852_STOCA	TMhelix|GT-A	TMhelix(46-68)|GlcAT-I(210-428)
tr|A0A1J1IAY2|A0A1J1IAY2_9DIPT	TMhelix|GT-A	TMhelix(7-29)|GlcAT-I(47-285)
tr|A0A1J1IAY4|A0A1J1IAY4_9DIPT	TMhelix|GT-A	TMhelix(12-31)|Glyco_tranf_GTA_type(50-291)
tr|A0A1J1IXM3|A0A1J1IXM3_9DIPT	TMhelix|GT-A	TMhelix(15-37)|GlcAT-I(61-290)
tr|A0A1J6I709|A0A1J6I709_NICAT	TMhelix|GT-A	TMhelix(88-110)|GlcAT-I(187-417)
tr|A0A1J6I8H8|A0A1J6I8H8_NICAT	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(1-372)
tr|A0A1J7G342|A0A1J7G342_LUPAN	TMhelix|GT-A	TMhelix(35-57)|Glyco_tranf_GTA_type(159-401)
tr|A0A1J7G8D6|A0A1J7G8D6_LUPAN	TMhelix|GT-A	TMhelix(70-92)|GlcAT-I(151-379)
tr|A0A1L8FFI7|A0A1L8FFI7_XENLA	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_43(118-328)
tr|A0A1L8FKZ1|A0A1L8FKZ1_XENLA	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_43(118-328)
tr|A0A1L8G9Q7|A0A1L8G9Q7_XENLA	TMhelix|GT-A	TMhelix(5-23)|GlcAT-I(82-315)
tr|A0A1Q3AQS0|A0A1Q3AQS0_CEPFO	TMhelix|GT-A	TMhelix(61-83)|GlcAT-I(149-377)
tr|A0A1Q3D7U9|A0A1Q3D7U9_CEPFO	TMhelix|GT-A	TMhelix(37-59)|Glyco_transf_43(176-415)
tr|A0A1Q3D8C7|A0A1Q3D8C7_CEPFO	TMhelix|GT-A	TMhelix(85-104)|GlcAT-I(188-418)
tr|A0A1R3FYE6|A0A1R3FYE6_COCAP	TMhelix|GT-A	TMhelix(74-96)|GlcAT-I(152-381)
tr|A0A1R3GEV2|A0A1R3GEV2_COCAP	TMhelix|GT-A	TMhelix(36-58)|Glyco_transf_43(182-418)
tr|A0A1R3GHB8|A0A1R3GHB8_9ROSI	TMhelix|GT-A	TMhelix(65-87)|GlcAT-I(143-372)
tr|A0A1R3GUZ2|A0A1R3GUZ2_COCAP	TMhelix|GT-A	TMhelix(85-107)|GlcAT-I(190-420)
tr|A0A1R3HR00|A0A1R3HR00_COCAP	TMhelix|GT-A	TMhelix(17-36)|Glyco_tranf_GTA_type(1-348)
tr|A0A1R3HSX4|A0A1R3HSX4_9ROSI	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(1-347)
tr|A0A1R3J8A0|A0A1R3J8A0_9ROSI	TMhelix|GT-A	TMhelix(85-107)|GlcAT-I(190-420)
tr|A0A1R3K4B4|A0A1R3K4B4_9ROSI	TMhelix|GT-A	TMhelix(36-58)|Glyco_transf_43(182-418)
tr|A0A1S2Y8J2|A0A1S2Y8J2_CICAR	TMhelix|GT-A	TMhelix(66-88)|GlcAT-I(171-399)
tr|A0A1S2Y9X2|A0A1S2Y9X2_CICAR	TMhelix|GT-A	TMhelix(77-99)|GlcAT-I(182-410)
tr|A0A1S2YSA3|A0A1S2YSA3_CICAR	TMhelix|GT-A	TMhelix(33-55)|Glyco_tranf_GTA_type(166-425)
tr|A0A1S2YYD8|A0A1S2YYD8_CICAR	TMhelix|GT-A	TMhelix(36-58)|Glyco_transf_43(171-412)
tr|A0A1S3AA56|A0A1S3AA56_ERIEU	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_43(118-328)
tr|A0A1S3B0S9|A0A1S3B0S9_CUCME	TMhelix|GT-A	TMhelix(35-57)|Glyco_tranf_GTA_type(164-419)
tr|A0A1S3B6Z2|A0A1S3B6Z2_CUCME	TMhelix|GT-A	TMhelix(17-34)|Glyco_tranf_GTA_type(1-318)
tr|A0A1S3CQC9|A0A1S3CQC9_CUCME	TMhelix|GT-A	TMhelix(84-106)|GlcAT-I(182-412)
tr|A0A1S3CRV4|A0A1S3CRV4_CUCME	TMhelix|GT-A	TMhelix(73-92)|GlcAT-I(157-385)
tr|A0A1S3EL55|A0A1S3EL55_DIPOR	TMhelix|GT-A	TMhelix(20-37)|Glyco_transf_43(118-328)
tr|A0A1S3GK61|A0A1S3GK61_DIPOR	TMhelix|GT-A	TMhelix(5-27)|GlcAT-I(82-307)
tr|A0A1S3N4W4|A0A1S3N4W4_SALSA	TMhelix|GT-A	TMhelix(5-27)|GlcAT-I(59-282)
tr|A0A1S3NAM8|A0A1S3NAM8_SALSA	TMhelix|GT-A	TMhelix(12-29)|GlcAT-I(81-314)
tr|A0A1S3RMW7|A0A1S3RMW7_SALSA	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_43(103-315)
tr|A0A1S3S4F1|A0A1S3S4F1_SALSA	TMhelix|GT-A	TMhelix(5-27)|GlcAT-I(61-283)
tr|A0A1S3T0M0|A0A1S3T0M0_SALSA	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_43(106-316)
tr|A0A1S3TYS8|A0A1S3TYS8_VIGRR	TMhelix|GT-A	TMhelix(83-105)|GlcAT-I(185-415)
tr|A0A1S3U8H0|A0A1S3U8H0_VIGRR	TMhelix|GT-A	TMhelix(70-92)|GlcAT-I(157-387)
tr|A0A1S3UPQ7|A0A1S3UPQ7_VIGRR	TMhelix|GT-A	TMhelix(36-58)|Glyco_transf_43(174-403)
tr|A0A1S3VSB5|A0A1S3VSB5_VIGRR	TMhelix|GT-A	TMhelix(36-58)|Glyco_tranf_GTA_type(148-406)
tr|A0A1S3X8W2|A0A1S3X8W2_TOBAC	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(1-383)
tr|A0A1S3XG46|A0A1S3XG46_TOBAC	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(1-364)
tr|A0A1S3XWG5|A0A1S3XWG5_TOBAC	TMhelix|GT-A	TMhelix(32-54)|Glyco_transf_43(174-415)
tr|A0A1S3ZJZ5|A0A1S3ZJZ5_TOBAC	TMhelix|GT-A	TMhelix(53-75)|GlcAT-I(134-365)
tr|A0A1S4AEV4|A0A1S4AEV4_TOBAC	TMhelix|GT-A	TMhelix(32-54)|Glyco_transf_43(174-415)
tr|A0A1S4B432|A0A1S4B432_TOBAC	TMhelix|GT-A	TMhelix(88-110)|GlcAT-I(187-417)
tr|A0A1S4B6W9|A0A1S4B6W9_TOBAC	TMhelix|GT-A	TMhelix(88-110)|GlcAT-I(188-418)
tr|A0A1S4CHM4|A0A1S4CHM4_TOBAC	TMhelix|GT-A	TMhelix(89-111)|GlcAT-I(192-422)
tr|A0A1S4CU84|A0A1S4CU84_TOBAC	TMhelix|GT-A	TMhelix(53-75)|GlcAT-I(134-365)
tr|A0A1U7QT25|A0A1U7QT25_MESAU	TMhelix|GT-A	TMhelix(58-75)|Glyco_transf_43(156-366)
tr|A0A1U7UC97|A0A1U7UC97_TARSY	TMhelix|GT-A	TMhelix(7-24)|Glyco_transf_43(105-315)
tr|A0A1U7UGB3|A0A1U7UGB3_TARSY	TMhelix|GT-A	TMhelix(20-37)|Glyco_transf_43(118-328)
tr|A0A1U7UPE6|A0A1U7UPE6_TARSY	TMhelix|GT-A	TMhelix(20-37)|Glyco_transf_43(118-319)
tr|A0A1U7VDL2|A0A1U7VDL2_NICSY	TMhelix|GT-A	TMhelix(32-54)|Glyco_transf_43(174-415)
tr|A0A1U7VWZ5|A0A1U7VWZ5_NICSY	TMhelix|GT-A	TMhelix(88-110)|GlcAT-I(187-417)
tr|A0A1U7WIU0|A0A1U7WIU0_NICSY	TMhelix|GT-A	TMhelix(53-75)|GlcAT-I(134-365)
tr|A0A1U7XCZ4|A0A1U7XCZ4_NICSY	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(1-374)
tr|A0A1U7YXJ5|A0A1U7YXJ5_NELNU	TMhelix|GT-A	TMhelix(35-57)|Glyco_transf_43(184-425)
tr|A0A1U7ZNI3|A0A1U7ZNI3_NELNU	TMhelix|GT-A	TMhelix(91-113)|GlcAT-I(195-426)
tr|A0A1U7ZWS0|A0A1U7ZWS0_NELNU	TMhelix|GT-A	TMhelix(17-36)|Glyco_tranf_GTA_type(1-343)
tr|A0A1U7ZZI2|A0A1U7ZZI2_NELNU	TMhelix|GT-A	TMhelix(77-99)|GlcAT-I(158-387)
tr|A0A1U8B404|A0A1U8B404_NELNU	TMhelix|GT-A	TMhelix(37-59)|Glyco_transf_43(192-433)
tr|A0A1U8DV02|A0A1U8DV02_CAPAN	TMhelix|GT-A	TMhelix(88-110)|GlcAT-I(187-417)
tr|A0A1U8EU41|A0A1U8EU41_CAPAN	TMhelix|GT-A	TMhelix(32-54)|Glyco_transf_43(182-422)
tr|A0A1U8GD25|A0A1U8GD25_CAPAN	TMhelix|GT-A	TMhelix(53-75)|GlcAT-I(133-364)
tr|A0A1U8HUB7|A0A1U8HUB7_GOSHI	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(1-356)
tr|A0A1U8HZ28|A0A1U8HZ28_GOSHI	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(1-349)
tr|A0A1U8IC77|A0A1U8IC77_GOSHI	TMhelix|GT-A	TMhelix(87-109)|GlcAT-I(168-398)
tr|A0A1U8JGX2|A0A1U8JGX2_GOSHI	TMhelix|GT-A	TMhelix(85-107)|GlcAT-I(190-420)
tr|A0A1U8JTQ7|A0A1U8JTQ7_GOSHI	TMhelix|GT-A	TMhelix(63-85)|GlcAT-I(140-369)
tr|A0A1U8K4I4|A0A1U8K4I4_GOSHI	TMhelix|GT-A	TMhelix(78-100)|Glyco_transf_43(224-460)
tr|A0A1U8KGF7|A0A1U8KGF7_GOSHI	TMhelix|GT-A	TMhelix(61-78)|GlcAT-I(134-362)
tr|A0A1U8L0K7|A0A1U8L0K7_GOSHI	TMhelix|GT-A	TMhelix(57-79)|GlcAT-I(134-363)
tr|A0A1U8LWY9|A0A1U8LWY9_GOSHI	TMhelix|GT-A	TMhelix(36-58)|Glyco_transf_43(179-414)
tr|A0A1U8LZU5|A0A1U8LZU5_GOSHI	TMhelix|GT-A	TMhelix(36-58)|Glyco_transf_43(179-414)
tr|A0A1U8MU84|A0A1U8MU84_GOSHI	TMhelix|GT-A	TMhelix(62-84)|GlcAT-I(140-369)
tr|A0A1U8N0M4|A0A1U8N0M4_GOSHI	TMhelix|GT-A	TMhelix(62-84)|GlcAT-I(140-369)
tr|A0A1U8N2U8|A0A1U8N2U8_GOSHI	TMhelix|GT-A	TMhelix(83-105)|GlcAT-I(189-414)
tr|A0A1U8NRS6|A0A1U8NRS6_GOSHI	TMhelix|GT-A	TMhelix(63-85)|GlcAT-I(140-369)
tr|A0A1V4J7X6|A0A1V4J7X6_PATFA	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_43(118-328)
tr|A0A1W0VUK3|A0A1W0VUK3_SORBI	TMhelix|GT-A	TMhelix(50-69)|Glyco_transf_43(220-458)
tr|A0A1W4VW77|A0A1W4VW77_DROFC	TMhelix|GT-A	TMhelix(52-71)|GlcAT-I(199-418)
tr|A0A1W4W711|A0A1W4W711_DROFC	TMhelix|GT-A	TMhelix(34-53)|GlcAT-I(233-454)
tr|A0A1W4WEK0|A0A1W4WEK0_AGRPL	TMhelix|GT-A	TMhelix(16-33)|GlcAT-I(73-303)
tr|A0A1X7UXL1|A0A1X7UXL1_AMPQE	TMhelix|GT-A	TMhelix(7-24)|GlcAT-I(53-282)
tr|A0A1X7UYW2|A0A1X7UYW2_AMPQE	TMhelix|GT-A	TMhelix(12-30)|GlcAT-I(89-316)
tr|A0A1Y9GKD1|A0A1Y9GKD1_ANOAR	TMhelix|GT-A	TMhelix(17-35)|GlcAT-I(104-323)
tr|A0A1Z5RCD2|A0A1Z5RCD2_SORBI	TMhelix|GT-A	TMhelix(69-86)|Glyco_transf_43(146-359)
tr|A0A200PV22|A0A200PV22_9MAGN	TMhelix|GT-A	TMhelix(36-55)|Glyco_transf_43(196-438)
tr|A0A200QA44|A0A200QA44_9MAGN	TMhelix|GT-A	TMhelix(71-93)|GlcAT-I(148-377)
tr|A0A200QDN8|A0A200QDN8_9MAGN	TMhelix|GT-A	TMhelix(90-112)|GlcAT-I(190-403)
tr|A0A200QZJ2|A0A200QZJ2_9MAGN	TMhelix|GT-A	TMhelix(38-60)|Glyco_transf_43(183-424)
tr|A0A200RC76|A0A200RC76_9MAGN	TMhelix|GT-A	TMhelix(91-113)|GlcAT-I(195-426)
tr|A0A218UTD3|A0A218UTD3_9PASE	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_43(106-316)
tr|A0A218WAR9|A0A218WAR9_PUNGR	TMhelix|GT-A	TMhelix(61-80)|Glyco_tranf_GTA_type(45-382)
tr|A0A218WY59|A0A218WY59_PUNGR	TMhelix|GT-A	TMhelix(68-90)|GlcAT-I(165-389)
tr|A0A226E0M7|A0A226E0M7_FOLCA	TMhelix|GT-A	TMhelix(12-34)|Glyco_tranf_GTA_type(101-349)
tr|A0A226F4W2|A0A226F4W2_FOLCA	TMhelix|GT-A	TMhelix(9-28)|GlcAT-I(88-309)
tr|A0A226NEQ0|A0A226NEQ0_CALSU	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_43(119-314)
tr|A0A232F966|A0A232F966_9HYME	TMhelix|GT-A	TMhelix(47-69)|GlcAT-I(133-363)
tr|A0A251SBX8|A0A251SBX8_HELAN	TMhelix|GT-A	TMhelix(38-60)|Glyco_transf_43(178-425)
tr|A0A251SMC8|A0A251SMC8_HELAN	TMhelix|GT-A	TMhelix(35-57)|Glyco_transf_43(180-432)
tr|A0A251T7U9|A0A251T7U9_HELAN	TMhelix|GT-A	TMhelix(78-100)|Glyco_transf_43(171-373)
tr|A0A251TEE8|A0A251TEE8_HELAN	TMhelix|GT-A	TMhelix(61-80)|GlcAT-I(136-365)
tr|A0A261AC88|A0A261AC88_9PELO	TMhelix|GT-A	TMhelix(48-67)|Glyco_transf_43(108-314)
tr|A0A286ZTI9|A0A286ZTI9_PIG	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_43(118-328)
tr|A0A287ENS4|A0A287ENS4_HORVV	TMhelix|GT-A	TMhelix(23-40)|Glyco_tranf_GTA_type(9-360)
tr|A0A287XKK9|A0A287XKK9_HORVV	TMhelix|GT-A	TMhelix(116-135)|Glyco_transf_43(280-518)
tr|A0A2C9JPE6|A0A2C9JPE6_BIOGL	TMhelix|GT-A	TMhelix(12-34)|GlcAT-I(86-315)
tr|A0A2G2VDM4|A0A2G2VDM4_CAPBA	TMhelix|GT-A	TMhelix(32-54)|Glyco_transf_43(182-422)
tr|A0A2G2VQU3|A0A2G2VQU3_CAPBA	TMhelix|GT-A	TMhelix(87-109)|Glyco_tranf_GTA_type(74-418)
tr|A0A2G2W5V0|A0A2G2W5V0_CAPBA	TMhelix|GT-A	TMhelix(83-105)|GlcAT-I(187-417)
tr|A0A2G2X078|A0A2G2X078_CAPBA	TMhelix|GT-A	TMhelix(53-75)|GlcAT-I(133-364)
tr|A0A2G2YHZ6|A0A2G2YHZ6_CAPAN	TMhelix|GT-A	TMhelix(89-111)|GlcAT-I(192-420)
tr|A0A2G2YQG2|A0A2G2YQG2_CAPAN	TMhelix|GT-A	TMhelix(17-36)|Glyco_tranf_GTA_type(1-358)
tr|A0A2G3B057|A0A2G3B057_CAPCH	TMhelix|GT-A	TMhelix(32-54)|Glyco_transf_43(182-422)
tr|A0A2G3BBW9|A0A2G3BBW9_CAPCH	TMhelix|GT-A	TMhelix(89-111)|GlcAT-I(192-420)
tr|A0A2G3BJI5|A0A2G3BJI5_CAPCH	TMhelix|GT-A	TMhelix(17-36)|Glyco_tranf_GTA_type(1-358)
tr|A0A2G3BSR0|A0A2G3BSR0_CAPCH	TMhelix|GT-A	TMhelix(88-110)|GlcAT-I(187-417)
tr|A0A2G3CPC2|A0A2G3CPC2_CAPCH	TMhelix|GT-A	TMhelix(53-75)|GlcAT-I(133-364)
tr|A0A2G5U8Y2|A0A2G5U8Y2_9PELO	TMhelix|GT-A	TMhelix(26-48)|Glyco_transf_43(82-289)
tr|A0A2G5U8Y8|A0A2G5U8Y8_9PELO	TMhelix|GT-A	TMhelix(53-70)|Glyco_transf_43(113-319)
tr|A0A2G5VNE5|A0A2G5VNE5_9PELO	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_43(88-280)
tr|A0A2G9HCY2|A0A2G9HCY2_9LAMI	TMhelix|GT-A	TMhelix(69-88)|GlcAT-I(164-393)
tr|A0A2G9HLU1|A0A2G9HLU1_9LAMI	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(1-327)
tr|A0A2G9HZT8|A0A2G9HZT8_9LAMI	TMhelix|GT-A	TMhelix(81-103)|GlcAT-I(179-410)
tr|A0A2G9I4K0|A0A2G9I4K0_9LAMI	TMhelix|GT-A	TMhelix(36-58)|Glyco_transf_43(173-419)
tr|A0A2G9I6I4|A0A2G9I6I4_9LAMI	TMhelix|GT-A	TMhelix(36-58)|Glyco_tranf_GTA_type(153-418)
tr|A0A2H2HZE6|A0A2H2HZE6_CAEJA	TMhelix|GT-A	TMhelix(57-74)|Glyco_transf_43(117-323)
tr|A0A2H3XVB1|A0A2H3XVB1_PHODC	TMhelix|GT-A	TMhelix(90-112)|GlcAT-I(186-415)
tr|A0A2H3Y0A3|A0A2H3Y0A3_PHODC	TMhelix|GT-A	TMhelix(75-97)|GlcAT-I(163-394)
tr|A0A2H3YC80|A0A2H3YC80_PHODC	TMhelix|GT-A	TMhelix(38-60)|Glyco_transf_43(202-432)
tr|A0A2H3ZMW5|A0A2H3ZMW5_PHODC	TMhelix|GT-A	TMhelix(54-73)|GlcAT-I(141-372)
tr|A0A2H5P6T2|A0A2H5P6T2_CITUN	TMhelix|GT-A	TMhelix(56-78)|GlcAT-I(145-374)
tr|A0A2H5P7E9|A0A2H5P7E9_CITUN	TMhelix|GT-A	TMhelix(85-107)|Glyco_tranf_GTA_type(72-419)
tr|A0A2H5PD72|A0A2H5PD72_CITUN	TMhelix|GT-A	TMhelix(36-58)|Glyco_tranf_GTA_type(160-423)
tr|A0A2I0BDI0|A0A2I0BDI0_9ASPA	TMhelix|GT-A	TMhelix(39-61)|Glyco_transf_43(193-435)
tr|A0A2I3TP48|A0A2I3TP48_PANTR	TMhelix|GT-A	TMhelix(40-62)|GlcAT-I(107-336)
tr|A0A2I4AYA6|A0A2I4AYA6_9TELE	TMhelix|GT-A	TMhelix(4-23)|GlcAT-I(67-290)
tr|A0A2I4C3C9|A0A2I4C3C9_9TELE	TMhelix|GT-A	TMhelix(12-29)|GlcAT-I(81-310)
tr|A0A2I4E2W3|A0A2I4E2W3_9ROSI	TMhelix|GT-A	TMhelix(37-59)|Glyco_transf_43(183-427)
tr|A0A2I4EVL9|A0A2I4EVL9_9ROSI	TMhelix|GT-A	TMhelix(62-84)|GlcAT-I(167-390)
tr|A0A2I4GAL5|A0A2I4GAL5_9ROSI	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(1-340)
tr|A0A2I4GMA0|A0A2I4GMA0_9ROSI	TMhelix|GT-A	TMhelix(37-59)|Glyco_transf_43(185-427)
tr|A0A2I4GNP8|A0A2I4GNP8_9ROSI	TMhelix|GT-A	TMhelix(84-106)|GlcAT-I(187-413)
tr|A0A2I4HT07|A0A2I4HT07_9ROSI	TMhelix|GT-A	TMhelix(62-84)|GlcAT-I(145-374)
tr|A0A2J6KPM6|A0A2J6KPM6_LACSA	TMhelix|GT-A	TMhelix(67-86)|GlcAT-I(139-368)
tr|A0A2J6LIX1|A0A2J6LIX1_LACSA	TMhelix|GT-A	TMhelix(39-61)|Glyco_tranf_GTA_type(166-435)
tr|A0A2J6LU39|A0A2J6LU39_LACSA	TMhelix|GT-A	TMhelix(85-107)|GlcAT-I(163-382)
tr|A0A2J6LZ65|A0A2J6LZ65_LACSA	TMhelix|GT-A	TMhelix(39-61)|Glyco_transf_43(186-427)
tr|A0A2J8N0U8|A0A2J8N0U8_PANTR	TMhelix|GT-A	TMhelix(7-24)|Glyco_transf_43(105-315)
tr|A0A2K1JDD3|A0A2K1JDD3_PHYPA	TMhelix|GT-A	TMhelix(36-58)|Glyco_transf_43(174-435)
tr|A0A2K2A7D1|A0A2K2A7D1_POPTR	TMhelix|GT-A	TMhelix(85-107)|GlcAT-I(189-418)
tr|A0A2K2AGM5|A0A2K2AGM5_POPTR	TMhelix|GT-A	TMhelix(37-59)|Glyco_transf_43(177-418)
tr|A0A2K3NQ87|A0A2K3NQ87_TRIPR	TMhelix|GT-A	TMhelix(36-58)|Glyco_transf_43(174-415)
tr|A0A2K3NWJ6|A0A2K3NWJ6_TRIPR	TMhelix|GT-A	TMhelix(79-101)|GlcAT-I(184-415)
tr|A0A2K5DH10|A0A2K5DH10_AOTNA	TMhelix|GT-A	TMhelix(5-27)|GlcAT-I(81-305)
tr|A0A2K5F3Y0|A0A2K5F3Y0_AOTNA	TMhelix|GT-A	TMhelix(20-37)|Glyco_transf_43(118-320)
tr|A0A2K5K3I5|A0A2K5K3I5_COLAP	TMhelix|GT-A	TMhelix(5-27)|GlcAT-I(81-305)
tr|A0A2K5K9M1|A0A2K5K9M1_COLAP	TMhelix|GT-A	TMhelix(7-24)|Glyco_transf_43(105-315)
tr|A0A2K5M9J1|A0A2K5M9J1_CERAT	TMhelix|GT-A	TMhelix(20-37)|Glyco_transf_43(118-328)
tr|A0A2K5NGE9|A0A2K5NGE9_CERAT	TMhelix|GT-A	TMhelix(5-27)|GlcAT-I(81-305)
tr|A0A2K5NY89|A0A2K5NY89_CERAT	TMhelix|GT-A	TMhelix(50-72)|GlcAT-I(117-343)
tr|A0A2K5RZJ8|A0A2K5RZJ8_CEBCA	TMhelix|GT-A	TMhelix(5-27)|GlcAT-I(81-305)
tr|A0A2K5YBN3|A0A2K5YBN3_MANLE	TMhelix|GT-A	TMhelix(7-24)|Glyco_transf_43(105-315)
tr|A0A2K6AXP6|A0A2K6AXP6_MACNE	TMhelix|GT-A	TMhelix(52-74)|GlcAT-I(119-344)
tr|A0A2K6DYQ5|A0A2K6DYQ5_MACNE	TMhelix|GT-A	TMhelix(20-37)|Glyco_transf_43(118-328)
tr|A0A2K6EBU9|A0A2K6EBU9_MACNE	TMhelix|GT-A	TMhelix(5-27)|GlcAT-I(81-305)
tr|A0A2K6FIR2|A0A2K6FIR2_PROCO	TMhelix|GT-A	TMhelix(5-27)|GlcAT-I(80-305)
tr|A0A2K6GDY6|A0A2K6GDY6_PROCO	TMhelix|GT-A	TMhelix(7-24)|Glyco_transf_43(105-315)
tr|A0A2K6JUE8|A0A2K6JUE8_RHIBE	TMhelix|GT-A	TMhelix(48-70)|GlcAT-I(115-344)
tr|A0A2K6K265|A0A2K6K265_RHIBE	TMhelix|GT-A	TMhelix(5-27)|GlcAT-I(81-305)
tr|A0A2K6LYY1|A0A2K6LYY1_RHIBE	TMhelix|GT-A	TMhelix(20-37)|Glyco_transf_43(118-328)
tr|A0A2K6NC13|A0A2K6NC13_RHIRO	TMhelix|GT-A	TMhelix(7-24)|Glyco_transf_43(105-315)
tr|A0A2K6NK52|A0A2K6NK52_RHIRO	TMhelix|GT-A	TMhelix(5-27)|GlcAT-I(81-305)
tr|A0A2K6P2M8|A0A2K6P2M8_RHIRO	TMhelix|GT-A	TMhelix(50-72)|GlcAT-I(117-346)
tr|A0A2K6T480|A0A2K6T480_SAIBB	TMhelix|GT-A	TMhelix(20-37)|Glyco_transf_43(118-328)
tr|A0A2K6V6U6|A0A2K6V6U6_SAIBB	TMhelix|GT-A	TMhelix(5-27)|GlcAT-I(81-305)
tr|A0A2N5S865|A0A2N5S865_9BASI	TMhelix|GT-A	TMhelix(47-66)|Glyco_tranf_GTA_type(325-512)
tr|A0A2N5SGJ2|A0A2N5SGJ2_9BASI	TMhelix|GT-A	TMhelix(57-76)|Glyco_tranf_GTA_type(249-436)
tr|A0A2N5TPD8|A0A2N5TPD8_9BASI	TMhelix|GT-A	TMhelix(61-80)|Glyco_tranf_GTA_type(253-440)
tr|A0A2N5TUS1|A0A2N5TUS1_9BASI	TMhelix|GT-A	TMhelix(47-66)|Glyco_tranf_GTA_type(325-512)
tr|A0A2P4JMD0|A0A2P4JMD0_QUESU	TMhelix|GT-A	TMhelix(77-99)|GlcAT-I(160-387)
tr|A0A2P4LC55|A0A2P4LC55_QUESU	TMhelix|GT-A	TMhelix(37-59)|Glyco_tranf_GTA_type(169-433)
