tr|B9S7N5|B9S7N5_RICCO	WRN_exo|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	WRN_exo(39-220)|GT8_Glycogenin(271-517)|TMhelix(534-556)|TMhelix(605-627)|TMhelix(642-664)|TMhelix(702-724)|TMhelix(728-750)
tr|A0A1S3YQQ4|A0A1S3YQQ4_TOBAC	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(39-291)|TMhelix(301-323)|TMhelix(336-358)|TMhelix(368-390)|TMhelix(397-416)|TMhelix(420-442)
tr|A0A1S4B8N5|A0A1S4B8N5_TOBAC	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(47-296)|TMhelix(299-321)|TMhelix(342-361)|TMhelix(376-398)|TMhelix(403-422)|TMhelix(426-448)
tr|A0A1S4CK89|A0A1S4CK89_TOBAC	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(47-295)|TMhelix(299-321)|TMhelix(342-361)|TMhelix(376-398)|TMhelix(403-422)|TMhelix(426-448)
tr|A0A1S4DCA4|A0A1S4DCA4_TOBAC	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(31-278)|TMhelix(295-317)|TMhelix(361-383)|TMhelix(393-415)|TMhelix(454-476)|TMhelix(481-503)
tr|A0A1U7V062|A0A1U7V062_NICSY	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(47-296)|TMhelix(299-321)|TMhelix(342-361)|TMhelix(376-398)|TMhelix(403-422)|TMhelix(426-448)
tr|A0A1U7Y7X4|A0A1U7Y7X4_NICSY	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(39-291)|TMhelix(299-316)|TMhelix(337-359)|TMhelix(369-391)|TMhelix(394-416)|TMhelix(420-442)
tr|A0A1U8AP13|A0A1U8AP13_NELNU	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(40-292)|TMhelix(295-317)|TMhelix(338-360)|TMhelix(370-392)|TMhelix(394-416)|TMhelix(420-442)
tr|A0A1U8GLX8|A0A1U8GLX8_CAPAN	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(30-277)|TMhelix(294-316)|TMhelix(360-382)|TMhelix(392-414)|TMhelix(453-475)|TMhelix(480-502)
tr|A0A1U8GMX7|A0A1U8GMX7_CAPAN	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(36-288)|TMhelix(290-312)|TMhelix(333-355)|TMhelix(365-387)|TMhelix(394-413)|TMhelix(417-439)
tr|A0A1U8HN31|A0A1U8HN31_GOSHI	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(42-290)|TMhelix(304-326)|TMhelix(347-368)|TMhelix(372-394)|TMhelix(399-418)|TMhelix(422-444)
tr|A0A1U8I5X1|A0A1U8I5X1_GOSHI	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(33-280)|TMhelix(297-319)|TMhelix(376-398)|TMhelix(413-435)|TMhelix(465-487)|TMhelix(492-514)
tr|A0A1U8MEA3|A0A1U8MEA3_GOSHI	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(33-280)|TMhelix(297-319)|TMhelix(376-398)|TMhelix(413-435)|TMhelix(465-487)|TMhelix(492-514)
tr|A0A1X7TTX8|A0A1X7TTX8_AMPQE	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	Glyco_tranf_GTA_type(33-288)|TMhelix(302-321)|TMhelix(342-361)|TMhelix(376-398)|TMhelix(411-433)|TMhelix(443-460)
tr|A0A1X7USD7|A0A1X7USD7_AMPQE	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	Glyco_tranf_GTA_type(47-287)|TMhelix(296-315)|TMhelix(343-365)|TMhelix(380-402)|TMhelix(415-437)|TMhelix(442-461)
tr|A0A1Y1I9Y2|A0A1Y1I9Y2_KLENI	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(37-286)|TMhelix(301-318)|TMhelix(352-374)|TMhelix(379-401)|TMhelix(406-428)|TMhelix(443-465)
tr|A0A1Y1IBU6|A0A1Y1IBU6_KLENI	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(46-289)|TMhelix(305-324)|TMhelix(392-414)|TMhelix(421-439)|TMhelix(488-510)|TMhelix(517-539)
tr|A0A1Z5REC6|A0A1Z5REC6_SORBI	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(11-247)|TMhelix(255-274)|TMhelix(294-316)|TMhelix(326-348)|TMhelix(353-372)|TMhelix(376-398)
tr|A0A200Q5B3|A0A200Q5B3_9MAGN	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(52-304)|TMhelix(310-332)|TMhelix(352-374)|TMhelix(381-403)|TMhelix(408-427)|TMhelix(434-453)
tr|A0A218W3I5|A0A218W3I5_PUNGR	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(42-286)|TMhelix(306-328)|TMhelix(386-408)|TMhelix(421-443)|TMhelix(482-504)|TMhelix(509-531)
tr|A0A218XN78|A0A218XN78_PUNGR	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(43-294)|TMhelix(296-318)|TMhelix(348-365)|TMhelix(372-394)|TMhelix(398-420)|TMhelix(427-449)
tr|A0A225WH43|A0A225WH43_9STRA	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	Glyco_tranf_GTA_type(29-316)|TMhelix(332-354)|TMhelix(375-392)|TMhelix(402-424)|TMhelix(445-467)|TMhelix(471-493)
tr|A0A251P087|A0A251P087_PRUPE	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(39-277)|TMhelix(303-325)|TMhelix(380-402)|TMhelix(412-434)|TMhelix(473-495)|TMhelix(499-521)
tr|A0A251RPM4|A0A251RPM4_HELAN	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(46-297)|TMhelix(310-328)|TMhelix(349-368)|TMhelix(378-400)|TMhelix(402-424)|TMhelix(428-450)
tr|A0A251U7A3|A0A251U7A3_HELAN	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(36-283)|TMhelix(300-322)|TMhelix(368-390)|TMhelix(405-427)|TMhelix(463-485)|TMhelix(489-511)
tr|A0A251UE34|A0A251UE34_HELAN	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(59-305)|TMhelix(323-345)|TMhelix(396-418)|TMhelix(428-450)|TMhelix(485-507)|TMhelix(511-533)
tr|A0A287FN19|A0A287FN19_HORVV	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(13-264)|TMhelix(271-293)|TMhelix(313-335)|TMhelix(345-367)|TMhelix(369-391)|TMhelix(395-417)
tr|A0A287J2H3|A0A287J2H3_HORVV	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(9-260)|TMhelix(268-287)|TMhelix(307-329)|TMhelix(339-361)|TMhelix(363-385)|TMhelix(389-411)
tr|A0A2G2WJV1|A0A2G2WJV1_CAPBA	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(33-281)|TMhelix(284-306)|TMhelix(327-346)|TMhelix(361-383)|TMhelix(388-407)|TMhelix(411-433)
tr|A0A2G2WUC9|A0A2G2WUC9_CAPBA	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(33-277)|TMhelix(297-319)|TMhelix(364-386)|TMhelix(396-418)|TMhelix(457-479)|TMhelix(484-506)
tr|A0A2G2XWX4|A0A2G2XWX4_CAPAN	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(33-277)|TMhelix(297-319)|TMhelix(364-386)|TMhelix(396-418)|TMhelix(457-479)|TMhelix(484-506)
tr|A0A2G2ZA54|A0A2G2ZA54_CAPAN	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(33-280)|TMhelix(284-306)|TMhelix(327-346)|TMhelix(361-383)|TMhelix(388-407)|TMhelix(411-433)
tr|A0A2G3C7G0|A0A2G3C7G0_CAPCH	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	Glyco_tranf_GTA_type(33-281)|TMhelix(284-306)|TMhelix(327-346)|TMhelix(350-372)|TMhelix(379-401)|TMhelix(411-433)
tr|A0A2G3CE89|A0A2G3CE89_CAPCH	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(30-277)|TMhelix(294-316)|TMhelix(366-388)|TMhelix(398-420)|TMhelix(459-481)|TMhelix(486-508)
tr|A0A2G3DBU6|A0A2G3DBU6_CAPCH	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(36-288)|TMhelix(298-320)|TMhelix(333-355)|TMhelix(365-387)|TMhelix(394-413)|TMhelix(417-439)
tr|A0A2G5T0X2|A0A2G5T0X2_9PELO	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(23-265)|TMhelix(275-297)|TMhelix(309-330)|TMhelix(340-362)|TMhelix(375-394)|TMhelix(404-426)
tr|A0A2G9GD02|A0A2G9GD02_9LAMI	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(31-269)|TMhelix(291-313)|TMhelix(326-348)|TMhelix(361-383)|TMhelix(388-407)|TMhelix(411-433)
tr|A0A2G9GVE2|A0A2G9GVE2_9LAMI	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(35-273)|TMhelix(299-321)|TMhelix(367-389)|TMhelix(404-426)|TMhelix(464-486)|TMhelix(490-512)
tr|A0A2G9GYS5|A0A2G9GYS5_9LAMI	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(35-273)|TMhelix(299-321)|TMhelix(367-389)|TMhelix(404-426)|TMhelix(464-486)|TMhelix(490-512)
tr|A0A2G9H765|A0A2G9H765_9LAMI	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(33-283)|TMhelix(291-313)|TMhelix(334-356)|TMhelix(361-383)|TMhelix(390-409)|TMhelix(413-435)
tr|A0A2H3Y7Y5|A0A2H3Y7Y5_PHODC	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(29-279)|TMhelix(282-304)|TMhelix(335-352)|TMhelix(359-381)|TMhelix(385-407)|TMhelix(414-436)
tr|A0A2H3Z2R4|A0A2H3Z2R4_PHODC	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(29-277)|TMhelix(293-312)|TMhelix(375-397)|TMhelix(404-426)|TMhelix(467-489)|TMhelix(494-516)
tr|A0A2H5NT22|A0A2H5NT22_CITUN	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(31-275)|TMhelix(295-317)|TMhelix(373-395)|TMhelix(410-432)|TMhelix(471-493)|TMhelix(497-519)
tr|A0A2H9ZT19|A0A2H9ZT19_9ASPA	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(29-276)|TMhelix(293-315)|TMhelix(380-402)|TMhelix(412-434)|TMhelix(473-495)|TMhelix(505-527)
tr|A0A2I0AVK3|A0A2I0AVK3_9ASPA	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(43-295)|TMhelix(297-319)|TMhelix(349-366)|TMhelix(373-391)|TMhelix(395-417)|TMhelix(424-446)
tr|A0A2I0AZW4|A0A2I0AZW4_9ASPA	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(41-292)|TMhelix(296-318)|TMhelix(347-364)|TMhelix(371-393)|TMhelix(397-419)|TMhelix(421-443)
tr|A0A2I4HUV4|A0A2I4HUV4_9ROSI	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(52-304)|TMhelix(304-326)|TMhelix(347-369)|TMhelix(382-404)|TMhelix(409-428)|TMhelix(432-454)
tr|A0A2J6L546|A0A2J6L546_LACSA	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(3-228)|TMhelix(251-270)|TMhelix(315-337)|TMhelix(352-374)|TMhelix(409-431)|TMhelix(436-458)
tr|A0A2J6LGJ2|A0A2J6LGJ2_LACSA	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(34-285)|TMhelix(296-318)|TMhelix(343-365)|TMhelix(369-391)|TMhelix(398-420)|TMhelix(424-446)
tr|A0A2J6LGL3|A0A2J6LGL3_LACSA	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(34-281)|TMhelix(298-320)|TMhelix(368-390)|TMhelix(403-425)|TMhelix(458-480)|TMhelix(485-507)
tr|A0A2K1IC78|A0A2K1IC78_PHYPA	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(43-294)|TMhelix(303-322)|TMhelix(352-374)|TMhelix(379-398)|TMhelix(405-427)|TMhelix(431-453)
tr|A0A2K1JM54|A0A2K1JM54_PHYPA	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(35-284)|TMhelix(292-314)|TMhelix(346-368)|TMhelix(373-395)|TMhelix(397-419)|TMhelix(424-446)
tr|A0A2K1KUY4|A0A2K1KUY4_PHYPA	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(45-294)|TMhelix(306-324)|TMhelix(356-378)|TMhelix(383-405)|TMhelix(412-434)|TMhelix(439-456)
tr|A0A2K3D996|A0A2K3D996_CHLRE	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(33-268)|TMhelix(306-328)|TMhelix(397-419)|TMhelix(426-448)|TMhelix(482-504)|TMhelix(511-533)
tr|A0A2P4NA00|A0A2P4NA00_QUESU	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(32-276)|TMhelix(293-315)|TMhelix(373-395)|TMhelix(408-430)|TMhelix(468-490)|TMhelix(495-517)
tr|A0A2P5AVR7|A0A2P5AVR7_PARAD	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	Glyco_tranf_GTA_type(47-297)|TMhelix(305-327)|TMhelix(348-370)|TMhelix(375-394)|TMhelix(401-423)|TMhelix(427-449)
tr|A0A2P5F5F2|A0A2P5F5F2_9ROSA	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(48-286)|TMhelix(306-328)|TMhelix(349-371)|TMhelix(376-398)|TMhelix(405-424)|TMhelix(428-450)
tr|A0A2P5FYQ8|A0A2P5FYQ8_9ROSA	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(33-280)|TMhelix(297-319)|TMhelix(371-393)|TMhelix(406-428)|TMhelix(467-489)|TMhelix(494-516)
tr|A0A2P5PWF4|A0A2P5PWF4_GOSBA	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(42-290)|TMhelix(304-326)|TMhelix(347-368)|TMhelix(372-394)|TMhelix(399-418)|TMhelix(422-444)
tr|A0A2P5SMC2|A0A2P5SMC2_GOSBA	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	Glyco_tranf_GTA_type(8-237)|TMhelix(243-265)|TMhelix(294-311)|TMhelix(318-340)|TMhelix(345-367)|TMhelix(372-391)
tr|A0A2P6NSF0|A0A2P6NSF0_9MYCE	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(29-265)|TMhelix(287-309)|TMhelix(329-351)|TMhelix(361-383)|TMhelix(407-429)|TMhelix(439-461)
tr|A0A2P6P8D4|A0A2P6P8D4_ROSCH	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(44-282)|TMhelix(296-318)|TMhelix(339-361)|TMhelix(371-393)|TMhelix(400-417)|TMhelix(421-443)
tr|A0A2P6R5F4|A0A2P6R5F4_ROSCH	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(37-284)|TMhelix(300-319)|TMhelix(378-400)|TMhelix(410-432)|TMhelix(470-492)|TMhelix(496-518)
tr|A0A2R6PL69|A0A2R6PL69_ACTCH	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(31-278)|TMhelix(295-317)|TMhelix(365-387)|TMhelix(397-419)|TMhelix(460-482)|TMhelix(486-508)
tr|A0A2R6Q822|A0A2R6Q822_ACTCH	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(39-291)|TMhelix(299-321)|TMhelix(342-364)|TMhelix(369-391)|TMhelix(396-415)|TMhelix(419-441)
tr|A0A2R6WQB4|A0A2R6WQB4_MARPO	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(51-301)|TMhelix(310-329)|TMhelix(362-384)|TMhelix(394-411)|TMhelix(416-438)|TMhelix(442-464)
tr|A0A2R6XLC7|A0A2R6XLC7_MARPO	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(54-294)|TMhelix(320-337)|TMhelix(409-431)|TMhelix(436-458)|TMhelix(505-527)|TMhelix(531-553)
tr|A2ZA40|A2ZA40_ORYSI	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	Glyco_tranf_GTA_type(56-307)|TMhelix(315-337)|TMhelix(358-380)|TMhelix(390-410)|TMhelix(412-434)|TMhelix(438-460)
tr|A8X4F4|A8X4F4_CAEBR	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(23-265)|TMhelix(275-297)|TMhelix(309-330)|TMhelix(340-362)|TMhelix(375-394)|TMhelix(404-426)
tr|B7ZZ35|B7ZZ35_MAIZE	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(30-272)|TMhelix(289-311)|TMhelix(371-393)|TMhelix(403-425)|TMhelix(465-487)|TMhelix(497-519)
tr|B8ASV0|B8ASV0_ORYSI	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(42-293)|TMhelix(301-320)|TMhelix(340-362)|TMhelix(372-394)|TMhelix(396-418)|TMhelix(422-444)
tr|B9GYB3|B9GYB3_POPTR	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(53-305)|TMhelix(311-333)|TMhelix(354-376)|TMhelix(381-403)|TMhelix(410-429)|TMhelix(433-455)
tr|B9I5R1|B9I5R1_POPTR	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(35-282)|TMhelix(299-321)|TMhelix(375-397)|TMhelix(412-434)|TMhelix(469-491)|TMhelix(496-518)
tr|B9SSF3|B9SSF3_RICCO	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(49-302)|TMhelix(307-329)|TMhelix(350-372)|TMhelix(377-399)|TMhelix(406-425)|TMhelix(429-451)
tr|C0PFB7|C0PFB7_MAIZE	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	Glyco_tranf_GTA_type(52-303)|TMhelix(315-334)|TMhelix(355-377)|TMhelix(382-404)|TMhelix(411-430)|TMhelix(434-456)
tr|C5YCD0|C5YCD0_SORBI	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(30-272)|TMhelix(289-311)|TMhelix(371-393)|TMhelix(403-425)|TMhelix(463-485)|TMhelix(495-517)
tr|D0NXI4|D0NXI4_PHYIT	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	Glyco_tranf_GTA_type(38-324)|TMhelix(340-362)|TMhelix(383-400)|TMhelix(410-432)|TMhelix(453-475)|TMhelix(479-501)
tr|D2V7H5|D2V7H5_NAEGR	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	Glyco_tranf_GTA_type(79-334)|TMhelix(356-378)|TMhelix(434-456)|TMhelix(466-488)|TMhelix(527-549)|TMhelix(554-576)
tr|D2VSZ6|D2VSZ6_NAEGR	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	Glyco_tranf_GTA_type(121-399)|TMhelix(424-443)|TMhelix(486-508)|TMhelix(523-545)|TMhelix(581-603)|TMhelix(608-630)
tr|D7LIJ7|D7LIJ7_ARALL	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(61-312)|TMhelix(319-341)|TMhelix(362-381)|TMhelix(391-413)|TMhelix(418-436)|TMhelix(440-462)
tr|D7LXV7|D7LXV7_ARALL	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(32-276)|TMhelix(296-318)|TMhelix(373-395)|TMhelix(408-430)|TMhelix(463-485)|TMhelix(492-509)
tr|D7MCE0|D7MCE0_ARALL	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	Glyco_tranf_GTA_type(58-320)|TMhelix(272-294)|TMhelix(315-337)|TMhelix(342-364)|TMhelix(366-388)|TMhelix(392-414)
tr|D8QPZ7|D8QPZ7_SELML	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(18-270)|TMhelix(275-297)|TMhelix(328-350)|TMhelix(355-372)|TMhelix(379-401)|TMhelix(406-428)
tr|D8SKH9|D8SKH9_SELML	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(18-305)|TMhelix(310-332)|TMhelix(367-389)|TMhelix(394-416)|TMhelix(423-442)|TMhelix(446-468)
tr|D8U839|D8U839_VOLCA	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(34-288)|TMhelix(327-349)|TMhelix(449-471)|TMhelix(476-498)|TMhelix(525-544)|TMhelix(559-581)
tr|E0CUD5|E0CUD5_VITVI	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(30-277)|TMhelix(294-316)|TMhelix(374-396)|TMhelix(409-431)|TMhelix(470-492)|TMhelix(497-519)
tr|G5ECZ5|G5ECZ5_CAEEL	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(24-266)|TMhelix(276-298)|TMhelix(310-332)|TMhelix(342-364)|TMhelix(377-396)|TMhelix(406-428)
tr|G7I6U5|G7I6U5_MEDTR	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(26-273)|TMhelix(290-308)|TMhelix(372-394)|TMhelix(404-426)|TMhelix(465-487)|TMhelix(491-513)
tr|G7JIW7|G7JIW7_MEDTR	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(38-288)|TMhelix(293-315)|TMhelix(336-358)|TMhelix(368-390)|TMhelix(392-414)|TMhelix(418-440)
tr|G7JW31|G7JW31_MEDTR	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(40-292)|TMhelix(300-322)|TMhelix(343-365)|TMhelix(370-392)|TMhelix(397-416)|TMhelix(420-442)
tr|H3GFF1|H3GFF1_PHYRM	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	Glyco_tranf_GTA_type(38-325)|TMhelix(341-363)|TMhelix(384-403)|TMhelix(413-435)|TMhelix(448-470)|TMhelix(480-502)
tr|H3GMD5|H3GMD5_PHYRM	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	Glyco_tranf_GTA_type(40-218)|TMhelix(347-369)|TMhelix(411-433)|TMhelix(453-472)|TMhelix(493-515)|TMhelix(530-549)
tr|I1I624|I1I624_BRADI	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(51-302)|TMhelix(306-328)|TMhelix(349-371)|TMhelix(381-403)|TMhelix(410-429)|TMhelix(433-455)
tr|I1IBQ9|I1IBQ9_BRADI	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(32-272)|TMhelix(289-311)|TMhelix(373-395)|TMhelix(405-427)|TMhelix(465-487)|TMhelix(491-513)
tr|I1IZP5|I1IZP5_BRADI	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(35-275)|TMhelix(292-314)|TMhelix(377-399)|TMhelix(409-431)|TMhelix(470-492)|TMhelix(502-524)
tr|I1J0E7|I1J0E7_BRADI	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(34-285)|TMhelix(293-312)|TMhelix(332-354)|TMhelix(364-386)|TMhelix(388-410)|TMhelix(414-436)
tr|I1K0Q0|I1K0Q0_SOYBN	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(43-295)|TMhelix(297-319)|TMhelix(348-365)|TMhelix(372-394)|TMhelix(398-420)|TMhelix(427-449)
tr|I1LGP9|I1LGP9_SOYBN	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(37-289)|TMhelix(291-313)|TMhelix(342-360)|TMhelix(367-389)|TMhelix(394-413)|TMhelix(420-442)
tr|I1NIS4|I1NIS4_SOYBN	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(28-275)|TMhelix(292-314)|TMhelix(374-396)|TMhelix(406-428)|TMhelix(467-489)|TMhelix(493-515)
tr|I1P2C9|I1P2C9_ORYGL	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(38-280)|TMhelix(297-319)|TMhelix(381-403)|TMhelix(413-435)|TMhelix(473-495)|TMhelix(505-527)
tr|I1PNP5|I1PNP5_ORYGL	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(42-292)|TMhelix(301-320)|TMhelix(340-362)|TMhelix(372-394)|TMhelix(396-418)|TMhelix(422-444)
tr|I1QVU3|I1QVU3_ORYGL	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	Glyco_tranf_GTA_type(56-307)|TMhelix(315-337)|TMhelix(358-380)|TMhelix(390-410)|TMhelix(412-434)|TMhelix(438-460)
tr|J3LZL3|J3LZL3_ORYBR	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	GT8_Glycogenin(29-271)|TMhelix(288-310)|TMhelix(372-394)|TMhelix(404-426)|TMhelix(466-488)|TMhelix(498-520)
tr|J3N4S7|J3N4S7_ORYBR	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	Glyco_tranf_GTA_type(11-247)|TMhelix(255-277)|TMhelix(298-320)|TMhelix(330-350)|TMhelix(352-374)|TMhelix(378-400)
