tr|A0A1Z5TUS2|A0A1Z5TUS2_HORWE	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|MFS|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A	TMhelix(49-71)|TMhelix(83-105)|TMhelix(109-128)|TMhelix(135-157)|TMhelix(172-194)|MFS(10-452)|TMhelix(292-314)|TMhelix(324-343)|TMhelix(356-378)|TMhelix(393-415)|TMhelix(422-441)|Glyco_tranf_GTA_type(574-870)
tr|A0A1B8APK1|A0A1B8APK1_FUSPO	GT-A	Glyco_tranf_GTA_type(16-235)
tr|A0A1E1K4X3|A0A1E1K4X3_9HELO	GT-A	Glyco_tranf_GTA_type(33-252)
tr|A0A1E1LT43|A0A1E1LT43_9HELO	GT-A	Glyco_tranf_GTA_type(111-381)
tr|A0A1E3NW44|A0A1E3NW44_WICAO	GT-A	Glyco_tranf_GTA_type(47-472)
tr|A0A1E3PAU7|A0A1E3PAU7_WICAO	GT-A	Glyco_tranf_GTA_type(8-245)
tr|A0A1E4RU23|A0A1E4RU23_CYBJA	GT-A	Glyco_tranf_GTA_type(146-542)
tr|A0A1E4SM05|A0A1E4SM05_9ASCO	GT-A	Glyco_tranf_GTA_type(73-456)
tr|A0A1E4TF37|A0A1E4TF37_9ASCO	GT-A	Glyco_tranf_GTA_type(57-322)
tr|A0A1E4TQY8|A0A1E4TQY8_PACTA	GT-A	Glyco_tranf_GTA_type(61-346)
tr|A0A1F5L7B8|A0A1F5L7B8_9EURO	GT-A	Glyco_tranf_GTA_type(77-364)
tr|A0A1F7ZTH7|A0A1F7ZTH7_9EURO	GT-A	Glyco_tranf_GTA_type(61-327)
tr|A0A1G4AV73|A0A1G4AV73_9PEZI	GT-A	Glyco_tranf_GTA_type(1-255)
tr|A0A1G4B5G5|A0A1G4B5G5_9PEZI	GT-A	Glyco_tranf_GTA_type(87-359)
tr|A0A1G4JNK2|A0A1G4JNK2_9SACH	GT-A	Glyco_tranf_GTA_type(91-475)
tr|A0A1G4JUJ8|A0A1G4JUJ8_9SACH	GT-A	Glyco_tranf_GTA_type(92-474)
tr|A0A1G4MIF3|A0A1G4MIF3_LACFM	GT-A	Glyco_tranf_GTA_type(92-474)
tr|A0A1J9SFH5|A0A1J9SFH5_9PEZI	GT-A	Glyco_tranf_GTA_type(84-373)
tr|A0A1L9N287|A0A1L9N287_ASPTU	GT-A	Glyco_tranf_GTA_type(53-325)
tr|A0A1L9P2P5|A0A1L9P2P5_ASPVE	GT-A	Glyco_tranf_GTA_type(61-339)
tr|A0A1L9PG82|A0A1L9PG82_ASPVE	GT-A	Glyco_tranf_GTA_type(17-284)
tr|A0A1L9R540|A0A1L9R540_ASPWE	GT-A	Glyco_tranf_GTA_type(79-365)
tr|A0A1L9S940|A0A1L9S940_9EURO	GT-A	Glyco_tranf_GTA_type(1-270)
tr|A0A1L9TP56|A0A1L9TP56_9EURO	GT-A	Glyco_tranf_GTA_type(59-326)
tr|A0A1L9V3A9|A0A1L9V3A9_9EURO	GT-A	Glyco_tranf_GTA_type(55-327)
tr|A0A1L9X6B9|A0A1L9X6B9_ASPAC	GT-A	Glyco_tranf_GTA_type(53-323)
tr|A0A1Q5STZ0|A0A1Q5STZ0_9EURO	GT-A	Glyco_tranf_GTA_type(79-369)
tr|A0A1Q8RSQ4|A0A1Q8RSQ4_9PEZI	GT-A	Glyco_tranf_GTA_type(69-330)
tr|A0A1Q8S240|A0A1Q8S240_9PEZI	GT-A	Glyco_tranf_GTA_type(2-266)
tr|A0A1Q8S930|A0A1Q8S930_9PEZI	GT-A	Glyco_tranf_GTA_type(1-254)
tr|A0A1R3R6L7|A0A1R3R6L7_ASPC5	GT-A	Glyco_tranf_GTA_type(44-316)
tr|A0A1R3RPQ1|A0A1R3RPQ1_ASPC5	GT-A	Glyco_tranf_GTA_type(53-323)
tr|A0A1V1SQX1|A0A1V1SQX1_9FUNG	GT-A	Glyco_tranf_GTA_type(109-380)
tr|A0A1V6NEZ7|A0A1V6NEZ7_9EURO	GT-A	Glyco_tranf_GTA_type(79-365)
tr|A0A1V6NFP4|A0A1V6NFP4_9EURO	GT-A	Glyco_tranf_GTA_type(67-343)
tr|A0A1V6PT65|A0A1V6PT65_9EURO	GT-A	Glyco_tranf_GTA_type(77-364)
tr|A0A1V6R1J1|A0A1V6R1J1_9EURO	GT-A	Glyco_tranf_GTA_type(64-339)
tr|A0A1V6R4R3|A0A1V6R4R3_9EURO	GT-A	Glyco_tranf_GTA_type(79-365)
tr|A0A1V6RGN0|A0A1V6RGN0_9EURO	GT-A	Glyco_tranf_GTA_type(23-294)
tr|A0A1V6SIA5|A0A1V6SIA5_9EURO	GT-A	Glyco_tranf_GTA_type(79-365)
tr|A0A1V6URU4|A0A1V6URU4_9EURO	GT-A	Glyco_tranf_GTA_type(77-363)
tr|A0A1V6V788|A0A1V6V788_9EURO	GT-A	Glyco_tranf_GTA_type(1-194)
tr|A0A1V6Y9K7|A0A1V6Y9K7_PENNA	GT-A	Glyco_tranf_GTA_type(79-365)
tr|A0A1W5CSP2|A0A1W5CSP2_9LECA	GT-A	Glyco_tranf_GTA_type(1-260)
tr|A0A1X7R9C3|A0A1X7R9C3_9SACH	GT-A	Glyco_tranf_GTA_type(92-482)
tr|A0A1X7S2S3|A0A1X7S2S3_ZYMTR	GT-A	Glyco_tranf_GTA_type(66-342)
tr|A0A1Y2DDR1|A0A1Y2DDR1_9PEZI	GT-A	Glyco_tranf_GTA_type(120-392)
tr|A0A2B7ZKQ5|A0A2B7ZKQ5_9EURO	GT-A	Glyco_tranf_GTA_type(74-343)
tr|A0A2C5X0L1|A0A2C5X0L1_9PEZI	GT-A	Glyco_tranf_GTA_type(107-391)
tr|A0A2C5ZIG2|A0A2C5ZIG2_9HYPO	GT-A	Glyco_tranf_GTA_type(75-349)
tr|A0A2D3ULD1|A0A2D3ULD1_9PEZI	GT-A	Glyco_tranf_GTA_type(1-278)
tr|A0A2G5HMQ4|A0A2G5HMQ4_CERBT	GT-A	Glyco_tranf_GTA_type(1-284)
tr|A0A2G8RMK3|A0A2G8RMK3_9APHY	GT-A	Glyco_tranf_GTA_type(64-291)
tr|A0A2G8RNT0|A0A2G8RNT0_9APHY	GT-A	Glyco_tranf_GTA_type(135-407)
tr|A0A2H3EN82|A0A2H3EN82_9HELO	GT-A	Glyco_tranf_GTA_type(107-378)
tr|A0A2H3FJ52|A0A2H3FJ52_9HELO	GT-A	Glyco_tranf_GTA_type(1-254)
tr|A0A2H3H4D6|A0A2H3H4D6_FUSOX	GT-A	Glyco_tranf_GTA_type(46-315)
tr|A0A2H3TJC4|A0A2H3TJC4_FUSOX	GT-A	Glyco_tranf_GTA_type(50-319)
tr|A0A2I0S557|A0A2I0S557_9PEZI	GT-A	Glyco_tranf_GTA_type(9-319)
tr|A0A2I2FE34|A0A2I2FE34_9EURO	GT-A	Glyco_tranf_GTA_type(64-334)
tr|A0A2I2FNK2|A0A2I2FNK2_9EURO	GT-A	Glyco_tranf_GTA_type(82-366)
tr|A0A2I2GPC9|A0A2I2GPC9_9EURO	GT-A	Glyco_tranf_GTA_type(34-306)
tr|A0A2J5I7L0|A0A2J5I7L0_9EURO	GT-A	Glyco_tranf_GTA_type(82-366)
tr|A0A2J6R6L8|A0A2J6R6L8_9HELO	GT-A	Glyco_tranf_GTA_type(20-303)
tr|A0A2K0WG73|A0A2K0WG73_GIBNY	GT-A	Glyco_tranf_GTA_type(50-319)
tr|A0A2P4H675|A0A2P4H675_QUESU	GT-A	Glyco_tranf_GTA_type(43-312)
tr|A0A2P4H6V4|A0A2P4H6V4_QUESU	GT-A	Glyco_tranf_GTA_type(79-377)
tr|A0A2P4HDV3|A0A2P4HDV3_QUESU	GT-A	Glyco_tranf_GTA_type(119-386)
tr|A0A2P4IUG7|A0A2P4IUG7_QUESU	GT-A	Glyco_tranf_GTA_type(60-328)
tr|A0A2P4J4T3|A0A2P4J4T3_QUESU	GT-A	Glyco_tranf_GTA_type(79-377)
tr|A0A2P5I4S1|A0A2P5I4S1_9PEZI	GT-A	Glyco_tranf_GTA_type(8-233)
tr|A1DAX7|A1DAX7_NEOFI	GT-A	Glyco_tranf_GTA_type(1-270)
tr|A2QGF6|A2QGF6_ASPNC	GT-A	Glyco_tranf_GTA_type(83-369)
tr|A5ABS4|A5ABS4_ASPNC	GT-A	Glyco_tranf_GTA_type(55-327)
tr|A7E877|A7E877_SCLS1	GT-A	GT8_GNT1(107-393)
tr|A7TP88|A7TP88_VANPO	GT-A	Glyco_tranf_GTA_type(91-478)
tr|B2ADE9|B2ADE9_PODAN	GT-A	Glyco_tranf_GTA_type(80-360)
tr|B2B5V4|B2B5V4_PODAN	GT-A	Glyco_tranf_GTA_type(1-281)
tr|B6H700|B6H700_PENRW	GT-A	Glyco_tranf_GTA_type(79-365)
tr|C0NHD8|C0NHD8_AJECG	GT-A	Glyco_tranf_GTA_type(1-218)
tr|C5DIP0|C5DIP0_LACTC	GT-A	Glyco_tranf_GTA_type(92-477)
tr|C5DYG1|C5DYG1_ZYGRC	GT-A	Glyco_tranf_GTA_type(92-480)
tr|C5M714|C5M714_CANTT	GT-A	Glyco_tranf_GTA_type(72-453)
tr|C7Z0I6|C7Z0I6_NECH7	GT-A	Glyco_tranf_GTA_type(8-232)
tr|C8VLT2|C8VLT2_EMENI	GT-A	Glyco_tranf_GTA_type(1-267)
tr|D6RL52|D6RL52_COPC7	GT-A	Glyco_tranf_GTA_type(84-391)
tr|E3QUY3|E3QUY3_COLGM	GT-A	Glyco_tranf_GTA_type(92-363)
tr|E3QZC4|E3QZC4_COLGM	GT-A	Glyco_tranf_GTA_type(73-348)
tr|E9FCQ3|E9FCQ3_METRA	GT-A	Glyco_tranf_GTA_type(3-185)
tr|F0UV10|F0UV10_AJEC8	GT-A	Glyco_tranf_GTA_type(1-218)
tr|F9XJ92|F9XJ92_ZYMTI	GT-A	Glyco_tranf_GTA_type(4-280)
tr|G0RPS3|G0RPS3_HYPJQ	GT-A	Glyco_tranf_GTA_type(5-295)
tr|G0VB56|G0VB56_NAUCC	GT-A	Glyco_tranf_GTA_type(69-466)
tr|G2QCR3|G2QCR3_MYCTT	GT-A	Glyco_tranf_GTA_type(117-392)
tr|G2QGB2|G2QGB2_MYCTT	GT-A	Glyco_tranf_GTA_type(57-338)
tr|G2QVZ8|G2QVZ8_THITE	GT-A	Glyco_tranf_GTA_type(128-402)
tr|G2Y6T3|G2Y6T3_BOTF4	GT-A	Glyco_tranf_GTA_type(107-393)
tr|G2YAM2|G2YAM2_BOTF4	GT-A	Glyco_tranf_GTA_type(18-297)
tr|G3Y723|G3Y723_ASPNA	GT-A	Glyco_tranf_GTA_type(83-369)
tr|G3YBS7|G3YBS7_ASPNA	GT-A	Glyco_tranf_GTA_type(55-330)
tr|G7XFP2|G7XFP2_ASPKW	GT-A	Glyco_tranf_GTA_type(1-217)
tr|G7XZP8|G7XZP8_ASPKW	GT-A	Glyco_tranf_GTA_type(1-256)
tr|G8ZNN5|G8ZNN5_TORDC	GT-A	Glyco_tranf_GTA_type(97-485)
tr|G9MUP3|G9MUP3_HYPVG	GT-A	Glyco_tranf_GTA_type(8-285)
tr|H1VBD7|H1VBD7_COLHI	GT-A	Glyco_tranf_GTA_type(102-373)
tr|J7RQQ4|J7RQQ4_KAZNA	GT-A	Glyco_tranf_GTA_type(93-481)
tr|J8PW92|J8PW92_SACAR	GT-A	Glyco_tranf_GTA_type(92-482)
tr|K0KEK1|K0KEK1_WICCF	GT-A	Glyco_tranf_GTA_type(121-540)
tr|K1WIS8|K1WIS8_MARBU	GT-A	Glyco_tranf_GTA_type(108-381)
tr|K9FSW4|K9FSW4_PEND2	GT-A	Glyco_tranf_GTA_type(79-365)
tr|L2FHM2|L2FHM2_COLGN	GT-A	Glyco_tranf_GTA_type(61-336)
tr|M2YU63|M2YU63_PSEFD	GT-A	Glyco_tranf_GTA_type(81-376)
tr|M2ZH44|M2ZH44_PSEFD	GT-A	Glyco_tranf_GTA_type(1-281)
tr|M7STQ9|M7STQ9_EUTLA	GT-A	Glyco_tranf_GTA_type(116-387)
tr|M7TM57|M7TM57_BOTF1	GT-A	Glyco_tranf_GTA_type(18-297)
tr|M7UDU4|M7UDU4_BOTF1	GT-A	Glyco_tranf_GTA_type(107-393)
tr|N1QF13|N1QF13_SPHMS	GT-A	Glyco_tranf_GTA_type(4-276)
tr|N1S9C8|N1S9C8_FUSC4	GT-A	Glyco_tranf_GTA_type(47-316)
tr|N4TU79|N4TU79_FUSC1	GT-A	Glyco_tranf_GTA_type(46-307)
tr|N4UUP0|N4UUP0_COLOR	GT-A	Glyco_tranf_GTA_type(91-365)
tr|N4VVM2|N4VVM2_COLOR	GT-A	Glyco_tranf_GTA_type(55-332)
tr|Q2GUA2|Q2GUA2_CHAGB	GT-A	Glyco_tranf_GTA_type(158-409)
tr|R1EPN2|R1EPN2_BOTPV	GT-A	Glyco_tranf_GTA_type(75-357)
tr|R7YRH5|R7YRH5_CONA1	GT-A	Glyco_tranf_GTA_type(47-354)
tr|S0DT05|S0DT05_GIBF5	GT-A	Glyco_tranf_GTA_type(56-326)
tr|S0ECX2|S0ECX2_GIBF5	GT-A	Glyco_tranf_GTA_type(46-315)
tr|S8ACQ0|S8ACQ0_DACHA	GT-A	Glyco_tranf_GTA_type(105-427)
tr|S8ATK2|S8ATK2_PENO1	GT-A	Glyco_tranf_GTA_type(79-369)
tr|S8BGQ0|S8BGQ0_PENO1	GT-A	Glyco_tranf_GTA_type(52-324)
tr|T0L015|T0L015_COLGC	GT-A	Glyco_tranf_GTA_type(61-336)
tr|W0TAP8|W0TAP8_KLUMD	GT-A	Glyco_tranf_GTA_type(97-452)
tr|W0TCN6|W0TCN6_KLUMD	GT-A	Glyco_tranf_GTA_type(86-442)
tr|W4GJW0|W4GJW0_9STRA	GT-A	Glyco_tranf_GTA_type(1-259)
tr|W6MWF3|W6MWF3_9ASCO	GT-A	Glyco_tranf_GTA_type(76-444)
tr|W7MZB5|W7MZB5_GIBM7	GT-A	Glyco_tranf_GTA_type(46-315)
tr|W9CGX7|W9CGX7_9HELO	GT-A	Glyco_tranf_GTA_type(18-297)
tr|A0A139H735|A0A139H735_9PEZI	CDC27|GT-A	CDC27(20-465)|Glyco_tranf_GTA_type(607-890)
tr|A0A1Q9E2F2|A0A1Q9E2F2_SYMMI	CAP_ED|EEP|GT-A	CAP_ED(448-595)|EEP(1203-1259)|Glyco_tranf_GTA_type(2281-2525)
