tr|A0A1X7NV23|A0A1X7NV23_AZOLI	TPR_11|GT-A	TPR_11(25-57)|Glyco_transf_17(312-418)
tr|A0A1Y2GSL9|A0A1Y2GSL9_9FUNG	TMhelix|GT-A	TMhelix(30-52)|Glyco_transf_17(86-388)
tr|A0A1Y3N5R5|A0A1Y3N5R5_PIRSE	TMhelix|GT-A	TMhelix(44-62)|Glyco_transf_17(241-378)
tr|A0A1Y3NN06|A0A1Y3NN06_PIRSE	TMhelix|GT-A	TMhelix(7-24)|Glyco_transf_17(297-425)
tr|A0A200RD21|A0A200RD21_9MAGN	TMhelix|GT-A	TMhelix(45-64)|Glyco_transf_17(39-386)
tr|A0A200RDQ1|A0A200RDQ1_9MAGN	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_17(9-356)
tr|A0A218WG13|A0A218WG13_PUNGR	TMhelix|GT-A	TMhelix(17-36)|Glyco_transf_17(27-360)
tr|A0A218WHM3|A0A218WHM3_PUNGR	TMhelix|GT-A	TMhelix(34-56)|Glyco_transf_17(33-380)
tr|A0A218WSH5|A0A218WSH5_PUNGR	TMhelix|GT-A	TMhelix(40-62)|Glyco_transf_17(39-386)
tr|A0A218WTC5|A0A218WTC5_PUNGR	TMhelix|GT-A	TMhelix(44-66)|Glyco_transf_17(57-390)
tr|A0A226DJY2|A0A226DJY2_FOLCA	TMhelix|GT-A	TMhelix(7-24)|Glyco_transf_17(123-244)
tr|A0A226E9E0|A0A226E9E0_FOLCA	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_17(118-263)
tr|A0A232FER5|A0A232FER5_9HYME	TMhelix|GT-A	TMhelix(112-134)|Glyco_transf_17(270-390)
tr|A0A238F5F6|A0A238F5F6_9BASI	TMhelix|GT-A	TMhelix(7-26)|Glyco_transf_17(8-381)
tr|A0A251RNQ4|A0A251RNQ4_HELAN	TMhelix|GT-A	TMhelix(54-76)|Glyco_transf_17(53-400)
tr|A0A251RP11|A0A251RP11_HELAN	TMhelix|GT-A	TMhelix(36-58)|Glyco_transf_17(37-382)
tr|A0A251RV74|A0A251RV74_HELAN	TMhelix|GT-A	TMhelix(59-78)|Glyco_transf_17(53-400)
tr|A0A251S8X5|A0A251S8X5_HELAN	TMhelix|GT-A	TMhelix(35-57)|Glyco_transf_17(36-381)
tr|A0A251T307|A0A251T307_HELAN	TMhelix|GT-A	TMhelix(55-77)|Glyco_transf_17(54-401)
tr|A0A251TPE9|A0A251TPE9_HELAN	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_17(17-358)
tr|A0A251TW37|A0A251TW37_HELAN	TMhelix|GT-A	TMhelix(35-57)|Glyco_transf_17(34-381)
tr|A0A251U214|A0A251U214_HELAN	TMhelix|GT-A	TMhelix(55-77)|Glyco_transf_17(54-401)
tr|A0A251UD08|A0A251UD08_HELAN	TMhelix|GT-A	TMhelix(32-54)|Glyco_transf_17(31-378)
tr|A0A251UIT5|A0A251UIT5_HELAN	TMhelix|GT-A	TMhelix(49-71)|Glyco_transf_17(48-395)
tr|A0A286USZ4|A0A286USZ4_9HOMO	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_17(61-428)
tr|A0A287INP2|A0A287INP2_HORVV	TMhelix|GT-A	TMhelix(82-100)|Glyco_transf_17(78-425)
tr|A0A2B7ZPS2|A0A2B7ZPS2_9EURO	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_17(67-352)
tr|A0A2G2VNE5|A0A2G2VNE5_CAPBA	TMhelix|GT-A	TMhelix(54-73)|Glyco_transf_17(48-395)
tr|A0A2G2WBF5|A0A2G2WBF5_CAPBA	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_17(32-361)
tr|A0A2G2WSA3|A0A2G2WSA3_CAPBA	TMhelix|GT-A	TMhelix(49-71)|Glyco_transf_17(48-395)
tr|A0A2G2XHX6|A0A2G2XHX6_CAPBA	TMhelix|GT-A	TMhelix(45-64)|Glyco_transf_17(39-386)
tr|A0A2G3B941|A0A2G3B941_CAPCH	TMhelix|GT-A	TMhelix(54-73)|Glyco_transf_17(48-395)
tr|A0A2G3BY32|A0A2G3BY32_CAPCH	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_17(32-361)
tr|A0A2G3CGA6|A0A2G3CGA6_CAPCH	TMhelix|GT-A	TMhelix(49-71)|Glyco_transf_17(48-395)
tr|A0A2G3D9W3|A0A2G3D9W3_CAPCH	TMhelix|GT-A	TMhelix(45-64)|Glyco_transf_17(39-386)
tr|A0A2G5I184|A0A2G5I184_CERBT	TMhelix|GT-A	TMhelix(13-30)|Glyco_transf_17(80-337)
tr|A0A2G9GBH6|A0A2G9GBH6_9LAMI	TMhelix|GT-A	TMhelix(40-62)|Glyco_transf_17(39-386)
tr|A0A2G9GG41|A0A2G9GG41_9LAMI	TMhelix|GT-A	TMhelix(55-74)|Glyco_transf_17(49-396)
tr|A0A2G9GYA4|A0A2G9GYA4_9LAMI	TMhelix|GT-A	TMhelix(33-52)|Glyco_transf_17(48-377)
tr|A0A2G9HZJ8|A0A2G9HZJ8_9LAMI	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_17(9-356)
tr|A0A2H3CG81|A0A2H3CG81_9AGAR	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_17(2-359)
tr|A0A2H3GL65|A0A2H3GL65_FUSOX	TMhelix|GT-A	TMhelix(5-23)|Glyco_transf_17(64-326)
tr|A0A2H3JE14|A0A2H3JE14_WOLCO	TMhelix|GT-A	TMhelix(34-55)|Glyco_transf_17(29-393)
tr|A0A2H3THA7|A0A2H3THA7_FUSOX	TMhelix|GT-A	TMhelix(5-23)|Glyco_transf_17(61-326)
tr|A0A2H3WYH2|A0A2H3WYH2_PHODC	TMhelix|GT-A	TMhelix(45-64)|Glyco_transf_17(39-386)
tr|A0A2H3Z2D5|A0A2H3Z2D5_PHODC	TMhelix|GT-A	TMhelix(46-63)|Glyco_transf_17(40-387)
tr|A0A2H3ZEB9|A0A2H3ZEB9_PHODC	TMhelix|GT-A	TMhelix(45-64)|Glyco_transf_17(39-386)
tr|A0A2H5N9F4|A0A2H5N9F4_CITUN	TMhelix|GT-A	TMhelix(49-68)|Glyco_transf_17(43-390)
tr|A0A2H5NZF1|A0A2H5NZF1_CITUN	TMhelix|GT-A	TMhelix(28-47)|Glyco_transf_17(26-372)
tr|A0A2H5Q9M2|A0A2H5Q9M2_CITUN	TMhelix|GT-A	TMhelix(39-61)|Glyco_transf_17(38-385)
tr|A0A2I0AQG9|A0A2I0AQG9_9ASPA	TMhelix|GT-A	TMhelix(44-63)|Glyco_transf_17(38-385)
tr|A0A2I0B2H2|A0A2I0B2H2_9ASPA	TMhelix|GT-A	TMhelix(21-38)|Glyco_transf_17(18-362)
tr|A0A2I0B2R3|A0A2I0B2R3_9ASPA	TMhelix|GT-A	TMhelix(45-64)|Glyco_transf_17(39-386)
tr|A0A2I4BT80|A0A2I4BT80_9TELE	TMhelix|GT-A	TMhelix(34-51)|Glyco_transf_17(282-591)
tr|A0A2I4DQM6|A0A2I4DQM6_9ROSI	TMhelix|GT-A	TMhelix(39-61)|Glyco_transf_17(38-385)
tr|A0A2I4E4F5|A0A2I4E4F5_9ROSI	TMhelix|GT-A	TMhelix(130-149)|Glyco_transf_17(125-474)
tr|A0A2I4EHX7|A0A2I4EHX7_9ROSI	TMhelix|GT-A	TMhelix(45-67)|Glyco_transf_17(44-391)
tr|A0A2I4EPL8|A0A2I4EPL8_9ROSI	TMhelix|GT-A	TMhelix(44-66)|Glyco_transf_17(43-390)
tr|A0A2I4F4Y7|A0A2I4F4Y7_9ROSI	TMhelix|GT-A	TMhelix(17-36)|Glyco_transf_17(12-360)
tr|A0A2I4G8G2|A0A2I4G8G2_9ROSI	TMhelix|GT-A	TMhelix(34-56)|Glyco_transf_17(37-380)
tr|A0A2I4HCT1|A0A2I4HCT1_9ROSI	TMhelix|GT-A	TMhelix(17-36)|Glyco_transf_17(12-361)
tr|A0A2J6KCD5|A0A2J6KCD5_LACSA	TMhelix|GT-A	TMhelix(35-57)|Glyco_transf_17(34-381)
tr|A0A2J6KF38|A0A2J6KF38_LACSA	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_17(31-359)
tr|A0A2J6KFQ3|A0A2J6KFQ3_LACSA	TMhelix|GT-A	TMhelix(40-62)|Glyco_transf_17(39-386)
tr|A0A2J6KMU4|A0A2J6KMU4_LACSA	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_17(29-361)
tr|A0A2J6L3T4|A0A2J6L3T4_LACSA	TMhelix|GT-A	TMhelix(55-77)|Glyco_transf_17(54-401)
tr|A0A2J6MAG9|A0A2J6MAG9_LACSA	TMhelix|GT-A	TMhelix(54-76)|Glyco_transf_17(53-400)
tr|A0A2J6MCC2|A0A2J6MCC2_LACSA	TMhelix|GT-A	TMhelix(36-58)|Glyco_transf_17(37-382)
tr|A0A2K0UUX2|A0A2K0UUX2_GIBNY	TMhelix|GT-A	TMhelix(5-23)|Glyco_transf_17(61-326)
tr|A0A2K1IVM4|A0A2K1IVM4_PHYPA	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_17(22-369)
tr|A0A2K3L924|A0A2K3L924_TRIPR	TMhelix|GT-A	TMhelix(40-59)|Glyco_transf_17(34-381)
tr|A0A2K3N319|A0A2K3N319_TRIPR	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_17(11-359)
tr|A0A2K3NDS5|A0A2K3NDS5_TRIPR	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_17(19-366)
tr|A0A2K5KVG2|A0A2K5KVG2_CERAT	TMhelix|GT-A	TMhelix(32-50)|Glyco_transf_17(225-522)
tr|A0A2K6B1G6|A0A2K6B1G6_MACNE	TMhelix|GT-A	TMhelix(32-50)|Glyco_transf_17(225-522)
tr|A0A2N6NV70|A0A2N6NV70_BEABA	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_17(54-317)
tr|A0A2P4H243|A0A2P4H243_QUESU	TMhelix|GT-A	TMhelix(17-36)|Glyco_transf_17(27-361)
tr|A0A2P4H2Z3|A0A2P4H2Z3_QUESU	TMhelix|GT-A	TMhelix(44-66)|Glyco_transf_17(43-390)
tr|A0A2P4LLJ3|A0A2P4LLJ3_QUESU	TMhelix|GT-A	TMhelix(42-64)|Glyco_transf_17(38-385)
tr|A0A2P4T9E7|A0A2P4T9E7_BAMTH	TMhelix|GT-A	TMhelix(72-90)|Glyco_transf_17(258-555)
tr|A0A2P5A641|A0A2P5A641_PARAD	TMhelix|GT-A	TMhelix(17-35)|Glyco_transf_17(14-360)
tr|A0A2P5AJG3|A0A2P5AJG3_PARAD	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_17(19-365)
tr|A0A2P5BFP5|A0A2P5BFP5_9ROSA	TMhelix|GT-A	TMhelix(38-60)|Glyco_transf_17(37-383)
tr|A0A2P5CT89|A0A2P5CT89_PARAD	TMhelix|GT-A	TMhelix(44-66)|Glyco_transf_17(43-390)
tr|A0A2P5D7S9|A0A2P5D7S9_9ROSA	TMhelix|GT-A	TMhelix(19-36)|Glyco_transf_17(14-361)
tr|A0A2P5FMQ9|A0A2P5FMQ9_9ROSA	TMhelix|GT-A	TMhelix(44-66)|Glyco_transf_17(43-390)
tr|A0A2P5FPT7|A0A2P5FPT7_9ROSA	TMhelix|GT-A	TMhelix(17-35)|Glyco_transf_17(14-360)
tr|A0A2P5R8X9|A0A2P5R8X9_GOSBA	TMhelix|GT-A	TMhelix(42-64)|Glyco_transf_17(41-388)
tr|A0A2P5RB83|A0A2P5RB83_GOSBA	TMhelix|GT-A	TMhelix(48-67)|Glyco_transf_17(42-389)
tr|A0A2P5RHX0|A0A2P5RHX0_GOSBA	TMhelix|GT-A	TMhelix(39-61)|Glyco_transf_17(38-385)
tr|A0A2P5RZ50|A0A2P5RZ50_GOSBA	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_17(9-356)
tr|A0A2P5STI4|A0A2P5STI4_GOSBA	TMhelix|GT-A	TMhelix(48-67)|Glyco_transf_17(42-389)
tr|A0A2P6R143|A0A2P6R143_ROSCH	TMhelix|GT-A	TMhelix(44-66)|Glyco_transf_17(43-390)
tr|A0A2P6RIQ5|A0A2P6RIQ5_ROSCH	TMhelix|GT-A	TMhelix(32-50)|Glyco_transf_17(27-375)
tr|A0A2P6RIU2|A0A2P6RIU2_ROSCH	TMhelix|GT-A	TMhelix(17-35)|Glyco_transf_17(12-360)
tr|A0A2P6S5U4|A0A2P6S5U4_ROSCH	TMhelix|GT-A	TMhelix(43-62)|Glyco_transf_17(37-384)
tr|A0A2P6SJP0|A0A2P6SJP0_ROSCH	TMhelix|GT-A	TMhelix(43-65)|Glyco_transf_17(40-387)
tr|A0A2R6P3F8|A0A2R6P3F8_ACTCH	TMhelix|GT-A	TMhelix(58-77)|Glyco_transf_17(52-398)
tr|A0A2R6P983|A0A2R6P983_ACTCH	TMhelix|GT-A	TMhelix(44-63)|Glyco_transf_17(38-385)
tr|A0A2R6QR66|A0A2R6QR66_ACTCH	TMhelix|GT-A	TMhelix(58-77)|Glyco_transf_17(52-399)
tr|A0A2R6R4J8|A0A2R6R4J8_ACTCH	TMhelix|GT-A	TMhelix(17-34)|Glyco_transf_17(12-361)
tr|A0A2R6REA8|A0A2R6REA8_ACTCH	TMhelix|GT-A	TMhelix(58-77)|Glyco_transf_17(52-399)
tr|A0A2R6RET4|A0A2R6RET4_ACTCH	TMhelix|GT-A	TMhelix(58-77)|Glyco_transf_17(52-399)
tr|A0A2R6RJZ3|A0A2R6RJZ3_ACTCH	TMhelix|GT-A	TMhelix(44-63)|Glyco_transf_17(38-385)
tr|A0A2R6RYZ7|A0A2R6RYZ7_ACTCH	TMhelix|GT-A	TMhelix(40-59)|Glyco_transf_17(34-381)
tr|A0A2R6S1G6|A0A2R6S1G6_ACTCH	TMhelix|GT-A	TMhelix(17-34)|Glyco_transf_17(12-360)
tr|A0A2R6VZR4|A0A2R6VZR4_MARPO	TMhelix|GT-A	TMhelix(23-45)|Glyco_transf_17(36-368)
tr|A0NF49|A0NF49_ANOGA	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_17(248-393)
tr|A2DHI5|A2DHI5_TRIVA	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_17(40-246)
tr|A2FA42|A2FA42_TRIVA	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_17(44-244)
tr|A2X6Q3|A2X6Q3_ORYSI	TMhelix|GT-A	TMhelix(43-65)|Glyco_transf_17(42-389)
tr|A2XUN1|A2XUN1_ORYSI	TMhelix|GT-A	TMhelix(40-62)|Glyco_transf_17(39-386)
tr|A4SA92|A4SA92_OSTLU	TMhelix|GT-A	TMhelix(7-26)|Glyco_transf_17(132-258)
tr|A7EBD9|A7EBD9_SCLS1	TMhelix|GT-A	TMhelix(20-37)|Glyco_transf_17(59-311)
tr|A7STQ0|A7STQ0_NEMVE	TMhelix|GT-A	TMhelix(9-31)|Glyco_transf_17(151-448)
tr|A9PCR7|A9PCR7_POPTR	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_17(12-360)
tr|A9RN11|A9RN11_PHYPA	TMhelix|GT-A	TMhelix(21-40)|Glyco_transf_17(18-365)
tr|B0D898|B0D898_LACBS	TMhelix|GT-A	TMhelix(12-29)|Glyco_transf_17(7-362)
tr|B4FID7|B4FID7_MAIZE	TMhelix|GT-A	TMhelix(43-65)|Glyco_transf_17(39-386)
tr|B6SIB2|B6SIB2_MAIZE	TMhelix|GT-A	TMhelix(40-62)|Glyco_transf_17(39-386)
tr|B8AEQ8|B8AEQ8_ORYSI	TMhelix|GT-A	TMhelix(41-63)|Glyco_transf_17(59-387)
tr|B8BMZ2|B8BMZ2_ORYSI	TMhelix|GT-A	TMhelix(20-39)|Glyco_transf_17(14-363)
tr|B9HLQ3|B9HLQ3_POPTR	TMhelix|GT-A	TMhelix(49-68)|Glyco_transf_17(43-390)
tr|B9HTS7|B9HTS7_POPTR	TMhelix|GT-A	TMhelix(49-66)|Glyco_transf_17(43-390)
tr|B9S665|B9S665_RICCO	TMhelix|GT-A	TMhelix(44-63)|Glyco_transf_17(38-385)
tr|B9SMF8|B9SMF8_RICCO	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_17(27-361)
tr|C0NYK4|C0NYK4_AJECG	TMhelix|GT-A	TMhelix(12-31)|Glyco_transf_17(56-369)
tr|C0PGJ6|C0PGJ6_MAIZE	TMhelix|GT-A	TMhelix(40-62)|Glyco_transf_17(39-386)
tr|C1NAC4|C1NAC4_MICPC	TMhelix|GT-A	TMhelix(27-49)|Glyco_transf_17(90-355)
tr|C4J217|C4J217_MAIZE	TMhelix|GT-A	TMhelix(20-39)|Glyco_transf_17(14-363)
tr|C5GPL6|C5GPL6_AJEDR	TMhelix|GT-A	TMhelix(12-31)|Glyco_transf_17(67-386)
tr|C5YAQ9|C5YAQ9_SORBI	TMhelix|GT-A	TMhelix(40-62)|Glyco_transf_17(39-386)
tr|C5YRW2|C5YRW2_SORBI	TMhelix|GT-A	TMhelix(20-39)|Glyco_transf_17(14-363)
tr|C6HLX9|C6HLX9_AJECH	TMhelix|GT-A	TMhelix(12-31)|Glyco_transf_17(56-372)
tr|D7KPE7|D7KPE7_ARALL	TMhelix|GT-A	TMhelix(49-68)|Glyco_transf_17(43-390)
tr|D7KVQ8|D7KVQ8_ARALL	TMhelix|GT-A	TMhelix(44-66)|Glyco_transf_17(40-388)
tr|D7L020|D7L020_ARALL	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_17(8-360)
tr|D7L9M9|D7L9M9_ARALL	TMhelix|GT-A	TMhelix(44-63)|Glyco_transf_17(38-386)
tr|D7LPH9|D7LPH9_ARALL	TMhelix|GT-A	TMhelix(41-63)|Glyco_transf_17(37-384)
tr|D7M6J9|D7M6J9_ARALL	TMhelix|GT-A	TMhelix(44-63)|Glyco_transf_17(38-385)
tr|D8QNT0|D8QNT0_SELML	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_17(14-366)
tr|E3QED6|E3QED6_COLGM	TMhelix|GT-A	TMhelix(5-27)|Glyco_transf_17(63-364)
tr|E3QFS2|E3QFS2_COLGM	TMhelix|GT-A	TMhelix(12-29)|Glyco_transf_17(82-356)
tr|E9F8F8|E9F8F8_METRA	TMhelix|GT-A	TMhelix(7-24)|Glyco_transf_17(57-356)
tr|F0UQ42|F0UQ42_AJEC8	TMhelix|GT-A	TMhelix(12-31)|Glyco_transf_17(56-372)
tr|F2D0B7|F2D0B7_HORVV	TMhelix|GT-A	TMhelix(47-66)|Glyco_transf_17(41-388)
tr|F4HP06|F4HP06_ARATH	TMhelix|GT-A	TMhelix(49-68)|Glyco_transf_17(43-390)
tr|F4QFV4|F4QFV4_CAVFA	TMhelix|GT-A	TMhelix(7-24)|Glyco_transf_17(140-291)
tr|F6GVL6|F6GVL6_VITVI	TMhelix|GT-A	TMhelix(48-67)|Glyco_transf_17(42-389)
tr|F6HUT9|F6HUT9_VITVI	TMhelix|GT-A	TMhelix(44-63)|Glyco_transf_17(38-385)
tr|F7VV46|F7VV46_SORMK	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_17(16-461)
tr|F9G6R1|F9G6R1_FUSOF	TMhelix|GT-A	TMhelix(13-32)|Glyco_transf_17(70-335)
tr|G1X106|G1X106_ARTOA	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_17(71-338)
tr|G2Y971|G2Y971_BOTF4	TMhelix|GT-A	TMhelix(20-37)|Glyco_transf_17(70-377)
tr|G3J8B6|G3J8B6_CORMM	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_17(55-318)
tr|G4U9H7|G4U9H7_NEUT9	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_17(54-383)
tr|G7JBJ5|G7JBJ5_MEDTR	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_17(18-365)
tr|H1VHT4|H1VHT4_COLHI	TMhelix|GT-A	TMhelix(5-27)|Glyco_transf_17(71-365)
tr|H1VUC9|H1VUC9_COLHI	TMhelix|GT-A	TMhelix(12-30)|Glyco_transf_17(82-344)
tr|H3DNB3|H3DNB3_TETNG	TMhelix|GT-A	TMhelix(7-25)|Glyco_transf_17(214-511)
tr|I1IB63|I1IB63_BRADI	TMhelix|GT-A	TMhelix(41-63)|Glyco_transf_17(40-387)
tr|I1IGJ1|I1IGJ1_BRADI	TMhelix|GT-A	TMhelix(21-40)|Glyco_transf_17(19-364)
tr|I1IYV4|I1IYV4_BRADI	TMhelix|GT-A	TMhelix(41-63)|Glyco_transf_17(40-387)
tr|I1K4G0|I1K4G0_SOYBN	TMhelix|GT-A	TMhelix(44-66)|Glyco_transf_17(43-390)
tr|I1KSX8|I1KSX8_SOYBN	TMhelix|GT-A	TMhelix(44-66)|Glyco_transf_17(43-390)
tr|I1LNG9|I1LNG9_SOYBN	TMhelix|GT-A	TMhelix(44-66)|Glyco_transf_17(43-390)
tr|I1LZQ1|I1LZQ1_SOYBN	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_17(19-368)
tr|I1MYN2|I1MYN2_SOYBN	TMhelix|GT-A	TMhelix(44-66)|Glyco_transf_17(43-390)
tr|I1N5K7|I1N5K7_SOYBN	TMhelix|GT-A	TMhelix(38-60)|Glyco_transf_17(37-384)
tr|I1N6Z4|I1N6Z4_SOYBN	TMhelix|GT-A	TMhelix(44-63)|Glyco_transf_17(38-385)
tr|I1P1S8|I1P1S8_ORYGL	TMhelix|GT-A	TMhelix(41-63)|Glyco_transf_17(40-387)
tr|I1P1T0|I1P1T0_ORYGL	TMhelix|GT-A	TMhelix(41-63)|Glyco_transf_17(59-387)
tr|I1PM93|I1PM93_ORYGL	TMhelix|GT-A	TMhelix(40-62)|Glyco_transf_17(39-386)
tr|I1R7S5|I1R7S5_ORYGL	TMhelix|GT-A	TMhelix(20-39)|Glyco_transf_17(14-363)
tr|J3LEE0|J3LEE0_ORYBR	TMhelix|GT-A	TMhelix(47-69)|Glyco_transf_17(43-390)
tr|J3LEE1|J3LEE1_ORYBR	TMhelix|GT-A	TMhelix(41-63)|Glyco_transf_17(59-387)
tr|J3LYX0|J3LYX0_ORYBR	TMhelix|GT-A	TMhelix(42-64)|Glyco_transf_17(41-388)
tr|J3NEW6|J3NEW6_ORYBR	TMhelix|GT-A	TMhelix(20-39)|Glyco_transf_17(14-363)
tr|J3P318|J3P318_GAGT3	TMhelix|GT-A	TMhelix(12-30)|Glyco_transf_17(105-370)
tr|J4KMM5|J4KMM5_BEAB2	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_17(54-317)
tr|J9NYE3|J9NYE3_CANLF	TMhelix|GT-A	TMhelix(57-75)|Glyco_transf_17(250-547)
tr|K3Y7X2|K3Y7X2_SETIT	TMhelix|GT-A	TMhelix(40-62)|Glyco_transf_17(39-386)
tr|K3YYZ7|K3YYZ7_SETIT	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_17(9-337)
tr|K3Z7B4|K3Z7B4_SETIT	TMhelix|GT-A	TMhelix(20-39)|Glyco_transf_17(14-363)
tr|K4BDD9|K4BDD9_SOLLC	TMhelix|GT-A	TMhelix(45-64)|Glyco_transf_17(39-386)
tr|K4BY79|K4BY79_SOLLC	TMhelix|GT-A	TMhelix(54-73)|Glyco_transf_17(48-340)
tr|K4CBS2|K4CBS2_SOLLC	TMhelix|GT-A	TMhelix(25-47)|Glyco_transf_17(41-371)
tr|K4DE08|K4DE08_SOLLC	TMhelix|GT-A	TMhelix(45-64)|Glyco_transf_17(39-386)
tr|K7JD81|K7JD81_NASVI	TMhelix|GT-A	TMhelix(9-31)|Glyco_transf_17(167-288)
tr|K7ML44|K7ML44_SOYBN	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_17(19-368)
tr|L1JEV5|L1JEV5_GUITH	TMhelix|GT-A	TMhelix(7-26)|Glyco_transf_17(94-339)
tr|L2FJC8|L2FJC8_COLGN	TMhelix|GT-A	TMhelix(12-30)|Glyco_transf_17(89-322)
tr|L8FRZ9|L8FRZ9_PSED2	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_17(12-360)
tr|M0RIV4|M0RIV4_MUSAM	TMhelix|GT-A	TMhelix(45-64)|Glyco_transf_17(39-386)
tr|M0RTJ8|M0RTJ8_MUSAM	TMhelix|GT-A	TMhelix(40-62)|Glyco_transf_17(38-385)
tr|M0T6B3|M0T6B3_MUSAM	TMhelix|GT-A	TMhelix(45-64)|Glyco_transf_17(39-386)
tr|M0TAU9|M0TAU9_MUSAM	TMhelix|GT-A	TMhelix(40-62)|Glyco_transf_17(41-386)
tr|M0TUF7|M0TUF7_MUSAM	TMhelix|GT-A	TMhelix(41-63)|Glyco_transf_17(40-387)
tr|M0TYB2|M0TYB2_MUSAM	TMhelix|GT-A	TMhelix(41-63)|Glyco_transf_17(40-387)
tr|M0XJ55|M0XJ55_HORVV	TMhelix|GT-A	TMhelix(28-47)|Glyco_transf_17(26-371)
tr|M0ZZM6|M0ZZM6_SOLTU	TMhelix|GT-A	TMhelix(49-71)|Glyco_transf_17(48-395)
tr|M1AYA0|M1AYA0_SOLTU	TMhelix|GT-A	TMhelix(45-64)|Glyco_transf_17(39-386)
tr|M1BA83|M1BA83_SOLTU	TMhelix|GT-A	TMhelix(45-64)|Glyco_transf_17(39-386)
tr|M1BLL0|M1BLL0_SOLTU	TMhelix|GT-A	TMhelix(54-73)|Glyco_transf_17(48-395)
tr|M1D1Q7|M1D1Q7_SOLTU	TMhelix|GT-A	TMhelix(25-47)|Glyco_transf_17(41-371)
tr|M3YPM0|M3YPM0_MUSPF	TMhelix|GT-A	TMhelix(31-49)|Glyco_transf_17(224-521)
tr|M3ZWU6|M3ZWU6_XIPMA	TMhelix|GT-A	TMhelix(32-49)|Glyco_transf_17(312-621)
tr|M4CPW7|M4CPW7_BRARP	TMhelix|GT-A	TMhelix(44-63)|Glyco_transf_17(38-386)
tr|M4CX06|M4CX06_BRARP	TMhelix|GT-A	TMhelix(44-63)|Glyco_transf_17(38-385)
tr|M4DJR8|M4DJR8_BRARP	TMhelix|GT-A	TMhelix(49-68)|Glyco_transf_17(43-390)
tr|M4DTF9|M4DTF9_BRARP	TMhelix|GT-A	TMhelix(46-65)|Glyco_transf_17(40-387)
tr|M4E3W4|M4E3W4_BRARP	TMhelix|GT-A	TMhelix(45-64)|Glyco_transf_17(39-386)
tr|M4E928|M4E928_BRARP	TMhelix|GT-A	TMhelix(39-61)|Glyco_transf_17(38-385)
tr|M5BY20|M5BY20_THACB	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_17(5-331)
tr|M5VQN4|M5VQN4_PRUPE	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_17(12-361)
tr|M5X5A3|M5X5A3_PRUPE	TMhelix|GT-A	TMhelix(44-63)|Glyco_transf_17(38-385)
tr|M5XDM4|M5XDM4_PRUPE	TMhelix|GT-A	TMhelix(44-66)|Glyco_transf_17(43-390)
tr|M7T7R9|M7T7R9_EUTLA	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_17(73-364)
tr|M7UNE9|M7UNE9_BOTF1	TMhelix|GT-A	TMhelix(20-37)|Glyco_transf_17(70-377)
tr|M8A4M4|M8A4M4_TRIUA	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_17(20-336)
tr|M8ANG4|M8ANG4_TRIUA	TMhelix|GT-A	TMhelix(43-65)|Glyco_transf_17(39-376)
tr|N1S0A6|N1S0A6_FUSC4	TMhelix|GT-A	TMhelix(5-23)|Glyco_transf_17(61-326)
tr|N4UNR8|N4UNR8_FUSC1	TMhelix|GT-A	TMhelix(5-23)|Glyco_transf_17(61-326)
