tr|A0A1Q9EN20|A0A1Q9EN20_SYMMI	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|MFS|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|Peptidase_C14|NK|GT-A	TMhelix(100-122)|TMhelix(132-154)|TMhelix(167-184)|TMhelix(219-241)|TMhelix(262-284)|MFS(104-477)|TMhelix(294-316)|TMhelix(342-364)|TMhelix(379-397)|TMhelix(410-432)|TMhelix(519-541)|TMhelix(562-584)|Peptidase_C14(1287-1373)|NK(1476-1685)|Glyco_transf_25(1723-1778)
tr|A0A109FG66|A0A109FG66_9BASI	GT-A|GT-A	Glyco_transf_25(27-64)|Glyco_transf_25(169-322)
tr|A0A151JN68|A0A151JN68_9HYME	GT-A|GT-A	Glyco_tranf_GTA_type(30-77)|Glyco_transf_25(322-502)
tr|A0A154NYF2|A0A154NYF2_9HYME	GT-A|GT-A	Glyco_tranf_GTA_type(37-151)|Glyco_transf_25(322-503)
tr|A0A164QKP7|A0A164QKP7_9HOMO	GT-A|GT-A	Glyco_transf_25(72-336)|Glyco_transf_25(212-370)
tr|A0A166DPB7|A0A166DPB7_9HOMO	GT-A|GT-A	Glyco_transf_25(72-336)|Glyco_transf_25(212-370)
tr|A0A182EBD7|A0A182EBD7_ONCOC	GT-A|GT-A	Glyco_tranf_GTA_type(43-171)|Glyco_transf_25(294-475)
tr|A0A182JEP3|A0A182JEP3_9DIPT	GT-A|GT-A	Glyco_tranf_GTA_type(45-159)|Glyco_transf_25(340-520)
tr|A0A182JXQ1|A0A182JXQ1_9DIPT	GT-A|GT-A	Glyco_tranf_GTA_type(6-114)|Glyco_transf_25(294-475)
tr|A0A182MF56|A0A182MF56_9DIPT	GT-A|GT-A	Glyco_tranf_GTA_type(45-159)|Glyco_transf_25(339-520)
tr|A0A182P1R2|A0A182P1R2_9DIPT	GT-A|GT-A	Glyco_tranf_GTA_type(32-146)|Glyco_transf_25(326-507)
tr|A0A182Q3T7|A0A182Q3T7_9DIPT	GT-A|GT-A	Glyco_tranf_GTA_type(57-179)|Glyco_transf_25(344-525)
tr|A0A182Y206|A0A182Y206_ANOST	GT-A|GT-A	Glyco_tranf_GTA_type(49-163)|Glyco_transf_25(343-524)
tr|A0A195BP06|A0A195BP06_9HYME	GT-A|GT-A	Glyco_tranf_GTA_type(30-77)|Glyco_transf_25(322-502)
tr|A0A195FR03|A0A195FR03_9HYME	GT-A|GT-A	Glyco_tranf_GTA_type(30-77)|Glyco_transf_25(322-502)
tr|A0A1A6HRE8|A0A1A6HRE8_NEOLE	GT-A|GT-A	Glyco_tranf_GTA_type(34-177)|Glyco_transf_25(319-501)
tr|A0A1A9WT96|A0A1A9WT96_9MUSC	GT-A|GT-A	Glyco_tranf_GTA_type(46-158)|Glyco_transf_25(355-536)
tr|A0A1A9YEE5|A0A1A9YEE5_GLOFF	GT-A|GT-A	Glyco_tranf_GTA_type(45-157)|Glyco_transf_25(354-535)
tr|A0A1B0B7Y6|A0A1B0B7Y6_9MUSC	GT-A|GT-A	Glyco_tranf_GTA_type(45-157)|Glyco_transf_25(354-535)
tr|A0A1D1VUF3|A0A1D1VUF3_RAMVA	GT-A|GT-A	Glyco_tranf_GTA_type(28-154)|Glyco_transf_25(315-495)
tr|A0A1D2MIJ3|A0A1D2MIJ3_ORCCI	GT-A|GT-A	HpnB(26-161)|Glyco_transf_25(319-501)
tr|A0A1D5P6H9|A0A1D5P6H9_CHICK	GT-A|GT-A	Glyco_tranf_GTA_type(63-176)|Glyco_transf_25(342-527)
tr|A0A1F8JJR8|A0A1F8JJR8_9BACT	GT-A|GT-A	Glyco_transf_25(43-166)|Glyco_transf_25(133-272)
tr|A0A1I0S8E2|A0A1I0S8E2_9BACT	GT-A|GT-A	Glyco_transf_25(9-82)|Glyco_transf_25(231-312)
tr|A0A1I7VM36|A0A1I7VM36_LOALO	GT-A|GT-A	Glyco_tranf_GTA_type(39-170)|Glyco_transf_25(294-475)
tr|A0A1I8GDZ0|A0A1I8GDZ0_9PLAT	GT-A|GT-A	Glyco_tranf_GTA_type(45-93)|Glyco_transf_25(378-558)
tr|A0A1I8M3V6|A0A1I8M3V6_MUSDO	GT-A|GT-A	Glyco_tranf_GTA_type(46-102)|Glyco_transf_25(356-537)
tr|A0A1I8PJ16|A0A1I8PJ16_STOCA	GT-A|GT-A	Glyco_tranf_GTA_type(49-163)|Glyco_transf_25(359-540)
tr|A0A1J1HKL9|A0A1J1HKL9_9DIPT	GT-A|GT-A	Glyco_tranf_2_4(59-181)|Glyco_transf_25(350-529)
tr|A0A1L8GGX6|A0A1L8GGX6_XENLA	GT-A|GT-A	Glyco_tranf_GTA_type(51-164)|Glyco_transf_25(295-480)
tr|A0A1L8GNS2|A0A1L8GNS2_XENLA	GT-A|GT-A	Glyco_tranf_GTA_type(52-165)|Glyco_transf_25(331-516)
tr|A0A1L8H2N8|A0A1L8H2N8_XENLA	GT-A|GT-A	Glyco_tranf_GTA_type(45-174)|Glyco_transf_25(329-514)
tr|A0A1S2ZSG3|A0A1S2ZSG3_ERIEU	GT-A|GT-A	Glyco_tranf_GTA_type(17-101)|Glyco_transf_25(267-452)
tr|A0A1S3F331|A0A1S3F331_DIPOR	GT-A|GT-A	Glyco_tranf_GTA_type(13-55)|Glyco_transf_25(221-406)
tr|A0A1S3LTE8|A0A1S3LTE8_SALSA	GT-A|GT-A	HpnB(25-172)|Glyco_transf_25(321-505)
tr|A0A1S3PC90|A0A1S3PC90_SALSA	GT-A|GT-A	Glyco_tranf_GTA_type(53-179)|Glyco_transf_25(336-521)
tr|A0A1S3QZJ2|A0A1S3QZJ2_SALSA	GT-A|GT-A	Glyco_tranf_GTA_type(54-168)|Glyco_transf_25(334-517)
tr|A0A1S3R7P9|A0A1S3R7P9_SALSA	GT-A|GT-A	Glyco_tranf_GTA_type(47-161)|Glyco_transf_25(326-511)
tr|A0A1S3S669|A0A1S3S669_SALSA	GT-A|GT-A	Glyco_tranf_GTA_type(47-161)|Glyco_transf_25(326-511)
tr|A0A1S3T5T2|A0A1S3T5T2_SALSA	GT-A|GT-A	Glyco_tranf_GTA_type(49-175)|Glyco_transf_25(332-517)
tr|A0A1S3WG26|A0A1S3WG26_ERIEU	GT-A|GT-A	Glyco_tranf_GTA_type(40-160)|Glyco_transf_25(321-503)
tr|A0A1S3WPB6|A0A1S3WPB6_ERIEU	GT-A|GT-A	Glyco_tranf_GTA_type(4-95)|Glyco_transf_25(159-341)
tr|A0A1U7Q6Z0|A0A1U7Q6Z0_MESAU	GT-A|GT-A	Glyco_tranf_2_4(61-174)|Glyco_transf_25(340-525)
tr|A0A1U7RJ65|A0A1U7RJ65_ALLSI	GT-A|GT-A	Glyco_tranf_GTA_type(47-193)|Glyco_transf_25(335-517)
tr|A0A1U7UV25|A0A1U7UV25_TARSY	GT-A|GT-A	Glyco_tranf_GTA_type(2-81)|Glyco_transf_25(247-432)
tr|A0A1U8DPP7|A0A1U8DPP7_ALLSI	GT-A|GT-A	Glyco_tranf_GTA_type(12-99)|Glyco_transf_25(264-449)
tr|A0A1V4J6S0|A0A1V4J6S0_PATFA	GT-A|GT-A	Glyco_tranf_GTA_type(23-141)|Glyco_transf_25(294-476)
tr|A0A1W0X7M6|A0A1W0X7M6_HYPDU	GT-A|GT-A	Glyco_tranf_GTA_type(10-159)|Glyco_transf_25(316-498)
tr|A0A1W4UVR2|A0A1W4UVR2_DROFC	GT-A|GT-A	Glyco_tranf_GTA_type(32-79)|Glyco_transf_25(334-514)
tr|A0A1W9JGB6|A0A1W9JGB6_9PROT	GT-A|GT-A	Glyco_transf_25(9-100)|Glyco_transf_25(61-178)
tr|A0A1X7UJG4|A0A1X7UJG4_AMPQE	GT-A|GT-A	Glyco_tranf_GTA_type(48-166)|Glyco_transf_25(329-510)
tr|A0A212EMN5|A0A212EMN5_DANPL	GT-A|GT-A	Glyco_tranf_GTA_type(40-221)|Glyco_transf_25(329-507)
tr|A0A218UAX2|A0A218UAX2_9PASE	GT-A|GT-A	Glyco_tranf_GTA_type(62-176)|Glyco_transf_25(338-521)
tr|A0A226MJP6|A0A226MJP6_CALSU	GT-A|GT-A	Glyco_tranf_GTA_type(54-167)|Glyco_transf_25(323-470)
tr|A0A226NWK6|A0A226NWK6_COLVI	GT-A|GT-A	Glyco_tranf_GTA_type(31-166)|Glyco_transf_25(319-501)
tr|A0A226PY84|A0A226PY84_COLVI	GT-A|GT-A	Glyco_tranf_GTA_type(56-158)|Glyco_transf_25(308-454)
tr|A0A286Y660|A0A286Y660_CAVPO	GT-A|GT-A	Glyco_tranf_2_4(59-171)|Glyco_transf_25(338-523)
tr|A0A287AXP9|A0A287AXP9_PIG	GT-A|GT-A	Glyco_tranf_GTA_type(62-176)|Glyco_transf_25(341-526)
tr|A0A287BTA9|A0A287BTA9_PIG	GT-A|GT-A	Glyco_tranf_2_4(62-175)|Glyco_transf_25(341-526)
tr|A0A2A4JRR4|A0A2A4JRR4_HELVI	GT-A|GT-A	Glyco_tranf_GTA_type(37-150)|Glyco_transf_25(327-505)
tr|A0A2B4SK39|A0A2B4SK39_STYPI	GT-A|GT-A	Glyco_tranf_GTA_type(754-830)|Glyco_transf_25(1007-1143)
tr|A0A2C6ADG5|A0A2C6ADG5_9HYPO	GT-A|GT-A	Glyco_transf_25(78-163)|Glyco_transf_25(129-333)
tr|A0A2C9H8M2|A0A2C9H8M2_ANOQN	GT-A|GT-A	Glyco_tranf_GTA_type(49-163)|Glyco_transf_25(343-524)
tr|A0A2D0QXL8|A0A2D0QXL8_ICTPU	GT-A|GT-A	Glyco_tranf_GTA_type(50-170)|Glyco_transf_25(336-521)
tr|A0A2D0RCF4|A0A2D0RCF4_ICTPU	GT-A|GT-A	Glyco_tranf_GTA_type(47-168)|Glyco_transf_25(326-511)
tr|A0A2D0SS35|A0A2D0SS35_ICTPU	GT-A|GT-A	Glyco_tranf_GTA_type(43-170)|Glyco_transf_25(327-511)
tr|A0A2E3BZ88|A0A2E3BZ88_9PROT	GT-A|GT-A	Glyco_transf_25(11-125)|Glyco_transf_25(85-253)
tr|A0A2E3C0R1|A0A2E3C0R1_9PROT	GT-A|GT-A	Glyco_transf_25(9-82)|Glyco_transf_25(48-158)
tr|A0A2I3GCQ5|A0A2I3GCQ5_NOMLE	GT-A|GT-A	Glyco_tranf_GTA_type(37-158)|Glyco_transf_25(299-469)
tr|A0A2I3RS36|A0A2I3RS36_PANTR	GT-A|GT-A	Glyco_tranf_GTA_type(37-161)|Glyco_transf_25(322-503)
tr|A0A2I4AS74|A0A2I4AS74_9TELE	GT-A|GT-A	Glyco_tranf_GTA_type(53-167)|Glyco_transf_25(333-516)
tr|A0A2I4AV10|A0A2I4AV10_9TELE	GT-A|GT-A	Glyco_tranf_GTA_type(61-175)|Glyco_transf_25(384-524)
tr|A0A2I4CJW2|A0A2I4CJW2_9TELE	GT-A|GT-A	Glyco_tranf_GTA_type(50-164)|Glyco_transf_25(331-514)
tr|A0A2K5C5J1|A0A2K5C5J1_AOTNA	GT-A|GT-A	Glyco_tranf_GTA_type(100-144)|Glyco_transf_25(415-597)
tr|A0A2K5CTH0|A0A2K5CTH0_AOTNA	GT-A|GT-A	Glyco_tranf_GTA_type(61-175)|Glyco_transf_25(340-525)
tr|A0A2K5EZR1|A0A2K5EZR1_AOTNA	GT-A|GT-A	Glyco_tranf_GTA_type(7-91)|Glyco_transf_25(257-442)
tr|A0A2K5I838|A0A2K5I838_COLAP	GT-A|GT-A	Glyco_tranf_GTA_type(31-75)|Glyco_transf_25(315-497)
tr|A0A2K5J238|A0A2K5J238_COLAP	GT-A|GT-A	Glyco_tranf_2_4(62-175)|Glyco_transf_25(341-526)
tr|A0A2K5LVN8|A0A2K5LVN8_CERAT	GT-A|GT-A	Glyco_tranf_GTA_type(37-81)|Glyco_transf_25(321-503)
tr|A0A2K5NGE0|A0A2K5NGE0_CERAT	GT-A|GT-A	Glyco_tranf_2_4(62-175)|Glyco_transf_25(341-526)
tr|A0A2K5NID8|A0A2K5NID8_CERAT	GT-A|GT-A	Glyco_tranf_GTA_type(61-175)|Glyco_transf_25(340-525)
tr|A0A2K5PAI5|A0A2K5PAI5_CEBCA	GT-A|GT-A	Glyco_tranf_GTA_type(37-81)|Glyco_transf_25(321-503)
tr|A0A2K5R9Y1|A0A2K5R9Y1_CEBCA	GT-A|GT-A	Glyco_tranf_2_4(62-175)|Glyco_transf_25(341-526)
tr|A0A2K5SE15|A0A2K5SE15_CEBCA	GT-A|GT-A	Glyco_tranf_GTA_type(132-246)|Glyco_transf_25(411-596)
tr|A0A2K5YB87|A0A2K5YB87_MANLE	GT-A|GT-A	Glyco_tranf_GTA_type(6-95)|Glyco_transf_25(260-445)
tr|A0A2K5YIB0|A0A2K5YIB0_MANLE	GT-A|GT-A	Glyco_tranf_GTA_type(7-51)|Glyco_transf_25(291-473)
tr|A0A2K6B3S9|A0A2K6B3S9_MACNE	GT-A|GT-A	Glyco_tranf_GTA_type(61-176)|Glyco_transf_25(337-505)
tr|A0A2K6C7X1|A0A2K6C7X1_MACNE	GT-A|GT-A	Glyco_tranf_2_4(62-175)|Glyco_transf_25(341-526)
tr|A0A2K6F2D3|A0A2K6F2D3_PROCO	GT-A|GT-A	Glyco_tranf_GTA_type(62-135)|Glyco_transf_25(301-486)
tr|A0A2K6FUL0|A0A2K6FUL0_PROCO	GT-A|GT-A	Glyco_tranf_GTA_type(62-176)|Glyco_transf_25(341-526)
tr|A0A2K6JM63|A0A2K6JM63_RHIBE	GT-A|GT-A	Glyco_tranf_GTA_type(61-175)|Glyco_transf_25(340-525)
tr|A0A2K6KG06|A0A2K6KG06_RHIBE	GT-A|GT-A	Glyco_tranf_GTA_type(37-81)|Glyco_transf_25(321-503)
tr|A0A2K6N2P6|A0A2K6N2P6_RHIBE	GT-A|GT-A	Glyco_tranf_2_4(62-175)|Glyco_transf_25(341-526)
tr|A0A2K6N704|A0A2K6N704_RHIRO	GT-A|GT-A	Glyco_tranf_GTA_type(61-175)|Glyco_transf_25(340-525)
tr|A0A2K6NYI9|A0A2K6NYI9_RHIRO	GT-A|GT-A	Glyco_tranf_GTA_type(37-81)|Glyco_transf_25(321-503)
tr|A0A2K6QCG4|A0A2K6QCG4_RHIRO	GT-A|GT-A	Glyco_tranf_2_4(62-175)|Glyco_transf_25(341-526)
tr|A0A2K6TAP2|A0A2K6TAP2_SAIBB	GT-A|GT-A	Glyco_tranf_GTA_type(3-87)|Glyco_transf_25(253-438)
tr|A0A2K6TIU0|A0A2K6TIU0_SAIBB	GT-A|GT-A	Glyco_tranf_GTA_type(9-106)|Glyco_transf_25(271-456)
tr|A0A2K6WL63|A0A2K6WL63_ONCVO	GT-A|GT-A	Glyco_tranf_GTA_type(43-171)|Glyco_transf_25(294-475)
tr|A0A2P6K7X1|A0A2P6K7X1_NEPCL	GT-A|GT-A	Glyco_transf_25(2-177)|Glyco_tranf_GTA_type(230-386)
tr|A0A2R2MJ91|A0A2R2MJ91_LINUN	GT-A|GT-A	Glyco_tranf_GTA_type(62-175)|Glyco_transf_25(346-528)
tr|A0A2R8ZNH9|A0A2R8ZNH9_PANPA	GT-A|GT-A	Glyco_tranf_2_4(72-185)|Glyco_transf_25(351-536)
tr|A0A2R9A299|A0A2R9A299_PANPA	GT-A|GT-A	Glyco_tranf_GTA_type(37-154)|Glyco_transf_25(322-505)
tr|A0A2R9BE24|A0A2R9BE24_PANPA	GT-A|GT-A	Glyco_tranf_GTA_type(60-174)|Glyco_transf_25(339-524)
tr|A0A2T3DXK4|A0A2T3DXK4_9GAMM	GT-A|GT-A	Glyco_transf_25(2-93)|Glyco_transf_25(57-175)
tr|A6FK29|A6FK29_9RHOB	GT-A|GT-A	Glyco_transf_25(4-95)|Glyco_transf_25(54-228)
tr|A7RYV3|A7RYV3_NEMVE	GT-A|GT-A	Glyco_tranf_2_4(45-165)|Glyco_transf_25(331-515)
tr|A8E7A8|A8E7A8_DANRE	GT-A|GT-A	Glyco_tranf_GTA_type(50-163)|Glyco_transf_25(331-514)
tr|A9C3Q0|A9C3Q0_DANRE	GT-A|GT-A	Glyco_tranf_GTA_type(46-172)|Glyco_transf_25(331-514)
tr|B1H282|B1H282_RAT	GT-A|GT-A	Glyco_tranf_GTA_type(56-170)|Glyco_transf_25(335-520)
tr|B3RNT7|B3RNT7_TRIAD	GT-A|GT-A	Glyco_tranf_GTA_type(24-141)|Glyco_transf_25(304-486)
tr|D2GV12|D2GV12_AILME	GT-A|GT-A	Glyco_tranf_GTA_type(1-88)|Glyco_transf_25(255-438)
tr|D3Z9Z7|D3Z9Z7_RAT	GT-A|GT-A	Glyco_tranf_2_4(61-174)|Glyco_transf_25(339-524)
tr|D6WGI3|D6WGI3_TRICA	GT-A|GT-A	Glyco_tranf_GTA_type(26-93)|Glyco_transf_25(317-496)
tr|D8DZU4|D8DZU4_PREBR	GT-A|GT-A	Glyco_transf_25(5-97)|Glyco_transf_25(70-234)
tr|E1ZF53|E1ZF53_CHLVA	GT-A|GT-A	Glyco_tranf_GTA_type(130-248)|Glyco_transf_25(335-463)
tr|E4X3U6|E4X3U6_OIKDI	GT-A|GT-A	Glyco_tranf_GTA_type(31-163)|Glyco_transf_25(333-511)
tr|E7F0F2|E7F0F2_DANRE	GT-A|GT-A	Glyco_tranf_GTA_type(35-164)|Glyco_transf_25(321-505)
tr|F1N0V8|F1N0V8_BOVIN	GT-A|GT-A	Glyco_tranf_2_4(62-175)|Glyco_transf_25(341-526)
tr|F1PMG8|F1PMG8_CANLF	GT-A|GT-A	Glyco_tranf_GTA_type(62-176)|Glyco_transf_25(341-526)
tr|F1RR83|F1RR83_PIG	GT-A|GT-A	Glyco_tranf_GTA_type(35-179)|Glyco_transf_25(321-503)
tr|F2TZT6|F2TZT6_SALR5	GT-A|GT-A	Glyco_transf_25(130-222)|Glyco_transf_25(573-664)
tr|F6PNA0|F6PNA0_HORSE	GT-A|GT-A	Glyco_tranf_GTA_type(3-87)|Glyco_transf_25(253-438)
tr|F6SKY7|F6SKY7_MONDO	GT-A|GT-A	Glyco_tranf_GTA_type(31-145)|Glyco_transf_25(319-501)
tr|F6UJY8|F6UJY8_HORSE	GT-A|GT-A	Glyco_tranf_GTA_type(1-88)|Glyco_transf_25(253-438)
tr|F6VU22|F6VU22_ORNAN	GT-A|GT-A	Glyco_tranf_GTA_type(10-94)|Glyco_transf_25(260-445)
tr|F6W8D5|F6W8D5_MONDO	GT-A|GT-A	Glyco_tranf_GTA_type(62-176)|Glyco_transf_25(341-526)
tr|F6W911|F6W911_MONDO	GT-A|GT-A	Glyco_tranf_GTA_type(3-91)|Glyco_transf_25(257-442)
tr|F6WD56|F6WD56_XENTR	GT-A|GT-A	Glyco_tranf_GTA_type(43-168)|Glyco_transf_25(349-511)
tr|F6Z4W6|F6Z4W6_MACMU	GT-A|GT-A	Glyco_tranf_GTA_type(61-166)|Glyco_transf_25(331-516)
tr|F6ZQT7|F6ZQT7_XENTR	GT-A|GT-A	Glyco_tranf_2_4(56-169)|Glyco_transf_25(335-520)
tr|F7A6I6|F7A6I6_ORNAN	GT-A|GT-A	Glyco_tranf_GTA_type(1-88)|Glyco_transf_25(253-438)
tr|F7CP61|F7CP61_HORSE	GT-A|GT-A	Glyco_tranf_GTA_type(3-45)|Glyco_transf_25(285-467)
tr|F7DZG2|F7DZG2_XENTR	GT-A|GT-A	Glyco_tranf_GTA_type(47-108)|Glyco_transf_25(335-520)
tr|F7FYU9|F7FYU9_MACMU	GT-A|GT-A	Glyco_tranf_GTA_type(3-91)|Glyco_transf_25(257-442)
tr|F7GWS2|F7GWS2_CALJA	GT-A|GT-A	Glyco_tranf_2_4(62-175)|Glyco_transf_25(341-526)
tr|G1MBC4|G1MBC4_AILME	GT-A|GT-A	Glyco_tranf_GTA_type(61-174)|Glyco_transf_25(340-525)
tr|G1MRV4|G1MRV4_MELGA	GT-A|GT-A	Glyco_tranf_GTA_type(2-86)|Glyco_transf_25(264-437)
tr|G1P2G0|G1P2G0_MYOLU	GT-A|GT-A	Glyco_tranf_GTA_type(57-189)|Glyco_transf_25(346-531)
tr|G1P901|G1P901_MYOLU	GT-A|GT-A	Glyco_tranf_GTA_type(36-80)|Glyco_transf_25(321-503)
tr|G1S8Q8|G1S8Q8_NOMLE	GT-A|GT-A	Glyco_tranf_2_4(62-175)|Glyco_transf_25(341-526)
tr|G1TIN5|G1TIN5_RABIT	GT-A|GT-A	Glyco_tranf_GTA_type(38-150)|Glyco_transf_25(319-501)
tr|G3H4D2|G3H4D2_CRIGR	GT-A|GT-A	Glyco_tranf_GTA_type(427-514)|Glyco_transf_25(684-851)
tr|G3I9Y4|G3I9Y4_CRIGR	GT-A|GT-A	Glyco_tranf_GTA_type(34-176)|Glyco_transf_25(318-500)
tr|G3P781|G3P781_GASAC	GT-A|GT-A	Glyco_tranf_GTA_type(54-168)|Glyco_transf_25(333-518)
tr|G3PFJ6|G3PFJ6_GASAC	GT-A|GT-A	Glyco_tranf_GTA_type(53-179)|Glyco_transf_25(336-521)
tr|G3Q4M3|G3Q4M3_GASAC	GT-A|GT-A	Glyco_tranf_GTA_type(54-166)|Glyco_transf_25(333-518)
tr|G3QQP6|G3QQP6_GORGO	GT-A|GT-A	Glyco_tranf_GTA_type(37-158)|Glyco_transf_25(321-503)
tr|G3QYC2|G3QYC2_GORGO	GT-A|GT-A	HpnB(39-169)|Glyco_transf_25(327-512)
tr|G3RC09|G3RC09_GORGO	GT-A|GT-A	Glyco_tranf_2_4(62-175)|Glyco_transf_25(341-526)
tr|G3TBK6|G3TBK6_LOXAF	GT-A|GT-A	Glyco_tranf_GTA_type(1-87)|Glyco_transf_25(253-438)
tr|G3TMG0|G3TMG0_LOXAF	GT-A|GT-A	Glyco_tranf_GTA_type(45-91)|Glyco_transf_25(336-514)
tr|G3UNC9|G3UNC9_LOXAF	GT-A|GT-A	Glyco_tranf_GTA_type(1-88)|Glyco_transf_25(299-438)
tr|G3V9Z7|G3V9Z7_SARHA	GT-A|GT-A	Glyco_tranf_GTA_type(5-119)|Glyco_transf_25(293-475)
tr|G3WFV2|G3WFV2_SARHA	GT-A|GT-A	Glyco_tranf_GTA_type(18-132)|Glyco_transf_25(297-482)
tr|G3WQ71|G3WQ71_SARHA	GT-A|GT-A	Glyco_tranf_2_4(66-179)|Glyco_transf_25(345-530)
tr|G5ASE7|G5ASE7_HETGA	GT-A|GT-A	Glyco_tranf_GTA_type(89-209)|Glyco_transf_25(370-552)
tr|G5BGP5|G5BGP5_HETGA	GT-A|GT-A	Glyco_tranf_GTA_type(13-55)|Glyco_transf_25(223-408)
tr|G8F2X6|G8F2X6_MACFA	GT-A|GT-A	Glyco_tranf_GTA_type(3-87)|Glyco_transf_25(253-436)
tr|H0VAL8|H0VAL8_CAVPO	GT-A|GT-A	Glyco_tranf_GTA_type(37-157)|Glyco_transf_25(318-500)
tr|H0VIB9|H0VIB9_CAVPO	GT-A|GT-A	Glyco_tranf_GTA_type(66-186)|Glyco_transf_25(345-530)
tr|H0WFQ8|H0WFQ8_OTOGA	GT-A|GT-A	Glyco_tranf_GTA_type(62-176)|Glyco_transf_25(341-526)
tr|H0WIM0|H0WIM0_OTOGA	GT-A|GT-A	Glyco_tranf_GTA_type(40-152)|Glyco_transf_25(321-503)
tr|H0WM56|H0WM56_OTOGA	GT-A|GT-A	Glyco_tranf_GTA_type(13-55)|Glyco_transf_25(221-406)
tr|H0Z064|H0Z064_TAEGU	GT-A|GT-A	Glyco_tranf_GTA_type(19-132)|Glyco_transf_25(325-485)
tr|H2KNS5|H2KNS5_CLOSI	GT-A|GT-A	Glyco_tranf_GTA_type(124-254)|Glyco_transf_25(437-618)
tr|H2LQI0|H2LQI0_ORYLA	GT-A|GT-A	Glyco_tranf_GTA_type(53-167)|Glyco_transf_25(334-517)
tr|H2N4E7|H2N4E7_PONAB	GT-A|GT-A	Glyco_tranf_2_4(62-175)|Glyco_transf_25(341-526)
tr|H2R415|H2R415_PANTR	GT-A|GT-A	Glyco_tranf_2_4(62-175)|Glyco_transf_25(341-526)
tr|H2R6A5|H2R6A5_PANTR	GT-A|GT-A	Glyco_tranf_GTA_type(61-175)|Glyco_transf_25(340-525)
tr|H2RZ18|H2RZ18_TAKRU	GT-A|GT-A	Glyco_tranf_GTA_type(3-95)|Glyco_transf_25(252-437)
tr|H2TV17|H2TV17_TAKRU	GT-A|GT-A	Glyco_tranf_GTA_type(49-163)|Glyco_transf_25(328-513)
tr|H2UJ91|H2UJ91_TAKRU	GT-A|GT-A	Glyco_tranf_GTA_type(53-94)|Glyco_transf_25(333-518)
tr|H2XPJ9|H2XPJ9_CIOIN	GT-A|GT-A	Glyco_tranf_GTA_type(64-189)|Glyco_transf_25(349-532)
tr|H2YSF6|H2YSF6_CIOSA	GT-A|GT-A	Glyco_tranf_2_4(39-159)|Glyco_transf_25(331-514)
tr|H3AE31|H3AE31_LATCH	GT-A|GT-A	Glyco_tranf_GTA_type(64-177)|Glyco_transf_25(338-522)
tr|H3B0M8|H3B0M8_LATCH	GT-A|GT-A	Glyco_tranf_GTA_type(7-88)|Glyco_transf_25(257-442)
tr|H3CMD1|H3CMD1_TETNG	GT-A|GT-A	Glyco_tranf_GTA_type(48-174)|Glyco_transf_25(331-516)
tr|H3D6P7|H3D6P7_TETNG	GT-A|GT-A	HpnB(33-171)|Glyco_transf_25(331-512)
tr|H3D9C5|H3D9C5_TETNG	GT-A|GT-A	Glyco_tranf_GTA_type(49-164)|Glyco_transf_25(333-517)
tr|H3DMH7|H3DMH7_TETNG	GT-A|GT-A	Glyco_tranf_GTA_type(50-93)|Glyco_transf_25(332-517)
tr|H9GM63|H9GM63_ANOCA	GT-A|GT-A	Glyco_tranf_GTA_type(13-56)|Glyco_transf_25(221-406)
tr|I3J0H9|I3J0H9_ORENI	GT-A|GT-A	Glyco_tranf_GTA_type(49-163)|Glyco_transf_25(330-513)
tr|I3JAN9|I3JAN9_ORENI	GT-A|GT-A	Glyco_tranf_GTA_type(52-178)|Glyco_transf_25(341-526)
tr|I3KHK2|I3KHK2_ORENI	GT-A|GT-A	Glyco_tranf_GTA_type(47-161)|Glyco_transf_25(326-511)
tr|I3MB12|I3MB12_ICTTR	GT-A|GT-A	Glyco_tranf_GTA_type(40-152)|Glyco_transf_25(321-503)
tr|I3MKK7|I3MKK7_ICTTR	GT-A|GT-A	Glyco_tranf_2_4(26-139)|Glyco_transf_25(305-490)
tr|K1QTN3|K1QTN3_CRAGI	GT-A|GT-A	Glyco_tranf_GTA_type(47-166)|Glyco_transf_25(349-532)
tr|K7G6C1|K7G6C1_PELSI	GT-A|GT-A	Glyco_tranf_GTA_type(38-184)|Glyco_transf_25(326-508)
tr|K7GFY3|K7GFY3_PELSI	GT-A|GT-A	Glyco_tranf_GTA_type(9-96)|Glyco_transf_25(261-446)
tr|L5K791|L5K791_PTEAL	GT-A|GT-A	Glyco_tranf_GTA_type(14-134)|Glyco_transf_25(295-477)
tr|L5L698|L5L698_PTEAL	GT-A|GT-A	Glyco_tranf_GTA_type(63-177)|Glyco_transf_25(342-527)
tr|L5LCJ2|L5LCJ2_MYODS	GT-A|GT-A	Glyco_tranf_GTA_type(59-146)|Glyco_transf_25(298-481)
tr|L7N194|L7N194_MYOLU	GT-A|GT-A	Glyco_tranf_GTA_type(3-91)|Glyco_transf_25(257-442)
tr|L9L1A9|L9L1A9_TUPCH	GT-A|GT-A	Glyco_tranf_GTA_type(489-576)|Glyco_transf_25(701-886)
tr|M2RSQ1|M2RSQ1_CERS8	GT-A|GT-A	Glyco_transf_25(63-96)|Glyco_transf_25(245-433)
