tr|H5UNQ6|H5UNQ6_9MICO	YjiC|GT-A|GT-A	YjiC(1-119)|Glyco_tranf_GTA_type(347-478)|Glyco_tranf_GTA_type(509-553)
tr|A0A0F2J922|A0A0F2J922_9FIRM	GT-A|GT-A|GT-A|GT-B|GT-A	Glyco_tranf_GTA_type(7-190)|Glyco_tranf_GTA_type(268-373)|Glyco_tranf_GTA_type(339-450)|Glycosyltransferase_GTB-type(639-767)|Glyco_tranf_GTA_type(849-1046)
tr|A0A2T1CSN9|A0A2T1CSN9_9CYAN	GT-A|GT-A|GT-A|GT-B	Glyco_tranf_GTA_type(33-237)|Glycos_transf_2(457-585)|Glyco_tranf_GTA_type(730-926)|RfaB(977-1327)
tr|A0A086ZN02|A0A086ZN02_9BIFI	GT-A|GT-A|GT-A|GT-A	GT2_RfbC_Mx_like(186-387)|mycofact_glyco(488-631)|GT2_RfbC_Mx_like(845-1048)|GT_2_like_c(1107-1328)
tr|A0A1G0SR49|A0A1G0SR49_9BACT	GT-A|GT-A|GT-A|GT-A	GT_2_like_c(13-227)|Glyco_tranf_GTA_type(129-240)|Glyco_tranf_GTA_type(317-427)|GT2(315-602)
tr|A0A1G1X5K2|A0A1G1X5K2_9BACT	GT-A|GT-A|GT-A|GT-A	Glyco_tranf_GTA_type(6-116)|BcsA(1-263)|GT2(315-532)|GT_2_like_c(589-795)
tr|A0A1H2I382|A0A1H2I382_9RHOB	GT-A|GT-A|GT-A	Glycos_transf_2(8-136)|mycofact_glyco(5-276)|mycofact_glyco(359-544)
tr|A0A1T0AWA7|A0A1T0AWA7_9PAST	GT-A|GT-A|GT-A	Glyco_tranf_GTA_type(160-394)|Glyco_tranf_GTA_type(442-556)|WcaA(438-702)
tr|A0A2G1VXA8|A0A2G1VXA8_9PLAN	GT-A|GT-A|GT-A	WcaA(32-133)|WcaA(38-241)|Glyco_tranf_GTA_type(343-490)
tr|A0A2T5CA82|A0A2T5CA82_9DELT	GT-A|GT-A|GT-A	GT_2_WfgS_like(154-354)|Glyco_tranf_GTA_type(553-674)|mycofact_glyco(544-826)
tr|H5Y1E0|H5Y1E0_9FIRM	GT-A|GT-A|GT-A	Glyco_tranf_GTA_type(14-191)|Glyco_tranf_GTA_type(269-367)|Glyco_tranf_GTA_type(683-881)
tr|I4D1K3|I4D1K3_DESAJ	GT-A|GT-A|GT-A	Glyco_tranf_GTA_type(5-190)|Glyco_tranf_GTA_type(268-373)|Glyco_tranf_GTA_type(680-878)
tr|A0A238LIK2|A0A238LIK2_9RHOB	GT-A|GT-A|GT	WcaA(95-196)|Glyco_tranf_GTA_type(167-274)|O-FucT_like(554-817)
sp|Q9CMP0|CHS_PASMU	GT-A|GT-A	Glyco_tranf_GTA_type(155-389)|Glyco_tranf_GTA_type(433-629)
tr|A0A086MMW1|A0A086MMW1_9RHIZ	GT-A|GT-A	Glyco_tranf_GTA_type(15-215)|Glycos_transf_2(263-416)
tr|A0A095U0N0|A0A095U0N0_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(207-314)|WcaA(201-496)
tr|A0A095ZPT6|A0A095ZPT6_9BACT	GT-A|GT-A	Glycos_transf_2(7-120)|GT2(6-241)
tr|A0A099DLN4|A0A099DLN4_9HELI	GT-A|GT-A	Beta4Glucosyltransferase(5-235)|GT2_Chondriotin_Pol_N(262-489)
tr|A0A0A6PLA7|A0A0A6PLA7_9GAMM	GT-A|GT-A	Glyco_tranf_GTA_type(14-251)|Glyco_tranf_GTA_type(291-487)
tr|A0A0A6QEB3|A0A0A6QEB3_9BURK	GT-A|GT-A	Glyco_tranf_GTA_type(14-120)|GT2(9-229)
tr|A0A0A8H5I2|A0A0A8H5I2_9PROT	GT-A|GT-A	Beta4Glucosyltransferase(5-233)|GT2_Chondriotin_Pol_N(260-487)
tr|A0A0C1CMK2|A0A0C1CMK2_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(3-138)|WcaA(1-296)
tr|A0A0D7W2Q7|A0A0D7W2Q7_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(8-108)|Glyco_transf_7C(140-206)
tr|A0A0D7W6H5|A0A0D7W6H5_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(6-118)|GT2(1-277)
tr|A0A0E8DS28|A0A0E8DS28_BORPT	GT-A|GT-A	Glyco_tranf_GTA_type(10-129)|WcaA(8-267)
tr|A0A0G0CCI8|A0A0G0CCI8_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(6-120)|GT2(1-280)
tr|A0A0G0KSN6|A0A0G0KSN6_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(8-133)|GT2(4-275)
tr|A0A0G0NRJ0|A0A0G0NRJ0_9BACT	GT-A|GT-A	Glycos_transf_2(10-145)|Glyco_tranf_GTA_type(170-206)
tr|A0A0G1G6D6|A0A0G1G6D6_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(5-112)|GT2(1-295)
tr|A0A0G1M4D5|A0A0G1M4D5_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(5-121)|WcaA(1-288)
tr|A0A0G1T8I5|A0A0G1T8I5_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(5-113)|WcaA(1-300)
tr|A0A0H0ZNV6|A0A0H0ZNV6_9MICC	GT-A|GT-A	Glyco_tranf_GTA_type(6-112)|GT2(71-260)
tr|A0A0H4W248|A0A0H4W248_9BACT	GT-A|GT-A	Beta4Glucosyltransferase(4-228)|GT2_Chondriotin_Pol_N(253-474)
tr|A0A0J6BGR0|A0A0J6BGR0_9SYNE	GT-A|GT-A	Glycos_transf_2(4-165)|Glyco_tranf_GTA_type(146-204)
tr|A0A0M1JEB9|A0A0M1JEB9_9GAMM	GT-A|GT-A	WcaA(1-100)|Glyco_tranf_GTA_type(67-202)
tr|A0A0M1JLZ2|A0A0M1JLZ2_9CYAN	GT-A|GT-A	Glycos_transf_2(4-105)|GT2(1-206)
tr|A0A0N0IVJ4|A0A0N0IVJ4_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(5-191)|WcaA(1-298)
tr|A0A0N8WHF3|A0A0N8WHF3_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(12-119)|Glyco_tranf_GTA_type(79-208)
tr|A0A0P0C3U8|A0A0P0C3U8_9BACT	GT-A|GT-A	Beta4Glucosyltransferase(4-228)|GT2_Chondriotin_Pol_N(253-474)
tr|A0A0P0CJV4|A0A0P0CJV4_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(3-87)|WcaA(1-296)
tr|A0A0P0CQK2|A0A0P0CQK2_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(205-305)|GT2(198-404)
tr|A0A0P0CZV0|A0A0P0CZV0_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(6-120)|glyco_like_mftF(5-245)
tr|A0A0P1BVR3|A0A0P1BVR3_9CYAN	GT-A|GT-A	Glycos_transf_2(13-176)|Glyco_tranf_GTA_type(162-215)
tr|A0A0P8CFV6|A0A0P8CFV6_9EURY	GT-A|GT-A	Glyco_tranf_GTA_type(5-115)|mycofact_glyco(57-180)
tr|A0A0Q0MHR9|A0A0Q0MHR9_9GAMM	GT-A|GT-A	WcaA(1-104)|Glyco_tranf_GTA_type(57-187)
tr|A0A0Q5CZY4|A0A0Q5CZY4_9RHIZ	GT-A|GT-A	GT2(81-250)|Glyco_tranf_GTA_type(150-213)
tr|A0A0Q5UWV0|A0A0Q5UWV0_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(7-101)|Glyco_transf_7C(131-201)
tr|A0A0Q5ZDE5|A0A0Q5ZDE5_9RHIZ	GT-A|GT-A	GT2(75-235)|Glyco_tranf_GTA_type(151-206)
tr|A0A0Q6DFV5|A0A0Q6DFV5_9RHIZ	GT-A|GT-A	Glyco_tranf_GTA_type(16-197)|Glyco_tranf_GTA_type(163-246)
tr|A0A0Q6L2Y6|A0A0Q6L2Y6_9SPHN	GT-A|GT-A	Glyco_tranf_GTA_type(5-105)|GT2(78-253)
tr|A0A0Q8ZK77|A0A0Q8ZK77_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(3-119)|WcaA(1-283)
tr|A0A0Q9DUD8|A0A0Q9DUD8_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(4-115)|WcaA(1-287)
tr|A0A0Q9Z648|A0A0Q9Z648_9FLAO	GT-A|GT-A	Glycos_transf_2(6-116)|Glyco_tranf_GTA_type(148-200)
tr|A0A0V7Z8H1|A0A0V7Z8H1_9RHIZ	GT-A|GT-A	GT2(121-255)|Glyco_tranf_GTA_type(166-221)
tr|A0A109IMF3|A0A109IMF3_9ACTN	GT-A|GT-A	Glyco_tranf_GTA_type(8-125)|WcaA(2-289)
tr|A0A124F5B7|A0A124F5B7_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(6-158)|GT2(1-336)
tr|A0A127B536|A0A127B536_9BACT	GT-A|GT-A	Glycos_transf_2(7-123)|GT2(6-290)
tr|A0A127EZ67|A0A127EZ67_9RHIZ	GT-A|GT-A	Glyco_tranf_GTA_type(43-151)|GT2(41-284)
tr|A0A133PTX2|A0A133PTX2_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(17-148)|WcaA(2-272)
tr|A0A137RFR5|A0A137RFR5_9FLAO	GT-A|GT-A	Glycos_transf_2(3-168)|Glyco_tranf_GTA_type(150-208)
tr|A0A142Z774|A0A142Z774_9BURK	GT-A|GT-A	Glyco_tranf_GTA_type(24-134)|GT2(21-274)
tr|A0A144PTY4|A0A144PTY4_9GAMM	GT-A|GT-A	Glyco_tranf_GTA_type(25-152)|GT2(19-312)
tr|A0A158F2S3|A0A158F2S3_9BURK	GT-A|GT-A	WcaA(26-108)|Glyco_tranf_GTA_type(199-228)
tr|A0A164R4D3|A0A164R4D3_9NOCA	GT-A|GT-A	Glyco_tranf_GTA_type(5-101)|GT2(1-247)
tr|A0A166SEM5|A0A166SEM5_9CYAN	GT-A|GT-A	Glycos_transf_2(4-169)|Glyco_tranf_GTA_type(151-204)
tr|A0A176QFY8|A0A176QFY8_9MICO	GT-A|GT-A	mycofact_glyco(2-227)|Glyco_tranf_GTA_type(145-228)
tr|A0A1A7P2P9|A0A1A7P2P9_9PAST	GT-A|GT-A	Beta4Glucosyltransferase(6-232)|GT2_Chondriotin_Pol_N(257-485)
tr|A0A1A8T0K3|A0A1A8T0K3_9GAMM	GT-A|GT-A	Glyco_tranf_GTA_type(36-117)|glyco_like_mftF(30-229)
tr|A0A1A9RYA6|A0A1A9RYA6_9NEIS	GT-A|GT-A	Beta4Glucosyltransferase(5-233)|GT2_Chondriotin_Pol_N(258-487)
tr|A0A1B1Y9M8|A0A1B1Y9M8_9FLAO	GT-A|GT-A	Glycos_transf_2(4-167)|Glyco_tranf_GTA_type(173-231)
tr|A0A1B9ESN5|A0A1B9ESN5_9ACTN	GT-A|GT-A	Glyco_tranf_GTA_type(6-125)|mycofact_glyco(2-315)
tr|A0A1C7DB60|A0A1C7DB60_9SPHN	GT-A|GT-A	Glyco_tranf_GTA_type(9-101)|Glyco_tranf_GTA_type(69-222)
tr|A0A1D9FRA3|A0A1D9FRA3_9CLOT	GT-A|GT-A	Glycos_transf_2(42-162)|GT2(39-378)
tr|A0A1D9P877|A0A1D9P877_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(3-101)|Glyco_transf_7C(148-201)
tr|A0A1E4A971|A0A1E4A971_9FLAO	GT-A|GT-A	Glycos_transf_2(4-104)|GT2(1-299)
tr|A0A1E4AL52|A0A1E4AL52_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(4-92)|WcaA(1-295)
tr|A0A1F7AHZ5|A0A1F7AHZ5_9BACT	GT-A|GT-A	Glycos_transf_2(6-113)|WcaA(1-291)
tr|A0A1F7AWE1|A0A1F7AWE1_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(8-119)|GT2(3-302)
tr|A0A1F8H971|A0A1F8H971_9BACT	GT-A|GT-A	Glycos_transf_2(38-139)|GT2(33-334)
tr|A0A1F9U4V0|A0A1F9U4V0_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(5-128)|GT2(1-290)
tr|A0A1G1X9P3|A0A1G1X9P3_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(21-141)|WcaA(21-289)
tr|A0A1G7GVK0|A0A1G7GVK0_9FLAO	GT-A|GT-A	WcaA(1-205)|Glyco_transf_7C(143-201)
tr|A0A1G7GW35|A0A1G7GW35_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(243-346)|BcsA(187-423)
tr|A0A1G7GW72|A0A1G7GW72_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(6-147)|GT2(1-333)
tr|A0A1H1P0I7|A0A1H1P0I7_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(4-99)|WcaA(1-290)
tr|A0A1H1QKE6|A0A1H1QKE6_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(3-103)|Glyco_tranf_GTA_type(144-201)
tr|A0A1H4C2N4|A0A1H4C2N4_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(69-204)|GT2(23-299)
tr|A0A1H4LAN3|A0A1H4LAN3_9ACTN	GT-A|GT-A	Glyco_tranf_GTA_type(6-117)|GT2(1-242)
tr|A0A1H5N9T0|A0A1H5N9T0_9FLAO	GT-A|GT-A	Glycos_transf_2(4-145)|Glyco_tranf_GTA_type(177-225)
tr|A0A1H8RMH3|A0A1H8RMH3_9FLAO	GT-A|GT-A	Glycos_transf_2(207-313)|GT2(200-417)
tr|A0A1I0TTZ3|A0A1I0TTZ3_9SPHI	GT-A|GT-A	Glyco_tranf_GTA_type(4-115)|Glyco_tranf_GTA_type(65-205)
tr|A0A1I1KUC1|A0A1I1KUC1_9BACT	GT-A|GT-A	Beta4Glucosyltransferase(5-228)|GT2_Chondriotin_Pol_N(256-477)
tr|A0A1I1NZ89|A0A1I1NZ89_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(16-164)|Glyco_transf_7C(131-200)
tr|A0A1I4RIS9|A0A1I4RIS9_ECTMO	GT-A|GT-A	Glycos_transf_2(28-125)|WcaA(23-299)
tr|A0A1I4Y0W2|A0A1I4Y0W2_9GAMM	GT-A|GT-A	Glyco_tranf_GTA_type(5-102)|WcaA(1-207)
tr|A0A1I4Y595|A0A1I4Y595_9FLAO	GT-A|GT-A	Glycos_transf_2(5-115)|Glyco_tranf_GTA_type(156-203)
tr|A0A1I4Y5F8|A0A1I4Y5F8_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(6-156)|Glyco_tranf_GTA_type(179-232)
tr|A0A1I6SNH6|A0A1I6SNH6_9FLAO	GT-A|GT-A	Glycos_transf_2(5-120)|WcaA(1-281)
tr|A0A1I7MR66|A0A1I7MR66_9MICC	GT-A|GT-A	Glyco_tranf_GTA_type(18-133)|Glyco_tranf_GTA_type(192-241)
tr|A0A1J0KUN8|A0A1J0KUN8_9GAMM	GT-A|GT-A	Beta4Glucosyltransferase(5-225)|GT2_Chondriotin_Pol_N(250-472)
tr|A0A1J5HKE9|A0A1J5HKE9_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(8-128)|WcaA(4-288)
tr|A0A1K1M5K2|A0A1K1M5K2_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(6-98)|Glyco_transf_7C(167-203)
tr|A0A1K2IKY1|A0A1K2IKY1_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(4-165)|Glyco_transf_7C(132-205)
tr|A0A1L3J4S0|A0A1L3J4S0_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(3-103)|Glyco_transf_7C(138-201)
tr|A0A1L3LEG8|A0A1L3LEG8_9RHIZ	GT-A|GT-A	Glyco_tranf_GTA_type(5-112)|WcaA(1-261)
tr|A0A1L6HXK4|A0A1L6HXK4_9BURK	GT-A|GT-A	Glyco_tranf_GTA_type(5-117)|GT2(1-305)
tr|A0A1M3M7W9|A0A1M3M7W9_9BACT	GT-A|GT-A	Glycos_transf_2(3-137)|WcaA(1-275)
tr|A0A1M5CM00|A0A1M5CM00_9FLAO	GT-A|GT-A	Glycos_transf_2(206-313)|Glyco_tranf_GTA_type(283-399)
tr|A0A1M5ESC4|A0A1M5ESC4_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(72-108)|GT2_Chondriotin_Pol_N(226-455)
tr|A0A1M5GSM8|A0A1M5GSM8_9FLAO	GT-A|GT-A	Glycos_transf_2(4-118)|GT2(1-295)
tr|A0A1M5IRP2|A0A1M5IRP2_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(208-315)|BcsA(175-404)
tr|A0A1M5JVS1|A0A1M5JVS1_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(16-165)|Glyco_transf_7C(145-201)
tr|A0A1M5LLB8|A0A1M5LLB8_9FLAO	GT-A|GT-A	Glycos_transf_2(4-128)|GT2(1-297)
tr|A0A1M5QK92|A0A1M5QK92_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(7-101)|Glyco_transf_7C(133-201)
tr|A0A1M5WZQ5|A0A1M5WZQ5_9BURK	GT-A|GT-A	Glyco_tranf_GTA_type(12-131)|WcaA(9-305)
tr|A0A1M6CE95|A0A1M6CE95_9FLAO	GT-A|GT-A	GT2(1-229)|Glyco_transf_7C(132-201)
tr|A0A1M6H2S9|A0A1M6H2S9_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(3-137)|WcaA(1-289)
tr|A0A1M7GNP2|A0A1M7GNP2_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(206-393)|WcaA(200-506)
tr|A0A1M7GPC7|A0A1M7GPC7_9FLAO	GT-A|GT-A	Glycos_transf_2(4-160)|GT2(1-331)
tr|A0A1M7P1N4|A0A1M7P1N4_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(3-138)|WcaA(1-296)
tr|A0A1N6KRI3|A0A1N6KRI3_9BURK	GT-A|GT-A	Glyco_tranf_GTA_type(30-134)|Glyco_tranf_GTA_type(97-227)
tr|A0A1Q3S158|A0A1Q3S158_9FLAO	GT-A|GT-A	Glycos_transf_2(4-104)|GT2(1-299)
tr|A0A1Q4RFT2|A0A1Q4RFT2_9CYAN	GT-A|GT-A	Glyco_tranf_GTA_type(34-155)|WcaA(1-302)
tr|A0A1Q7VWV3|A0A1Q7VWV3_9ACTN	GT-A|GT-A	Glycos_transf_2(3-134)|WcaA(1-268)
tr|A0A1S1TA74|A0A1S1TA74_9RHIZ	GT-A|GT-A	Glycos_transf_2(5-133)|GT2(1-274)
tr|A0A1S8D354|A0A1S8D354_9PROT	GT-A|GT-A	GT2(8-246)|Glyco_tranf_GTA_type(167-218)
tr|A0A1S9B3J1|A0A1S9B3J1_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(7-89)|GT2(6-201)
tr|A0A1S9ZZ30|A0A1S9ZZ30_MORBO	GT-A|GT-A	Glyco_tranf_GTA_type(148-382)|Glyco_tranf_GTA_type(430-544)
tr|A0A1T0B5I0|A0A1T0B5I0_9PAST	GT-A|GT-A	Beta4Glucosyltransferase(6-232)|GT2_Chondriotin_Pol_N(257-486)
tr|A0A1T0CE28|A0A1T0CE28_9GAMM	GT-A|GT-A	Glyco_tranf_GTA_type(148-381)|Glyco_tranf_GTA_type(425-621)
tr|A0A1T1CL13|A0A1T1CL13_9FLAO	GT-A|GT-A	BcsA(1-195)|Glyco_tranf_GTA_type(148-201)
tr|A0A1T4KAD5|A0A1T4KAD5_9FIRM	GT-A|GT-A	Glyco_tranf_GTA_type(7-170)|Glyco_tranf_GTA_type(179-221)
tr|A0A1T4Z675|A0A1T4Z675_9ACTN	GT-A|GT-A	GT2(1-246)|Glyco_tranf_GTA_type(168-219)
tr|A0A1T5PCR0|A0A1T5PCR0_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(24-193)|GT2(151-289)
tr|A0A1U7DNC1|A0A1U7DNC1_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(205-305)|GT2(200-404)
tr|A0A1U7DNM2|A0A1U7DNM2_9FLAO	GT-A|GT-A	Glycos_transf_2(4-120)|GT2(1-326)
tr|A0A1U7IVN3|A0A1U7IVN3_9NOSO	GT-A|GT-A	Glycos_transf_2(13-176)|Glyco_tranf_GTA_type(98-270)
tr|A0A1V4AYI5|A0A1V4AYI5_9PAST	GT-A|GT-A	Beta4Glucosyltransferase(4-230)|GT2_Chondriotin_Pol_N(255-484)
tr|A0A1W6BZB1|A0A1W6BZB1_9PROT	GT-A|GT-A	Beta4Glucosyltransferase(5-233)|GT2_Chondriotin_Pol_N(259-489)
tr|A0A1X3CLE9|A0A1X3CLE9_9NEIS	GT-A|GT-A	Beta4Glucosyltransferase(9-234)|GT2_Chondriotin_Pol_N(259-484)
tr|A0A1X3CUF2|A0A1X3CUF2_9NEIS	GT-A|GT-A	Beta4Glucosyltransferase(9-234)|GT2_Chondriotin_Pol_N(259-484)
tr|A0A1X9SQ31|A0A1X9SQ31_9PROT	GT-A|GT-A	Beta4Glucosyltransferase(6-233)|GT2_Chondriotin_Pol_N(259-484)
tr|A0A1Y1T8N6|A0A1Y1T8N6_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(3-103)|Glyco_transf_7C(136-201)
tr|A0A1Y2RAK2|A0A1Y2RAK2_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(13-136)|WcaA(12-297)
tr|A0A1Y3X2X3|A0A1Y3X2X3_9FIRM	GT-A|GT-A	Glyco_tranf_GTA_type(6-121)|GT2(1-245)
tr|A0A1Z1FFR5|A0A1Z1FFR5_9SPHN	GT-A|GT-A	Glyco_tranf_GTA_type(5-115)|GT2(1-286)
tr|A0A1Z4HDZ5|A0A1Z4HDZ5_9CYAN	GT-A|GT-A	Glycos_transf_2(8-171)|Glyco_tranf_GTA_type(157-210)
tr|A0A218QJG9|A0A218QJG9_9CYAN	GT-A|GT-A	Glycos_transf_2(4-169)|Glyco_tranf_GTA_type(91-274)
tr|A0A220S4B7|A0A220S4B7_9NEIS	GT-A|GT-A	Beta4Glucosyltransferase(8-233)|GT2_Chondriotin_Pol_N(258-481)
tr|A0A226HED8|A0A226HED8_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(6-148)|GT2(1-298)
tr|A0A238YX12|A0A238YX12_9FLAO	GT-A|GT-A	Glycos_transf_2(4-146)|GT2(1-296)
tr|A0A239BS89|A0A239BS89_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(6-146)|GT2(2-326)
tr|A0A239BSV9|A0A239BSV9_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(4-133)|Glyco_transf_7C(134-202)
tr|A0A242K2P4|A0A242K2P4_9ENTE	GT-A|GT-A	GT2_RfbC_Mx_like(180-382)|GT_2_like_c(441-660)
tr|A0A243SGY2|A0A243SGY2_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(3-120)|BcsA(1-264)
tr|A0A255S7Z1|A0A255S7Z1_9BACT	GT-A|GT-A	Glycos_transf_2(7-143)|WcaA(6-287)
tr|A0A257K0F6|A0A257K0F6_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(208-315)|GT2(201-423)
tr|A0A257K0J7|A0A257K0J7_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(208-307)|GT2(201-406)
tr|A0A268J1I2|A0A268J1I2_9BACL	GT-A|GT-A	Glyco_tranf_GTA_type(6-120)|GT2(1-256)
tr|A0A2A2GSM9|A0A2A2GSM9_9HELI	GT-A|GT-A	Beta4Glucosyltransferase(7-240)|GT2_Chondriotin_Pol_N(267-500)
tr|A0A2A3YAZ2|A0A2A3YAZ2_9MICC	GT-A|GT-A	Glyco_tranf_GTA_type(5-114)|Glyco_tranf_GTA_type(170-258)
tr|A0A2C6CU42|A0A2C6CU42_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(3-118)|WcaA(1-289)
tr|A0A2D0MZL5|A0A2D0MZL5_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(21-118)|WcaA(17-223)
tr|A0A2D0NGU4|A0A2D0NGU4_9BACT	GT-A|GT-A	Glycos_transf_2(3-134)|WcaA(1-278)
tr|A0A2E4QSQ8|A0A2E4QSQ8_9RHOB	GT-A|GT-A	Glyco_tranf_GTA_type(13-126)|mycofact_glyco(8-268)
tr|A0A2E6XZB0|A0A2E6XZB0_9RHOB	GT-A|GT-A	mycofact_glyco(8-211)|Glyco_tranf_GTA_type(260-370)
tr|A0A2G0CGH4|A0A2G0CGH4_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(8-105)|Glyco_tranf_GTA_type(81-215)
tr|A0A2G5GCP0|A0A2G5GCP0_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(3-130)|BcsA(1-296)
tr|A0A2H0L1U0|A0A2H0L1U0_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(5-116)|GT2(1-300)
tr|A0A2H5XUE8|A0A2H5XUE8_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(7-118)|mycofact_glyco(7-300)
tr|A0A2H6BFB1|A0A2H6BFB1_9RHIZ	GT-A|GT-A	Glyco_tranf_GTA_type(6-111)|GT2(79-253)
tr|A0A2H9X0I1|A0A2H9X0I1_9NEIS	GT-A|GT-A	Beta4Glucosyltransferase(9-234)|GT2_Chondriotin_Pol_N(259-482)
tr|A0A2I2DNB4|A0A2I2DNB4_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(206-306)|GT2(199-405)
tr|A0A2K2G150|A0A2K2G150_9SPHN	GT-A|GT-A	Glyco_tranf_GTA_type(7-114)|mycofact_glyco(68-195)
tr|A0A2K9PMC0|A0A2K9PMC0_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(16-102)|Glyco_transf_7C(133-201)
tr|A0A2K9PNY5|A0A2K9PNY5_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(3-137)|WcaA(1-285)
tr|A0A2M7FEM2|A0A2M7FEM2_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(36-148)|GT2(34-306)
tr|A0A2M8AQW3|A0A2M8AQW3_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(182-285)|GT2(175-486)
tr|A0A2M8F5E1|A0A2M8F5E1_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(5-125)|WcaA(1-274)
tr|A0A2N0H9U3|A0A2N0H9U3_9FLAO	GT-A|GT-A	GT2(1-120)|WcaA(1-298)
tr|A0A2N1UWE8|A0A2N1UWE8_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(6-210)|Glyco_tranf_GTA_type(157-251)
tr|A0A2N1VZG4|A0A2N1VZG4_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(6-218)|Glyco_tranf_GTA_type(161-253)
tr|A0A2N2Y8Y7|A0A2N2Y8Y7_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(207-307)|BcsA(190-398)
tr|A0A2N2Y907|A0A2N2Y907_9BACT	GT-A|GT-A	Glyco_tranf_GTA_type(32-168)|Glyco_tranf_GTA_type(150-203)
tr|A0A2N4UDM4|A0A2N4UDM4_9BURK	GT-A|GT-A	Glyco_tranf_GTA_type(10-108)|WcaA(7-303)
tr|A0A2P7TZ73|A0A2P7TZ73_9NEIS	GT-A|GT-A	Beta4Glucosyltransferase(9-234)|GT2_Chondriotin_Pol_N(259-482)
tr|A0A2S0HXP7|A0A2S0HXP7_9FLAO	GT-A|GT-A	Glyco_tranf_GTA_type(3-115)|Glyco_transf_7C(133-201)
tr|A0A2S0HXV8|A0A2S0HXV8_9FLAO	GT-A|GT-A	Glycos_transf_2(4-140)|GT2(1-330)
