tr|K7IX37|K7IX37_NASVI	Vfa1|DUF1168|MBT|MBT|MBT|zf-C2HC|SAM|GT-A	Vfa1(425-572)|DUF1168(493-560)|MBT(594-689)|MBT(701-795)|MBT(807-899)|zf-C2HC(910-939)|SAM(1118-1146)|Fringe(1259-1508)
tr|Q2M156|Q2M156_DROPS	GT-A	Fringe(162-411)
tr|R4GCK3|R4GCK3_ANOCA	GT-A	Fringe(132-381)
tr|T1J8T0|T1J8T0_STRMM	GT-A	Fringe(87-334)
tr|T1K3K2|T1K3K2_TETUR	GT-A	Fringe(30-275)
tr|U3I3N5|U3I3N5_ANAPL	GT-A	Fringe(22-234)
tr|U3J8V7|U3J8V7_ANAPL	GT-A	Fringe(61-312)
tr|U3J905|U3J905_ANAPL	GT-A	Fringe(18-271)
tr|U3KB64|U3KB64_FICAL	GT-A	Fringe(26-276)
tr|U3KEJ1|U3KEJ1_FICAL	GT-A	Fringe(79-328)
tr|U3KHK0|U3KHK0_FICAL	GT-A	Fringe(51-299)
tr|V8N4S2|V8N4S2_OPHHA	GT-A	Fringe(44-265)
tr|V8P8J4|V8P8J4_OPHHA	GT-A	Fringe(127-376)
tr|W5K5Z7|W5K5Z7_ASTMX	GT-A	Fringe(112-361)
tr|W5KR04|W5KR04_ASTMX	GT-A	Fringe(109-358)
tr|W5L0Y2|W5L0Y2_ASTMX	GT-A	Fringe(47-300)
tr|W5MZN5|W5MZN5_LEPOC	GT-A	Fringe(80-328)
tr|W5N3K8|W5N3K8_LEPOC	GT-A	Fringe(140-389)
tr|W5P4J5|W5P4J5_SHEEP	GT-A	Fringe(85-330)
tr|W5Q7E8|W5Q7E8_SHEEP	GT-A	Galactosyl_T(4-216)
tr|W5QD64|W5QD64_SHEEP	GT-A	Fringe(51-300)
tr|W5U8B7|W5U8B7_ICTPU	GT-A	Fringe(96-345)
tr|A0A1V4J9R5|A0A1V4J9R5_PATFA	DD|Smc|SH3|NK|GT-A	DD(24-109)|Smc(136-441)|SH3(714-775)|NK(912-954)|Fringe(1039-1288)
tr|A0A1I7XQY3|A0A1I7XQY3_HETBA	Astacin|CUB|TSP1|GT-A	Astacin(1-44)|CUB(48-109)|TSP1(141-186)|Fringe(278-470)
